dates,nzd0406-0000,nzd0406-0001,nzd0406-0002,nzd0406-0003,nzd0406-0004,nzd0406-0005,nzd0406-0006,nzd0406-0007,nzd0406-0008,nzd0406-0009,nzd0406-0010,satname
2020-06-01 22:07:08.444,313.67600000000004,315.46400000000006,329.86800000000005,342.564,318.2866666666667,344.1566666666667,354.41999999999996,349.5216666666667,313.735,334.64000000000004,334.37833333333333,L8
2020-08-04 22:07:35.564,299.18333333333334,307.4466666666667,319.34666666666675,336.2166666666667,284.288,334.996,346.4,339.11600000000004,291.596,320.748,326.786,L8
2020-09-21 22:07:54.687,281.08500000000004,285.845,302.04499999999996,334.31,270.4625,333.215,342.84,333.96750000000003,274.1575,313.08,327.09000000000003,L8
2021-02-12 22:07:43.180,304.195,287.37,316.44,339.33,330.76,345.375,348.87,337.82000000000005,321.95500000000004,332.605,322.55,L8
2021-03-16 22:07:27.743,310.2233333333333,295.79333333333335,318.23333333333335,336.48,331.8833333333333,344.74333333333334,348.42333333333335,339.23333333333335,323.07,334.15333333333336,326.6766666666667,L8
2021-04-17 22:07:18.077,313.07,309.12,325.46000000000004,332.75666666666666,315.7266666666667,343.62000000000006,347.90333333333336,340.18,325.08000000000004,331.56333333333333,327.2766666666667,L8
2021-05-03 22:07:08.587,315.6825,311.7,324.81666666666666,333.6975,308.2075,345.39,350.13,341.27,327.15000000000003,334.12,331.6775,L8
2021-05-19 22:07:16.079,315.6825,311.7,324.81666666666666,333.6975,298.092,344.578,349.82,341.27,308.1225,334.12,331.6775,L8
2021-07-22 22:07:36.760,315.6825,309.15250000000003,318.545,332.918,290.3666666666667,342.8533333333333,349.42333333333335,340.72799999999995,297.278,332.90999999999997,331.562,L8
2021-08-23 22:07:49.080,315.135,308.48,313.38,331.866,283.4683333333333,342.1766666666667,348.8333333333333,339.992,291.06399999999996,331.144,331.458,L8
2021-09-24 22:07:56.691,310.7675,305.7025,309.26250000000005,329.864,275.70166666666665,341.8533333333333,348.5233333333333,338.36800000000005,284.396,327.118,327.19,L8
2021-12-21 22:07:55.088,302.20666666666665,292.71500000000003,304.5066666666667,329.16333333333336,273.8333333333333,336.88,342.38000000000005,329.7475,280.2775,323.8733333333333,315.2675,L9
2021-12-29 22:07:53.106,309.46500000000003,298.75,311.98,333.76,292.9975,341.142,346.09800000000007,334.786,293.96799999999996,328.625,324.904,L8
2022-01-14 22:07:51.275,314.74,300.37333333333333,313.71400000000006,334.914,302.142,343.02833333333336,349.3633333333334,338.4016666666667,303.64166666666665,331.502,331.5883333333333,L8
2022-01-30 22:07:46.196,315.66833333333335,301.5466666666667,317.356,336.906,320.192,345.74333333333334,351.7616666666667,339.3483333333333,316.94666666666666,333.744,330.8533333333333,L8
2022-03-11 22:07:39.629,320.12833333333333,306.1033333333333,322.466,339.95200000000006,336.604,348.785,354.4916666666666,343.41833333333335,329.57666666666665,339.378,332.51599999999996,L9
2022-04-28 22:07:22.893,323.295,308.77833333333336,323.646,343.52,347.774,351.41333333333336,356.92,346.07666666666665,337.7633333333333,344.37800000000004,338.12399999999997,L9
2022-05-06 22:07:29.527,323.4957142857143,309.85571428571427,322.78833333333336,343.27833333333336,347.774,351.5728571428571,355.90714285714284,345.86285714285714,337.7157142857142,343.8733333333334,338.6933333333333,L8
2022-05-22 22:07:34.435,324.01250000000005,310.34125,322.2842857142858,342.7528571428571,347.80333333333334,350.645,354.92375,345.41999999999996,337.06374999999997,342.7557142857143,338.9685714285714,L8
2022-06-07 22:07:43.386,324.01250000000005,310.34125,322.2842857142858,342.7528571428571,333.5371428571429,349.09666666666664,353.3333333333333,343.69555555555553,337.06374999999997,340.25375,336.695,L8
