dates,nzd0181-0000,nzd0181-0001,nzd0181-0002,nzd0181-0003,nzd0181-0004,nzd0181-0005,nzd0181-0006,nzd0181-0007,nzd0181-0008,nzd0181-0009,nzd0181-0010,nzd0181-0011,nzd0181-0012,nzd0181-0013,nzd0181-0014,nzd0181-0015,nzd0181-0016,nzd0181-0017,nzd0181-0018,nzd0181-0019,nzd0181-0020,nzd0181-0021,nzd0181-0022,nzd0181-0023,satname
2017-04-06 22:05:10+00:00,,319.28,333.58,327.845,311.85999999999996,307.1166666666666,312.9,309.88333333333327,323.92333333333335,322.05333333333334,331.5833333333333,343.895,340.47249999999997,337.43,296.32666666666665,321.96000000000004,306.66499999999996,330.3875,343.63,345.47249999999997,350.62,306.27333333333337,275.76000000000005,301.735,L8
2017-05-08 22:04:59+00:00,,309.3333333333333,324.7933333333333,316.285,300.91333333333336,294.97999999999996,302.7133333333333,294.96,313.89000000000004,302.66333333333336,323.16,339.49,336.505,332.6925,284.92333333333335,316.45,300.8225,326.48749999999995,341.59999999999997,342.8775,348.22249999999997,298.25,262.81666666666666,301.09,L8
2017-05-24 22:05:34+00:00,,305.32500000000005,318.57,307.204,296.2125,289.265,297.7025,287.10749999999996,309.16,292.935,319.3925,334.55,332.70799999999997,328.844,284.92333333333335,311.0,295.802,322.89,338.88199999999995,340.174,344.67600000000004,288.64,262.81666666666666,301.09,L8
2017-06-25 22:05:47+00:00,,301.45799999999997,313.552,297.9216666666667,290.06,282.518,293.55,280.262,304.764,281.944,315.97799999999995,330.39,329.72166666666664,326.10166666666663,284.92333333333335,306.24833333333333,292.3933333333334,320.135,336.56,340.174,343.49499999999995,288.64,262.81666666666666,301.09,L8
2017-07-11 22:05:26+00:00,,301.17,313.1333333333333,295.3442857142857,290.09666666666664,282.0416666666667,292.83,279.85166666666663,303.43666666666667,277.53833333333336,315.0466666666667,329.01142857142855,328.4842857142857,325.0142857142857,284.92333333333335,304.57714285714286,290.65,319.1642857142857,336.29714285714283,338.89000000000004,342.74285714285713,285.36,256.99,301.09,L8
2017-08-28 22:06:08+00:00,,301.17,313.1333333333333,284.6033333333333,290.09666666666664,279.16285714285715,291.4,279.14142857142855,301.95285714285717,276.44571428571425,313.95714285714286,320.8528571428571,322.53428571428566,319.4342857142857,280.4675,296.25857142857143,281.5242857142857,312.73,332.71999999999997,332.48,338.6014285714286,283.26,252.55599999999998,301.09,L8
2017-12-02 22:05:46+00:00,,292.85999999999996,302.26,265.6949999999999,277.865,265.6933333333333,282.99666666666667,268.52000000000004,292.3433333333333,254.45999999999995,306.71,314.5899999999999,317.22666666666663,314.97,267.1,289.07,277.49333333333334,309.15333333333336,329.83500000000004,337.86333333333334,345.36,272.5,237.16499999999996,,L8
2018-03-08 22:05:15+00:00,234.39,319.27,332.73,314.65,309.06,304.43,310.61,305.99,320.21,,333.07,332.86,336.96,332.37,299.34,312.39,290.81,324.83,342.04,352.94,362.115,307.17,281.99,284.01,L8
2018-04-25 22:05:14+00:00,230.83999999999997,319.28999999999996,333.345,314.79999999999995,310.73,305.82,310.83000000000004,306.9,322.16499999999996,,332.405,332.31,335.63,332.275,294.57,312.745,291.7,325.27,342.21000000000004,349.4433333333333,357.6566666666667,308.495,279.115,288.45500000000004,L8
2018-06-28 22:04:40+00:00,230.83999999999997,308.1333333333333,319.24666666666667,314.79999999999995,302.42333333333335,293.63,300.99666666666667,306.9,312.75,241.95,323.23,325.50666666666666,329.0733333333333,326.17333333333335,294.57,304.66,286.12666666666667,320.1033333333333,337.74333333333334,342.89,344.68333333333334,308.495,279.115,288.45500000000004,L8
