dates,satname,nzd0181-0000,nzd0181-0001,nzd0181-0002,nzd0181-0003,nzd0181-0004,nzd0181-0005,nzd0181-0006,nzd0181-0007,nzd0181-0008,nzd0181-0009,nzd0181-0010,nzd0181-0011,nzd0181-0012,nzd0181-0013,nzd0181-0015,nzd0181-0016,nzd0181-0017,nzd0181-0021,nzd0181-0022,nzd0181-0023,nzd0181-0014,nzd0181-0018,nzd0181-0019,nzd0181-0020
2004-06-30 21:41:46.478000,L5,,,,,,,,,,,,,,,,,,287.00,,,,318.32,314.91,333.03
2004-07-23 21:48:33.165000,L5,268.44,353.68,354.10,347.01,336.71,337.88,326.94,335.28,327.85,335.67,337.73,349.15,354.33,335.91,306.83,323.27,326.37,337.05,265.15,284.28,336.38,352.20,345.38,360.55
2004-09-18 21:43:46.845000,L5,,,,,,,,,,,,,,,,,297.92,310.28,245.03,259.99,,331.45,323.93,340.10
2004-09-25 21:50:07.312000,L5,,,,,,,,,,,,,,,,,,272.93,209.13,,,304.58,300.22,313.23
2004-10-20 21:44:28.706000,L5,,,,,,,,,,,,,,,,,,287.36,220.13,,,309.02,304.86,322.39
2004-10-27 21:50:47.740000,L5,410.17,346.92,361.66,344.91,333.24,321.86,312.16,311.93,314.24,318.88,323.22,315.99,329.99,339.96,296.11,301.94,305.12,304.59,244.15,261.24,319.15,329.39,319.53,333.72
2005-01-15 21:51:45.464000,L5,395.69,325.06,334.40,321.70,332.23,330.87,319.59,330.66,329.66,342.68,338.00,326.44,329.23,322.01,291.29,294.36,304.74,331.30,259.41,276.98,315.55,343.65,339.13,346.57
2005-01-15 21:52:09.437000,L5,395.06,326.91,336.30,323.06,332.81,331.46,320.53,331.88,330.67,343.42,338.48,327.03,330.07,322.44,291.80,296.05,305.04,332.51,260.06,277.00,316.42,344.41,339.72,347.83
2005-02-16 21:52:13.954000,L5,420.94,406.00,352.85,363.82,,,,,,,,,,,,,,,,,,,,
2005-03-04 21:52:28.245000,L5,,,402.10,324.73,306.78,305.02,299.21,309.30,308.79,321.26,322.86,326.72,,,,,,,,,,,,
2005-04-21 21:52:46.920000,L5,,,,,,,,,,,,,,,,,,280.16,227.96,,,312.06,306.62,319.62
2005-04-21 21:53:10.893000,L5,194.70,299.79,316.06,293.32,,,,,,,,,,,,,,287.97,233.45,,,318.08,313.48,326.63
2005-05-07 21:52:53.005000,L5,366.21,329.54,343.19,337.27,326.38,,,,,,,,,,282.35,293.07,307.73,320.09,255.81,287.58,,337.22,333.11,346.51
2005-05-23 21:53:00.685000,L5,,,,,,,,,,,,,,,,,,278.10,,,,315.65,309.43,323.92
2005-06-08 21:53:09.034000,L5,167.56,293.19,321.27,292.28,,,,,,,,,,,,,,295.02,227.10,,,327.65,317.16,334.87
2005-06-08 21:53:33.007000,L5,160.96,289.19,318.99,288.52,,,,,,,,,,,,,,186.68,221.50,,,325.51,316.20,334.66
2005-07-26 21:53:30.504000,L5,143.30,303.55,316.99,303.71,,,,,,,,,,,,,289.39,287.25,201.93,,,328.26,323.01,341.88
2005-10-30 21:53:39.558000,L5,,,,,,,,,,,,,,,,,,266.19,,,,292.52,291.32,304.96
