dates,nzd0387-0000,nzd0387-0001,nzd0387-0002,nzd0387-0003,nzd0387-0004,nzd0387-0005,nzd0387-0006,nzd0387-0007,nzd0387-0042,nzd0387-0043,nzd0387-0044,nzd0387-0045,nzd0387-0046,nzd0387-0047,nzd0387-0048,nzd0387-0049,nzd0387-0008,nzd0387-0009,nzd0387-0010,nzd0387-0011,nzd0387-0012,nzd0387-0013,nzd0387-0014,nzd0387-0015,nzd0387-0016,nzd0387-0017,nzd0387-0018,nzd0387-0019,nzd0387-0020,nzd0387-0021,nzd0387-0022,nzd0387-0023,nzd0387-0024,nzd0387-0025,nzd0387-0026,nzd0387-0028,nzd0387-0029,nzd0387-0030,nzd0387-0031,nzd0387-0032,nzd0387-0033,nzd0387-0034,nzd0387-0035,nzd0387-0036,nzd0387-0037,nzd0387-0038,nzd0387-0039,nzd0387-0040,nzd0387-0041,nzd0387-0027,satname
2004-07-07 21:49:21.098,224.9,,324.0566666666667,355.96000000000004,349.74666666666667,343.9066666666667,344.5366666666667,308.73,495.4,499.58,446.9325,357.15,490.15,484.01,402.42333333333335,408.41,304.17,362.37000000000006,346.8,347.53666666666663,,370.35,,,299.8333333333333,368.07000000000005,368.4433333333333,366.4166666666667,395.01666666666665,378.72666666666663,374.44,381.8633333333333,394.43666666666667,391.1666666666667,417.97749999999996,389.59,393.5,403.57666666666665,344.69,338.16999999999996,383.01,376.31333333333333,376.5566666666667,487.49,386.94000000000005,400.2,407.02,419.16,506.09,482.87,L5
2004-08-24 21:50:29.935,224.9,,325.4675,355.0725,353.375,348.805,347.2975,308.73,495.4,499.58,440.48999999999995,357.15,490.15,484.01,402.885,407.2425,304.17,363.375,351.5125,350.4425,,374.3533333333333,324.33,,299.8333333333333,374.06,375.5875,372.28499999999997,397.275,383.0025,379.67,385.84,397.185,393.605,413.564,388.57,389.135,395.565,352.06,338.16999999999996,380.18666666666667,371.5525,376.5566666666667,487.49,386.94000000000005,396.52750000000003,400.195,419.16,506.09,482.87,L5
2004-09-25 21:51:19.231,224.9,,325.4675,355.0725,353.375,348.805,347.2975,308.73,498.075,498.08,448.97333333333336,424.79499999999996,491.19,481.68,402.885,407.2425,304.17,363.375,351.5125,350.4425,,374.3533333333333,324.33,,299.8333333333333,374.06,375.5875,372.28499999999997,397.275,383.0025,379.67,385.84,397.185,393.605,413.564,388.57,389.135,395.565,352.06,338.16999999999996,380.18666666666667,371.5525,376.5566666666667,491.99,386.94000000000005,396.52750000000003,400.195,419.16,504.275,484.78499999999997,L5
2004-10-27 21:51:59.516,224.9,,334.758,362.052,361.402,357.86800000000005,356.64,327.64,477.89,482.95,444.5533333333333,437.6233333333333,472.0,456.20500000000004,408.93,411.47799999999995,345.775,370.526,361.106,360.63199999999995,414.23,388.9875,375.2,,327.8975,385.96250000000003,383.426,380.698,401.31,389.856,385.706,392.034,404.698,401.32,402.448,399.63,399.462,404.804,371.67,368.65333333333336,393.5875,385.302,391.7025,462.97,399.605,406.906,411.712,429.7675,480.505,464.86,L5
2005-01-15 21:53:21.356,,,361.53666666666663,380.27333333333337,385.84,385.54333333333335,382.1066666666666,390.57,477.02,484.3066666666667,464.25,477.89000000000004,467.4866666666667,453.09666666666664,427.35999999999996,422.47333333333336,399.5,391.71999999999997,393.6466666666667,391.96000000000004,420.04,420.21999999999997,391.64000000000004,,411.54999999999995,406.87999999999994,409.87000000000006,406.99333333333334,413.10666666666674,409.3633333333333,407.02000000000004,417.93,425.9766666666667,422.99333333333334,423.44000000000005,425.2633333333333,420.15000000000003,417.8766666666666,409.2866666666667,430.28499999999997,412.63000000000005,408.5133333333333,434.1,452.3733333333333,446.59000000000003,432.29333333333335,436.38000000000005,468.39,479.3966666666667,457.75666666666666,L5
2005-03-04 21:54:04.136,,432.41,377.455,394.20500000000004,412.18333333333334,396.56500000000005,395.37,412.26666666666665,480.555,486.76,483.90500000000003,481.7725,472.64,456.275,445.7266666666667,439.8533333333333,421.4766666666667,404.38499999999993,424.96333333333337,425.83666666666664,440.56666666666666,459.74666666666667,443.3,,411.54999999999995,433.59666666666664,435.5566666666667,430.14000000000004,432.14000000000004,431.89000000000004,431.18666666666667,442.8733333333333,449.26,447.4533333333333,449.07,455.62000000000006,453.58666666666664,455.73999999999995,447.68,443.64000000000004,445.3733333333334,445.77666666666664,442.9633333333333,455.36,454.49333333333334,463.1466666666667,470.63000000000005,475.0933333333333,482.815,460.2175,L5
2005-04-05 21:54:19.058,,432.41,377.455,394.20500000000004,427.58500000000004,396.56500000000005,395.37,422.77250000000004,482.14,490.4175,488.6025,488.36249999999995,475.8975,457.2875,455.1,448.72,431.71500000000003,404.38499999999993,434.9775,437.0675,457.755,469.7375,448.695,,411.54999999999995,445.58,446.46500000000003,441.1825,444.6725,442.6075,444.71,453.60749999999996,461.09,456.9525,459.1425,461.11,466.2875,465.0475,457.485,452.1075,454.5525,456.945,442.9633333333333,455.425,467.33,473.735,479.92,484.56,485.24249999999995,459.10749999999996,L5
2005-04-21 21:54:22.812,,432.41,377.455,394.20500000000004,442.178,396.56500000000005,395.37,434.424,484.622,492.36800000000005,490.884,491.77799999999996,479.11800000000005,461.51000000000005,459.284,454.828,441.396,404.38499999999993,444.06800000000004,446.14399999999995,468.11,476.58000000000004,453.428,,411.54999999999995,453.294,452.6940000000001,450.46400000000006,452.44399999999996,452.422,453.046,460.938,466.346,463.384,467.366,467.73400000000004,471.476,471.282,464.012,458.122,459.15200000000004,461.146,442.9633333333333,461.16400000000004,472.196,477.51000000000005,487.062,490.22200000000004,488.44399999999996,468.756,L5
2005-06-08 21:54:44.925,260.73,432.41,389.385,403.0,454.34499999999997,404.0,394.05,446.9375,486.6,493.82,492.496,494.616,482.454,465.38599999999997,462.73199999999997,458.188,454.9,407.645,455.21500000000003,457.3325,481.58000000000004,487.5025,460.2674999999999,,411.01,461.19999999999993,457.05600000000004,459.116,455.3059999999999,461.21000000000004,463.845,463.924,466.57,462.968,470.94399999999996,467.514,479.15250000000003,478.66249999999997,472.39,465.24750000000006,461.98199999999997,460.808,445.6566666666667,464.178,475.25200000000007,480.1139999999999,489.31000000000006,492.73199999999997,490.13599999999997,475.18999999999994,L5
2005-07-10 21:54:55.488,248.995,432.41,376.4266666666667,403.0,454.34499999999997,404.0,394.05,446.9375,478.9633333333333,488.3966666666666,485.84833333333336,486.79999999999995,473.60833333333335,458.125,456.70166666666665,452.15000000000003,454.9,396.6466666666667,455.21500000000003,457.3325,481.58000000000004,487.5025,460.2674999999999,265.06,399.24,461.19999999999993,448.385,459.116,446.64333333333326,461.21000000000004,463.845,454.09833333333336,457.155,454.56,461.36833333333334,458.58666666666664,479.15250000000003,478.66249999999997,472.39,465.24750000000006,461.98199999999997,450.84833333333336,435.77250000000004,455.15333333333336,467.0183333333334,472.1233333333333,481.2683333333334,485.145,482.7083333333333,475.18999999999994,L5
