dates,satname,nzd0270-0000,nzd0270-0001,nzd0270-0002,nzd0270-0003,nzd0270-0004,nzd0270-0005,nzd0270-0006,nzd0270-0007,nzd0270-0008,nzd0270-0009,nzd0270-0010,nzd0270-0011,nzd0270-0012,nzd0270-0013,nzd0270-0014,nzd0270-0015,nzd0270-0016,nzd0270-0017,nzd0270-0018,nzd0270-0019,nzd0270-0020,nzd0270-0021,nzd0270-0022,nzd0270-0023,nzd0270-0024,nzd0270-0025,nzd0270-0026,nzd0270-0027,nzd0270-0028,nzd0270-0029,nzd0270-0030,nzd0270-0031,nzd0270-0032,nzd0270-0033,nzd0270-0034,nzd0270-0035,nzd0270-0036,nzd0270-0037,nzd0270-0038,nzd0270-0039,nzd0270-0040,nzd0270-0041,nzd0270-0042,nzd0270-0043,nzd0270-0044,nzd0270-0045,nzd0270-0046,nzd0270-0047,nzd0270-0048,nzd0270-0049,nzd0270-0050,nzd0270-0051,nzd0270-0052,nzd0270-0053
2003-12-14 21:32:38.364000,L5,350.25,349.82,356.05,366.37,367.09,356.46,360.74,362.11,376.12,374.67,360.18,357.59,349.29,355.22,362.10,372.10,378.31,390.78,401.39,401.25,401.19,396.67,382.01,378.64,378.61,371.93,368.55,362.48,355.22,351.12,369.16,380.31,404.32,396.26,397.78,388.61,405.13,400.23,403.27,415.23,401.63,399.87,381.59,395.43,394.86,390.77,387.50,395.22,402.27,402.93,384.31,385.52,388.29,388.59
2004-01-15 21:32:50.035000,L5,301.55,281.28,275.12,261.46,230.81,223.77,228.30,222.59,221.58,249.47,301.36,287.78,285.35,184.54,276.37,282.91,285.08,316.32,314.96,322.34,289.71,243.86,273.68,274.35,260.81,321.05,234.02,181.39,265.59,245.13,281.77,,226.96,293.97,333.58,335.78,331.66,337.98,347.68,329.09,331.88,197.76,321.13,267.77,299.08,226.83,,297.61,276.61,295.38,327.57,287.87,252.45,317.92
2004-05-06 21:34:22.023000,L5,301.20,276.76,272.29,239.75,225.43,298.43,290.63,310.87,,,,,290.30,185.32,283.69,284.21,210.73,155.88,239.42,233.17,230.40,225.50,216.50,,307.61,330.15,282.13,197.63,263.12,273.23,225.80,221.66,212.72,,200.12,253.21,255.30,209.69,175.73,344.36,340.97,190.41,334.79,324.66,310.19,222.09,298.17,276.26,223.77,166.09,309.21,293.77,315.64,318.65
2004-06-23 21:35:46.683000,L5,167.88,268.94,297.21,235.61,292.67,294.63,290.51,307.82,296.16,311.06,311.94,305.51,300.75,284.41,291.05,290.75,301.47,311.86,325.38,287.65,276.68,260.09,327.01,309.10,326.92,334.06,307.68,305.68,252.84,280.52,289.18,234.22,237.04,,328.33,335.78,318.55,316.15,340.01,351.99,349.43,324.10,342.87,318.99,323.40,223.60,314.22,262.52,231.81,171.95,322.19,321.29,349.41,329.23
2004-07-25 21:36:37.854000,L5,150.22,258.21,294.09,278.23,214.94,296.16,291.03,299.50,,167.17,186.07,197.49,183.27,194.69,290.02,286.94,289.30,,227.07,216.77,217.75,219.79,204.90,321.63,322.90,336.56,316.97,298.82,221.00,280.21,236.11,224.66,239.93,,241.95,260.70,268.87,312.40,171.99,353.20,352.46,203.45,342.16,326.14,303.19,206.30,,,,,306.28,252.98,233.79,314.92
2004-08-10 21:36:56.635000,L5,298.87,286.60,301.92,272.83,300.04,299.34,297.24,304.92,301.60,313.86,310.45,308.09,304.52,297.32,298.43,300.11,305.35,315.60,332.38,332.62,333.60,336.74,238.48,264.06,240.35,339.05,321.99,296.08,258.37,288.53,243.76,220.98,245.53,223.83,328.80,332.07,326.84,332.40,341.57,355.70,352.93,349.62,343.50,343.95,337.41,233.61,307.03,190.54,249.83,291.67,319.88,324.03,238.06,332.54
2004-09-11 21:37:49.351000,L5,297.45,275.33,299.54,270.59,222.14,,,,,,,301.14,296.51,290.01,293.31,293.74,,,,,,,,,,,,217.91,182.82,264.44,232.66,214.31,243.75,221.62,324.10,345.77,339.29,347.92,353.17,355.34,356.20,352.04,340.07,336.61,329.62,320.43,327.13,326.83,316.61,302.55,322.73,331.22,269.83,334.51
2004-10-13 21:38:32.826000,L5,297.29,285.17,305.22,280.32,263.13,252.67,254.88,257.39,264.71,258.57,250.76,241.74,297.58,202.62,237.19,242.80,236.74,308.85,332.14,262.17,281.49,276.08,326.69,323.05,323.48,340.65,326.22,298.12,243.53,244.15,229.99,221.00,223.12,236.80,329.00,309.37,323.20,331.33,352.66,347.58,354.59,,322.81,266.22,317.61,162.42,,192.29,269.83,306.55,298.71,320.81,337.66,337.34
2005-02-18 21:40:42.163000,L5,297.25,284.78,297.40,271.51,218.98,295.29,280.35,306.83,223.33,307.56,304.22,295.67,289.87,270.56,286.78,286.58,288.60,308.13,318.81,322.54,323.11,327.63,316.45,311.61,321.97,259.06,300.89,230.42,270.63,265.25,201.79,200.34,240.92,,330.75,336.56,330.94,285.11,205.51,277.75,336.43,210.34,322.31,321.64,310.92,230.26,,297.18,291.59,300.39,322.30,318.78,326.40,323.06
2005-05-09 21:41:19.893000,L5,296.50,278.62,298.01,264.05,217.62,297.97,207.83,215.53,218.14,218.18,193.52,306.97,296.53,223.71,232.13,244.48,235.31,258.84,268.46,273.12,271.32,261.12,260.12,274.05,262.47,259.28,239.65,291.26,227.66,265.54,222.96,216.54,229.88,,228.68,265.20,233.27,211.14,196.27,228.63,233.91,206.86,324.63,324.34,289.38,221.16,,275.64,244.18,238.55,303.60,305.49,235.14,237.29
2005-05-25 21:41:28.038000,L5,287.61,279.40,301.92,268.25,290.06,296.77,294.38,308.89,305.43,314.41,311.52,301.40,295.34,190.86,231.32,244.34,244.76,212.98,232.03,209.32,221.39,238.37,208.54,273.06,258.87,259.43,240.69,299.37,245.55,270.39,229.43,221.57,247.99,213.97,254.76,277.47,261.04,209.88,202.95,354.20,344.92,340.49,329.74,332.94,280.51,208.57,,271.55,234.12,281.70,311.81,305.71,267.91,330.62
2005-06-10 21:41:36.102000,L5,290.44,275.16,290.08,266.26,206.06,297.06,205.16,206.19,219.80,233.42,188.55,309.71,299.16,220.67,228.32,241.15,250.17,261.30,273.80,267.30,269.34,266.68,261.91,270.82,255.55,263.62,240.48,301.07,245.51,271.04,224.43,203.46,,,248.57,261.58,324.23,210.83,205.26,238.57,241.72,215.78,275.07,335.43,227.34,215.70,,255.51,211.84,179.63,313.44,320.26,264.13,331.35
2005-06-26 21:41:40.412000,L5,182.89,278.99,285.79,259.16,201.44,289.78,203.69,193.21,210.38,176.88,184.40,302.30,297.57,271.22,293.66,293.24,302.53,316.17,332.46,314.07,295.76,325.63,311.97,313.07,322.32,329.05,311.27,243.37,183.14,282.57,236.18,222.57,,206.38,253.42,263.87,221.30,209.88,192.81,203.70,219.50,209.14,329.69,245.09,246.55,213.59,,,,,273.11,294.58,225.64,230.62
2005-07-12 21:41:47.390000,L5,247.14,272.83,286.61,266.35,299.32,292.26,295.94,258.66,305.96,310.35,311.69,303.56,293.22,276.93,286.46,242.49,248.33,261.80,252.63,321.83,322.71,333.59,263.76,273.07,262.18,264.94,240.60,290.52,192.26,273.69,226.65,183.18,243.68,231.58,253.05,343.07,322.55,209.29,347.35,358.32,355.51,339.89,332.10,335.43,307.50,215.43,289.03,253.09,198.91,180.18,295.81,304.69,,231.31
2005-08-13 21:42:05.358000,L5,295.94,285.86,293.03,273.99,297.63,296.30,297.15,308.69,304.16,316.82,251.07,312.24,304.69,295.15,301.29,302.89,311.68,323.45,333.08,332.76,260.88,264.43,247.70,258.77,254.75,257.11,239.45,299.31,187.94,281.12,234.15,193.60,252.73,,259.33,259.29,292.96,322.97,333.10,226.08,235.27,207.66,337.05,340.67,209.51,222.25,,,,,,,203.50,231.53
