dates,nzd0270-0000,nzd0270-0001,nzd0270-0002,nzd0270-0003,nzd0270-0004,nzd0270-0005,nzd0270-0006,nzd0270-0007,nzd0270-0008,nzd0270-0009,nzd0270-0010,nzd0270-0011,nzd0270-0012,nzd0270-0013,nzd0270-0014,nzd0270-0015,nzd0270-0016,nzd0270-0017,nzd0270-0018,nzd0270-0019,nzd0270-0020,nzd0270-0021,nzd0270-0022,nzd0270-0023,nzd0270-0024,nzd0270-0025,nzd0270-0026,nzd0270-0027,nzd0270-0028,nzd0270-0029,nzd0270-0030,nzd0270-0031,nzd0270-0032,nzd0270-0033,nzd0270-0034,nzd0270-0035,nzd0270-0036,nzd0270-0037,nzd0270-0038,nzd0270-0039,nzd0270-0040,nzd0270-0041,nzd0270-0042,nzd0270-0043,nzd0270-0044,nzd0270-0045,nzd0270-0046,nzd0270-0047,nzd0270-0048,nzd0270-0049,nzd0270-0050,nzd0270-0051,nzd0270-0052,nzd0270-0053
2005-06-10 21:41:36+00:00,301.6066666666666,286.54,304.90250000000003,264.39000000000004,213.75333333333333,307.47,201.92,315.9225,303.97249999999997,318.765,316.0,310.625,302.065,244.85500000000002,301.78999999999996,283.93,292.28000000000003,301.725,,264.54,,242.6,333.27,324.985,329.03999999999996,333.84,326.49,300.875,245.14,275.45,224.4766666666667,212.30000000000004,235.51,210.53,240.97333333333333,266.02666666666664,277.045,209.36,352.2,357.61,343.59,204.31,320.59,258.37,252.07,212.89666666666668,,263.59999999999997,225.17000000000002,277.57000000000005,308.12,290.55333333333334,270.6,335.6
2005-06-26 21:41:40+00:00,301.6066666666666,285.24,301.298,264.55,211.04250000000002,303.5725,204.445,315.9225,303.97249999999997,318.765,316.0,309.166,301.37,243.14333333333335,301.78999999999996,276.7525,283.615,289.8566666666666,,273.405,,249.135,323.955,321.70666666666665,327.2133333333333,332.4833333333333,326.49,302.9766666666667,245.14,277.102,227.735,215.1475,235.51,228.86,244.79999999999998,265.9475,277.045,209.955,352.2,357.61,343.59,207.56,320.59,254.03,252.92666666666665,213.68,,263.59999999999997,225.17000000000002,277.57000000000005,300.02,292.35,251.76,335.6
2005-07-12 21:41:47+00:00,301.6066666666666,282.91833333333335,298.6333333333334,264.294,211.04250000000002,301.036,204.445,314.332,304.108,316.87,314.988,308.0783333333333,299.8933333333333,251.2125,296.3333333333333,270.12,276.96999999999997,283.3975,,288.0733333333333,319.23,265.772,323.955,321.70666666666665,327.2133333333333,332.4833333333333,326.49,298.5125,245.14,276.25166666666667,227.17799999999997,207.052,237.04,228.08333333333334,246.118,265.9475,289.26,209.14000000000001,348.43,357.61,343.59,207.56,320.59,254.03,262.6225,213.288,285.0,260.435,214.75333333333333,277.57000000000005,298.666,294.28000000000003,251.76,335.6
2005-08-13 21:42:05+00:00,300.19,283.33857142857147,297.8328571428571,265.91,213.07399999999998,300.24666666666667,204.445,313.3916666666667,304.1166666666667,316.8616666666667,314.988,308.67285714285714,300.5785714285715,260.0,297.5725,270.12,282.755,291.408,333.08,299.245,326.28,277.49666666666667,325.25666666666666,321.4925,326.295,334.33,324.715,298.672,245.14,276.94714285714286,228.34,204.81000000000003,240.9625,228.08333333333334,248.31999999999996,264.616,290.185,209.14000000000001,343.32,357.61,343.59,207.59333333333333,328.82,254.03,262.6225,214.78166666666667,285.0,260.435,214.75333333333333,277.57000000000005,298.666,294.28000000000003,235.67333333333332,335.6
2005-08-29 21:42:10+00:00,295.315,279.2785714285714,292.95,268.05571428571426,213.07399999999998,296.66333333333336,204.445,299.99833333333333,297.8833333333333,311.85333333333335,311.20000000000005,305.3014285714286,297.12,263.3333333333333,290.7075,257.61749999999995,279.1016666666667,288.07,338.85,306.134,328.46666666666664,286.93571428571425,325.9075,320.722,325.046,333.598,316.7675,299.97499999999997,246.47,272.58,226.8557142857143,202.90142857142857,240.74,221.5025,251.36142857142858,266.10833333333335,283.942,211.09833333333333,343.32,357.61,343.59,207.59333333333333,328.00666666666666,254.03,273.764,217.18285714285713,285.0,261.742,228.845,277.78000000000003,293.69,293.8533333333333,232.54500000000002,324.26
2006-02-21 21:44:44+00:00,302.04,287.26,296.015,283.1700000000001,228.16,307.1,224.67,238.495,300.04,304.265,305.99,297.98,292.94,280.0,288.05,241.46,302.53,320.32,344.62,332.765,329.05999999999995,335.21500000000003,322.435,312.66499999999996,317.96500000000003,327.435,312.155,303.0,260.235,272.405,214.6,191.45,239.85,228.405,298.865,273.57,269.785,276.03,341.15,338.87,343.7,201.76,325.93,261.16,318.33,227.73000000000002,,282.995,270.16499999999996,287.88,283.66499999999996,291.72,245.71499999999997,316.99
2006-03-09 21:45:04+00:00,300.095,283.115,292.405,277.43500000000006,223.89,298.86,224.35,221.09,,296.675,306.33000000000004,292.79,291.29,,285.32,241.46,294.90999999999997,286.68499999999995,292.97,331.84,327.29499999999996,328.47,318.475,311.71000000000004,309.23,325.745,302.71500000000003,283.72,270.63,271.94,216.43,198.29,,241.79000000000002,329.045,,280.6,335.97499999999997,337.635,340.85,341.91999999999996,268.935,325.65,261.17,315.7,231.91,,296.565,272.75,302.485,305.875,298.48,275.665,321.975
2006-04-10 21:45:40+00:00,299.69666666666666,281.8833333333334,292.99333333333334,278.14000000000004,223.89,300.34000000000003,224.35,221.09,,300.66333333333336,307.9666666666667,297.41,292.94,276.04,288.64,242.92000000000002,294.90999999999997,275.67333333333335,306.985,332.45,327.29499999999996,328.47,318.475,311.71000000000004,309.23,303.71,302.71500000000003,283.72,271.18333333333334,273.2266666666667,209.35333333333332,198.29,,241.79000000000002,327.94,282.92,272.42,328.4533333333333,337.37666666666667,343.6133333333333,341.91999999999996,292.10999999999996,324.87,279.58666666666664,307.41999999999996,234.03,,293.51,276.19,300.5733333333333,306.55333333333334,298.925,276.24333333333334,324.7366666666667
2006-04-26 21:45:56+00:00,299.6625,281.64250000000004,291.76,280.3725,222.36,300.34000000000003,220.74666666666667,221.09,301.41,301.5425,307.9666666666667,298.4275,293.44,272.115,288.6766666666667,243.24,294.90999999999997,272.86749999999995,300.33666666666664,332.45,327.29499999999996,328.47,318.475,311.71000000000004,309.23,293.12,302.71500000000003,283.72,267.8025,273.4125,215.885,203.845,242.14,237.69000000000003,327.94,278.75,263.8966666666667,324.75,338.0625,345.0875,344.8433333333333,304.105,328.885,293.845,311.49666666666667,231.9425,,289.98,269.59749999999997,300.5733333333333,306.64750000000004,306.93,276.3575,323.84749999999997
2006-05-12 21:46:09+00:00,299.546,281.64250000000004,294.13800000000003,281.86,222.36,300.34000000000003,220.74666666666667,221.09,301.41,301.5425,307.9666666666667,298.4275,293.44,272.115,288.6766666666667,243.24,294.90999999999997,272.86749999999995,307.2225,333.8333333333333,327.29499999999996,333.24333333333334,323.21,317.2266666666667,316.8433333333333,293.12,308.65000000000003,283.72,268.456,275.336,220.97799999999998,209.67666666666665,247.04,245.49,329.45500000000004,278.75,263.8966666666667,326.32599999999996,339.438,346.52599999999995,347.515,312.196,328.885,302.554,317.34749999999997,231.9425,325.36,292.694,269.368,301.9225,309.316,306.93,276.3575,323.84749999999997
