dates,satname,nzd0227-0000,nzd0227-0001,nzd0227-0002,nzd0227-0003,nzd0227-0004,nzd0227-0005,nzd0227-0006,nzd0227-0007,nzd0227-0008,nzd0227-0009,nzd0227-0010,nzd0227-0011,nzd0227-0012,nzd0227-0013,nzd0227-0014,nzd0227-0015,nzd0227-0016,nzd0227-0017,nzd0227-0018,nzd0227-0019,nzd0227-0020,nzd0227-0021,nzd0227-0022,nzd0227-0023,nzd0227-0024,nzd0227-0025,nzd0227-0026,nzd0227-0027,nzd0227-0028,nzd0227-0029,nzd0227-0030,nzd0227-0031,nzd0227-0039,nzd0227-0040,nzd0227-0041,nzd0227-0042,nzd0227-0036,nzd0227-0037,nzd0227-0038,nzd0227-0032,nzd0227-0033,nzd0227-0035,nzd0227-0034
2003-03-16 21:48:34.204000,L7,402.31,369.85,355.62,363.90,373.66,389.03,394.37,401.59,391.74,388.81,,376.18,364.69,366.18,366.63,369.96,370.81,369.03,350.07,344.65,338.89,344.70,350.71,346.07,351.15,339.03,340.07,315.75,334.83,337.00,,,333.83,325.70,319.69,311.61,305.61,308.71,318.44,,,298.77,
2003-04-10 21:42:26.045000,L7,,,,,,,,,,,,,,,,,,,,,,,,,357.59,352.69,359.78,364.39,339.31,355.67,336.26,327.87,354.57,360.77,344.16,338.95,322.95,325.87,339.41,347.83,334.52,321.92,323.32
2003-04-26 21:42:25.606000,L7,370.13,353.40,349.39,349.90,342.09,367.99,365.04,364.41,360.90,383.40,369.22,376.28,357.13,351.89,350.40,347.09,341.16,328.55,324.87,334.50,340.35,337.47,345.00,347.40,321.26,325.27,327.00,329.43,308.95,302.01,309.70,,324.43,315.45,309.80,,287.69,295.14,301.05,,,,
2003-05-28 21:42:22.600000,L7,379.28,342.72,340.60,339.88,352.99,364.33,374.23,369.66,356.59,352.36,367.11,369.64,349.03,321.89,313.36,326.14,334.73,321.06,323.25,320.85,304.40,310.93,312.63,302.14,319.99,317.62,312.32,299.65,291.22,293.40,275.42,,,,,,,,,,,,
2003-07-23 21:30:14.355000,L5,354.38,345.07,328.16,322.14,315.27,333.45,338.20,336.80,332.53,331.34,338.11,325.59,324.16,317.65,325.55,324.17,321.30,311.24,308.87,305.21,297.87,299.13,300.67,299.98,306.39,307.91,298.40,292.72,279.28,276.98,254.79,,,,,,,,,,,,
2003-07-30 21:36:33.470000,L5,392.58,364.16,354.92,348.70,368.83,377.47,377.04,382.11,380.36,393.21,392.33,384.60,355.49,340.98,355.12,346.72,345.06,337.73,337.53,323.37,319.05,332.69,333.94,322.53,323.01,325.01,320.09,312.86,303.10,304.19,310.38,,317.46,310.47,302.43,,304.58,301.79,315.01,,,296.45,
2003-08-15 21:36:48.503000,L5,345.36,333.99,318.50,313.36,323.59,334.02,337.38,335.79,336.16,337.50,341.01,323.38,317.05,314.02,315.00,299.55,298.74,277.50,276.08,278.03,268.60,275.04,297.86,296.15,284.95,288.60,283.15,278.97,256.68,254.94,,,296.03,292.66,290.19,275.05,,,,,,,
2003-10-18 21:37:48.406000,L5,,,,,,,,,306.33,310.46,310.39,299.07,305.43,290.95,299.14,305.87,302.92,290.94,285.88,275.53,265.07,,273.49,264.81,277.35,277.71,276.42,270.26,,,,,302.49,302.49,295.73,298.47,,,,,,,
2003-11-19 21:38:14.402000,L5,345.86,340.03,334.46,329.82,344.23,358.51,364.31,353.81,361.81,363.42,361.49,347.33,323.75,318.42,322.27,325.40,321.07,311.77,305.40,302.20,310.30,320.26,323.12,334.99,331.26,331.34,331.05,298.94,278.57,293.46,295.28,,333.86,307.40,306.68,316.45,310.18,310.83,322.85,,,311.02,
2003-11-28 21:32:10.197000,L5,352.53,337.13,331.28,328.72,355.02,387.81,386.78,389.24,374.76,382.37,397.64,370.00,350.38,344.25,342.17,339.04,336.05,337.94,317.87,323.72,313.70,325.79,326.77,329.92,338.03,352.17,327.93,324.70,306.76,302.92,304.38,,340.13,331.62,311.36,315.34,310.09,315.66,325.21,,,311.57,
