dates,nzd0227-0000,nzd0227-0001,nzd0227-0002,nzd0227-0003,nzd0227-0004,nzd0227-0005,nzd0227-0006,nzd0227-0007,nzd0227-0008,nzd0227-0009,nzd0227-0010,nzd0227-0011,nzd0227-0012,nzd0227-0013,nzd0227-0014,nzd0227-0015,nzd0227-0016,nzd0227-0022,nzd0227-0023,nzd0227-0024,nzd0227-0025,nzd0227-0026,nzd0227-0027,nzd0227-0028,nzd0227-0017,nzd0227-0018,nzd0227-0019,nzd0227-0020,nzd0227-0021,nzd0227-0029,nzd0227-0030,nzd0227-0031,nzd0227-0033,nzd0227-0034,nzd0227-0035,nzd0227-0036,nzd0227-0037,nzd0227-0038,nzd0227-0039,nzd0227-0040,nzd0227-0041,nzd0227-0042,nzd0227-0032
2024-02-14 21:59:55+00:00,371.3306666666667,358.5513333333333,344.26000000000005,358.64099999999996,370.35,387.18666666666667,385.75777777777773,384.913,385.136,383.476,383.659,374.736,362.698,353.206,347.71333333333337,347.8521428571429,350.337,333.7255555555555,325.37307692307695,318.6463636363637,326.26266666666663,320.9807142857143,306.79066666666665,298.3566666666667,334.29833333333335,334.11699999999996,331.14399999999995,319.505,327.55,318.57666666666665,302.65000000000003,312.48,358.6133333333333,242.66200000000003,291.7885714285714,311.10111111111115,367.29272727272723,390.1375,375.60083333333336,371.3981818181818,350.25076923076927,345.03714285714284,328.98
2024-02-23 21:53:43+00:00,367.95214285714286,354.0421428571429,341.2233333333333,357.84875,369.64125,385.8942857142857,384.09,382.68625000000003,382.83375,381.98125000000005,382.32875,373.55749999999995,360.46999999999997,350.38,340.33454545454543,342.8246153846154,347.1925,328.17625,322.05727272727273,316.22727272727275,322.1271428571428,317.27923076923076,304.25857142857143,293.26181818181817,331.082,332.6825,328.84,318.2944444444444,326.15625,312.11875,297.89,312.48,365.714,248.179,277.9642857142857,307.5066666666667,365.8488888888889,390.1375,374.714,367.713,346.59999999999997,342.11307692307696,328.98
2024-03-09 22:00:02+00:00,366.935,353.20583333333326,340.002,356.17857142857144,368.28000000000003,384.50499999999994,383.19499999999994,380.7714285714286,381.6085714285714,380.6271428571429,382.1842857142857,372.19999999999993,358.5957142857143,343.8025,337.685,340.7608333333333,345.0157142857143,321.54999999999995,322.8166666666667,317.294,321.79833333333335,316.86454545454546,303.74916666666667,290.379,329.15555555555557,330.77,322.56624999999997,315.53875000000005,319.89375,305.03499999999997,297.83375,318.9844444444445,367.26,253.30888888888887,266.70666666666665,306.05125,364.1683333333333,390.60571428571427,373.23125,366.4575,346.30545454545455,341.6054545454545,339.1114285714286
2024-03-17 21:59:38+00:00,368.72416666666663,355.8125,343.702,356.58000000000004,368.50624999999997,384.9428571428571,384.7471428571429,381.85375,382.375,381.44875,382.625,372.51625,359.04125000000005,343.8025,341.45500000000004,343.58833333333337,345.8825,322.3711111111111,327.6311111111111,319.714,324.0733333333333,318.65636363636366,305.1425,293.2,332.60875,331.68375000000003,322.56624999999997,318.3457142857143,319.89375,304.88222222222225,303.55375,324.00666666666666,367.41600000000005,262.28666666666663,268.3666666666666,307.38625,363.35499999999996,390.99125,381.12375000000003,366.73,349.4581818181818,344.54727272727274,350.2857142857143
2024-04-03 21:53:40+00:00,366.69000000000005,353.13416666666666,341.4509090909091,356.2642857142858,368.0514285714285,384.9466666666667,384.87000000000006,381.2785714285714,382.0,380.13714285714286,382.67,370.9071428571429,357.65285714285716,337.39500000000004,340.34888888888895,340.645,344.80285714285714,317.4266666666666,328.54875000000004,318.393,322.54583333333335,316.3836363636364,303.7108333333333,291.078,327.49625000000003,331.6157142857143,316.2125,312.82571428571424,314.57124999999996,297.77777777777777,303.55375,324.00666666666666,367.41600000000005,270.76888888888885,268.02000000000004,305.71571428571434,361.74799999999993,392.08714285714285,382.59000000000003,361.74,350.99300000000005,346.114,354.39000000000004
2024-04-26 21:59:28+00:00,366.2390909090909,351.6118181818182,341.892,356.2642857142858,368.0514285714285,384.9466666666667,384.87000000000006,381.2785714285714,382.0,380.13714285714286,382.67,370.9071428571429,357.65285714285716,337.39500000000004,340.34888888888895,345.61,344.80285714285714,312.594,341.14833333333337,318.0733333333334,323.0090909090909,316.169,302.15636363636366,290.9533333333333,320.3577777777778,331.6157142857143,310.4888888888889,306.745,308.38111111111107,297.77777777777777,316.2283333333333,337.29285714285714,367.41600000000005,297.5942857142857,269.7025,310.86400000000003,361.74799999999993,392.08714285714285,389.8883333333333,361.74,359.4475,355.06874999999997,354.39000000000004
2024-04-27 21:53:04+00:00,368.23,353.2683333333334,341.892,357.24,368.53499999999997,385.4642857142857,384.9271428571429,381.0925,382.44,381.21125,382.73,371.87,358.81,337.39500000000004,341.95300000000003,346.6818181818182,346.39625,312.594,341.7114285714286,320.478,324.15166666666664,316.169,304.1675,293.41400000000004,320.3577777777778,332.4275,310.4888888888889,306.745,308.38111111111107,297.77777777777777,317.3128571428571,336.30375000000004,366.9116666666667,297.19625,270.01,314.68833333333333,359.78833333333336,391.63125,391.47714285714284,361.74,359.33444444444444,355.50777777777773,354.1228571428572
2024-05-04 21:59:10+00:00,366.46666666666664,351.1175,339.8933333333334,356.69571428571425,367.97142857142853,384.33166666666665,384.03999999999996,380.0285714285714,381.71999999999997,380.93285714285713,382.53000000000003,371.54857142857145,358.15000000000003,331.38125,340.87,343.4927272727273,345.8442857142857,311.0618181818182,342.47333333333336,318.8590909090909,321.9866666666666,315.0918181818182,302.4941666666667,291.8636363636364,317.64500000000004,332.0957142857143,306.25,305.05111111111114,303.8166666666667,291.8188888888889,317.77166666666665,335.75857142857143,364.15400000000005,294.39000000000004,270.01,313.0785714285715,357.204,391.4485714285714,391.99,359.6244444444444,357.7722222222222,354.5022222222222,353.9916666666666
2024-05-21 21:53:07+00:00,365.79181818181814,350.3081818181818,338.9775,357.7083333333333,368.0683333333333,387.34799999999996,386.954,382.09166666666664,381.8766666666667,382.6116666666667,382.8883333333333,373.32,359.6116666666667,329.0942857142857,339.40375,335.86090909090905,346.24500000000006,307.65,340.242,311.5581818181818,316.73083333333335,312.938,301.27,286.29090909090905,308.12874999999997,331.65,299.1033333333333,302.17625000000004,300.40875000000005,287.77750000000003,317.77166666666665,333.46833333333336,367.63250000000005,294.39000000000004,270.01,313.0785714285715,357.204,390.7383333333334,391.52799999999996,356.95874999999995,355.9425,352.4225,353.544
2024-05-28 21:59:12+00:00,365.79181818181814,350.3081818181818,338.9775,359.73285714285714,368.0683333333333,388.97333333333336,388.96166666666664,383.7728571428571,384.1828571428572,384.20285714285717,384.0514285714285,377.1814285714286,362.71571428571434,329.0942857142857,343.8366666666667,335.86090909090905,348.6842857142857,307.65,340.242,311.5581818181818,316.73083333333335,312.938,302.9308333333333,286.29090909090905,308.12874999999997,333.27714285714285,299.1033333333333,302.17625000000004,300.40875000000005,287.77750000000003,316.44999999999993,333.2114285714286,365.774,294.39000000000004,270.01,313.0785714285715,357.204,388.95428571428573,391.79833333333335,357.68,357.39444444444445,353.86555555555555,352.6083333333333
