dates,satname,nzd0071-0000,nzd0071-0001,nzd0071-0002,nzd0071-0003
2023-03-13 22:11:47.152000,L8,342.68,353.31,362.46,349.00
2023-03-21 22:11:31.242000,L9,339.60,350.12,361.18,346.86
2023-03-21 22:11:55.188000,L9,340.73,350.65,361.50,347.09
2023-03-29 22:11:37.049000,L8,331.58,332.94,343.59,328.80
2023-05-16 22:10:40.417000,L8,341.50,346.12,351.78,345.36
2023-05-16 22:11:04.371000,L8,348.03,360.43,364.69,357.10
2023-05-24 22:10:53.254000,L9,,328.98,332.68,323.32
2023-05-24 22:11:17.213000,L9,,329.08,334.08,323.33
2023-06-01 22:11:07.279000,L8,,,322.55,349.90
2023-06-09 22:10:48.959000,L9,333.39,345.86,357.55,344.52
2023-06-09 22:11:12.914000,L9,,326.51,324.09,315.65
2023-06-17 22:10:53.102000,L8,329.82,342.73,347.80,338.03
2023-06-17 22:11:17.056000,L8,285.77,341.35,345.57,334.89
2023-06-25 22:10:44.261000,L9,,327.61,329.52,319.99
2023-06-25 22:11:08.216000,L9,,317.94,321.39,311.79
2023-07-11 22:11:00.406000,L9,329.72,340.23,347.61,338.02
2023-07-11 22:11:24.365000,L9,326.62,335.61,343.65,330.82
2023-07-27 22:11:03.005000,L9,331.64,339.13,344.90,334.71
2023-07-27 22:11:26.959000,L9,334.02,341.60,347.38,338.75
2023-08-12 22:11:11.436000,L9,,334.13,331.22,326.25
2023-08-20 22:11:23.591000,L8,333.81,337.22,341.45,331.90
2023-08-20 22:11:47.546000,L8,333.62,337.36,340.13,330.34
2023-08-28 22:11:20.303000,L9,346.78,355.50,362.13,353.30
2023-08-28 22:11:44.258000,L9,339.60,341.12,348.78,340.54
2023-09-05 22:11:22.812000,L8,330.47,332.25,325.29,325.62
2023-09-05 22:11:46.771000,L8,329.98,329.68,325.19,323.57
2023-09-13 22:11:29.496000,L9,331.80,341.58,347.82,335.76
2023-09-13 22:11:53.459000,L9,351.44,409.46,387.89,360.46
2023-09-29 22:11:26.883000,L9,337.36,344.26,350.55,343.63
2023-10-07 22:11:33.192000,L8,342.76,354.09,357.86,350.43
2023-10-07 22:11:57.146000,L8,345.12,355.53,359.01,351.14
2023-10-15 22:11:39.127000,L9,346.78,355.42,368.57,351.59
2023-10-15 22:12:03.081000,L9,342.34,352.06,364.18,348.15
2023-11-16 22:11:36.245000,L9,,319.12,311.13,318.01
2023-12-18 22:11:45.147000,L9,347.48,371.62,375.36,364.75
2024-01-11 22:11:32.492000,L8,366.19,373.52,386.05,360.23
2024-01-11 22:11:56.446000,L8,346.67,349.95,356.18,350.90
2024-02-04 22:11:43.788000,L9,348.14,354.00,358.52,351.68
2024-02-04 22:12:07.739000,L9,346.37,352.98,356.78,350.57
2024-02-28 22:11:24.294000,L8,349.88,354.33,362.37,351.85
2024-02-28 22:11:48.245000,L8,352.08,372.52,364.41,352.88
2024-03-07 22:12:00.069000,L9,337.08,343.04,351.57,338.61
2024-03-15 22:11:14.022000,L8,386.75,401.63,403.31,390.11
2024-03-15 22:11:37.973000,L8,330.47,318.41,305.45,312.06
2024-03-23 22:11:31.656000,L9,348.52,353.75,363.66,354.06
2024-03-23 22:11:55.610000,L9,347.07,350.28,361.19,350.94
2024-04-16 22:10:55.356000,L8,346.45,350.28,355.20,349.77
2024-04-16 22:11:19.307000,L8,350.05,357.60,360.18,354.76
2024-05-10 22:11:00.825000,L9,345.19,354.65,364.16,351.26
2024-05-10 22:11:24.784000,L9,338.78,342.72,350.47,340.53
2024-05-18 22:10:31.990000,L8,339.88,345.80,351.75,341.39
2024-05-18 22:10:55.940000,L8,341.66,346.76,352.69,342.37
2024-05-26 22:10:48.268000,L9,334.54,343.25,351.32,338.73
2024-05-26 22:11:12.218000,L9,334.71,343.06,351.62,338.32
2024-06-11 22:10:42.335000,L9,,316.02,314.32,297.70
2024-06-11 22:11:06.286000,L9,,318.78,316.58,299.94
2024-08-06 22:10:57.495000,L8,328.00,334.26,343.04,327.23
2024-08-06 22:11:21.454000,L8,326.27,331.97,341.31,324.18
2024-08-22 22:11:10.580000,L8,336.96,342.57,352.67,339.59
2024-08-22 22:11:34.534000,L8,343.54,351.01,362.91,349.74
2024-09-07 22:11:43.073000,L8,342.08,354.30,363.74,351.68
2024-11-18 22:11:59.014000,L9,356.58,376.18,408.17,402.48
2024-12-04 22:11:36.525000,L9,341.33,349.04,360.60,347.74
2024-12-04 22:12:00.480000,L9,341.17,348.52,360.53,347.44
2024-12-28 22:11:26.745000,L8,348.59,349.37,360.55,349.01
2024-12-28 22:11:50.695000,L8,346.85,348.78,360.61,348.42
2025-01-05 22:11:31.099000,L9,346.16,343.55,350.39,342.67
2025-01-05 22:11:55.058000,L9,341.80,342.29,350.35,344.03
2025-01-29 22:11:28.545000,L8,331.39,330.07,343.89,327.95
2025-01-29 22:11:52.495000,L8,340.86,346.59,355.71,346.29
2025-02-06 22:11:31.478000,L9,347.00,354.13,361.50,350.85
2025-02-06 22:11:55.429000,L9,330.98,327.85,345.10,323.88
2025-03-10 22:11:28.326000,L9,341.94,350.13,361.63,347.71
2025-03-10 22:11:52.276000,L9,346.20,352.96,364.31,350.72
2025-03-26 22:11:41.456000,L9,343.45,351.29,358.78,348.97
2025-04-11 22:11:17.724000,L9,331.12,328.21,342.66,326.68
2025-04-11 22:11:41.675000,L9,348.02,354.30,365.51,350.82
2025-04-27 22:11:08.866000,L9,333.14,331.68,340.81,326.52
2025-04-27 22:11:32.816000,L9,329.97,325.79,323.31,318.28
2025-05-05 22:10:48.680000,L8,331.00,332.34,344.48,323.49
2025-05-05 22:11:12.639000,L8,330.65,330.45,342.84,320.79
2025-05-13 22:10:58.639000,L9,,328.17,341.19,321.02
2025-05-13 22:11:22.590000,L9,344.30,352.45,368.09,351.36
2025-05-21 22:10:52.095000,L8,,323.63,340.84,318.16
2025-05-21 22:11:16.046000,L8,,314.72,321.84,311.04
2025-05-29 22:10:51.794000,L9,,,,315.90
2025-05-29 22:11:15.744000,L9,,,,311.88
2025-06-22 22:11:07.771000,L8,336.99,350.14,358.83,347.61
2025-06-22 22:11:31.725000,L8,341.75,355.20,363.04,352.41
2025-06-30 22:11:07.788000,L9,,330.52,328.00,319.20
2025-06-30 22:11:31.747000,L9,,329.02,325.49,315.54
2025-07-16 22:11:13.006000,L9,,332.02,335.28,323.95
2025-07-16 22:11:36.965000,L9,,330.49,332.55,321.76
2025-08-01 22:11:18.967000,L9,,328.99,334.03,323.76
2025-08-01 22:11:42.925000,L9,328.00,332.43,338.04,326.31
2025-08-09 22:11:25.572000,L8,331.59,333.03,336.71,325.61
2025-08-09 22:11:49.526000,L8,341.66,350.36,362.12,350.88
2025-08-17 22:11:30.718000,L9,,311.62,342.51,327.88
2025-08-17 22:11:54.672000,L9,,311.53,342.31,327.69
2025-08-25 22:11:51.919000,L8,338.49,346.53,326.76,
2025-09-18 22:11:37.859000,L9,342.99,352.50,365.64,353.63
2025-09-18 22:12:01.813000,L9,354.48,372.53,387.64,358.02
2025-10-04 22:11:42.144000,L9,333.47,338.35,345.57,336.78
2025-11-05 22:11:46.482000,L9,340.21,351.78,361.76,351.08
