dates,satname,nzd0275-0000,nzd0275-0001,nzd0275-0002,nzd0275-0003,nzd0275-0004,nzd0275-0005,nzd0275-0006,nzd0275-0007,nzd0275-0008,nzd0275-0009,nzd0275-0010,nzd0275-0011,nzd0275-0012,nzd0275-0013,nzd0275-0014,nzd0275-0015,nzd0275-0016,nzd0275-0017,nzd0275-0018,nzd0275-0019,nzd0275-0020,nzd0275-0021,nzd0275-0022,nzd0275-0023,nzd0275-0024,nzd0275-0025,nzd0275-0026,nzd0275-0027,nzd0275-0028,nzd0275-0029,nzd0275-0030,nzd0275-0031,nzd0275-0032,nzd0275-0033,nzd0275-0034,nzd0275-0035,nzd0275-0036,nzd0275-0037,nzd0275-0038
2004-09-11 21:37:49.351000,L5,,182.47,193.56,210.79,189.38,217.36,244.44,255.28,268.71,289.00,301.21,309.17,312.33,302.16,299.42,308.70,314.51,312.00,314.52,319.55,328.30,327.32,330.69,333.44,327.77,331.84,338.83,346.17,328.48,326.93,345.99,331.02,340.26,336.92,344.84,343.92,356.65,354.25,340.43
2004-10-13 21:38:32.826000,L5,,191.87,211.49,208.29,187.49,207.88,236.51,250.93,260.94,298.26,318.39,319.86,320.62,311.19,309.00,315.69,312.19,310.34,316.47,318.67,326.40,327.94,341.02,346.65,336.97,338.33,345.02,349.81,330.82,325.16,341.95,334.86,341.19,340.21,352.02,363.82,372.94,361.38,350.68
2005-02-18 21:40:42.163000,L5,,173.63,207.13,199.56,188.54,207.52,224.23,246.15,259.07,287.80,313.82,321.22,311.80,309.25,302.97,302.78,307.48,307.32,309.83,316.15,322.90,325.77,338.07,334.35,334.46,337.87,345.16,349.47,317.32,329.99,342.33,344.15,338.41,343.75,360.80,356.24,370.42,359.71,348.52
2005-05-09 21:41:19.893000,L5,,184.78,208.01,211.90,197.38,216.40,242.44,252.58,263.59,294.90,311.29,316.24,315.73,308.53,305.33,314.03,314.28,311.33,316.43,320.27,325.87,323.03,331.11,333.84,334.29,336.19,343.27,350.94,335.80,343.70,352.01,348.98,348.71,356.98,361.07,358.12,370.22,365.96,352.33
2005-05-25 21:41:28.038000,L5,,180.48,202.22,204.28,188.73,215.84,243.20,254.23,263.57,298.80,311.23,312.85,314.78,310.17,307.05,310.43,317.06,308.89,318.04,316.58,329.03,325.55,337.27,334.72,334.18,337.16,344.46,351.49,327.33,331.56,350.01,347.85,348.27,354.02,364.31,359.21,369.24,357.68,353.24
2005-06-10 21:41:36.102000,L5,,180.38,208.59,208.11,197.74,221.63,241.61,259.98,267.26,298.35,313.31,324.09,318.27,310.95,310.72,319.96,324.26,310.92,313.85,317.48,325.04,325.43,333.13,341.91,337.98,343.03,352.71,352.64,335.05,343.47,348.97,349.87,348.52,350.18,355.56,352.95,372.53,367.75,352.14
2005-06-26 21:41:40.412000,L5,,171.79,194.82,212.35,205.79,219.74,267.03,291.28,298.64,317.58,327.69,329.72,328.07,323.37,311.01,323.34,328.56,323.83,324.93,330.64,337.69,330.54,334.09,339.22,332.34,351.12,358.96,361.12,342.55,351.91,367.65,365.87,360.26,368.19,373.59,362.36,374.44,365.01,358.65
2005-07-12 21:41:47.390000,L5,,180.78,206.26,220.24,201.67,224.86,256.32,273.93,282.58,322.94,337.58,336.99,327.35,320.49,315.25,325.72,331.64,325.84,324.03,326.64,335.83,333.24,340.22,348.34,343.76,347.88,363.39,368.10,349.16,348.28,356.81,357.10,359.16,359.34,362.08,368.93,381.84,373.88,369.38
2005-08-13 21:42:05.358000,L5,,170.71,197.40,209.54,196.84,220.13,248.90,259.05,265.25,293.21,310.78,315.52,311.55,304.26,302.59,314.47,323.44,321.38,326.19,325.33,333.07,317.47,328.02,327.46,321.37,329.98,335.61,350.02,334.41,332.48,352.92,345.63,351.37,343.62,350.26,350.31,359.87,351.77,339.88
2005-08-29 21:42:10.705000,L5,,169.79,187.52,202.46,192.10,214.15,249.18,258.35,272.78,301.19,318.66,321.63,311.26,296.87,295.22,302.72,310.89,308.84,313.63,324.42,334.81,334.82,342.33,338.96,334.96,327.17,335.63,342.80,321.25,326.89,340.87,346.98,352.30,349.09,361.00,358.01,371.67,356.28,337.28
2006-01-20 21:44:01.121000,L5,,173.58,195.95,207.35,193.72,209.14,233.74,248.38,278.84,304.82,316.43,328.93,314.96,317.45,298.79,305.06,308.49,308.30,310.71,323.32,325.75,328.46,339.86,338.41,337.20,336.71,344.59,341.96,320.32,338.75,332.99,335.71,337.61,350.09,363.13,355.83,368.73,356.10,340.11
2006-02-21 21:44:44.561000,L5,,184.08,215.13,215.98,212.92,223.19,265.14,271.06,305.85,337.73,343.73,353.21,335.28,329.65,318.28,325.29,324.13,326.87,327.93,334.14,340.27,342.51,344.93,345.64,349.37,346.83,352.69,359.83,345.31,356.46,361.70,365.47,367.20,368.30,380.09,380.31,375.20,368.12,360.41
2006-03-09 21:45:04.554000,L5,,174.03,216.62,216.06,203.55,207.80,234.83,251.67,274.05,297.59,318.62,324.35,318.13,313.26,304.54,309.38,310.19,311.64,313.23,319.27,337.11,337.34,342.17,342.11,338.38,343.80,343.64,340.94,321.97,329.87,339.52,345.33,341.23,350.34,368.26,356.95,370.55,358.86,346.12
2006-04-10 21:45:40.863000,L5,,187.50,215.13,221.91,203.36,217.82,239.87,250.93,270.75,292.04,312.76,318.64,318.55,311.96,311.00,314.73,318.85,319.32,318.80,325.27,334.16,331.67,334.02,341.32,338.71,344.30,352.22,354.48,331.43,337.11,347.98,346.24,347.06,353.61,368.84,357.11,370.19,360.29,346.18
2006-04-26 21:45:56.580000,L5,,179.94,235.09,252.03,264.83,241.29,262.49,275.69,302.00,329.45,338.88,346.54,334.37,325.09,325.99,327.21,335.04,332.86,335.63,342.22,351.23,347.13,347.31,352.95,351.57,353.24,359.39,368.09,357.46,360.90,366.12,367.80,368.55,374.88,378.36,372.87,385.58,372.02,371.02
2006-05-12 21:46:09.770000,L5,,177.27,204.87,210.93,200.61,218.33,239.09,254.69,263.76,293.47,307.12,315.42,311.79,308.98,303.81,313.07,315.77,315.73,321.94,323.31,335.55,329.76,331.91,337.87,331.58,333.77,342.13,346.67,331.77,333.98,350.97,348.98,351.50,352.97,362.36,351.19,370.78,356.78,341.45
2006-06-13 21:46:37.602000,L5,,181.86,256.16,233.76,232.64,307.58,276.49,284.43,293.27,342.62,346.69,352.65,334.26,334.46,327.56,330.44,331.12,327.74,335.04,346.05,346.01,339.76,348.88,349.96,344.99,357.31,361.39,366.99,353.88,355.71,367.63,363.33,364.69,373.54,376.42,375.05,380.88,371.72,363.68
2006-07-31 21:47:18.646000,L5,305.33,319.57,316.74,299.63,315.40,330.79,332.39,340.75,353.73,368.70,371.34,383.15,363.07,355.41,363.86,365.91,355.43,357.71,354.42,359.75,369.63,424.70,418.56,374.77,370.20,373.67,376.11,384.27,386.14,391.95,401.32,381.26,386.71,395.30,389.11,392.25,389.11,391.06,385.43
2006-09-01 21:47:43.231000,L5,,190.20,216.33,219.33,204.15,227.89,249.37,257.15,266.63,284.35,296.16,304.39,301.28,305.85,301.90,309.08,320.97,322.54,323.93,331.60,328.99,326.25,334.67,335.84,330.13,333.35,346.97,350.94,337.29,344.35,361.20,353.65,352.43,351.58,364.70,354.27,366.16,356.07,345.35
2006-09-17 21:47:54.852000,L5,,188.72,217.27,221.66,203.42,231.07,251.38,259.95,267.66,283.11,292.30,306.21,301.36,303.85,306.70,311.46,321.29,324.85,330.57,337.80,337.81,324.68,334.13,337.67,329.89,333.14,342.86,351.69,336.85,347.07,365.72,355.61,361.61,358.03,368.12,352.65,365.21,358.34,340.64
2006-12-06 21:48:41.029000,L5,,,167.01,180.80,161.97,180.20,200.56,216.05,242.03,262.42,288.59,294.92,277.93,280.06,271.58,270.47,273.39,271.64,274.85,285.42,280.14,286.08,306.18,303.85,299.98,306.28,310.19,312.97,294.18,295.36,300.70,304.92,302.89,302.06,311.39,320.23,325.37,317.68,307.24
2007-01-07 21:48:55.368000,L5,181.08,188.88,201.44,196.15,186.44,204.72,230.85,246.48,272.29,282.95,302.41,310.92,304.70,306.35,308.89,310.69,306.27,310.83,310.53,304.69,308.41,313.43,327.78,325.68,325.23,331.26,349.49,344.28,325.80,346.30,342.04,351.09,337.72,335.05,346.01,359.34,357.21,347.72,352.99
2007-02-08 21:49:02.527000,L5,,,,,,,,198.36,256.69,260.22,284.16,287.43,268.55,266.07,,209.13,206.83,204.13,277.53,303.85,293.19,288.89,307.98,318.05,309.05,317.50,319.57,315.57,286.35,303.69,314.28,304.30,315.02,302.14,330.95,322.24,341.44,328.26,313.87
2011-01-02 21:43:59.020000,L5,,186.49,200.78,207.31,188.83,221.60,246.34,255.79,282.85,311.97,311.63,314.91,313.37,309.28,306.19,307.72,324.84,319.63,327.03,332.91,332.78,331.70,335.31,326.77,321.61,331.61,339.91,344.22,318.67,357.85,380.41,358.99,348.93,355.93,359.42,341.14,350.69,337.55,332.01
2013-04-29 21:55:51.104000,L8,,,,,,191.56,200.72,210.20,229.33,280.25,281.83,286.53,280.45,271.60,276.12,276.37,281.62,263.25,283.32,295.21,292.42,283.97,290.60,297.65,300.41,304.03,313.82,306.61,273.41,331.50,342.02,319.08,331.49,318.05,335.09,351.65,323.85,324.42,351.89
2013-05-31 21:56:07.688000,L8,428.64,159.16,186.99,182.49,160.30,197.60,206.60,223.20,244.55,281.77,289.07,292.17,288.57,278.02,281.97,288.15,308.33,273.38,311.99,326.63,328.05,300.85,306.82,313.32,335.11,323.83,334.84,314.26,282.83,348.37,347.49,331.19,336.73,357.26,346.21,358.19,359.67,338.06,359.91
2013-07-18 21:56:02.364000,L8,,,190.54,181.58,179.14,195.65,211.15,221.96,248.60,281.74,288.34,292.40,288.29,290.25,287.44,295.12,309.07,284.97,305.98,313.31,314.41,302.68,310.92,319.05,318.62,316.61,324.28,316.48,288.48,358.83,350.81,336.37,331.66,352.01,336.79,355.05,354.30,335.72,367.42
2013-08-19 21:56:06.167000,L8,,172.02,210.06,207.94,188.21,203.05,215.52,237.83,254.99,290.59,296.42,299.55,288.99,290.76,284.35,288.71,301.36,298.06,310.41,315.88,310.18,303.90,309.41,314.87,312.20,308.10,325.82,322.62,294.08,360.09,359.83,346.42,354.82,366.90,345.99,371.93,370.03,351.32,395.25
2013-10-06 21:55:57.648000,L8,,,175.41,178.03,159.79,192.88,212.14,222.96,258.69,287.66,294.39,298.78,291.90,300.03,280.30,303.17,303.87,300.14,300.35,308.89,325.28,315.18,322.71,321.00,324.64,324.76,330.28,309.03,285.09,355.62,352.78,339.68,339.84,355.68,359.78,371.59,356.89,349.97,355.84
2014-02-11 21:54:56.823000,L8,,,,,,192.50,203.37,212.45,235.27,269.16,278.43,279.77,277.45,275.75,272.55,277.76,299.23,270.59,291.37,300.33,295.51,284.70,299.90,310.01,319.16,327.87,331.02,307.13,279.69,326.79,333.88,320.59,333.93,322.90,320.62,351.81,362.32,361.29,363.68
