dates,nzd0366-0000,nzd0366-0001,nzd0366-0002,nzd0366-0003,nzd0366-0004,nzd0366-0005,nzd0366-0006,nzd0366-0007,nzd0366-0008,nzd0366-0009,nzd0366-0010,nzd0366-0011,nzd0366-0012,nzd0366-0013,nzd0366-0014,nzd0366-0015,nzd0366-0016,nzd0366-0017,nzd0366-0018,nzd0366-0019,nzd0366-0020,nzd0366-0021,nzd0366-0022,nzd0366-0023,nzd0366-0024,nzd0366-0025,nzd0366-0026,nzd0366-0027,nzd0366-0028,nzd0366-0029,nzd0366-0030,nzd0366-0031,nzd0366-0032,nzd0366-0033,nzd0366-0034,nzd0366-0035,nzd0366-0036,nzd0366-0037,nzd0366-0038,nzd0366-0039,nzd0366-0040,nzd0366-0041,nzd0366-0042,nzd0366-0043,nzd0366-0044,nzd0366-0045,nzd0366-0046,nzd0366-0047,nzd0366-0048,nzd0366-0049,nzd0366-0050,nzd0366-0051,nzd0366-0052,nzd0366-0053,nzd0366-0054,nzd0366-0055,nzd0366-0056,nzd0366-0057,satname
2002-02-14 22:08:29+00:00,,,,,297.055,335.98,347.8733333333334,363.41833333333335,370.695,367.695,391.46000000000004,386.83,383.9783333333333,361.77,377.158,380.95399999999995,375.01,342.23500000000007,357.15749999999997,315.7,313.6,355.975,319.98,334.88500000000005,366.23249999999996,325.3,320.22,315.40999999999997,312.975,313.28,334.26250000000005,330.1075,315.68999999999994,307.36,325.3633333333334,325.38333333333327,308.86,333.59999999999997,329.73,319.06666666666666,308.07666666666665,318.495,318.61,340.35999999999996,342.1466666666667,348.2975,333.3925,340.92600000000004,344.832,338.92,335.398,352.8616666666667,343.794,358.2175,329.10166666666663,324.295,303.654,299.15000000000003,L7
2002-05-30 22:02:01+00:00,,,,,306.11,349.85,347.8850000000001,362.32000000000005,354.595,343.02000000000004,401.42,400.2,404.8799999999999,382.24,409.03,400.4666666666667,394.52666666666664,,370.08,355.6,,374.18500000000006,,,384.02,,,354.97,,353.5,356.47,355.62000000000006,,339.41,344.63,350.385,324.83000000000004,341.4,346.70000000000005,343.0,321.48,345.45,331.185,336.355,335.57500000000005,357.42499999999995,334.03,335.64,342.28,349.87,337.15999999999997,341.4,337.97,338.46,344.06999999999994,342.50000000000006,322.0,,L7
2002-07-17 22:01:44+00:00,,,,,306.11,349.85,350.47,369.43,370.355,347.12,437.0,,397.75,382.24,401.97499999999997,397.06500000000005,393.5,,361.95500000000004,355.6,,378.62,,,412.5,,,354.97,,353.5,347.46500000000003,370.06500000000005,,339.41,330.54,349.47,334.16,341.12,338.79,339.94,329.22,362.25,331.185,337.79,341.22,374.87,,,,,332.21,338.17,337.97,338.46,340.34,331.66,322.0,,L7
2002-07-24 22:07:50+00:00,,,,,306.11,349.85,339.01,361.485,361.37000000000006,344.555,437.0,,397.75,382.24,401.97499999999997,397.06500000000005,393.5,,361.95500000000004,355.6,,378.62,,,412.5,299.73,300.25,354.97,294.85,324.45,347.46500000000003,370.06500000000005,287.8,311.13,312.605,349.47,334.16,341.12,313.37,315.4,311.85,362.25,322.7733333333333,314.33500000000004,317.53,340.28,,,,,332.21,324.37,337.97,338.46,340.34,331.66,322.0,,L7
2002-08-18 22:01:33+00:00,,,,,,,327.55,353.54,361.5350000000001,341.99,437.0,,,382.24,386.15,378.61,376.37,291.67,369.95,355.6,,,,,431.59,283.77,288.565,354.97,283.265,309.41333333333336,358.83,386.62,281.005,295.16333333333336,312.605,349.47,334.16,341.12,299.77,300.37666666666667,311.85,362.25,303.81,293.73333333333335,303.5466666666667,285.345,,,,,,310.57,,,,,,,L7
2002-08-25 22:07:36+00:00,,,,,,,327.55,353.54,361.5350000000001,341.99,437.0,,,382.24,386.15,378.61,376.37,291.19,369.95,355.6,,,,,431.59,278.58,284.43,354.97,282.63000000000005,301.585,358.83,386.62,277.81333333333333,286.0675,312.605,349.47,334.16,341.12,290.9775,295.255,311.85,362.25,296.835,277.22,296.3725,274.89,,,,,,290.725,,,,,,,L7
2002-10-05 22:01:07+00:00,,,,,,,327.55,380.005,361.5350000000001,341.99,437.0,,,382.24,386.15,390.38,394.275,291.19,369.95,355.6,,,,,431.59,305.095,284.43,354.97,282.63000000000005,301.585,358.83,386.62,277.81333333333333,286.0675,312.605,349.47,334.16,341.12,290.9775,295.255,311.85,362.25,296.835,277.22,296.3725,274.89,,,,349.09,366.54,321.02,,,,,356.71,,L7
2002-12-31 22:07:56+00:00,,,,,,,327.55,380.005,361.5350000000001,341.99,437.0,,,,,406.365,409.315,291.19,,,,,,,431.59,305.095,284.43,395.41,282.63000000000005,284.28,,,277.81333333333333,268.28666666666663,294.67,,,,275.04,280.35999999999996,294.48,,283.06666666666666,257.03000000000003,281.42333333333335,274.89,,,,349.09,382.71500000000003,321.02,,,,,356.71,,L7
2003-02-26 22:02:04+00:00,,,,,,376.24,379.09,397.805,,,,,425.8,,,406.365,409.315,,,,,,,,,384.64,,395.41,,,,,,,410.9,,,,,,,,,,,,,,,349.09,382.71500000000003,381.61,,,,,356.71,,L7
2003-03-05 22:08:19+00:00,,346.37,,,298.53,357.52,360.53499999999997,383.22,364.88,379.78,398.66,402.99,409.12,375.44,373.77,394.7933333333333,396.07,364.45,,381.96,,389.93,,388.33,388.36,387.395,,396.77,,,,391.11,,384.72,408.365,,,,,,,,,,,,,,,353.245,374.6566666666667,370.74,354.58,351.51,341.98,338.37,344.53999999999996,,L7
2003-03-21 22:08:15+00:00,,346.37,,,298.53,354.4866666666667,357.21000000000004,376.815,370.395,387.46,398.57500000000005,407.72,401.8233333333333,374.615,376.09000000000003,390.8825,396.07,364.45,,367.815,,384.57,,377.355,372.935,380.3866666666666,,394.75,,,365.86,359.13,341.41,383.915,400.20666666666665,,310.28,306.28,316.05,,,,,,,,,,,353.245,374.6566666666667,370.74,354.58,351.51,341.98,338.37,344.53999999999996,,L7
2003-05-24 22:08:16+00:00,,346.37,,,298.53,354.4866666666667,357.21000000000004,366.93,370.395,385.46,387.49666666666667,403.44666666666666,395.8,379.6233333333333,377.6566666666667,376.98,374.9533333333333,358.375,351.64,359.62000000000006,344.55,372.2833333333333,344.11,365.15000000000003,362.3233333333333,369.34,319.69,384.5125,,,365.86,358.18333333333334,344.365,371.22,385.85249999999996,307.12,304.02,304.41499999999996,316.05,,,,,306.44,253.09,268.95,,,,357.4,371.22333333333336,365.42,357.91999999999996,359.98,341.98,338.37,332.37,,L7
2003-07-28 21:50:04+00:00,,346.37,,,298.53,340.77750000000003,347.325,358.3175,360.43333333333334,377.1775,379.2425,389.7375,385.848,369.8775,367.8525,357.03499999999997,347.4266666666667,345.45,334.73,346.86,323.58500000000004,354.88,324.07500000000005,351.1475,349.93,353.7425,312.48,363.3925,309.09,304.18,337.9,345.4975,332.7166666666667,354.895,370.364,305.41499999999996,302.77666666666664,303.7266666666667,310.78499999999997,318.01,309.47,308.36,312.36,311.59000000000003,289.415,297.22,320.11,324.93,325.03,341.375,346.69,350.53999999999996,345.08666666666664,345.93333333333334,326.23,311.65999999999997,286.905,253.45,L5
