dates,satname,nzd0236-0000,nzd0236-0001,nzd0236-0002,nzd0236-0003,nzd0236-0004,nzd0236-0005,nzd0236-0006,nzd0236-0007,nzd0236-0008,nzd0236-0009,nzd0236-0010,nzd0236-0011,nzd0236-0012,nzd0236-0013,nzd0236-0014,nzd0236-0015,nzd0236-0016,nzd0236-0017,nzd0236-0018,nzd0236-0019,nzd0236-0020,nzd0236-0021,nzd0236-0022,nzd0236-0023,nzd0236-0024,nzd0236-0025,nzd0236-0026,nzd0236-0027,nzd0236-0028,nzd0236-0029,nzd0236-0030,nzd0236-0031,nzd0236-0032,nzd0236-0033,nzd0236-0034,nzd0236-0035,nzd0236-0036,nzd0236-0037,nzd0236-0038,nzd0236-0039,nzd0236-0040,nzd0236-0041,nzd0236-0042,nzd0236-0043,nzd0236-0044,nzd0236-0045,nzd0236-0046,nzd0236-0047,nzd0236-0048
2003-11-19 21:38:14.402000,L5,326.00,315.48,314.80,330.37,324.79,316.67,307.42,307.16,322.91,302.23,300.25,312.03,316.50,326.48,329.21,322.78,341.15,331.24,326.24,340.53,351.56,344.12,348.23,353.29,343.56,343.49,341.70,348.98,331.83,323.06,315.03,321.68,319.80,312.31,319.08,327.15,320.94,329.74,332.00,332.31,342.45,331.78,326.57,322.31,321.94,319.41,322.36,,289.25
2003-11-28 21:32:10.197000,L5,300.79,294.07,293.35,283.59,284.90,281.81,286.23,289.52,294.03,294.50,292.67,302.29,296.48,294.37,294.76,297.20,300.25,298.22,301.27,300.28,305.14,302.29,306.55,310.51,312.45,305.85,305.17,307.03,305.45,305.95,302.42,304.92,301.88,305.43,306.39,305.91,307.68,310.18,311.95,313.23,307.81,302.83,298.58,287.07,288.89,288.47,266.04,247.85,255.34
2003-12-30 21:32:24.694000,L5,295.02,289.50,283.37,272.17,268.36,257.13,259.21,267.55,267.82,264.27,264.03,272.74,270.55,272.97,282.29,283.22,286.12,285.13,286.59,291.92,294.45,295.05,297.41,300.02,296.75,293.57,290.91,284.36,289.51,286.27,282.00,285.02,286.63,290.09,293.04,293.39,296.12,302.45,310.00,309.43,303.50,300.20,293.65,282.34,276.27,278.92,,222.39,242.48
2004-01-15 21:32:26.348000,L5,300.67,289.25,282.47,266.72,266.58,273.49,265.21,269.38,249.12,269.57,262.67,268.09,271.22,251.98,271.69,285.37,289.65,279.83,281.38,278.10,281.24,285.98,293.63,293.39,289.68,284.99,283.41,286.11,290.57,284.57,277.78,277.25,279.43,283.14,286.38,285.97,290.35,289.96,296.88,297.26,302.85,290.95,287.58,270.45,264.56,270.99,,228.86,236.32
2004-01-22 21:38:40.402000,L5,295.20,275.91,275.10,264.91,262.82,261.44,257.75,271.22,271.43,265.02,268.23,284.98,277.11,291.63,294.50,295.20,291.53,293.31,292.79,290.28,297.08,298.13,297.13,301.10,289.53,285.64,287.42,281.33,284.89,283.18,283.51,283.51,288.00,293.02,294.67,301.84,306.51,308.77,312.66,311.57,307.74,301.88,297.12,286.13,277.20,275.85,,221.67,230.26
2004-04-04 21:33:01.582000,L5,318.18,303.17,298.06,278.07,275.40,268.81,267.22,276.93,272.34,266.66,264.82,281.23,279.78,273.26,281.12,279.53,282.61,287.54,281.85,279.70,287.00,277.44,284.07,286.67,275.18,276.77,271.94,277.55,286.49,283.47,284.85,277.88,276.62,268.04,274.69,272.25,279.07,278.44,271.75,299.02,301.43,285.74,271.91,252.67,,,,220.15,218.14
2004-06-07 21:34:54.755000,L5,323.79,307.53,308.97,293.69,283.74,282.35,275.32,286.34,286.79,284.86,282.96,289.96,291.11,299.80,298.81,300.44,296.48,297.21,300.24,298.94,303.13,304.24,307.91,314.54,303.77,299.85,297.01,298.39,314.40,304.33,304.62,296.33,297.94,300.24,300.18,303.66,309.26,316.15,306.77,318.32,320.98,311.81,301.44,290.52,276.03,282.88,271.88,242.23,
2004-06-23 21:35:22.995000,L5,327.01,309.17,308.30,291.73,285.26,271.73,271.35,286.67,281.31,281.08,273.08,279.26,285.88,284.00,293.61,290.97,291.19,290.86,289.20,294.84,293.96,295.13,299.97,300.41,292.16,293.81,286.40,288.61,299.50,295.54,296.72,293.32,291.49,279.60,291.96,296.16,292.77,300.95,297.78,311.86,315.05,309.76,298.49,276.45,269.09,271.25,253.38,,
2004-06-30 21:41:46.478000,L5,317.47,307.34,306.19,286.32,277.27,271.75,263.49,273.92,283.26,276.83,263.96,281.86,284.19,281.41,287.75,292.92,294.66,289.47,288.48,289.09,294.07,302.01,296.64,297.87,293.19,294.56,293.52,286.76,297.59,293.77,293.28,290.58,292.88,280.36,288.85,292.16,296.50,302.30,302.43,312.37,313.72,307.08,296.65,271.31,267.38,273.44,254.80,,
2004-07-25 21:36:14.167000,L5,327.42,313.01,310.49,296.39,280.46,280.43,274.79,288.06,288.45,287.08,276.03,285.57,291.45,287.40,289.46,296.01,296.88,297.02,292.02,303.35,302.48,305.77,298.48,305.26,303.09,301.84,294.98,303.35,312.22,302.68,303.87,298.42,299.58,297.41,303.14,296.81,304.05,309.32,315.04,318.52,318.10,309.51,305.33,275.87,267.89,282.20,259.84,,
