dates,nzd0236-0000,nzd0236-0001,nzd0236-0002,nzd0236-0003,nzd0236-0004,nzd0236-0005,nzd0236-0006,nzd0236-0007,nzd0236-0008,nzd0236-0009,nzd0236-0010,nzd0236-0011,nzd0236-0012,nzd0236-0013,nzd0236-0014,nzd0236-0015,nzd0236-0016,nzd0236-0017,nzd0236-0018,nzd0236-0019,nzd0236-0020,nzd0236-0021,nzd0236-0022,nzd0236-0023,nzd0236-0024,nzd0236-0025,nzd0236-0026,nzd0236-0027,nzd0236-0028,nzd0236-0029,nzd0236-0030,nzd0236-0031,nzd0236-0032,nzd0236-0033,nzd0236-0034,nzd0236-0035,nzd0236-0036,nzd0236-0037,nzd0236-0038,nzd0236-0039,nzd0236-0040,nzd0236-0041,nzd0236-0042,nzd0236-0043,nzd0236-0044,nzd0236-0045,nzd0236-0046,nzd0236-0047,nzd0236-0048,satname
2004-12-23 21:45:40+00:00,337.32599999999996,328.1016666666667,323.07399999999996,314.2733333333333,303.812,299.27,297.126,298.8,301.375,299.0775,292.8125,304.62,308.325,309.375,315.0625,317.115,329.082,326.956,324.80400000000003,317.4075,321.735,330.088,330.518,338.18,335.13000000000005,317.5725,313.3125,320.334,326.66999999999996,323.648,321.956,328.4166666666667,315.8,312.52750000000003,319.05249999999995,331.412,334.936,337.04200000000003,348.52,343.948,340.754,336.92999999999995,330.18,313.97666666666663,305.4683333333333,310.4533333333333,281.28249999999997,282.9,,L5
2005-01-24 21:46:06+00:00,335.78,327.22,319.81399999999996,312.55,303.10800000000006,299.10600000000005,299.084,301.715,300.685,301.5175,295.38,309.1775,311.97249999999997,313.2275,318.94,319.3025,330.418,328.866,327.616,322.6075,326.0375,332.21000000000004,332.178,340.12333333333333,338.66,316.97666666666663,312.86999999999995,324.2175,327.66999999999996,324.9825,322.468,329.48833333333334,318.26,319.6625,325.405,336.32599999999996,340.166,341.054,351.9766666666667,345.584,341.65,338.248,331.14,317.556,308.244,313.046,279.9866666666666,282.9,,L5
2005-02-18 21:40:18+00:00,335.26599999999996,326.8566666666667,319.53333333333336,311.3671428571429,302.2566666666667,297.75500000000005,297.325,300.88599999999997,299.366,299.538,294.996,306.67199999999997,309.524,310.132,316.7,317.47799999999995,327.195,325.135,324.2616666666667,320.49,324.12199999999996,329.64500000000004,331.135,337.85714285714283,335.7266666666667,316.52250000000004,313.5425,323.68199999999996,325.68999999999994,321.464,320.1466666666667,326.0914285714286,316.608,319.128,324.192,333.705,337.4816666666667,337.675,348.5657142857143,343.23333333333335,340.19666666666666,336.24333333333334,330.13,316.08166666666665,305.8333333333333,311.4866666666667,276.2325,282.9,,L5
2005-02-25 21:46:35+00:00,334.83399999999995,327.59,320.09999999999997,311.77,303.7366666666667,299.8566666666667,300.94,303.83399999999995,302.248,302.67199999999997,297.684,309.26000000000005,311.148,313.62600000000003,319.342,320.816,329.1983333333333,326.76,327.77833333333336,323.078,326.772,331.38166666666666,334.83166666666665,341.55,339.11500000000007,321.34250000000003,318.66,326.842,328.964,322.98400000000004,321.34666666666664,328.3357142857143,318.72799999999995,322.492,326.69599999999997,336.2366666666667,338.94166666666666,340.04,349.0657142857143,343.6233333333334,340.83833333333337,336.92833333333334,331.085,319.8566666666667,310.78000000000003,315.99333333333334,273.2066666666667,305.905,307.18,L5
2005-03-29 21:46:54+00:00,329.43,323.59833333333336,320.53999999999996,308.30428571428575,305.206,300.986,302.2099999999999,303.78749999999997,301.60249999999996,302.66999999999996,298.10249999999996,309.76250000000005,310.96750000000003,313.6025,321.15500000000003,322.4925,330.42999999999995,328.038,330.152,324.91999999999996,328.615,334.088,337.11,344.57666666666665,343.00200000000007,322.33666666666664,320.0566666666667,328.9025,330.575,323.365,322.03599999999994,330.1983333333333,318.68,323.755,327.3175,338.528,341.15400000000005,341.88800000000003,351.0416666666667,344.68,337.055,332.96333333333337,333.242,324.31399999999996,315.672,320.006,268.74,305.905,307.18,L5
2005-05-09 21:40:56+00:00,324.4525,319.86800000000005,326.06333333333333,309.13714285714286,305.206,308.05,302.2099999999999,303.78749999999997,312.012,302.66999999999996,298.10249999999996,309.76250000000005,310.96750000000003,313.6025,321.15500000000003,330.938,322.4275,320.885,323.0025,324.91999999999996,328.615,334.088,343.38166666666666,343.2383333333333,343.514,334.23249999999996,332.485,335.226,336.76800000000003,331.002,328.1716666666667,330.03333333333336,326.312,330.81,334.942,342.97166666666664,344.8766666666667,345.945,352.10833333333335,346.17,338.49666666666667,333.99,332.714,324.786,313.27,318.822,268.74,313.7033333333333,288.52,L5
2005-07-12 21:41:23+00:00,332.57,320.31,328.43399999999997,309.51666666666665,303.46750000000003,307.79200000000003,298.3125,306.48249999999996,314.506,306.0425,302.48,314.2525,314.57,312.53499999999997,320.32500000000005,329.468,323.33,320.3175,323.5075,326.15749999999997,328.465,327.36750000000006,339.398,341.16,341.31500000000005,336.0075,334.7725,333.825,336.87750000000005,331.5275,326.982,327.018,328.05,332.546,335.42400000000004,336.408,339.87600000000003,340.776,346.274,345.77000000000004,338.75666666666666,333.52833333333336,331.738,322.815,311.02,316.8675,273.265,311.495,288.52,L5
2005-07-19 21:47:39+00:00,332.57,325.928,330.84166666666664,312.9971428571429,308.85,310.27500000000003,302.08000000000004,309.558,318.37166666666667,313.668,309.8,314.2525,320.808,312.53499999999997,320.32500000000005,333.6516666666667,331.414,328.648,329.36,332.722,335.71799999999996,334.278,343.23499999999996,345.0133333333333,343.41400000000004,338.42199999999997,335.31,335.094,338.884,334.976,329.16333333333336,331.0566666666667,329.8833333333333,334.2416666666667,336.98833333333334,338.135,341.43,343.23500000000007,348.34,347.0016666666667,340.7314285714286,335.5057142857143,331.738,324.988,314.54,319.296,287.87333333333333,311.495,277.93333333333334,L5
2005-08-13 21:41:41+00:00,332.57,330.565,334.12600000000003,314.8566666666666,311.2575,313.37800000000004,303.385,309.6025,320.932,314.39,321.38800000000003,310.7933333333333,320.14750000000004,310.1033333333333,318.29333333333335,341.52,340.056,338.246,338.28599999999994,332.27,335.6,334.385,350.95166666666665,353.1766666666667,343.41400000000004,344.7133333333333,341.61999999999995,340.93833333333333,342.7683333333334,334.976,331.226,337.64500000000004,335.48333333333335,334.6,340.5133333333333,342.2366666666667,341.46399999999994,348.105,352.5416666666667,349.91,342.9271428571428,338.0628571428571,337.242,328.18666666666667,319.40000000000003,322.87833333333333,301.605,317.52666666666664,277.93333333333334,L5
2005-08-29 21:41:46+00:00,332.31,329.966,337.02750000000003,315.782,312.1933333333333,316.27750000000003,302.59666666666664,309.67,324.98,320.31,324.155,310.96500000000003,322.82,309.2,315.71000000000004,352.15,353.2033333333333,352.20666666666665,349.9266666666667,335.6966666666667,339.9066666666667,338.42,354.016,361.92499999999995,345.3925,347.626,344.67199999999997,344.182,346.00200000000007,340.96999999999997,336.8775,342.20799999999997,343.47,336.725,342.84000000000003,345.46999999999997,344.1675,351.378,357.376,352.43999999999994,343.2383333333334,338.76166666666666,339.975,330.276,326.5325,324.33000000000004,303.355,329.44499999999994,257.6933333333333,L5
