dates,satname,nzd0278-0000,nzd0278-0001,nzd0278-0002,nzd0278-0003,nzd0278-0004,nzd0278-0005,nzd0278-0006,nzd0278-0007,nzd0278-0008,nzd0278-0009,nzd0278-0010,nzd0278-0011,nzd0278-0012,nzd0278-0013,nzd0278-0014,nzd0278-0015,nzd0278-0016,nzd0278-0017,nzd0278-0018,nzd0278-0019,nzd0278-0020,nzd0278-0021,nzd0278-0022,nzd0278-0023,nzd0278-0024,nzd0278-0025,nzd0278-0026,nzd0278-0027,nzd0278-0028,nzd0278-0029,nzd0278-0030,nzd0278-0031,nzd0278-0039,nzd0278-0040,nzd0278-0041,nzd0278-0042,nzd0278-0043,nzd0278-0044,nzd0278-0045,nzd0278-0046,nzd0278-0047,nzd0278-0037,nzd0278-0038,nzd0278-0050,nzd0278-0051,nzd0278-0052,nzd0278-0053,nzd0278-0058,nzd0278-0059,nzd0278-0060,nzd0278-0061,nzd0278-0032,nzd0278-0033,nzd0278-0034,nzd0278-0035,nzd0278-0048
2010-12-22 22:02:29.273000,L5,290.20,280.81,262.30,250.81,239.73,286.19,232.42,240.16,225.45,230.65,208.23,222.19,230.49,239.33,241.60,263.15,271.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-01-07 22:02:32.066000,L5,287.58,273.59,254.59,237.39,223.81,214.23,218.37,228.74,224.00,222.90,232.59,231.78,232.92,232.88,233.49,245.28,235.77,242.83,237.41,246.43,264.90,274.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-09-04 22:01:15.264000,L5,271.12,250.39,232.55,222.39,203.69,198.15,195.04,197.45,199.57,197.99,200.35,208.59,203.40,204.32,212.55,218.30,215.06,213.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-05 22:14:39.165000,L8,282.64,242.17,246.15,241.97,227.45,212.41,209.34,209.85,205.72,196.31,205.48,209.90,212.42,219.57,224.57,226.81,222.86,220.48,219.01,216.02,215.73,218.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-08-08 22:14:37.622000,L8,,,,,,,,,,,,,,,,,,,,,,300.57,319.83,318.45,170.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-08-17 22:08:27.088000,L8,,,,,,,,,,,,,,,,,,,,,250.85,261.07,251.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-10-27 22:14:19.755000,L8,287.34,278.31,259.09,247.65,231.18,217.19,221.26,211.28,215.85,208.73,211.20,212.23,218.21,227.52,231.62,232.68,231.97,225.59,230.70,217.30,221.29,235.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-11-12 22:14:20.111000,L8,291.59,288.14,265.33,253.07,240.82,223.21,227.34,204.14,223.01,219.12,224.34,231.02,224.15,232.82,236.65,240.77,238.29,235.57,234.01,229.38,235.09,240.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-11-28 22:14:13.885000,L8,,,,,,,,,,,175.53,210.85,213.35,237.48,236.81,236.95,234.93,235.92,231.07,224.92,227.77,230.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-14 22:14:09.504000,L8,273.08,231.79,242.87,233.33,220.71,214.06,198.54,166.66,197.48,179.01,201.82,204.49,211.59,215.02,223.36,224.31,223.73,220.53,220.48,213.21,214.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
