dates,nzd0090-0000,nzd0090-0001,nzd0090-0002,nzd0090-0003,nzd0090-0004,nzd0090-0005,nzd0090-0006,nzd0090-0007,nzd0090-0008,nzd0090-0009,nzd0090-0010
2023-05-16 22:11:04+00:00,250.47,236.3066666666667,231.85833333333335,229.3083333333333,241.01,246.57500000000002,230.78166666666664,248.865,276.43666666666667,278.842,262.4166666666667
2023-05-24 22:11:17+00:00,250.47,236.3066666666667,231.85833333333335,229.3083333333333,239.01999999999998,245.82999999999998,229.47142857142856,248.2671428571429,276.9457142857143,277.90000000000003,262.5757142857143
2023-06-09 22:11:12+00:00,250.47,236.3066666666667,231.85833333333335,229.3083333333333,239.01999999999998,245.82999999999998,229.47142857142856,248.2671428571429,275.09875,273.63714285714286,259.22625
2023-06-17 22:11:17+00:00,250.47,241.7214285714286,236.25,232.78428571428572,242.4275,249.14875,229.47142857142856,248.2671428571429,277.6844444444444,277.32625,262.7233333333333
2023-07-11 22:11:24+00:00,250.4557142857143,241.16875000000002,236.22,233.04375,242.13333333333333,249.57777777777775,233.15499999999997,249.83375,278.944,278.6955555555556,264.03999999999996
2023-07-27 22:11:26+00:00,244.97625,237.55222222222224,231.39666666666668,228.85666666666668,239.39000000000001,247.073,233.15499999999997,249.83375,277.6718181818182,277.03499999999997,262.3881818181818
2023-08-28 22:11:44+00:00,246.45125,239.31444444444443,233.98444444444445,230.27888888888887,240.14299999999997,247.821,239.91,252.3857142857143,279.04200000000003,279.5422222222222,264.48
2023-10-15 22:12:03+00:00,244.45,240.9416666666667,235.41333333333333,231.46166666666667,240.47571428571428,249.5642857142857,250.12,263.76,281.3285714285715,279.6357142857143,266.12
2023-11-24 22:12:03+00:00,251.748,244.09833333333333,240.63333333333335,233.915,245.84666666666666,251.292,265.365,270.90999999999997,281.09000000000003,279.568,270.835
2024-02-04 22:12:07+00:00,273.8,256.4725,253.78000000000003,247.77749999999997,257.91249999999997,263.24333333333334,284.45000000000005,288.015,295.775,303.125,292.4433333333333
2024-02-12 22:11:54+00:00,273.8,256.4725,253.78000000000003,237.58599999999996,251.628,255.11,248.42333333333332,269.25,285.46,287.5,280.19
2024-05-02 22:11:08+00:00,269.31333333333333,252.13,249.4433333333333,232.77499999999998,248.68,250.67333333333332,226.77666666666667,255.32333333333335,280.04333333333335,281.1066666666666,272.9325
2024-05-10 22:11:24+00:00,259.135,242.825,239.1275,228.02599999999998,244.33800000000002,245.88,221.59,249.85,278.1025,277.1375,268.31
2024-05-18 22:10:55+00:00,256.278,240.536,237.62399999999997,227.32500000000002,243.43500000000003,245.552,221.14600000000002,250.448,279.366,278.918,268.79333333333335
2024-05-26 22:11:12+00:00,248.73000000000002,236.96000000000004,229.46249999999998,223.22000000000003,239.632,245.552,221.14600000000002,250.448,275.62333333333333,273.5133333333333,258.52166666666665
2024-08-06 22:11:21+00:00,233.82333333333335,222.13666666666668,218.36999999999998,211.15500000000003,230.20750000000004,236.14249999999998,202.155,239.3075,269.0233333333333,263.71166666666664,249.25166666666667
2024-12-04 22:12:00+00:00,,209.59,193.55,201.8,226.81,230.63,187.73,,263.53999999999996,239.325,241.87
2024-12-28 22:11:50+00:00,304.74,247.74,235.985,240.035,249.985,256.93,235.82,293.02,275.2966666666667,239.325,241.87
2025-01-13 22:11:54+00:00,304.74,247.74,235.985,240.035,249.985,256.93,235.82,293.02,275.2966666666667,227.51999999999998,239.76333333333332
2025-01-29 22:11:52+00:00,285.69,250.06000000000003,243.96333333333337,245.94666666666663,253.70666666666668,259.1433333333334,243.49,282.405,278.7825,243.14249999999998,249.6875
2025-02-06 22:11:55+00:00,274.33666666666664,245.3625,240.4575,241.8625,250.1375,256.68,237.695,274.22333333333336,283.6175,250.985,255.55249999999998
2025-03-10 22:11:52+00:00,262.42,240.308,233.66199999999998,235.41199999999998,250.1375,256.68,227.31,274.22333333333336,283.6175,250.985,255.55249999999998
2025-03-26 22:11:41+00:00,258.684,238.56000000000003,233.01500000000001,233.53333333333333,247.61599999999999,253.958,225.59500000000003,268.425,283.682,257.196,259.05
2025-04-27 22:11:32+00:00,258.684,238.56000000000003,233.01500000000001,233.53333333333333,247.61599999999999,247.68833333333336,219.20714285714286,268.425,281.0733333333333,256.4216666666667,255.99333333333334
