dates,satname,nzd0524-0000,nzd0524-0001,nzd0524-0002,nzd0524-0003,nzd0524-0004,nzd0524-0005,nzd0524-0006,nzd0524-0007,nzd0524-0008,nzd0524-0009,nzd0524-0010,nzd0524-0011,nzd0524-0012,nzd0524-0013,nzd0524-0014,nzd0524-0015,nzd0524-0016,nzd0524-0017,nzd0524-0019,nzd0524-0020,nzd0524-0021,nzd0524-0022,nzd0524-0023,nzd0524-0024,nzd0524-0025,nzd0524-0026,nzd0524-0027,nzd0524-0028,nzd0524-0029,nzd0524-0030,nzd0524-0031,nzd0524-0032,nzd0524-0033,nzd0524-0034,nzd0524-0035,nzd0524-0036,nzd0524-0037,nzd0524-0038,nzd0524-0039,nzd0524-0040,nzd0524-0041,nzd0524-0042,nzd0524-0043,nzd0524-0044,nzd0524-0045,nzd0524-0046,nzd0524-0047,nzd0524-0048,nzd0524-0049,nzd0524-0050,nzd0524-0051,nzd0524-0052,nzd0524-0053,nzd0524-0054,nzd0524-0055,nzd0524-0056,nzd0524-0057,nzd0524-0058,nzd0524-0059,nzd0524-0060,nzd0524-0018
2004-05-18 22:01:26.569000,L5,382.32,346.37,364.49,363.14,334.87,366.55,355.92,354.52,357.99,352.86,354.03,348.52,346.51,347.37,336.74,344.52,368.82,354.75,366.89,378.42,372.61,369.81,369.74,367.93,362.31,353.15,351.68,338.42,340.97,335.83,343.19,347.28,352.76,346.50,350.91,351.78,357.19,359.97,371.32,374.15,374.72,376.30,366.72,375.13,363.51,361.55,350.85,350.58,351.14,350.61,359.02,358.86,354.15,347.14,342.16,339.23,333.54,326.99,329.75,350.26,
2004-06-12 21:55:59.429000,L5,374.09,328.45,333.55,343.25,315.74,352.74,355.11,350.16,352.28,359.59,341.95,342.04,341.08,343.42,319.86,328.04,360.50,349.32,363.41,372.43,370.63,368.02,363.53,355.48,355.91,347.79,351.43,328.94,326.72,327.58,331.59,348.03,348.61,344.27,347.20,340.55,353.68,355.33,363.87,370.87,374.98,374.74,365.41,361.84,355.64,351.39,343.87,347.76,330.75,343.24,360.81,366.58,361.57,351.43,345.37,346.30,335.90,332.77,330.96,351.15,330.93
2004-07-30 21:57:15.668000,L5,357.14,329.79,336.83,312.89,299.43,323.75,338.60,329.06,343.47,338.26,340.06,334.53,336.12,333.05,331.43,331.88,355.24,345.08,353.95,373.18,366.10,367.51,359.71,364.91,360.74,367.23,351.33,339.08,350.72,364.03,364.09,368.17,368.47,372.27,369.96,385.64,389.94,394.27,386.43,405.57,400.42,384.27,385.09,377.10,369.24,359.48,359.40,348.16,355.10,352.19,377.92,376.50,383.76,366.10,369.75,359.04,,,,,
2004-10-18 21:59:11.702000,L5,385.73,366.46,370.33,370.92,374.48,375.76,372.03,373.86,377.10,371.17,366.88,366.76,365.78,364.98,366.63,361.38,382.36,374.01,378.17,383.22,382.30,383.18,376.13,373.90,372.13,362.16,358.06,357.61,355.40,360.45,357.47,369.26,370.47,369.01,374.73,376.28,383.10,382.90,390.84,392.12,385.17,386.64,380.72,378.97,372.58,365.66,364.80,364.93,364.56,368.54,369.89,373.81,368.28,364.80,358.80,359.15,343.35,342.50,346.11,360.98,355.40
2005-01-13 22:06:52.927000,L5,378.47,366.04,367.19,366.60,362.69,364.28,363.50,363.57,360.86,358.26,352.60,349.23,345.94,348.95,344.99,339.38,359.55,362.31,362.62,380.77,376.53,375.00,371.74,368.34,365.16,358.85,353.91,350.09,350.40,350.00,348.40,344.89,351.61,347.06,350.23,358.47,360.88,358.36,374.49,379.59,370.52,378.57,380.82,379.39,371.64,368.07,365.05,361.80,358.40,362.18,363.20,346.81,346.68,340.00,331.85,328.91,321.78,323.90,340.64,360.60,331.92
2005-01-22 22:00:50.292000,L5,384.82,359.15,366.27,363.99,359.85,359.45,366.96,365.45,370.83,368.68,362.91,359.81,360.37,362.95,355.67,355.99,373.74,358.20,366.08,371.24,370.49,367.54,362.94,362.00,358.24,351.97,346.70,344.80,343.12,348.60,351.61,361.67,364.73,359.50,363.13,372.52,374.42,372.09,387.74,388.44,376.88,366.02,368.13,372.47,362.98,359.90,355.11,349.85,348.97,357.70,363.85,368.54,362.97,356.27,351.24,344.34,340.97,329.99,335.84,346.44,355.96
2005-02-14 22:07:21.106000,L5,,,,,,,,,,,,,,,,,,,,,,,425.53,409.75,412.77,412.32,405.97,400.91,404.25,396.69,401.67,416.34,401.85,420.54,,,,,,,,,,,,,,,,,,,391.67,377.57,372.63,362.38,356.86,363.27,354.79,373.43,
2005-03-11 22:01:31.683000,L5,368.60,333.84,317.28,301.44,291.72,317.79,305.18,303.02,302.64,291.90,268.92,,,,,,,,,,,324.56,378.97,373.68,397.35,385.64,398.46,386.62,407.89,350.20,339.42,348.63,351.20,345.88,355.08,363.83,364.37,363.77,377.41,382.03,375.15,374.56,375.53,378.09,380.27,375.38,354.02,346.83,348.82,352.86,354.83,358.22,354.12,367.36,,,,,,,
2005-04-12 22:01:42.862000,L5,397.96,372.73,376.46,375.91,369.57,369.03,377.90,373.73,379.47,382.94,377.89,368.26,368.88,367.54,371.75,364.33,380.33,380.88,385.86,398.85,389.10,388.25,383.31,379.63,378.15,367.14,364.86,358.53,363.21,362.51,363.73,372.62,375.85,363.90,375.12,377.06,383.83,384.67,398.83,401.11,402.64,390.99,389.73,394.71,383.03,381.25,379.10,375.26,380.09,376.37,386.27,389.83,367.59,363.59,358.04,352.50,348.86,348.02,353.55,368.26,376.04
2005-05-14 22:01:54.308000,L5,384.86,353.39,362.40,361.61,363.84,364.62,363.44,363.10,366.03,361.83,360.49,357.31,356.74,353.73,351.82,348.19,373.93,368.26,375.68,379.63,380.42,374.02,373.38,366.80,362.78,357.12,351.45,347.36,348.73,347.10,348.32,360.67,359.52,358.22,362.42,364.77,367.38,373.02,385.50,389.47,390.60,381.07,376.91,378.82,369.12,367.50,361.52,357.02,363.67,365.09,373.37,367.34,364.24,357.05,350.62,349.54,348.19,345.20,344.93,361.86,356.32
2005-06-15 22:02:10.206000,L5,376.58,329.75,352.02,348.17,348.51,362.39,357.11,359.06,362.72,357.17,347.40,344.85,345.27,335.58,330.06,335.70,372.90,357.21,372.79,385.21,378.29,370.36,369.09,369.23,360.83,352.87,351.31,341.39,338.25,341.86,335.93,355.34,358.23,349.58,354.67,354.45,360.62,363.90,377.31,382.85,374.40,376.45,373.22,374.24,364.84,350.73,350.85,345.49,343.13,348.88,364.00,367.61,360.49,354.25,348.11,349.30,342.50,331.18,324.24,353.52,344.09
