dates,satname,nzd0578-0000
2021-06-27 22:12:54.060000,L8,109.10
2021-07-13 22:12:55.390000,L8,187.10
2021-07-13 22:13:19.348000,L8,24.55
2021-07-22 22:07:12.797000,L8,74.75
2021-08-14 22:13:09.539000,L8,184.11
2021-08-14 22:13:33.494000,L8,185.99
2021-08-23 22:07:25.117000,L8,109.00
2021-08-30 22:13:14.099000,L8,102.35
2021-08-30 22:13:38.062000,L8,28.64
2021-09-24 22:07:32.728000,L8,115.02
2021-10-01 22:13:22.595000,L8,183.15
2021-10-01 22:13:46.563000,L8,106.95
2021-11-02 22:13:26.046000,L8,110.72
2021-11-02 22:13:50.004000,L8,111.06
2021-11-06 22:14:00.001000,L9,114.79
2021-11-06 22:14:23.901000,L9,114.61
2021-11-18 22:13:20.648000,L8,123.14
2021-11-18 22:13:44.611000,L8,174.39
2021-12-20 22:13:20.111000,L8,124.45
2021-12-20 22:13:44.065000,L8,128.61
2021-12-21 22:07:31.120000,L9,188.74
2022-01-06 22:07:29.828000,L9,110.15
2022-01-14 22:07:27.312000,L8,226.60
2022-01-21 22:13:11.780000,L8,172.50
2022-01-21 22:13:35.739000,L8,172.03
2022-01-29 22:13:17.402000,L9,226.46
2022-01-30 22:07:22.237000,L8,156.78
2022-02-14 22:13:36.888000,L9,217.65
2022-02-15 22:07:18.025000,L8,225.83
2022-02-23 22:07:19.963000,L9,106.71
2022-03-02 22:13:25.844000,L9,108.88
2022-03-26 22:12:47.702000,L8,178.74
2022-03-26 22:13:11.665000,L8,228.60
2022-03-27 22:07:10.369000,L9,228.46
2022-04-03 22:12:57.221000,L9,157.40
2022-04-03 22:13:21.180000,L9,226.49
2022-04-11 22:12:50.301000,L8,169.93
2022-05-05 22:12:42.986000,L9,227.76
2022-05-05 22:13:06.945000,L9,111.16
2022-05-06 22:07:05.573000,L8,112.82
2022-05-21 22:12:31.466000,L9,117.13
2022-05-22 22:07:10.472000,L8,229.50
2022-06-30 22:13:39.455000,L8,204.90
2022-07-01 22:07:06.314000,L9,107.30
2022-07-16 22:13:14.888000,L8,227.57
2022-08-10 22:07:44.129000,L8,110.94
2022-08-26 22:07:46.208000,L8,225.92
2022-10-05 22:07:34.692000,L9,201.89
2022-10-29 22:07:52.427000,L8,105.96
2022-11-05 22:13:39.035000,L8,126.65
2022-11-06 22:07:39.965000,L9,214.14
2022-11-14 22:07:47.062000,L8,207.93
2022-11-22 22:07:41.635000,L9,157.56
2022-12-23 22:13:23.727000,L8,163.42
2022-12-23 22:13:47.690000,L8,121.35
2022-12-24 22:07:37.966000,L9,108.23
2022-12-31 22:13:51.762000,L9,64.50
2023-01-08 22:13:24.303000,L8,173.79
2023-01-08 22:13:48.257000,L8,160.44
2023-01-16 22:13:22.088000,L9,120.74
2023-01-17 22:07:30.257000,L8,119.37
2023-01-25 22:07:37.119000,L9,106.39
2023-02-10 22:07:44.308000,L9,240.38
2023-02-17 22:13:25.410000,L9,130.45
2023-02-18 22:07:25.855000,L8,219.23
2023-02-25 22:13:04.126000,L8,121.06
2023-03-05 22:13:13.287000,L9,115.53
2023-03-05 22:13:37.250000,L9,211.06
2023-03-06 22:07:14.102000,L8,121.97
2023-03-13 22:12:59.020000,L8,184.23
2023-03-13 22:13:22.974000,L8,121.16
2023-03-14 22:07:23.107000,L9,226.73
2023-03-21 22:13:07.064000,L9,191.33
2023-03-21 22:13:31.023000,L9,192.13
2023-03-22 22:07:04.713000,L8,159.95
2023-03-29 22:12:48.912000,L8,198.88
2023-03-29 22:13:12.871000,L8,114.32
2023-03-30 22:07:11.153000,L9,115.64
2023-04-06 22:13:21.161000,L9,187.84
2023-04-14 22:12:57.887000,L8,1.72
2023-04-22 22:12:51.035000,L9,217.12
2023-04-22 22:13:14.998000,L9,115.51
2023-04-23 22:06:45.046000,L8,118.02
2023-05-16 22:12:16.239000,L8,160.86
2023-05-16 22:12:40.194000,L8,225.74
2023-05-24 22:12:29.077000,L9,222.41
2023-05-24 22:12:53.035000,L9,109.06
2023-06-01 22:12:19.164000,L8,106.38
2023-06-01 22:12:43.119000,L8,104.63
2023-06-02 22:06:41.744000,L9,113.88
2023-06-09 22:12:48.736000,L9,113.59
2023-06-10 22:06:39.746000,L8,114.09
2023-07-03 22:12:39.306000,L8,106.35
2023-07-11 22:12:36.241000,L9,187.10
2023-07-20 22:06:49.934000,L9,99.85
2023-07-27 22:12:38.836000,L9,115.41
2023-07-28 22:07:02.846000,L8,109.84
2023-08-05 22:06:59.027000,L9,118.54
2023-08-13 22:07:07.940000,L8,126.49
2023-08-20 22:12:59.423000,L8,118.31
2023-08-20 22:13:23.386000,L8,117.40
2023-08-21 22:07:04.005000,L9,110.13
2023-08-28 22:12:56.142000,L9,225.87
2023-08-28 22:13:20.105000,L9,180.48
2023-08-29 22:07:14.014000,L8,225.79
2023-09-29 22:13:26.677000,L9,124.84
2023-09-30 22:07:21.548000,L8,199.13
2023-10-08 22:07:22.193000,L9,117.17
2023-10-15 22:13:14.958000,L9,122.71
2023-10-31 22:13:09.706000,L9,121.84
