dates,nzd0414-0000,nzd0414-0001,nzd0414-0002,nzd0414-0003,nzd0414-0004,nzd0414-0005,nzd0414-0006,nzd0414-0007,nzd0414-0008,nzd0414-0009,nzd0414-0010,nzd0414-0011,nzd0414-0012,nzd0414-0013,nzd0414-0014,nzd0414-0015,nzd0414-0016,nzd0414-0017,nzd0414-0018,nzd0414-0019,nzd0414-0020,nzd0414-0021,nzd0414-0022,nzd0414-0023,nzd0414-0024,nzd0414-0025,nzd0414-0026,nzd0414-0027,nzd0414-0028,nzd0414-0029,nzd0414-0030,nzd0414-0031,nzd0414-0032,nzd0414-0033,nzd0414-0034,nzd0414-0035,nzd0414-0036,nzd0414-0037,nzd0414-0038,nzd0414-0039,nzd0414-0040,nzd0414-0041,nzd0414-0042,nzd0414-0043,nzd0414-0044,nzd0414-0045,nzd0414-0046,nzd0414-0047,nzd0414-0048,nzd0414-0049,nzd0414-0050,nzd0414-0051,nzd0414-0052,nzd0414-0053,nzd0414-0054
2014-10-21 22:20:13+00:00,236.92,234.62,243.56,227.32,237.86,246.52499999999998,228.87,251.31000000000003,247.77499999999998,240.1,229.135,235.7,241.71,237.45,245.0325,236.0825,218.38,227.97,226.3475,224.615,221.595,210.40666666666667,219.1575,215.41333333333333,223.26749999999998,240.996,243.638,227.3125,243.85,243.038,242.548,237.76400000000004,255.305,246.17600000000002,249.094,265.21500000000003,270.606,275.634,283.644,285.776,283.25,287.77750000000003,281.188,274.854,272.366,264.45,262.822,261.0625,259.7775,261.3225,274.61,289.09000000000003,293.655,286.045,294.57
2014-11-06 22:20:13+00:00,235.07,226.10500000000002,237.485,228.575,237.86,242.24333333333334,229.435,253.4025,250.1833333333333,248.32000000000002,235.84333333333333,241.22333333333336,245.33666666666667,242.17799999999997,248.31799999999998,240.07200000000003,218.38,229.8,227.256,227.108,223.64600000000002,216.6825,219.1575,215.41333333333333,226.28000000000003,241.86333333333332,246.275,235.148,244.2266666666667,248.07833333333335,246.5716666666667,241.22333333333336,256.55,248.28666666666666,251.68500000000003,266.51,272.0216666666667,278.26500000000004,286.495,288.85833333333335,286.18333333333334,289.35,282.7,276.21666666666664,273.595,267.1416666666667,264.86,262.646,261.48400000000004,263.094,272.87,283.8233333333333,288.19666666666666,285.18333333333334,296.0875
2014-12-24 22:20:05+00:00,233.99666666666667,223.87,235.38666666666666,234.47,240.73333333333335,242.7775,229.906,254.962,252.19,251.5575,237.79500000000002,245.055,246.9475,244.89666666666668,249.5666666666667,242.23833333333334,218.38,230.995,227.22,228.58333333333334,225.91666666666666,221.294,222.28000000000003,218.925,227.04666666666665,241.46,247.69142857142856,239.38833333333332,245.6342857142857,249.6942857142857,247.8557142857143,243.04714285714286,257.00666666666666,249.52,253.1142857142857,267.03833333333336,272.5357142857143,279.63142857142856,288.34857142857146,290.9085714285714,288.07428571428574,290.0566666666667,283.14285714285717,276.8457142857143,274.37714285714287,268.86428571428576,265.9714285714286,263.5366666666667,262.18666666666667,264.175,271.57,280.9075,285.41499999999996,283.96500000000003,296.746
2015-01-25 22:19:56+00:00,233.99666666666667,223.87,235.38666666666666,234.47,240.73333333333335,242.7775,224.8166666666667,254.962,252.19,251.5575,237.79500000000002,245.055,246.9475,247.77500000000003,253.23000000000002,244.25500000000002,193.355,236.365,222.02599999999998,235.1725,233.5275,226.0566666666667,226.32000000000002,219.38000000000002,229.77249999999998,245.786,256.022,247.058,251.638,259.414,256.248,254.546,258.654,257.758,262.358,269.418,276.122,287.25,296.372,300.736,297.78000000000003,291.878,286.812,279.96000000000004,272.89000000000004,273.53000000000003,270.84600000000006,261.05,258.80833333333334,266.33600000000007,271.57,280.9075,285.41499999999996,283.96500000000003,291.02
2015-02-10 22:19:50+00:00,234.405,223.9375,233.11,235.07,247.5525,240.41799999999998,226.60857142857142,256.4066666666667,258.616,257.6,239.032,247.81,249.592,250.334,255.05,246.17200000000003,193.355,237.442,223.39666666666665,234.696,234.07600000000002,228.895,228.8275,224.57000000000002,231.60399999999998,246.07500000000002,256.32,249.26333333333332,252.41,259.69666666666666,256.52500000000003,255.07833333333338,259.39166666666665,258.435,262.625,270.43333333333334,276.575,287.81,297.1116666666667,301.31,298.28000000000003,292.5233333333333,287.435,280.23833333333334,273.98285714285714,275.02714285714285,272.3016666666667,262.31142857142856,260.13,267.30333333333334,271.194,279.38800000000003,283.73199999999997,283.86,292.35714285714283
2015-02-26 22:19:46+00:00,234.405,223.9375,233.11,235.07,247.5525,240.41799999999998,226.60857142857142,256.4066666666667,258.616,257.6,239.032,239.32500000000002,241.745,241.12,248.09666666666666,239.45666666666668,190.47666666666666,237.442,223.39666666666665,234.696,234.07600000000002,228.895,228.8275,224.57000000000002,231.60399999999998,246.07500000000002,256.32,249.26333333333332,252.41,259.69666666666666,256.52500000000003,255.07833333333338,259.39166666666665,258.435,262.625,270.43333333333334,276.575,287.81,297.1116666666667,297.5242857142857,295.1257142857143,288.99285714285713,283.68,274.75857142857143,271.3325,272.59250000000003,266.79857142857145,259.6375,257.5675,267.30333333333334,271.194,279.38800000000003,283.73199999999997,283.86,292.35714285714283
2015-03-14 22:19:35+00:00,234.405,223.9375,233.11,235.07,247.5525,228.475,227.1342857142857,257.70166666666665,259.178,257.97999999999996,240.712,240.29666666666665,242.5716666666667,242.34333333333333,248.29166666666666,241.02,192.61333333333334,238.132,224.49833333333333,235.342,234.488,230.4575,229.41000000000003,225.51,232.87400000000002,246.90666666666667,256.17,259.5683333333333,252.57333333333335,260.17,256.1266666666667,255.36666666666665,259.62833333333333,258.3433333333333,262.48499999999996,270.6766666666667,276.9866666666667,288.06,297.9916666666666,297.7471428571429,296.13,289.39428571428573,283.5185714285714,274.98999999999995,270.8675,272.95625,267.03285714285715,260.39625,257.9425,267.6166666666667,271.194,268.985,283.73199999999997,274.8966666666667,294.3533333333333
2015-04-15 22:19:22+00:00,224.8225,212.13,219.38500000000002,237.65333333333334,251.36666666666667,216.47166666666666,223.0514285714286,251.59333333333333,249.16199999999998,248.19199999999995,233.484,234.07000000000002,235.02833333333334,237.24666666666667,241.66833333333332,235.70000000000002,197.3225,224.96999999999997,214.87833333333333,224.038,223.85399999999998,226.24,221.8975,222.86,230.12833333333333,238.98666666666668,251.11166666666665,255.59500000000003,247.83000000000004,256.18666666666667,252.41666666666666,251.30333333333337,256.1033333333333,252.69500000000002,257.86499999999995,266.11333333333334,273.365,284.6566666666667,294.8016666666667,294.79714285714283,292.8285714285715,286.59142857142854,279.7442857142857,272.12857142857143,268.1925,270.41,263.9514285714286,258.1725,255.57125000000002,264.37333333333333,266.736,261.45666666666665,273.572,271.52,290.80833333333334
2015-08-05 22:19:36+00:00,217.10999999999996,205.765,207.47000000000003,236.87,268.01,185.40499999999997,217.925,237.84750000000003,239.885,234.855,223.86249999999998,225.96999999999997,226.72000000000003,228.246,233.67,225.74,203.82999999999998,214.795,212.0125,214.095,214.72500000000002,216.04000000000002,216.51500000000001,218.3725,222.3975,232.7525,241.82000000000002,246.27500000000003,243.4766666666667,247.83666666666667,244.76,246.03,251.31333333333336,245.84666666666666,249.79500000000002,259.415,267.275,277.0525,286.1625,287.122,286.39,279.778,272.78000000000003,264.57500000000005,264.65,267.08250000000004,254.12199999999999,254.73199999999997,251.612,257.295,261.595,248.54999999999995,268.325,260.2466666666666,291.845
2015-09-06 22:19:50+00:00,197.585,188.07999999999998,185.57999999999998,,,169.9525,211.4425,229.25333333333336,225.07333333333335,219.40750000000003,216.72750000000002,223.745,223.325,227.11,230.79000000000002,222.6375,209.9025,205.53,205.1825,207.78750000000002,207.94750000000002,208.2175,209.6925,212.46,216.14,227.5075,236.9175,241.8025,236.91666666666666,241.20333333333335,238.40333333333334,240.54999999999998,245.75,238.29,245.5625,254.11,263.21000000000004,272.7875,280.9425,285.58500000000004,284.44000000000005,278.28000000000003,270.89,267.1366666666667,263.36999999999995,264.11333333333334,253.1225,253.65,250.8075,252.6825,251.695,241.9333333333333,258.58,252.70666666666668,283.31
