dates,nzd0381-0000,nzd0381-0001,nzd0381-0002,nzd0381-0003,nzd0381-0004,nzd0381-0005,nzd0381-0006,nzd0381-0007,nzd0381-0008,nzd0381-0009,nzd0381-0012,nzd0381-0013,nzd0381-0014,nzd0381-0015,nzd0381-0011,nzd0381-0010
2024-09-07 22:13:18+00:00,244.51,246.79500000000007,221.32,219.54999999999998,182.64,268.46,256.74,294.81333333333333,288.892,,,,,,,
2024-10-09 22:13:21+00:00,238.14,251.25,232.8,221.88,177.46999999999997,268.46,256.74,294.105,288.6975,,,,,,,
2024-11-02 22:13:29+00:00,251.86333333333334,251.68500000000006,233.83,248.04666666666665,177.44666666666663,273.87,256.74,294.105,288.6975,,,,,,,
2024-11-17 22:19:38+00:00,259.3625,253.81333333333336,235.60666666666668,263.05,177.77499999999998,273.87,256.74,293.95666666666665,289.19399999999996,,,,,,,
2024-12-27 22:19:45+00:00,259.3625,253.81333333333336,235.60666666666668,278.35,177.77499999999998,273.87,254.62,300.8325,293.98400000000004,287.19,,,,,,
2025-01-04 22:19:38+00:00,263.24,254.25000000000003,236.10250000000002,281.5783333333333,176.594,273.87,262.77,300.8325,294.158,287.19,,,,,,
2025-01-05 22:13:30+00:00,272.865,254.16200000000003,241.51400000000004,285.32428571428574,176.57833333333335,277.96999999999997,244.98499999999999,300.8325,293.9433333333333,287.19,,,,,,
2025-01-12 22:19:45+00:00,283.30428571428575,254.16200000000003,241.51400000000004,291.6175,176.57833333333335,290.88,244.98499999999999,305.522,296.5214285714286,276.97,,,,,,
2025-01-20 22:19:37+00:00,289.21875,259.386,241.51400000000004,302.52000000000004,176.94666666666663,296.33,233.71499999999997,313.13333333333327,299.215,276.97,,,,,,
2025-01-21 22:13:37+00:00,289.21875,258.25,239.53666666666666,301.8677777777778,176.11142857142858,296.33,233.71499999999997,313.13333333333327,299.215,276.97,,,,,,
2025-02-13 22:19:46+00:00,295.5911111111111,258.25,239.53666666666666,301.8677777777778,176.11142857142858,304.466,269.7366666666666,323.27,301.4485714285714,282.74,,,,,,
2025-02-14 22:13:24+00:00,300.825,258.25,239.53666666666666,305.315,176.11142857142858,307.49833333333333,281.53249999999997,323.618,302.95375,285.1,,,,,,
2025-03-25 22:19:15+00:00,307.97444444444443,257.05,238.43714285714285,305.315,175.595,307.49833333333333,281.53249999999997,323.618,302.95375,285.1,,,,,,
