dates,satname,nzd0364-0000,nzd0364-0001,nzd0364-0002,nzd0364-0003,nzd0364-0004,nzd0364-0005,nzd0364-0006,nzd0364-0007,nzd0364-0008,nzd0364-0009,nzd0364-0010,nzd0364-0011,nzd0364-0012,nzd0364-0013,nzd0364-0014,nzd0364-0015,nzd0364-0016,nzd0364-0017,nzd0364-0018
2021-08-23 22:07:25.117000,L8,359.79,372.60,369.61,366.57,355.11,351.19,345.67,334.16,330.55,336.06,331.13,326.04,327.18,371.17,381.53,379.10,343.63,363.29,358.70
2021-09-08 22:07:29.873000,L8,349.71,362.81,357.08,346.06,337.02,329.94,323.51,,,,,,313.53,322.91,320.92,327.70,299.53,358.49,341.59
2021-09-24 22:07:32.728000,L8,340.64,342.16,337.22,332.60,326.95,316.49,,,,,,,,,,,,,
2021-12-21 22:07:31.120000,L9,348.11,346.14,343.51,337.49,330.62,325.94,,,,,,,,,316.99,326.13,298.44,357.23,342.59
2022-01-06 22:07:29.828000,L9,350.58,346.98,343.45,341.33,334.10,328.47,325.14,,,,,,,318.28,314.81,328.24,304.31,360.59,341.74
2022-02-15 22:07:18.025000,L8,352.04,353.21,351.68,342.97,334.15,331.05,324.01,,,,,,,323.66,318.31,327.63,301.57,320.49,341.94
2022-02-23 22:07:19.963000,L9,,,,,,,,,,,,,316.04,324.17,316.47,326.30,299.54,358.80,342.97
2022-05-06 22:07:05.573000,L8,367.81,375.67,372.18,369.44,362.31,362.52,356.62,347.31,339.49,332.05,329.51,335.07,338.21,342.07,326.79,335.77,350.99,368.05,359.47
2022-05-22 22:07:10.472000,L8,366.23,372.96,372.07,369.16,359.19,350.04,345.28,333.44,,328.58,324.37,325.42,331.62,341.87,325.16,333.22,307.30,362.62,355.87
2022-06-07 22:07:19.428000,L8,367.62,372.80,370.87,366.33,353.54,351.11,345.05,334.81,325.32,331.70,328.19,335.80,338.94,339.37,324.05,333.61,309.21,365.47,358.13
2022-07-01 22:07:06.314000,L9,354.60,364.36,360.60,356.58,342.92,338.68,333.51,,,323.25,316.71,323.93,322.97,328.98,320.54,326.53,301.93,353.91,349.40
2022-07-17 22:07:05.202000,L9,348.09,356.27,353.36,351.07,336.76,331.15,323.80,,,,310.04,319.71,316.08,318.21,312.63,321.70,298.05,309.23,
2022-08-10 22:07:44.129000,L8,345.69,354.43,350.66,343.59,332.26,328.94,,,,,,,,,,,,,
2022-08-26 22:07:46.208000,L8,,,,,,,,,,,,,312.49,318.12,311.79,322.89,287.07,308.29,304.81
2022-09-03 22:07:27.941000,L9,344.87,350.13,343.38,338.45,330.98,325.04,,,,,,317.23,316.05,319.25,312.03,321.83,294.66,350.69,337.45
2022-09-19 22:07:33.648000,L9,350.10,357.13,348.87,343.87,334.92,328.07,322.73,,,,,320.39,320.42,321.64,312.75,326.64,299.19,354.34,340.63
2022-10-05 22:07:34.692000,L9,350.05,357.16,347.77,342.92,333.35,327.94,322.29,,,,,320.50,319.25,320.63,313.53,324.77,297.29,353.85,307.90
2022-11-06 22:07:39.965000,L9,359.32,373.20,368.40,359.97,357.48,349.55,340.32,332.23,329.80,335.42,336.04,333.52,338.14,339.97,324.18,349.57,352.36,366.73,362.72
2022-11-14 22:07:47.062000,L8,338.49,331.03,332.04,330.95,322.84,316.80,,,,,,,,,,,,,
2022-11-22 22:07:41.635000,L9,350.21,350.24,345.74,342.37,332.42,330.88,324.37,,,,317.51,319.33,440.93,406.45,404.63,329.52,303.17,356.89,349.06
2023-02-10 22:07:44.308000,L9,349.59,347.17,343.48,338.50,332.20,328.45,321.63,,,,,,,,,,299.64,328.85,342.19
2023-02-18 22:07:25.855000,L8,352.63,350.53,349.38,341.02,331.40,329.49,322.70,,,,,,,319.49,314.26,327.57,300.04,364.94,348.74
2023-03-06 22:07:14.102000,L8,355.16,353.36,348.25,343.95,332.30,329.40,324.22,,,,,,,,,,,,
2023-03-14 22:07:23.107000,L9,343.64,338.79,331.05,331.00,320.25,314.87,,,,,,,,,,,,,
2023-03-22 22:07:04.713000,L8,342.94,341.49,333.49,330.18,322.55,316.81,,,,,,,,,,,,,
2023-03-30 22:07:11.153000,L9,351.11,355.07,347.92,342.46,332.03,327.52,321.96,,,,,,,,,,,,
2023-04-15 22:07:04.808000,L9,353.44,356.62,352.21,346.46,336.39,333.13,330.26,,,,,316.80,321.37,322.64,314.06,324.04,298.58,352.67,346.68
2023-04-23 22:06:45.046000,L8,345.91,348.46,343.53,338.53,330.30,326.96,320.62,,,,,,,,,,,,
2023-06-02 22:06:41.744000,L9,384.41,380.91,375.08,377.07,369.15,369.30,360.62,345.74,347.89,343.39,334.22,345.74,346.78,401.98,368.72,346.40,352.96,371.50,364.86
2023-06-10 22:06:39.746000,L8,360.11,376.91,365.47,360.24,347.07,344.52,340.12,322.98,326.32,329.77,323.00,326.40,331.72,332.71,322.13,329.11,306.42,362.50,355.42
2023-07-28 22:07:02.846000,L8,347.67,350.51,345.10,338.18,330.10,325.88,,,,,,,,,,,,,
2023-08-05 22:06:59.027000,L9,356.83,373.19,363.06,356.95,343.80,338.60,333.14,,321.51,330.01,323.65,324.37,333.48,332.35,321.90,329.55,305.54,362.78,355.96
