dates,satname,nzd0506-0000,nzd0506-0001,nzd0506-0002,nzd0506-0003,nzd0506-0004,nzd0506-0005,nzd0506-0006,nzd0506-0007,nzd0506-0008,nzd0506-0009,nzd0506-0010,nzd0506-0011,nzd0506-0012,nzd0506-0013,nzd0506-0014,nzd0506-0015,nzd0506-0016,nzd0506-0017,nzd0506-0018,nzd0506-0019,nzd0506-0020,nzd0506-0021,nzd0506-0022,nzd0506-0023,nzd0506-0024,nzd0506-0025,nzd0506-0026,nzd0506-0044,nzd0506-0045,nzd0506-0046,nzd0506-0027,nzd0506-0028,nzd0506-0029,nzd0506-0030,nzd0506-0031,nzd0506-0032,nzd0506-0033,nzd0506-0034,nzd0506-0035,nzd0506-0036,nzd0506-0037,nzd0506-0038,nzd0506-0039,nzd0506-0040,nzd0506-0041,nzd0506-0042,nzd0506-0043
2014-03-11 22:21:19.920000,L8,223.22,261.46,271.97,269.59,268.78,270.11,266.53,268.74,269.21,275.15,273.11,272.21,267.90,268.40,270.36,266.32,269.54,272.29,273.14,272.89,274.48,277.97,280.02,285.69,282.55,277.70,280.11,286.77,282.53,289.32,279.25,286.39,287.80,287.16,287.50,293.95,298.90,302.73,303.38,305.99,305.81,307.19,303.94,302.76,301.01,302.45,295.30
2014-03-20 22:15:01.497000,L8,235.99,260.56,268.12,270.65,268.69,269.94,268.32,268.72,269.51,273.77,272.83,271.29,270.95,270.73,271.25,268.54,267.65,272.09,273.41,273.11,274.49,275.83,280.89,285.29,281.63,278.01,275.81,286.07,281.09,289.18,280.52,284.62,290.33,284.54,290.40,294.80,298.08,303.01,304.23,305.76,305.17,307.34,305.08,303.09,301.82,302.41,293.65
2014-04-21 22:14:29.865000,L8,242.56,268.36,289.84,292.21,281.67,278.22,277.44,282.11,286.77,288.09,292.03,296.07,295.22,293.50,295.67,295.51,295.56,298.74,300.35,296.67,304.80,313.81,310.24,313.88,311.72,313.48,310.87,299.32,288.02,301.71,315.99,321.11,328.66,326.79,327.29,335.16,335.56,339.33,353.08,352.30,345.38,333.38,338.11,336.67,323.18,325.91,310.68
2014-08-11 22:14:39.696000,L8,,249.86,270.20,267.24,262.37,262.99,262.25,263.75,267.00,272.66,273.12,269.44,274.80,270.40,272.31,272.02,273.39,274.30,277.36,277.99,278.25,282.12,288.72,292.04,290.60,291.73,294.30,291.67,274.37,288.74,293.08,299.68,303.06,303.92,303.85,312.19,313.36,317.42,315.60,313.57,318.33,320.42,316.95,315.19,312.47,306.38,302.84
2014-09-28 22:14:44.621000,L8,242.42,269.88,271.22,275.09,272.72,271.81,271.07,268.93,267.15,279.76,276.89,275.79,282.28,277.85,284.66,275.04,283.79,279.38,279.41,280.09,279.82,295.80,296.64,305.19,293.88,298.82,304.85,293.94,270.19,284.88,293.94,317.96,308.85,296.20,303.29,317.69,315.56,327.26,322.50,322.30,318.42,328.12,317.42,309.48,316.48,311.13,308.20
2014-11-15 22:14:49.314000,L8,233.77,265.86,269.15,266.33,260.98,260.08,261.02,261.33,262.59,268.37,,,,,,,,274.74,273.50,276.95,278.16,283.31,287.86,291.05,287.03,284.56,284.31,281.72,268.10,276.52,287.61,294.68,295.66,293.34,296.47,304.76,305.55,307.11,311.34,311.71,314.35,312.56,308.36,304.95,305.58,300.91,292.94
2015-01-02 22:14:38.674000,L8,242.33,267.89,268.07,263.78,259.93,258.39,258.71,258.48,260.91,,,,,,,264.66,270.98,275.13,276.53,276.86,279.33,278.69,288.59,288.68,283.43,279.34,277.18,276.07,262.23,277.86,281.75,287.08,291.93,288.71,292.58,297.73,300.29,303.52,307.02,308.03,309.33,310.01,307.16,304.36,302.97,299.63,287.65
2015-02-10 22:20:38.674000,L8,220.22,261.77,266.73,262.44,256.94,254.74,255.10,255.24,,,,,,,,,266.02,271.65,271.56,272.03,273.82,274.35,280.77,281.63,278.73,276.57,270.18,,,,277.09,283.02,287.97,285.79,288.83,292.94,297.76,298.84,302.48,302.25,304.56,306.47,303.12,299.91,,,
2015-06-27 22:13:58.027000,L8,,,259.64,281.89,294.50,279.74,272.40,265.38,266.76,267.50,259.19,,,,,,268.15,276.19,275.54,279.90,279.65,284.50,292.44,292.99,292.90,295.31,296.38,141.23,161.32,219.10,298.22,307.36,326.28,308.57,321.35,327.02,336.96,334.34,337.84,345.34,342.29,333.53,329.42,329.67,328.29,322.13,73.73
2015-10-17 22:14:38.194000,L8,218.88,251.86,256.66,252.33,254.44,252.69,251.40,254.64,,,,,,,,,,,,,,,,,,,266.66,272.10,259.77,270.36,266.54,271.59,276.48,288.32,290.12,297.92,298.52,298.99,299.41,299.38,303.68,303.94,303.88,297.44,299.57,293.27,284.01
