dates,nzd0506-0000,nzd0506-0001,nzd0506-0002,nzd0506-0003,nzd0506-0004,nzd0506-0005,nzd0506-0006,nzd0506-0007,nzd0506-0008,nzd0506-0009,nzd0506-0010,nzd0506-0011,nzd0506-0012,nzd0506-0013,nzd0506-0014,nzd0506-0015,nzd0506-0016,nzd0506-0017,nzd0506-0019,nzd0506-0020,nzd0506-0021,nzd0506-0022,nzd0506-0023,nzd0506-0024,nzd0506-0025,nzd0506-0026,nzd0506-0027,nzd0506-0028,nzd0506-0029,nzd0506-0030,nzd0506-0031,nzd0506-0032,nzd0506-0033,nzd0506-0034,nzd0506-0035,nzd0506-0036,nzd0506-0037,nzd0506-0038,nzd0506-0039,nzd0506-0040,nzd0506-0041,nzd0506-0042,nzd0506-0043,nzd0506-0044,nzd0506-0045,nzd0506-0018,nzd0506-0046
2020-10-14 22:14:56+00:00,244.27,259.28000000000003,261.91333333333336,264.352,263.28999999999996,264.656,262.472,260.606,263.434,260.518,260.28,251.846,252.798,253.23600000000002,259.166,252.38000000000002,251.38199999999998,254.10999999999999,266.90999999999997,269.77799999999996,278.51,275.994,285.96666666666664,281.0466666666667,283.31333333333333,277.7366666666667,282.9325,290.81800000000004,289.486,295.21799999999996,298.11199999999997,310.64,303.41600000000005,308.402,309.19,309.896,316.76,319.26000000000005,321.024,318.62800000000004,316.646,315.092,306.86199999999997,302.292,289.908,263.558,298.664
2021-05-26 22:14:18+00:00,,258.14,264.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-11 22:14:25+00:00,,258.14,264.47,240.6,245.2,241.82,241.73,235.3,,,223.35,,,214.23,,,229.96,,,,,,,260.64,,247.16,,260.81,265.9,273.94,278.3,286.18,277.44,281.92,279.49,284.31,291.04,295.17,287.36,294.05,279.51,294.09,,,,,
2021-06-27 22:14:29+00:00,,258.14,264.47,252.46999999999997,254.7,254.475,253.10500000000002,249.43,265.51,245.46,240.52499999999998,253.36,251.92,230.24,270.07,249.01,243.815,258.71,265.12,269.17,277.7,277.55,279.09,273.41499999999996,278.24,259.43,281.86,273.49,283.02,286.28999999999996,289.635,301.905,288.90999999999997,296.525,295.86,300.9,307.485,310.96500000000003,305.88,308.19,300.46000000000004,307.42499999999995,311.3,306.54,298.22,263.5,306.66
2021-08-14 22:14:45+00:00,,248.14999999999998,264.47,252.46999999999997,254.7,254.475,253.10500000000002,249.43,265.51,245.46,240.52499999999998,253.36,251.92,230.24,270.07,249.01,243.815,258.71,265.12,269.17,277.7,277.55,279.09,273.41499999999996,278.24,259.43,281.86,273.49,283.02,286.28999999999996,289.635,301.905,288.90999999999997,296.525,295.86,300.9,307.485,310.96500000000003,305.88,308.19,300.46000000000004,320.2833333333333,311.3,322.07500000000005,298.22,263.5,320.69000000000005
2021-08-30 22:14:49+00:00,,244.40333333333334,257.91,251.85333333333332,253.58,255.44999999999996,252.10333333333335,250.8166666666667,257.875,243.11,244.88333333333333,246.465,243.62,231.95000000000002,255.605,246.36,245.51333333333335,253.51,262.58000000000004,269.655,277.41499999999996,273.48,274.99,273.62333333333333,276.52,263.06666666666666,279.58000000000004,273.87333333333333,281.92,287.63666666666666,291.26666666666665,304.6466666666667,288.40333333333336,296.81333333333333,296.97,300.94,308.33,310.00333333333333,307.3233333333333,308.54,302.99,317.325,307.58500000000004,314.2766666666667,292.975,256.25,312.52333333333337
2022-01-28 22:20:55+00:00,231.63,243.17999999999998,252.615,253.38000000000002,254.745,256.85,253.39499999999998,256.105,253.405,243.64999999999998,253.00500000000002,244.13,241.635,239.195,245.315,244.935,249.85500000000002,252.07,261.61,268.54999999999995,274.78999999999996,271.20000000000005,274.105,278.345,276.365,271.145,278.155,277.71500000000003,281.32000000000005,286.81,291.145,303.345,288.735,300.095,300.27,302.95,312.11,308.385,310.125,309.08500000000004,308.3,321.01,304.15,310.90333333333336,287.765,254.935,307.97333333333336
2022-02-13 22:20:52+00:00,238.20499999999998,249.70333333333335,254.83,255.75666666666666,257.5366666666667,257.45666666666665,263.6433333333333,261.47333333333336,257.7,249.33,256.21333333333337,249.96,245.84,241.99666666666667,245.92999999999998,244.98333333333335,249.13000000000002,252.53333333333333,260.91333333333336,266.75666666666666,274.30333333333334,272.5,274.17333333333335,279.29333333333335,276.74,271.45666666666665,278.50333333333333,278.93,283.69,286.30333333333334,290.52,301.19666666666666,289.22666666666663,300.41,300.79,302.75,311.6133333333333,308.6333333333333,310.125,309.08500000000004,308.3,308.515,304.15,297.55000000000007,287.765,255.78666666666666,294.6
2022-05-05 22:14:18+00:00,238.20499999999998,256.1,256.4533333333333,258.66333333333336,259.73,258.83,266.68333333333334,265.65000000000003,261.50333333333333,252.49,257.36333333333334,254.31000000000003,252.20666666666668,247.23333333333335,252.74333333333334,247.37333333333333,250.25000000000003,254.9766666666667,262.50666666666666,267.66,274.05,274.41333333333336,276.75333333333333,282.9,277.61000000000007,272.41,279.6466666666667,282.7866666666667,288.72333333333336,287.66333333333336,291.43666666666667,302.69666666666666,295.6266666666666,304.12,302.84,306.31666666666666,314.84666666666664,310.32,314.125,310.35,310.36,312.57,307.25,298.495,289.05,259.7733333333333,294.145
2022-05-21 22:14:07+00:00,238.20499999999998,256.1,253.2875,259.5825,259.5325,260.75,266.35,264.875,261.2075,250.1125,254.9875,251.9325,250.9125,246.935,251.205,245.865,248.72500000000002,252.5875,262.50666666666666,267.66,274.05,274.41333333333336,276.75333333333333,282.9,277.61000000000007,272.41,279.6466666666667,282.7866666666667,288.72333333333336,280.4325,281.1725,302.69666666666666,295.6266666666666,304.12,302.84,306.31666666666666,314.84666666666664,302.74749999999995,314.125,297.00666666666666,310.36,312.57,307.25,298.495,289.05,254.71,294.145
