dates,satname,nzd0043-0000,nzd0043-0001,nzd0043-0002,nzd0043-0003,nzd0043-0004,nzd0043-0005,nzd0043-0006,nzd0043-0007,nzd0043-0008,nzd0043-0009,nzd0043-0010,nzd0043-0011,nzd0043-0012,nzd0043-0013
2019-06-22 22:11:17.033000,L8,,,,,,,,,,,,262.82,262.27,288.65
2019-07-08 22:11:20.766000,L8,,,,286.83,300.33,311.69,301.70,311.92,,,,268.57,268.99,304.80
2019-07-15 22:17:32.572000,L8,363.05,358.17,356.27,,,,,,,,360.77,341.95,285.70,324.26
2019-07-24 22:11:25.033000,L8,,,,288.94,302.94,310.34,303.11,311.31,,,,265.57,264.96,296.66
2019-08-25 22:11:35.797000,L8,350.07,341.44,343.02,339.31,338.67,333.65,341.24,338.57,337.68,340.55,345.71,318.50,280.02,315.86
2019-09-10 22:11:39.873000,L8,,,,,,,,,,,,254.87,258.87,281.02
2019-09-26 22:11:45.238000,L8,340.17,329.93,320.82,330.67,322.23,322.67,330.76,328.33,309.18,333.01,335.26,293.35,274.80,305.85
2019-11-04 22:17:58.697000,L8,286.67,277.06,287.42,,,,,,,,,,,
2019-11-20 22:17:54.950000,L8,350.73,344.42,344.08,354.44,343.58,340.09,348.30,341.24,339.36,342.90,339.20,290.35,282.92,315.57
2019-12-22 22:17:51.823000,L8,357.20,343.42,341.25,354.72,343.18,338.63,347.24,339.31,337.30,341.02,340.30,292.46,286.65,322.68
2019-12-31 22:11:38.231000,L8,324.89,293.59,269.59,,,,,,,,,,267.00,288.67
2020-01-16 22:11:35.087000,L8,336.83,312.04,,289.21,326.02,328.10,337.47,336.30,339.15,343.17,348.32,318.65,290.12,326.02
2020-02-01 22:11:29.826000,L8,346.54,332.98,317.22,336.56,327.12,327.39,336.80,332.68,334.80,342.06,339.48,312.65,292.86,315.94
2020-02-08 22:17:38.924000,L8,299.22,289.17,287.74,,,,,,,,,,,
2020-02-17 22:11:26.315000,L8,348.88,330.67,315.53,334.98,325.66,327.14,334.29,332.74,334.13,338.34,334.43,318.91,290.32,333.50
2020-02-24 22:17:35.189000,L8,344.76,321.16,314.46,332.59,335.72,337.22,341.18,339.83,331.04,339.75,335.81,294.64,278.85,313.30
2020-03-11 22:17:28.877000,L8,286.61,280.01,278.62,,,,,,,,,,,
