dates,nzd0214-0000,nzd0214-0001,nzd0214-0002,nzd0214-0003,nzd0214-0004,nzd0214-0005,nzd0214-0006,nzd0214-0007,nzd0214-0008,nzd0214-0009,nzd0214-0010,nzd0214-0011,nzd0214-0012,nzd0214-0013,satname
2004-08-08 21:48:50+00:00,335.96,335.3511111111111,336.6688888888889,300.19,313.98400000000004,325.66555555555556,325.8833333333333,328.32444444444445,333.5422222222222,324.73555555555555,295.72444444444443,174.14,,304.7725,L5
2004-08-24 21:49:18+00:00,335.96,335.3511111111111,336.118,299.819,313.65099999999995,325.36,325.4,327.305,332.738,324.336,295.736,174.14,,304.7725,L5
2004-09-02 21:43:21+00:00,336.71777777777777,336.2677777777778,336.857,301.127,315.017,326.005,326.019,328.139,333.36400000000003,324.941,295.48300000000006,171.6,,305.0233333333333,L5
2004-09-25 21:50:07+00:00,339.51,338.97444444444443,339.25300000000004,300.37111111111113,314.4622222222222,326.43555555555554,329.12199999999996,330.37,336.454,327.24,297.63,171.6,329.73,314.075,L5
2004-10-20 21:44:28+00:00,340.23375,341.09,339.93111111111114,299.77875,313.65,326.315,328.96333333333337,330.40555555555557,335.51222222222225,326.3877777777777,293.26500000000004,171.6,329.73,322.9733333333333,L5
2004-10-27 21:50:47+00:00,339.12333333333333,339.91,339.01300000000003,300.28,314.1711111111111,325.71777777777777,328.33299999999997,329.377,334.574,325.329,288.1877777777778,171.6,329.73,322.9733333333333,L5
2004-12-07 21:45:24+00:00,341.34555555555556,341.4733333333333,340.639,302.9477777777778,316.3377777777778,327.15000000000003,329.913,330.482,335.20799999999997,325.885,285.59125,171.6,329.73,327.02,L5
2004-12-23 21:45:40+00:00,340.63800000000003,340.339,339.92,302.154,315.589,325.979,329.2181818181818,329.5890909090909,334.3027272727273,324.55636363636364,285.59125,171.6,329.73,327.02,L5
2005-01-15 21:52:09+00:00,343.19111111111107,342.2166666666667,341.63199999999995,304.87333333333333,317.8911111111111,325.32,328.886,327.42400000000004,333.088,323.077,275.7057142857143,169.06,329.73,341.23,L5
2005-01-24 21:46:06+00:00,342.3,341.34,341.136,305.51888888888885,318.3511111111111,324.7344444444445,328.519,327.08000000000004,331.809,322.35,270.6642857142857,169.06,329.73,341.23,L5
2005-02-09 21:46:19+00:00,342.3611111111111,340.9188888888889,340.84000000000003,305.37888888888887,318.3933333333334,324.92555555555555,328.994,327.048,330.983,322.197,265.89166666666665,169.06,329.73,341.23,L5
2005-02-16 21:52:37+00:00,343.075,341.274,341.1309090909091,305.693,318.76300000000003,324.783,329.1181818181818,326.54090909090905,330.4736363636364,322.0536363636364,263.2757142857143,169.06,329.73,341.23,L5
2005-02-25 21:46:35+00:00,342.72090909090906,341.03909090909093,341.81,306.751,319.76,324.50600000000003,329.2990909090909,326.7981818181818,330.6554545454546,321.81454545454545,258.33,169.06,329.73,341.23,L5
2005-03-04 21:52:52+00:00,342.21181818181816,340.8454545454546,341.49636363636364,305.85299999999995,318.731,323.286,328.01545454545453,324.8545454545455,329.4309090909091,320.3290909090909,252.49142857142857,,329.73,341.23,L5
2005-03-13 21:46:47+00:00,341.95166666666665,340.66333333333336,341.26916666666665,305.56545454545454,318.48545454545456,322.62454545454545,327.4116666666667,323.5475,329.0625,319.87916666666666,252.745,,329.73,341.23,L5
2005-04-21 21:53:10+00:00,340.7081818181818,338.05545454545455,338.9054545454546,305.4654545454545,318.19272727272727,322.28,325.15272727272725,322.01,326.8372727272727,318.03,254.56875000000002,,,,L5
2005-06-01 21:47:18+00:00,341.4509090909091,338.61090909090905,339.08,301.7981818181818,314.7172727272727,319.79818181818183,321.6454545454545,320.38000000000005,325.6209090909091,318.25300000000004,255.56857142857143,,,,L5
