dates,nzd0508-0000,nzd0508-0001,nzd0508-0002,nzd0508-0012,nzd0508-0013,nzd0508-0014,nzd0508-0015,nzd0508-0016,nzd0508-0007,nzd0508-0008,nzd0508-0009,nzd0508-0010,nzd0508-0017,nzd0508-0021,nzd0508-0022,nzd0508-0003,nzd0508-0004,nzd0508-0005,nzd0508-0006,nzd0508-0011,nzd0508-0018,nzd0508-0019,nzd0508-0020,nzd0508-0023,nzd0508-0024,nzd0508-0025
2018-03-06 22:20:26+00:00,291.84666666666664,305.51,307.51666666666665,305.6266666666666,304.14000000000004,299.3725,295.565,280.2625,296.0566666666667,298.53000000000003,302.58,303.7733333333333,285.0775,286.5475,291.0075,286.5366666666667,263.40000000000003,288.67333333333335,289.73333333333335,304.4166666666667,291.975,289.2275,284.7125,297.0675,307.9875,303.774
2018-03-15 22:14:10+00:00,291.81,306.60749999999996,308.1025,306.0725,304.40250000000003,299.852,295.748,280.48999999999995,296.16,298.535,302.37,304.94,285.392,286.8,291.412,288.5025,264.2375,288.1975,289.59250000000003,304.58,292.21,289.838,285.43,297.04200000000003,308.066,304.55
2018-04-16 22:13:54+00:00,283.904,306.60749999999996,308.1025,306.0725,304.40250000000003,299.852,286.70166666666665,275.7583333333333,288.346,298.535,302.37,304.94,281.8833333333333,283.53833333333336,288.5,288.5025,264.2375,288.1975,289.59250000000003,304.58,288.1433333333333,282.835,281.5083333333333,293.9916666666666,305.60333333333335,300.10166666666663
2018-05-18 22:13:34+00:00,283.904,306.60749999999996,308.1025,306.0725,304.40250000000003,299.852,283.7914285714286,273.3142857142857,288.346,298.535,302.37,304.94,279.0857142857143,283.53833333333336,286.55285714285714,288.5025,264.2375,288.1975,289.59250000000003,304.58,285.5228571428571,278.63714285714286,278.74142857142857,291.9714285714286,304.0014285714286,298.2471428571429
2018-08-29 22:20:19+00:00,277.50333333333333,307.0799999999999,307.01500000000004,304.30499999999995,303.95500000000004,298.985,274.7125,268.03249999999997,281.8633333333333,297.42500000000007,300.65,304.375,274.145,280.25333333333333,280.87199999999996,289.35,264.62,285.455,287.95500000000004,303.875,275.01599999999996,263.808,274.4825,285.332,298.848,284.49800000000005
2018-09-07 22:14:12+00:00,271.99,309.9,309.86,305.135,303.885,298.59000000000003,274.78999999999996,266.69999999999993,280.6166666666667,295.695,301.08500000000004,304.5,273.03499999999997,276.38666666666666,279.944,294.465,269.90999999999997,284.725,285.8,304.03999999999996,273.72400000000005,260.784,270.875,284.87199999999996,298.036,284.08000000000004
2018-09-30 22:20:31+00:00,252.28,,,302.86,302.58,295.41,267.55999999999995,266.3924999999999,272.69,292.84,300.43,300.56,272.69,276.3233333333333,279.856,294.53,273.07,282.68,282.43,303.01,273.442,260.45,270.2075,284.774,298.326,284.004
2019-01-13 22:14:27+00:00,298.13,307.3,309.67,305.87,305.355,299.25,296.96500000000003,280.6466666666666,294.135,295.595,303.70000000000005,302.78,284.42,284.98333333333335,286.10249999999996,293.17499999999995,269.755,289.20000000000005,288.115,304.79999999999995,282.40250000000003,273.805,282.5966666666667,291.2175,304.9925,296.175
2019-02-05 22:20:33+00:00,288.235,301.75,302.805,305.87,305.355,299.25,296.96500000000003,280.6466666666666,288.97,290.18333333333334,295.98333333333335,296.02,284.42,280.725,283.702,287.51,263.2033333333333,283.7033333333334,282.68,295.8066666666667,282.40250000000003,273.805,274.70500000000004,289.188,302.932,295.13800000000003
2019-02-21 22:20:30+00:00,288.53999999999996,302.1166666666667,302.805,306.56,305.32,299.81666666666666,296.8566666666666,281.0775,291.245,292.3775,298.2975,298.6575,284.7875,282.198,284.99333333333334,288.3925,264.04999999999995,286.11,285.07,297.96999999999997,284.394,277.01599999999996,277.0,290.37833333333333,303.9533333333333,297.185
