dates,satname,nzd0054-0000,nzd0054-0001,nzd0054-0002,nzd0054-0003,nzd0054-0004,nzd0054-0005,nzd0054-0006,nzd0054-0007,nzd0054-0008,nzd0054-0009,nzd0054-0011,nzd0054-0012,nzd0054-0013,nzd0054-0014,nzd0054-0015,nzd0054-0016,nzd0054-0017,nzd0054-0018,nzd0054-0019,nzd0054-0020,nzd0054-0021,nzd0054-0022,nzd0054-0023,nzd0054-0024,nzd0054-0025,nzd0054-0026,nzd0054-0027,nzd0054-0028,nzd0054-0029,nzd0054-0030,nzd0054-0033,nzd0054-0034,nzd0054-0035,nzd0054-0037,nzd0054-0038,nzd0054-0039,nzd0054-0040,nzd0054-0042,nzd0054-0043,nzd0054-0044,nzd0054-0045,nzd0054-0046,nzd0054-0047,nzd0054-0048,nzd0054-0049,nzd0054-0050,nzd0054-0051,nzd0054-0052,nzd0054-0053,nzd0054-0054,nzd0054-0055,nzd0054-0056,nzd0054-0057,nzd0054-0058,nzd0054-0059,nzd0054-0060,nzd0054-0061,nzd0054-0062,nzd0054-0063,nzd0054-0064,nzd0054-0065,nzd0054-0066,nzd0054-0067,nzd0054-0068,nzd0054-0069,nzd0054-0070,nzd0054-0071,nzd0054-0072,nzd0054-0073,nzd0054-0074,nzd0054-0075,nzd0054-0076,nzd0054-0077,nzd0054-0078,nzd0054-0079,nzd0054-0080,nzd0054-0081,nzd0054-0082,nzd0054-0083,nzd0054-0084,nzd0054-0085,nzd0054-0086,nzd0054-0087,nzd0054-0088,nzd0054-0089,nzd0054-0090,nzd0054-0091,nzd0054-0092,nzd0054-0093,nzd0054-0094,nzd0054-0010,nzd0054-0031,nzd0054-0032,nzd0054-0036,nzd0054-0041
2014-04-28 22:17:22.576000,L8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183.88,189.56,200.79,196.81,197.29,193.31,,,,235.93,235.11,223.79,232.54,222.93,227.01,233.67,190.32,189.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288.49,293.73,273.15,238.93,226.88,221.94,196.39,,,,,185.39,207.55,
2014-05-14 22:17:08.923000,L8,,,204.44,204.83,208.28,215.57,,,,,,333.18,334.91,185.19,191.79,198.27,209.98,214.92,194.01,222.42,230.05,,,,,190.37,192.57,196.02,210.18,213.07,,,181.83,194.77,199.69,206.75,209.20,213.54,,,,217.01,207.44,216.44,,,,,,,,,,,,,,,,,,,,,,,221.13,226.09,217.64,215.08,222.47,218.94,201.41,,,,,,,,,,,,,,,225.63,200.19,200.47,,222.19,227.04,183.37,216.84
2014-07-17 22:17:28.260000,L8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,480.18,477.99,474.90,,,,,,,,,475.35,457.02,467.15,,,,,,,,,,,,,,
2015-07-20 22:17:10.706000,L8,,,,,,,,,,,,184.50,192.95,205.82,225.86,222.36,276.74,283.43,256.51,239.06,,,,,,,,,,,353.19,316.06,319.29,187.80,212.17,229.01,227.83,243.41,258.20,241.91,267.81,274.26,467.41,486.46,510.17,,,,,,,,,,,,,,,,,,,,,,,,,197.79,199.46,214.23,224.18,231.79,219.24,211.36,212.69,217.52,224.69,213.82,228.11,,,,,,,,,,,,,309.77,227.24
2015-10-24 22:17:40.820000,L8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,524.09,525.19,528.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,515.78,525.12,
2015-12-11 22:17:42.627000,L8,275.20,292.11,,,,319.08,321.06,316.45,,,,,,,,,,,,,264.14,277.77,283.62,,,,,,,,,,,,,,,185.19,190.14,191.29,195.98,200.20,194.47,222.14,192.28,334.09,297.69,299.25,337.09,,,335.30,327.70,331.88,335.43,299.39,,,343.07,291.13,,,307.34,266.47,307.26,,,,,,,,534.77,540.12,228.46,240.27,232.26,324.17,326.95,345.26,321.91,,,,350.49,341.59,344.74,335.95,345.88,353.17,,,,,
2015-12-27 22:17:43.409000,L8,,,,,,,,,,,,,,,,,,,,,,,260.98,267.46,268.33,276.67,,,,,,,,,,,,,311.82,320.34,321.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269.46,275.10,271.03,270.53,,342.04,,,,,
2016-01-12 22:17:40.472000,L8,,,249.81,278.60,282.77,,,,,,186.68,199.99,195.67,201.06,263.02,259.37,283.54,282.74,268.14,,,,,,,,,,,,,,,202.41,274.92,,,282.12,,,197.90,204.15,249.48,249.66,354.61,326.17,346.80,351.51,347.76,206.36,210.00,216.15,,,,,,,,,,,,,,,,209.27,187.68,183.85,212.90,209.10,196.79,205.33,191.98,183.72,192.89,197.83,183.03,194.65,184.73,203.73,203.25,205.10,205.73,199.42,216.48,197.00,210.50,226.13,,,,,289.63
2016-01-28 22:17:39.790000,L8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,560.54,330.82,407.91,,215.02,247.15,213.75,226.95,242.71,317.03,309.16,,,,,,,,,,,,,,,,,,465.04,524.16,,,,505.00,,,,,,,,,,,,375.11,363.77,,,,,,,,,,,,,,,
2016-04-01 22:17:14.685000,L8,,,,,,,,,,,,,,,,,,,,,,423.70,440.99,454.29,479.56,458.98,458.98,455.74,468.29,470.94,497.06,505.79,505.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,556.59,521.38,514.74,521.92,523.60,526.64,,,,,,,,,,,,,,,,,,,,,,,,,,484.63,478.33,500.49,
2016-10-10 22:17:54.274000,L8,,,,,,469.28,435.55,396.87,396.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-30 22:17:38.957000,L8,,,,,,,,,,,,,,,,,,,,,,,,,278.18,278.98,277.95,281.96,,,,,,,,,,,,,,,,,,,,,,,,,,347.54,358.08,365.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-03 22:17:25.727000,L8,,,,520.93,509.34,479.02,527.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-19 22:17:15.956000,L8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,549.10,509.53,474.44,481.16,,,,,
2017-04-20 22:16:59.468000,L8,,,,327.89,333.04,436.55,445.96,453.34,347.02,,356.64,363.31,369.19,363.52,,497.99,494.89,457.34,488.09,,,,,,479.02,361.21,365.33,371.48,,431.54,416.53,442.19,477.52,,,,,,,,,485.19,484.06,494.56,502.50,510.19,510.26,472.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,471.21,523.50,526.67,,,,,,,,,,446.38,454.82,492.90,
2017-05-06 22:16:55.401000,L8,,,520.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-10 22:17:37.375000,L8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215.61,335.95,212.94,,,,,,,433.97,393.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
