dates,satname,nzd0517-0000,nzd0517-0001,nzd0517-0002,nzd0517-0003,nzd0517-0004,nzd0517-0005,nzd0517-0006,nzd0517-0007,nzd0517-0008,nzd0517-0009,nzd0517-0010,nzd0517-0011,nzd0517-0012,nzd0517-0013,nzd0517-0014,nzd0517-0015,nzd0517-0016,nzd0517-0017,nzd0517-0018,nzd0517-0019,nzd0517-0020,nzd0517-0021,nzd0517-0022,nzd0517-0023,nzd0517-0024,nzd0517-0025,nzd0517-0026,nzd0517-0027,nzd0517-0028,nzd0517-0029,nzd0517-0030,nzd0517-0031,nzd0517-0032,nzd0517-0033,nzd0517-0034,nzd0517-0035,nzd0517-0036,nzd0517-0037,nzd0517-0038,nzd0517-0039,nzd0517-0040,nzd0517-0041,nzd0517-0042,nzd0517-0043,nzd0517-0044,nzd0517-0045,nzd0517-0046,nzd0517-0047
2007-02-27 22:21:56.031000,L5,267.72,288.92,272.64,255.81,238.22,279.52,280.55,276.82,288.19,285.87,279.63,270.97,284.64,248.88,298.34,297.69,300.44,284.23,303.02,226.68,,,,,,,286.12,228.14,235.61,263.50,,,,,,,304.19,296.79,307.60,302.15,284.49,301.37,304.58,290.46,320.63,318.47,323.31,342.00
2008-10-27 22:10:37.958000,L5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231.44,281.20,289.41,299.75,248.74,304.05,199.60,308.98,293.76,296.84,297.52,315.36,317.83,318.51,323.65,324.38,330.36,330.60,333.57,354.18
2009-01-31 22:12:28.607000,L5,,,,,,,,,,,,,,,,,,,237.08,292.64,297.79,291.44,255.42,288.62,292.79,292.09,299.85,304.02,293.82,293.49,298.76,302.87,300.33,305.20,306.04,313.12,312.62,309.98,309.45,308.63,308.27,307.16,311.67,314.95,320.76,320.60,328.35,343.31
2010-11-02 22:16:48.420000,L5,289.82,308.07,290.28,241.50,162.97,,,,258.89,262.85,,,,,,,,,,,,,,189.37,193.64,230.35,274.10,293.95,274.22,283.75,285.04,287.82,268.77,295.91,290.57,306.71,306.94,303.26,308.08,310.63,316.53,301.56,309.18,312.91,318.77,315.59,320.62,341.48
2010-12-20 22:16:50.270000,L5,353.15,358.86,342.81,320.35,327.70,345.57,342.05,340.41,338.07,341.08,335.94,340.85,341.20,350.60,355.65,361.99,363.27,359.43,361.20,347.55,350.94,346.30,344.10,345.42,346.02,350.21,351.29,345.09,333.36,332.48,344.53,349.47,351.06,355.10,358.54,365.46,365.07,366.17,364.63,364.54,367.22,363.13,363.61,364.79,366.84,360.46,373.04,419.26
2011-01-12 22:23:04.859000,L5,,295.36,262.90,259.60,222.01,269.43,264.37,263.07,273.01,289.00,290.10,290.99,290.17,286.57,302.31,312.91,317.90,314.82,320.89,304.99,296.39,,,,,,,,,271.58,282.00,231.82,308.68,306.01,287.23,290.95,308.04,314.90,314.38,319.50,314.65,158.02,254.26,263.08,214.91,201.25,209.81,250.74
2011-01-21 22:16:54.354000,L5,327.86,350.92,327.42,304.98,300.43,319.88,322.91,319.59,323.46,322.53,322.42,324.86,326.68,332.98,342.32,344.29,349.27,347.66,348.88,334.20,335.52,330.03,322.46,329.34,329.55,333.44,336.96,328.85,328.33,326.39,333.09,330.12,333.37,340.71,340.60,343.53,343.91,339.22,340.79,339.61,342.33,343.84,342.45,355.59,353.27,358.61,403.65,414.54
2013-05-02 22:28:46.370000,L8,,288.08,264.48,254.85,220.98,273.25,264.83,,283.16,282.17,280.87,219.15,264.23,231.24,208.66,181.39,256.39,226.83,240.91,207.62,,,,,,,248.24,291.06,244.96,279.42,257.47,226.03,231.63,234.99,203.79,173.01,242.46,,,,164.36,276.56,262.27,190.16,151.43,,,
2013-08-13 22:35:09.413000,L8,,299.10,276.65,251.09,203.82,265.02,259.47,,270.05,269.78,275.61,213.89,259.61,229.73,205.88,175.97,226.14,216.73,236.64,206.12,,,,,,,198.66,243.46,241.60,259.02,247.17,168.28,213.49,226.38,210.35,186.29,235.52,,,,180.98,271.97,260.22,189.11,159.15,200.31,191.21,180.58
2013-08-22 22:29:00.806000,L8,,304.53,275.89,258.23,220.33,273.40,273.09,,281.33,286.78,283.96,226.98,274.61,244.90,214.68,276.09,275.54,236.86,261.33,216.72,,,,,,,251.88,283.16,251.86,279.74,266.19,280.26,235.43,234.84,222.94,245.06,241.16,,,,185.61,278.11,270.34,198.94,279.00,226.18,236.81,219.51
