dates,nzd0053-0000,nzd0053-0001,nzd0053-0002,nzd0053-0003,nzd0053-0004,nzd0053-0005,nzd0053-0006,nzd0053-0007,nzd0053-0008,nzd0053-0009,nzd0053-0010,nzd0053-0011,nzd0053-0012,satname
2016-05-19 22:17:11+00:00,339.48,340.4533333333333,342.15333333333336,352.16999999999996,358.64000000000004,353.78999999999996,353.20799999999997,351.445,358.8125,353.5325,360.07,351.108,332.9816666666666,L8
2016-05-28 22:11:03+00:00,339.48,340.4533333333333,342.15333333333336,352.16999999999996,358.64000000000004,353.78999999999996,353.20799999999997,355.29200000000003,359.662,356.89,366.0875,356.3233333333333,332.9816666666666,L8
2016-06-29 22:11:15+00:00,,,,,355.2,350.3833333333334,352.75,355.4766666666667,358.6133333333333,364.405,375.90999999999997,365.47799999999995,337.886,L8
2016-07-15 22:11:22+00:00,,,,,355.2,350.3833333333334,352.75,359.385,358.6133333333333,365.716,375.90999999999997,365.47799999999995,343.7375,L8
2016-08-07 22:17:37+00:00,,,,,355.2,350.3833333333334,352.75,358.752,358.7475,365.716,375.90999999999997,359.9783333333333,338.352,L8
2016-08-16 22:11:29+00:00,,,,,355.2,350.3833333333334,355.09000000000003,358.752,358.7475,366.47666666666663,375.90999999999997,359.9783333333333,338.352,L8
2016-09-08 22:17:48+00:00,,,,,355.92499999999995,361.35999999999996,362.92,366.094,364.02250000000004,365.965,370.4333333333334,352.3566666666666,330.974,L8
2016-09-24 22:17:49+00:00,,,,,355.92499999999995,361.35999999999996,362.92,366.094,364.02250000000004,365.965,370.4333333333334,350.39166666666665,326.392,L8
2016-10-10 22:17:54+00:00,347.9,344.85,345.73,,356.6166666666666,361.98,363.36,365.92833333333334,365.908,365.0571428571429,369.2475,349.96714285714285,324.2033333333333,L8
2016-11-20 22:11:45+00:00,347.9,344.85,345.73,,356.6166666666666,362.34666666666664,363.78333333333336,366.00800000000004,366.8225,368.23500000000007,369.77,344.32142857142856,326.62000000000006,L8
2016-12-22 22:11:39+00:00,347.9,344.85,345.73,,356.6166666666666,362.34666666666664,363.78333333333336,364.84000000000003,368.07666666666665,367.81800000000004,362.585,333.14285714285717,327.5728571428572,L8
2017-01-30 22:17:38+00:00,347.9,349.375,354.90999999999997,365.48,357.32499999999993,367.78666666666663,366.91333333333336,362.75000000000006,368.07666666666665,371.0625,362.585,323.67,327.79714285714283,L8
2017-03-03 22:17:25+00:00,350.9,350.5833333333333,354.71000000000004,362.96500000000003,360.2133333333333,367.78666666666663,369.31499999999994,367.84666666666664,372.53999999999996,374.105,364.71333333333337,321.908,331.8157142857143,L8
2017-04-13 22:10:53+00:00,353.9,353.45,359.20000000000005,362.96500000000003,365.99,379.4,373.95,371.51,,385.9200000000001,368.97,310.3233333333333,344.178,L8
2017-04-20 22:16:59+00:00,353.9,353.45,359.20000000000005,362.96500000000003,365.99,362.03,362.08500000000004,365.895,361.0,373.6566666666667,368.97,310.3233333333333,340.79333333333335,L8
2017-07-09 22:17:23+00:00,353.9,353.45,359.20000000000005,362.96500000000003,365.99,362.03,362.08500000000004,365.895,361.0,373.6566666666667,368.97,307.02,339.92999999999995,L8
2017-07-25 22:17:30+00:00,353.9,353.45,359.20000000000005,362.96500000000003,365.99,362.03,362.08500000000004,365.895,361.0,373.6566666666667,368.97,307.02,337.49499999999995,L8
2017-08-10 22:17:37+00:00,353.9,353.0,354.31,360.45,365.99,344.66,350.22,365.895,361.0,365.78999999999996,368.97,307.02,331.94,L8
2017-09-27 22:17:48+00:00,,,,,,344.66,350.22,360.28,361.0,349.13,,307.02,327.705,L8
2018-01-26 22:11:21+00:00,,319.87,322.2,,,305.44,,,327.53,367.1,375.38,,322.535,L8
2018-04-07 22:16:59+00:00,,319.87,322.2,,,305.44,,,327.53,367.1,375.38,,322.34,L8
2018-05-25 22:16:28+00:00,,319.87,322.2,,,305.44,362.49,366.22,343.41499999999996,354.29,375.38,304.6,325.575,L8
2018-06-26 22:16:36+00:00,,319.87,322.2,,,305.44,362.49,366.22,343.41499999999996,354.29,375.38,301.565,326.31333333333333,L8
2018-09-07 22:11:00+00:00,,,,,,,362.49,366.22,359.3,341.48,,309.43333333333334,332.6925,L8
2018-10-09 22:11:13+00:00,,,,,,,362.49,366.22,359.3,341.48,,314.195,341.6275,L8
2018-11-01 22:17:30+00:00,,,,,,,362.49,366.22,359.3,341.48,,310.498,337.32,L8
2019-01-04 22:17:27+00:00,,,,,,,,,,,,311.6375,340.6475,L8
2019-02-05 22:17:21+00:00,365.07,,358.06,365.51,369.67,,378.18,375.21,379.05,386.03,381.16,311.6375,346.95199999999994,L8
2019-02-14 22:11:09+00:00,350.77,339.52,348.495,359.79499999999996,366.665,,377.03999999999996,375.21,379.05,386.03,381.16,311.6375,346.95199999999994,L8
2019-03-02 22:11:05+00:00,345.6933333333333,339.13,344.8733333333333,358.10999999999996,365.99666666666667,,376.07,375.21,379.05,386.03,381.16,311.6375,346.95199999999994,L8
2019-03-25 22:17:09+00:00,345.6933333333333,339.13,344.8733333333333,358.10999999999996,365.99666666666667,,376.07,375.21,379.05,386.03,381.16,304.565,341.918,L8
2019-04-26 22:16:59+00:00,345.6933333333333,339.13,344.8733333333333,358.10999999999996,365.99666666666667,,376.07,375.21,379.05,386.03,362.6,308.275,337.62600000000003,L8
2019-05-12 22:17:08+00:00,345.6933333333333,339.13,344.8733333333333,358.10999999999996,365.99666666666667,300.38,376.07,366.30499999999995,369.755,367.745,361.92,322.52750000000003,339.64,L8
2019-05-28 22:17:17+00:00,345.6933333333333,339.13,344.8733333333333,358.10999999999996,365.99666666666667,300.38,376.07,366.30499999999995,369.755,367.745,359.3275,327.656,339.08666666666664,L8
2019-06-22 22:11:17+00:00,345.6933333333333,339.13,344.8733333333333,358.10999999999996,365.99666666666667,300.38,376.07,366.30499999999995,369.755,367.745,359.3275,327.656,341.49571428571426,L8
2019-07-24 22:11:25+00:00,345.6933333333333,339.13,344.8733333333333,358.10999999999996,365.99666666666667,300.38,376.07,366.30499999999995,369.755,367.745,359.3275,335.2725,345.44000000000005,L8
2019-09-26 22:11:45+00:00,343.15,339.06,347.91,359.87,368.58,300.38,,357.4,360.46,349.46,352.04999999999995,348.07,343.85,L8
2019-11-04 22:17:58+00:00,345.255,341.305,333.915,359.87,368.58,300.38,,357.4,360.46,349.46,356.05499999999995,344.4266666666667,345.6575,L8
2019-11-29 22:11:44+00:00,341.40333333333336,338.93,337.74,356.985,366.135,371.77,375.71,,,,,332.39,358.07500000000005,L8
2019-12-31 22:11:38+00:00,341.40333333333336,338.93,337.74,356.985,366.135,371.77,375.71,,,,,323.325,362.875,L8
2020-01-16 22:11:35+00:00,332.59749999999997,337.1875,332.565,353.4533333333334,366.135,364.59000000000003,364.405,364.95,344.77,365.81,362.02,323.325,362.875,L8
2020-02-01 22:11:29+00:00,334.418,336.994,335.398,354.33,366.75333333333333,367.7033333333334,364.405,364.95,344.77,365.81,362.02,323.325,365.55,L8
2020-02-24 22:17:35+00:00,337.34499999999997,338.7,336.43333333333334,354.95799999999997,364.34000000000003,366.0775,363.24,360.71000000000004,352.095,356.65,359.91499999999996,326.21,355.32500000000005,L8
2020-03-11 22:17:28+00:00,343.0257142857143,341.02,340.61857142857144,354.95799999999997,364.34000000000003,367.636,363.24,365.68333333333334,352.095,356.65,359.91499999999996,326.21,355.32500000000005,L8
2020-03-27 22:17:20+00:00,343.00499999999994,341.34666666666664,339.4033333333333,353.73,362.92666666666673,367.636,363.24,365.68333333333334,352.095,356.65,359.91499999999996,328.135,345.18333333333334,L8
2020-04-21 22:10:57+00:00,343.00499999999994,341.34666666666664,339.4033333333333,353.73,362.92666666666673,367.636,363.24,365.68333333333334,352.095,356.65,364.9433333333333,328.135,351.205,L8
2020-07-01 22:17:22+00:00,347.09000000000003,342.5875,342.7775,353.6066666666666,362.5450000000001,366.6025,357.005,365.68333333333334,352.095,356.65,364.9433333333333,332.945,346.42333333333335,L8
2020-07-10 22:11:15+00:00,347.09000000000003,342.5875,342.7775,353.6066666666666,362.5450000000001,366.6025,357.005,365.68333333333334,352.095,356.65,364.9433333333333,332.945,347.6825,L8
2020-08-02 22:17:33+00:00,362.52333333333337,351.0849999999999,353.66999999999996,357.47,357.1,367.535,360.91,366.04999999999995,359.42,347.49,366.405,332.945,341.718,L8
2020-09-03 22:17:46+00:00,367.7950000000001,354.94,365.73,,,373.87,,375.63,,,375.0,333.91,336.174,L8
2020-09-19 22:17:52+00:00,358.48,,,,,,,,,,375.0,314.65,333.7366666666666,L8
2020-12-17 22:11:45+00:00,343.355,326.53,318.72,343.09,321.73,341.5,343.5,366.08,333.66,,,295.39,327.0625,L8
2021-01-25 22:17:44+00:00,340.53,338.65,332.96500000000003,349.955,340.135,353.475,353.865,364.42499999999995,350.675,348.54,356.52,295.39,327.98,L8
2021-02-19 22:11:27+00:00,339.21,338.43333333333334,334.48,351.6133333333333,349.24,362.21999999999997,353.865,364.42499999999995,350.675,348.54,356.52,295.39,331.35333333333335,L8
2021-03-23 22:11:13+00:00,337.6725,337.5775,334.0325,351.5625,352.5875,364.55,353.865,364.42499999999995,350.675,348.54,356.52,,364.69,L8
2021-03-30 22:17:22+00:00,337.6725,337.5775,334.0325,351.5625,352.5875,364.55,353.865,364.42499999999995,350.675,348.54,356.52,298.57,351.33666666666664,L8
2021-04-24 22:11:01+00:00,337.6725,337.5775,334.0325,351.5625,352.5875,362.52200000000005,353.865,352.6266666666666,348.90000000000003,359.14,356.52,298.57,353.445,L8
2021-05-01 22:17:07+00:00,337.6725,337.5775,334.0325,351.5625,352.5875,362.52200000000005,353.865,352.6266666666666,348.90000000000003,359.14,356.52,298.57,347.332,L8
2021-05-17 22:17:12+00:00,337.6725,337.5775,334.0325,351.5625,352.5875,362.52200000000005,353.865,354.7675,352.275,355.6266666666667,358.67499999999995,298.57,343.58666666666664,L8
2021-06-18 22:17:27+00:00,340.82,341.26,339.1366666666667,354.3866666666667,362.8733333333333,367.77750000000003,364.23,350.99666666666667,358.47999999999996,355.6266666666667,358.67499999999995,297.265,340.65857142857146,L8
2021-07-13 22:11:19+00:00,340.82,341.26,339.1366666666667,354.3866666666667,362.8733333333333,367.77750000000003,364.23,350.99666666666667,358.47999999999996,355.6266666666667,358.67499999999995,297.265,341.28999999999996,L8
2021-10-01 22:11:46+00:00,331.44,336.29,339.52,353.34,362.7,363.20500000000004,371.66,355.5,353.87499999999994,359.1700000000001,360.83,295.96,338.325,L8
2021-11-18 22:11:44+00:00,331.44,336.29,339.52,353.34,362.7,372.0,371.66,376.28,373.26,369.43,,295.96,340.8133333333333,L8
2021-12-19 22:17:52+00:00,342.355,343.21500000000003,339.52,353.34,362.7,372.0,370.33500000000004,374.05499999999995,373.26,375.58500000000004,,,349.96000000000004,L9
2022-01-04 22:17:52+00:00,342.355,343.21500000000003,339.995,353.34,342.83,361.15999999999997,348.57666666666665,374.05499999999995,373.26,375.58500000000004,,300.64,341.7475,L9
