dates,nzd0490-0000,nzd0490-0001,nzd0490-0002,nzd0490-0003,nzd0490-0004,nzd0490-0005,nzd0490-0006,nzd0490-0007,nzd0490-0008,nzd0490-0014,nzd0490-0015,nzd0490-0016,nzd0490-0017,nzd0490-0018,nzd0490-0019,nzd0490-0020,nzd0490-0021,nzd0490-0024,nzd0490-0025,nzd0490-0026,nzd0490-0027,nzd0490-0028,nzd0490-0029,nzd0490-0030,nzd0490-0031,nzd0490-0032,nzd0490-0033,nzd0490-0035,nzd0490-0036,nzd0490-0037,nzd0490-0038,nzd0490-0039,nzd0490-0009,nzd0490-0010,nzd0490-0011,nzd0490-0022,nzd0490-0023,nzd0490-0034,nzd0490-0012,nzd0490-0013,satname
2014-09-03 22:20:30+00:00,,,278.082,265.136,269.204,274.55000000000007,283.42400000000004,295.726,305.47799999999995,299.17333333333335,294.642,291.55,290.535,295.295,293.376,310.71333333333325,304.11800000000005,331.4375,337.2825,335.692,329.36,331.456,322.0083333333334,330.0083333333334,324.13666666666666,319.554,312.55,322.274,325.808,317.67,319.33,308.92,305.4475,304.454,305.312,293.566,320.6366666666667,308.4833333333333,297.8833333333333,299.1566666666667,L8
2014-09-19 22:20:30+00:00,,,267.645,266.8575,271.605,277.7225,285.365,296.2,307.6775,304.218,301.5375,299.4475,292.614,298.12399999999997,299.3675,323.285,309.005,334.8233333333333,343.22666666666663,341.5625,332.42,339.5775,324.896,336.56,326.786,325.075,316.7525,329.1325,328.8175,319.10999999999996,325.438,310.66333333333336,310.8633333333333,308.08500000000004,304.4266666666667,293.78249999999997,338.36,311.19,300.955,304.11199999999997,L8
2014-09-28 22:14:44+00:00,,,267.645,264.37800000000004,269.214,275.24800000000005,282.624,293.494,304.134,302.52,299.448,297.23400000000004,292.0683333333333,297.53000000000003,298.216,317.5366666666667,307.358,333.52750000000003,340.5825,339.48999999999995,331.366,336.92400000000004,323.88166666666666,334.405,325.8516666666667,323.048,315.34,326.492,327.182,318.8157142857143,322.78999999999996,310.50428571428574,307.305,306.07800000000003,303.6225,293.28599999999994,329.0733333333333,310.085,301.28,302.1716666666667,L8
2014-11-06 22:20:37+00:00,,,262.4875,263.362,268.48199999999997,274.172,281.442,292.964,303.54999999999995,300.9483333333333,298.278,295.8,292.41333333333336,297.54,298.73400000000004,313.18666666666667,307.572,332.005,337.94,338.302,331.246,335.436,322.91833333333335,333.2316666666666,325.03833333333336,321.11,313.854,321.81399999999996,326.44166666666666,318.4585714285714,321.5366666666667,309.2071428571429,305.68,305.178,300.4425,294.674,319.9066666666667,308.45166666666665,302.29499999999996,300.84,L8
2014-11-22 22:20:33+00:00,,,264.006,263.1333333333334,268.4583333333333,273.81,281.52,292.87,302.8033333333333,300.41285714285715,298.3333333333333,295.56666666666666,293.22285714285715,297.9971428571429,298.79,311.1775,307.4316666666667,330.82,337.11,337.195,330.93666666666667,333.1766666666667,322.40999999999997,331.7114285714286,324.53000000000003,319.97499999999997,312.66,320.6133333333333,325.70714285714286,318.1425,320.0371428571429,309.165,305.11,304.6533333333333,300.646,295.73,317.4575,308.0885714285714,302.772,300.04,L8
2015-02-26 22:20:10+00:00,,,259.8125,261.066,267.062,272.526,281.15200000000004,291.588,299.004,298.482,299.332,296.634,295.05,300.844,300.554,309.51599999999996,306.52200000000005,329.636,336.294,336.748,330.56399999999996,330.158,320.91600000000005,329.308,324.86,318.896,313.034,321.636,324.536,317.30833333333334,317.60800000000006,310.23833333333334,303.906,302.71000000000004,300.115,297.78799999999995,317.838,308.20200000000006,303.946,296.802,L8
2015-03-14 22:19:59+00:00,,,262.154,261.00666666666666,266.74666666666667,272.195,280.97833333333335,291.315,298.89833333333337,297.3883333333334,297.84166666666664,294.97166666666664,294.185,300.29333333333335,299.7,309.05333333333334,305.80833333333334,329.37333333333333,335.55833333333334,336.245,330.49499999999995,329.58,320.9266666666667,328.3516666666667,324.5566666666667,318.3433333333333,312.2966666666667,320.91,324.385,319.9166666666667,317.3966666666667,311.53,303.56166666666667,302.455,298.742,297.51,317.25333333333333,307.86,302.59,295.5783333333333,L8
2015-04-15 22:20:10+00:00,,315.33,274.024,265.02,269.548,271.74249999999995,280.9375,291.0025,303.044,296.74799999999993,295.486,292.23,294.98999999999995,299.858,299.39,305.17,303.7525,327.3575,333.09749999999997,332.975,330.148,326.268,321.06600000000003,325.41999999999996,325.358,315.16249999999997,312.38,318.484,322.7775,317.54249999999996,314.725,312.1,306.356,304.482,298.125,298.265,313.59499999999997,308.812,300.606,293.82599999999996,L8
2015-05-01 22:19:36+00:00,,315.33,274.5933333333333,264.70666666666665,269.465,271.78999999999996,281.15,291.304,302.785,297.0083333333333,295.635,292.33166666666665,294.8333333333333,299.66333333333336,298.4433333333333,305.17,304.334,327.3575,333.09749999999997,333.80000000000007,329.835,326.268,321.4433333333333,325.41999999999996,325.358,316.77,312.7966666666666,319.4633333333333,322.7775,317.54249999999996,316.794,312.1433333333334,306.4533333333333,303.9016666666667,298.30199999999996,296.966,313.59499999999997,308.5233333333333,300.865,294.005,L8
2015-06-11 22:13:52+00:00,,315.33,278.7925,265.79499999999996,270.0275,271.9975,282.385,292.65999999999997,310.32,296.968,294.494,294.052,293.236,298.552,296.316,305.90333333333336,303.58250000000004,327.305,332.94499999999994,335.40333333333336,330.355,328.26666666666665,322.515,326.6066666666666,327.64000000000004,318.18,315.42499999999995,323.23400000000004,324.21999999999997,320.36999999999995,320.41666666666663,314.242,311.54,304.584,296.64,291.6825,316.84499999999997,309.775,298.7925,294.846,L8
