dates,nzd0206-0000,nzd0206-0001,nzd0206-0002,nzd0206-0003,nzd0206-0004,nzd0206-0005,nzd0206-0006,nzd0206-0007,nzd0206-0008,nzd0206-0009,nzd0206-0010,nzd0206-0011,nzd0206-0012,nzd0206-0013,nzd0206-0014,nzd0206-0015,nzd0206-0016,nzd0206-0017,nzd0206-0018,nzd0206-0019,nzd0206-0020,nzd0206-0021,nzd0206-0022,nzd0206-0023,nzd0206-0024,nzd0206-0025,nzd0206-0026,nzd0206-0027,nzd0206-0028,nzd0206-0029,nzd0206-0030,nzd0206-0031,nzd0206-0032,nzd0206-0033,nzd0206-0034,nzd0206-0035,nzd0206-0036,nzd0206-0037,nzd0206-0038,nzd0206-0039,nzd0206-0040,nzd0206-0041,nzd0206-0042,satname
2021-02-19 22:12:15.899,336.1275,321.58000000000004,332.1525,329.2925,332.445,323.168,379.3025,315.058,369.11,296.755,344.49,329.855,334.68571428571425,332.89142857142855,328.72375,331.83125,331.50875,318.64,335.73,331.22125,329.07714285714286,321.845,300.875,286.795,272.7683333333334,243.55625,233.57399999999998,198.946,226.8983333333333,268.45666666666665,249.67200000000003,257.705,296.916,290.11199999999997,284.978,236.34000000000003,326.815,345.05999999999995,359.27,317.3,356.025,281.0733333333333,364.06999999999994,L8
2021-03-16 22:05:51.916,336.1275,317.0133333333333,326.648,324.158,326.866,318.74333333333334,379.3025,309.31666666666666,369.11,293.53000000000003,344.49,329.855,334.68571428571425,332.89142857142855,328.72375,331.83125,331.50875,318.64,330.4844444444445,326.6266666666667,322.7125,321.845,300.875,286.795,272.7683333333334,243.55625,233.57399999999998,198.946,221.62285714285713,266.17571428571426,249.67200000000003,259.76,292.75666666666666,289.01500000000004,277.6983333333333,236.34000000000003,322.558,338.1425,354.924,319.625,350.8066666666667,296.3525,357.3966666666667,L8
2021-03-23 22:12:01.286,336.7366666666667,314.29799999999994,324.72749999999996,321.795,324.82,316.216,375.804,306.97400000000005,366.325,288.7925,345.0057142857143,333.03625,337.6771428571429,335.8757142857143,330.41375,328.80875000000003,330.71125,317.1842857142857,328.9533333333333,325.977,320.2322222222222,319.6766666666667,299.61285714285714,285.1942857142857,270.84714285714284,239.60714285714286,235.08499999999998,200.06,215.72,257.90142857142854,244.56333333333336,259.76,283.27,284.19200000000006,264.0733333333333,233.53750000000002,322.558,338.1425,354.924,319.625,350.8066666666667,296.3525,357.3966666666667,L8
2021-04-01 22:05:48.357,336.89250000000004,315.8333333333333,325.104,322.922,325.854,318.05333333333334,366.3966666666667,308.6516666666667,366.325,291.592,341.32124999999996,330.48222222222216,334.85,332.76,328.9511111111111,327.0766666666667,334.2277777777778,322.82,328.983,326.09272727272725,320.64,320.607,302.81375,287.94124999999997,270.84714285714284,239.60714285714286,234.04000000000002,198.714,219.2,257.90142857142854,249.8271428571429,264.41125,286.045,287.8783333333334,264.0733333333333,233.53750000000002,322.558,341.23400000000004,354.924,326.536,359.025,310.87800000000004,362.3825,L8
2021-05-03 22:05:32.764,332.3225,315.44166666666666,324.726,320.606,327.20199999999994,315.31,357.7914285714286,306.10833333333335,366.325,291.5,334.40444444444444,335.40749999999997,330.9644444444445,330.00777777777773,327.025,325.832,333.357,325.00374999999997,329.962,326.4963636363636,321.258,321.26,303.73625,289.365,269.62833333333333,238.4466666666667,237.368,198.034,220.48875,255.71166666666667,248.60142857142858,265.04,282.26166666666666,287.64500000000004,254.12399999999997,245.402,327.71999999999997,345.232,357.32800000000003,330.866,360.86199999999997,322.37,361.93199999999996,L8
2021-05-19 22:05:40.235,332.3225,315.44166666666666,324.726,320.606,327.20199999999994,315.31,357.7914285714286,306.10833333333335,366.325,291.5,334.40444444444444,335.40749999999997,330.9644444444445,330.00777777777773,327.025,325.832,333.357,325.00374999999997,329.962,326.4963636363636,321.258,321.26,303.73625,289.365,265.07142857142856,232.8857142857143,237.368,198.034,220.48875,255.71166666666667,248.60142857142858,265.04,282.26166666666666,279.90000000000003,251.78,248.35666666666668,316.04333333333335,345.232,357.32800000000003,329.74666666666667,355.99666666666667,322.37,357.61833333333334,L8
2021-05-26 22:11:55.028,332.3225,315.44166666666666,324.56666666666666,318.2316666666667,327.20199999999994,315.1557142857143,353.77875,306.10833333333335,368.7257142857143,291.5,334.40444444444444,335.40749999999997,330.9644444444445,331.75,327.025,327.5527272727273,333.3436363636364,324.52,328.64454545454544,325.4558333333333,320.4018181818182,321.06545454545454,306.46333333333337,292.34333333333336,265.07142857142856,232.8857142857143,239.18999999999997,198.034,220.48875,249.70428571428573,248.625,265.04,282.26166666666666,276.25875,251.43142857142857,248.37000000000003,303.9614285714286,345.232,357.32800000000003,329.74666666666667,355.99666666666667,322.37,357.61833333333334,L8
2021-06-11 22:12:02.001,332.3225,319.21999999999997,323.1042857142857,316.82142857142856,328.4866666666666,316.1775,341.34124999999995,304.23857142857145,363.95,294.62666666666667,323.2677777777778,327.1675,327.41,328.974,319.70500000000004,324.4281818181818,330.3618181818182,322.878,324.30727272727273,321.4191666666666,320.3190909090909,320.9618181818182,307.5911111111111,288.31888888888886,259.1771428571429,220.89857142857142,235.304,190.69,221.44,251.17833333333337,247.53571428571428,265.04,282.26166666666666,276.25875,252.08375,250.83571428571426,298.375,345.232,357.32800000000003,329.74666666666667,355.99666666666667,333.482,357.61833333333334,L8
2021-06-20 22:05:53.843,325.166,319.21999999999997,319.22375,311.79,328.4866666666666,312.01444444444445,341.34124999999995,300.08625,363.95,292.60857142857145,318.29,320.82222222222225,327.41,326.0781818181818,317.5981818181818,322.7316666666667,329.33166666666665,322.4081818181818,324.3375,321.5515384615385,320.41249999999997,320.31333333333333,309.039,289.91499999999996,259.1771428571429,220.89857142857142,233.80500000000004,190.69,221.44,251.17833333333337,247.53571428571428,265.04,278.12142857142857,275.0344444444445,255.04444444444445,255.33625,298.375,342.4433333333333,357.045,331.9785714285714,356.8985714285714,338.11333333333334,359.8985714285714,L8
2021-07-13 22:12:07.472,303.3025,321.95,313.9614285714286,305.5828571428571,325.48400000000004,308.92125,337.52777777777777,288.36428571428576,352.4533333333334,293.0285714285714,312.7555555555556,315.01500000000004,327.04375,324.477,309.30499999999995,319.2918181818182,326.3863636363636,321.8554545454545,317.955,316.2,313.8016666666667,314.76599999999996,312.319,294.06399999999996,251.16666666666666,207.32833333333335,234.37750000000003,185.41333333333333,219.74833333333333,247.106,245.16333333333333,260.43333333333334,279.27166666666665,273.65222222222224,251.7555555555556,257.34777777777776,282.0985714285714,341.40799999999996,353.465,333.1983333333333,356.5016666666666,338.11333333333334,358.63000000000005,L8
