dates,satname,nzd0291-0000,nzd0291-0001,nzd0291-0009,nzd0291-0010,nzd0291-0011,nzd0291-0012,nzd0291-0013,nzd0291-0014,nzd0291-0007,nzd0291-0008,nzd0291-0002,nzd0291-0003,nzd0291-0004,nzd0291-0005,nzd0291-0006
2014-02-27 21:54:44.238000,L8,380.85,381.21,392.81,386.58,382.47,382.39,387.53,398.22,392.75,401.30,371.41,381.47,387.30,392.50,393.36
2014-05-02 21:53:46.331000,L8,314.83,322.10,334.68,328.29,326.06,323.36,323.68,341.16,333.25,334.47,286.64,287.76,294.00,306.59,329.78
2014-05-02 21:54:10.285000,L8,,,333.98,327.55,324.94,322.82,322.97,339.80,331.87,332.39,,287.50,293.59,306.30,329.28
2014-05-09 21:59:51.499000,L8,310.19,313.79,326.20,321.90,316.74,316.89,318.00,332.57,324.11,328.68,,,,298.41,323.19
2014-05-18 21:53:35.635000,L8,,,330.89,326.20,324.44,319.26,322.19,338.93,333.32,331.63,,,,300.68,327.93
2014-05-25 21:59:46.755000,L8,,,338.89,330.46,327.88,324.55,324.01,344.44,339.32,336.98,278.66,282.00,296.11,305.32,332.22
2014-06-19 21:53:47.342000,L8,,,339.16,331.04,327.21,321.45,326.23,347.73,337.54,338.11,,275.36,296.71,306.55,332.36
2014-07-12 22:00:07.159000,L8,,,313.27,316.37,304.63,306.12,309.98,324.47,,,,,,,
2014-07-21 21:53:57.022000,L8,351.33,360.01,,369.47,354.39,354.54,347.72,374.52,,,368.34,,,,
2014-08-06 21:54:05.764000,L8,,,331.61,327.99,324.89,320.33,323.11,339.97,331.78,334.52,,287.04,294.39,301.92,328.84
2014-08-13 22:00:18.767000,L8,316.53,324.85,337.57,329.94,325.95,323.22,324.14,342.67,334.53,334.62,284.55,286.54,295.27,301.83,329.71
2014-09-07 21:54:12.743000,L8,315.44,325.50,331.78,329.89,327.04,324.85,322.84,339.12,334.76,333.85,291.49,304.01,295.71,302.86,329.15
2014-09-23 21:54:33.372000,L8,,,334.39,331.08,327.11,327.29,325.15,340.14,335.95,333.97,,,,,
2014-10-25 21:54:16.772000,L8,313.38,324.37,330.41,327.09,323.39,321.10,320.60,333.89,326.80,331.13,297.62,305.15,295.85,301.89,326.00
2014-10-25 21:54:40.727000,L8,,,,,,315.51,313.15,327.04,,,,,,,
2014-11-01 22:00:26.566000,L8,314.33,325.88,335.90,328.52,325.70,326.10,323.25,335.45,334.60,333.10,299.56,310.41,296.74,304.21,328.08
