dates,nzd0373-0000,nzd0373-0001,nzd0373-0002,nzd0373-0003,nzd0373-0004,nzd0373-0005,nzd0373-0006,nzd0373-0007,nzd0373-0008,nzd0373-0009,nzd0373-0010,nzd0373-0011,nzd0373-0012,nzd0373-0013,nzd0373-0014,nzd0373-0015,nzd0373-0016,nzd0373-0017,nzd0373-0018,nzd0373-0019,nzd0373-0020,nzd0373-0021,nzd0373-0022,nzd0373-0023,nzd0373-0024
2015-07-22 22:06:49+00:00,190.28,172.87,,176.81,178.41,191.33,180.87,,,,250.09,,321.47,348.58,336.24,333.65,316.92,326.415,327.32000000000005,317.34000000000003,315.1825,241.05,270.08500000000004,253.11999999999998,226.27200000000002
2015-08-23 22:07:00+00:00,190.28,172.87,,176.81,178.41,191.33,180.87,,,,250.09,,347.04,348.58,336.24,348.31,316.92,322.9975,323.625,314.7733333333333,316.2975,225.36666666666667,269.76250000000005,249.75799999999998,226.37400000000002
2015-09-08 22:07:06+00:00,190.28,172.87,,176.81,178.41,191.33,180.87,,,,250.09,,349.66333333333336,347.6,333.61,341.7166666666667,319.1,316.4625,322.87333333333333,311.86333333333334,315.31,214.815,269.0575,245.82800000000003,224.60999999999999
2015-10-10 22:07:14+00:00,190.28,172.87,,176.81,178.41,191.33,180.87,,,,250.09,,349.66333333333336,347.6,333.61,346.855,319.1,318.83000000000004,325.6775,310.5233333333333,316.942,197.465,268.69,244.776,225.14600000000002
2015-11-27 22:07:23+00:00,190.28,172.87,,176.81,178.41,191.33,180.87,,,,250.09,,349.66333333333336,347.6,333.61,346.855,319.1,320.715,325.6775,311.5625,317.59499999999997,210.77399999999997,269.148,245.45833333333334,225.44500000000002
2015-12-13 22:07:21+00:00,190.28,172.87,,176.81,178.41,191.33,180.87,,,,250.09,,349.66333333333336,347.6,333.61,346.855,319.1,322.65285714285716,325.6775,311.5625,318.23285714285714,224.37166666666667,269.7366666666667,246.5442857142857,226.4185714285714
2016-02-15 22:07:09+00:00,,,,,,,,,,,,,363.76,346.62,330.98,351.25666666666666,321.28,326.992,327.99333333333334,311.5625,321.06,241.02166666666668,269.99,249.38500000000002,228.19666666666663
2016-03-02 22:07:07+00:00,,,,,,,,,,,,,354.91,346.62,330.98,351.0733333333333,321.28,328.466,329.58,312.12,319.73,254.53,270.642,249.66333333333333,228.86833333333334
2016-03-18 22:07:01+00:00,,,,,,,,,,,,,,,,362.345,,331.0625,333.685,313.55333333333334,321.0183333333334,271.9083333333333,271.95799999999997,251.79,232.275
2016-04-19 22:06:46+00:00,,,,,,,,,,,,,,,,362.42,,330.88,334.67999999999995,313.07666666666665,321.45666666666665,284.51500000000004,272.95799999999997,252.73333333333332,233.78666666666666
