dates,satname,nzd0299-0000,nzd0299-0001,nzd0299-0002,nzd0299-0003,nzd0299-0004,nzd0299-0005,nzd0299-0006,nzd0299-0007,nzd0299-0008,nzd0299-0009,nzd0299-0010,nzd0299-0011,nzd0299-0012,nzd0299-0013,nzd0299-0014,nzd0299-0015,nzd0299-0016,nzd0299-0017,nzd0299-0018,nzd0299-0019,nzd0299-0020,nzd0299-0021
2016-06-06 22:06:31.014000,L8,271.55,286.83,199.37,163.49,214.49,258.72,233.68,230.34,226.51,224.11,213.36,245.57,217.47,281.21,286.64,271.09,275.08,231.08,234.79,310.11,311.04,340.52
2016-07-08 22:06:44.674000,L8,381.69,373.83,349.42,350.20,352.34,350.90,348.62,345.66,348.82,344.48,327.97,328.91,337.20,334.47,333.65,325.66,323.12,328.84,335.43,333.26,342.03,365.89
2016-08-09 22:06:51.832000,L8,368.26,354.87,329.43,356.05,362.96,361.84,360.40,360.09,353.25,368.24,361.66,348.03,295.56,313.68,311.81,308.91,307.36,306.38,332.90,327.35,338.47,360.37
2016-09-10 22:07:03.402000,L8,377.92,375.76,366.29,370.49,367.51,365.57,361.33,360.35,353.95,363.15,362.93,359.37,356.35,348.96,318.50,362.06,358.37,355.62,365.62,332.12,339.59,360.83
2016-10-12 22:07:09.122000,L8,510.53,509.86,505.81,505.91,372.18,374.91,368.36,373.44,377.32,371.36,366.73,360.82,360.72,365.48,376.19,376.10,375.16,381.77,375.12,391.41,380.45,371.12
2016-12-15 22:07:06.028000,L8,157.09,338.13,212.15,255.43,235.33,193.78,236.01,253.50,322.87,323.19,317.88,322.82,333.98,307.28,283.98,270.75,252.34,236.25,250.84,176.98,164.56,193.43
2017-04-06 22:06:21.875000,L8,351.02,335.20,319.66,340.71,345.10,339.07,335.80,339.79,335.72,337.52,335.88,339.56,318.33,311.51,312.84,264.58,296.83,,,,,
2017-04-22 22:06:12.286000,L8,394.45,396.31,387.42,380.49,373.06,376.68,366.22,368.59,383.28,378.32,380.04,395.49,396.56,378.11,386.99,320.55,326.17,333.35,374.28,344.30,343.82,363.07
2017-05-08 22:06:11.201000,L8,419.07,428.23,438.78,425.46,417.08,407.96,409.66,395.08,417.93,423.02,414.79,395.65,402.81,426.02,396.26,405.90,392.00,396.54,411.94,401.14,414.52,371.83
2017-05-24 22:06:22.329000,L8,,277.65,285.44,234.08,244.00,263.79,235.28,227.07,217.93,217.24,231.53,247.27,243.56,280.27,277.74,268.86,236.54,237.13,222.72,304.90,305.02,328.40
2017-06-25 22:06:35.560000,L8,304.00,312.89,310.77,309.42,277.65,280.75,294.62,260.58,262.21,276.02,275.17,274.53,291.30,301.55,308.19,303.69,309.79,304.42,312.22,328.76,332.14,353.59
2017-10-15 22:07:07.600000,L8,384.53,376.85,370.95,367.53,370.52,370.63,374.67,375.48,378.46,376.44,373.46,374.80,365.64,375.94,379.13,377.54,381.76,370.56,376.21,373.00,368.14,479.60
2018-02-20 22:06:36.123000,L8,,,,,,342.13,338.82,333.79,313.34,169.97,194.03,188.37,324.17,331.95,,,,,,,,
2018-03-24 22:06:20.137000,L8,343.36,324.41,257.42,217.21,261.87,322.23,268.03,323.02,307.32,326.90,324.53,267.33,293.60,289.32,302.24,295.99,300.14,299.70,308.73,312.57,317.30,337.58
2018-04-25 22:06:02.812000,L8,338.67,210.85,,,,,,184.18,255.31,257.75,271.01,287.17,304.73,307.58,311.39,306.96,304.42,306.51,317.91,318.75,326.74,349.87
2018-06-28 22:05:52.179000,L8,271.62,284.32,275.43,223.56,241.48,257.71,232.20,224.27,,211.53,232.60,246.81,252.18,280.42,280.66,270.91,265.87,264.56,219.83,309.50,307.66,334.40
2018-08-31 22:06:23.199000,L8,389.42,380.12,382.80,380.81,375.46,371.73,365.43,380.53,383.34,381.81,374.64,376.69,378.02,382.94,404.62,394.94,390.19,401.01,387.86,380.01,398.18,366.93
2018-10-02 22:06:35.159000,L8,382.32,381.10,366.94,374.68,368.57,365.12,361.66,363.10,359.57,368.60,364.86,365.75,366.23,360.80,373.02,370.31,373.67,375.03,367.48,372.21,374.97,369.01
2018-10-18 22:06:41.631000,L8,384.65,380.82,372.74,372.86,367.55,367.14,364.50,363.00,356.66,369.91,367.01,368.27,362.45,367.11,371.75,369.62,369.83,368.65,371.39,372.23,373.71,380.93
2018-12-21 22:06:42.603000,L8,387.44,422.55,381.76,381.41,391.32,422.85,378.17,375.86,408.03,423.59,428.24,417.52,383.84,397.38,405.13,411.75,419.73,379.27,373.81,404.44,458.63,388.91
2019-01-22 22:06:38.169000,L8,307.91,323.14,310.44,335.02,326.98,345.16,321.91,326.40,322.98,329.30,332.33,324.89,316.75,322.01,296.36,315.08,305.56,289.89,313.64,317.16,317.75,327.86
2019-02-07 22:06:35.585000,L8,374.45,365.18,386.03,389.95,382.63,365.98,354.06,355.89,357.88,360.26,363.65,359.75,358.73,368.96,365.28,363.68,361.91,360.19,378.51,409.12,411.55,
2019-03-27 22:06:23.509000,L8,382.55,371.94,373.49,365.70,370.23,364.27,362.98,356.47,355.34,358.19,362.84,362.01,359.15,365.76,356.41,359.87,360.46,350.08,354.24,348.32,338.52,351.66
2019-04-12 22:06:18.648000,L8,,,,,208.58,268.09,265.20,262.40,302.77,328.65,299.64,271.74,292.97,302.27,302.34,300.73,296.94,298.79,312.18,316.92,322.08,338.27
2019-06-15 22:06:39.812000,L8,343.86,354.55,329.49,347.18,346.11,332.00,346.52,348.39,298.58,336.45,345.65,287.79,295.02,309.54,313.94,318.28,331.22,314.48,322.85,327.97,338.00,360.03
2019-07-01 22:06:44.414000,L8,271.15,284.40,280.16,245.36,244.45,262.26,238.07,227.06,216.24,222.60,218.78,244.91,249.77,280.29,282.73,271.55,239.30,224.14,,274.47,299.62,324.30
2019-08-18 22:06:59.153000,L8,371.09,370.41,363.88,361.29,366.71,364.44,362.04,370.65,389.79,375.21,369.19,388.60,377.50,391.03,318.87,318.16,321.24,384.66,379.75,373.98,343.17,363.30
2019-09-19 22:07:08.182000,L8,391.94,391.23,378.55,370.05,369.62,366.67,365.56,357.95,364.26,367.86,369.04,365.55,375.30,369.99,368.36,370.11,364.23,381.91,374.04,370.81,354.91,362.69
2019-10-05 22:07:12.239000,L8,379.77,381.88,368.94,371.66,366.92,366.53,360.58,361.37,359.46,364.32,367.58,363.60,366.64,371.21,377.90,371.27,371.96,366.31,364.37,368.79,355.06,365.44
2019-10-21 22:07:13.798000,L8,,,,,,539.11,395.39,421.01,406.81,354.62,338.72,335.03,267.88,338.39,368.83,364.11,364.00,361.41,363.96,354.63,353.18,360.44
2020-03-13 22:06:42.111000,L8,344.91,318.29,311.61,310.71,324.93,333.05,235.84,232.24,215.96,227.01,230.62,241.40,262.81,267.23,277.80,269.93,265.23,296.76,317.03,313.87,318.35,329.35
2020-03-29 22:06:33.069000,L8,344.49,316.28,294.57,299.72,335.51,330.48,330.77,332.23,325.68,325.67,335.08,228.80,241.91,292.38,262.65,253.56,304.58,294.77,313.70,314.51,319.11,340.11
2020-05-16 22:06:15.529000,L8,357.57,327.61,320.47,345.24,383.58,380.28,368.00,370.89,378.85,376.95,383.57,382.60,304.72,316.52,319.96,332.22,315.11,313.99,335.81,335.29,343.28,362.01
2020-10-07 22:07:09.706000,L8,391.56,386.40,382.20,378.74,377.63,375.12,386.26,386.55,382.15,383.23,397.97,408.61,384.13,381.17,379.20,376.79,385.61,385.58,383.21,375.88,379.37,378.63
2021-01-11 22:07:02.161000,L8,354.15,343.99,348.02,341.08,341.48,331.73,332.44,325.97,322.82,326.88,326.23,331.10,318.29,299.18,321.86,327.92,328.39,328.89,343.11,323.50,319.40,331.46
2021-02-12 22:06:55.266000,L8,352.71,335.35,334.24,332.65,331.36,328.63,325.26,324.77,318.88,328.78,328.68,329.13,315.59,302.56,304.96,307.24,320.23,303.94,344.19,318.96,316.91,331.80
2021-03-16 22:06:39.830000,L8,386.32,381.33,379.20,381.58,372.91,371.56,370.03,372.58,371.80,373.78,368.07,363.97,364.39,366.55,373.37,395.63,396.67,380.81,378.12,378.39,381.47,392.62
2021-05-03 22:06:20.673000,L8,,,357.98,348.66,358.95,355.99,358.19,332.74,347.39,346.26,355.10,340.10,312.03,312.94,318.29,331.15,318.48,323.03,308.85,338.26,362.14,361.82
2021-05-19 22:06:28.157000,L8,356.66,333.72,325.61,354.15,370.06,365.88,362.10,362.59,355.55,364.42,366.06,305.72,299.90,316.06,316.85,315.03,319.93,321.82,349.12,334.27,344.67,365.71
2021-08-23 22:07:01.159000,L8,417.54,411.30,403.23,408.21,402.59,402.62,403.79,410.33,404.49,410.52,411.07,409.43,413.68,410.89,406.83,394.21,401.57,411.61,417.85,410.72,400.47,372.92
2021-09-24 22:07:08.765000,L8,352.71,326.54,315.58,301.72,325.15,274.53,269.07,255.77,252.15,274.07,272.03,284.04,291.39,302.75,306.92,321.64,302.26,299.95,317.76,318.55,321.49,338.03
2021-12-21 22:07:07.162000,L9,356.37,349.67,345.38,341.99,333.49,337.01,335.60,323.56,313.76,317.41,313.40,220.21,164.30,,,233.01,345.36,340.13,343.77,342.19,326.08,347.84
2022-01-06 22:07:05.874000,L9,403.61,406.77,394.75,399.41,383.07,530.81,473.45,488.84,521.48,471.02,513.57,542.99,505.60,402.05,392.09,396.89,402.84,396.73,511.79,518.68,482.75,408.01
2022-01-14 22:07:03.358000,L8,394.28,391.22,384.12,383.33,376.17,379.72,372.06,377.69,375.96,368.48,372.50,376.84,382.63,379.21,382.89,384.66,381.99,384.80,384.24,378.90,382.48,387.19
2022-01-30 22:06:58.274000,L8,458.86,426.55,424.96,435.63,432.17,428.08,438.65,430.68,411.08,407.15,418.16,421.08,426.61,427.22,436.62,421.99,424.50,423.20,425.76,493.32,488.04,479.19
2022-02-23 22:06:56.000000,L9,394.02,388.16,384.81,378.66,377.68,372.43,380.04,371.28,372.71,373.52,373.19,385.03,372.43,379.10,373.56,375.14,371.42,377.11,372.22,384.34,380.96,380.93
2022-04-28 22:06:34.971000,L9,381.75,377.42,370.73,376.24,373.33,380.26,371.87,371.06,369.37,372.65,365.46,363.51,360.90,325.73,332.08,322.47,328.06,329.69,370.84,372.40,345.81,364.86
2022-05-06 22:06:41.610000,L8,366.03,337.64,324.83,349.20,366.05,360.28,357.77,353.88,354.19,362.21,355.89,354.37,303.54,318.93,311.92,308.12,316.27,316.13,341.49,331.10,342.38,356.68
2022-05-30 22:06:21.452000,L9,346.61,328.33,326.61,340.36,356.55,342.24,353.27,339.57,336.43,341.13,337.45,298.31,300.21,311.43,315.28,315.87,315.86,312.13,337.00,332.69,338.67,360.87
2022-06-07 22:06:55.460000,L8,278.27,291.68,286.37,250.85,246.57,266.95,242.19,227.42,224.40,232.16,239.76,248.80,255.00,281.95,288.40,273.74,275.62,257.71,238.78,312.25,311.97,337.54
2022-07-01 22:06:42.355000,L9,311.37,329.26,319.80,343.36,359.25,356.89,356.59,354.02,356.94,357.18,354.63,448.03,447.16,449.35,453.35,313.54,310.14,316.16,333.65,331.08,340.09,361.24
