dates,nzd0534-0000,nzd0534-0001,nzd0534-0002,nzd0534-0003,nzd0534-0004,nzd0534-0005,nzd0534-0006,nzd0534-0007
2014-09-19 22:20:54+00:00,285.6333333333333,247.945,245.58666666666667,266.53,329.97,253.57,307.4,312.485
2014-10-12 22:27:11+00:00,285.445,254.54999999999998,248.2,269.05,325.75,258.865,308.2866666666667,313.19666666666666
2014-11-06 22:21:01+00:00,285.445,254.54999999999998,248.2,278.538,327.70500000000004,258.865,311.8125,313.19666666666666
2014-12-15 22:27:04+00:00,285.445,254.54999999999998,248.2,286.575,327.70500000000004,258.865,314.554,313.19666666666666
2015-03-14 22:20:23+00:00,291.93333333333334,258.995,251.82666666666668,304.415,326.32,263.675,320.762,314.62
2015-04-15 22:20:10+00:00,251.925,250.23,231.075,321.625,326.605,250.70999999999998,311.68,306.04
2015-05-01 22:20:00+00:00,249.45666666666668,250.23,229.4433333333333,297.2433333333333,326.605,247.77666666666664,305.104,305.885
2015-08-21 22:20:33+00:00,249.3925,230.8,229.505,247.69,323.55,246.985,290.145,307.63000000000005
2015-12-27 22:20:55+00:00,256.54,235.19,238.70499999999998,257.995,,256.08000000000004,299.665,311.12
2016-02-04 22:27:00+00:00,265.8733333333334,247.14333333333335,244.79,264.6266666666666,323.53,259.34666666666664,303.46000000000004,313.33500000000004
2016-03-16 22:20:36+00:00,270.98,256.94,249.67999999999998,271.64,324.2,265.06,315.32666666666665,315.55
2016-04-08 22:26:35+00:00,274.555,259.22749999999996,251.6925,273.18,324.51666666666665,265.1825,315.87,315.55
2016-09-08 22:21:00+00:00,265.01666666666665,245.58,243.59333333333336,265.8833333333333,325.01,257.8633333333333,308.56333333333333,314.23
2017-02-15 22:20:43+00:00,253.48500000000004,236.04,236.63500000000005,258.89,321.75,253.64999999999998,300.105,314.23
2017-02-22 22:26:52+00:00,257.67,239.90666666666667,238.55000000000004,259.95666666666665,321.75,250.22,295.01,306.765
2017-04-04 22:20:20+00:00,263.88000000000005,244.91500000000002,243.48000000000005,263.97999999999996,328.31,252.185,297.705,299.3
2017-04-20 22:20:11+00:00,256.22333333333336,244.91500000000002,243.48000000000005,263.97999999999996,328.31,248.44333333333336,292.57666666666665,302.98
2017-05-06 22:20:07+00:00,256.22333333333336,244.91500000000002,243.48000000000005,263.97999999999996,328.31,248.44333333333336,282.385,302.28333333333336
2017-09-02 22:27:04+00:00,255.35500000000005,246.14,246.03,263.98,334.87,248.32999999999998,273.76,304.1233333333333
2017-09-27 22:21:00+00:00,255.35500000000005,246.14,246.98000000000002,267.735,328.15999999999997,253.09333333333333,284.71,309.53999999999996
2017-10-04 22:27:13+00:00,266.00000000000006,256.6,250.26333333333335,271.24333333333334,322.815,256.155,289.654,310.906
2017-10-20 22:27:16+00:00,278.5450000000001,256.6,250.26333333333335,271.24333333333334,322.815,277.37,291.4875,311.9675
2018-01-01 22:20:56+00:00,278.5450000000001,256.6,250.19500000000002,271.515,324.1066666666666,284.28999999999996,308.09000000000003,315.66
2018-03-13 22:26:32+00:00,287.29,267.06,251.58333333333337,274.02666666666664,324.1066666666666,296.31,315.07000000000005,321.08000000000004
2018-03-29 22:26:26+00:00,287.29,267.06,253.41000000000003,275.29499999999996,325.43499999999995,307.566,316.7233333333333,321.095
2018-06-17 22:25:53+00:00,,,249.99,272.33,326.69,315.5566666666667,320.37,312.75
2018-07-12 22:19:56+00:00,256.39,239.65,233.83,262.33,,317.34999999999997,322.52,312.75
2018-09-21 22:26:37+00:00,256.39,239.65,233.83,262.33,,322.575,321.7,316.0733333333333
2019-01-11 22:26:49+00:00,,,271.19,,,321.475,321.28999999999996,321.52
2019-02-12 22:26:43+00:00,292.47,287.57,267.05000000000007,,,316.1133333333333,319.3833333333333,319.81333333333333
2019-02-21 22:20:30+00:00,292.47,287.57,267.05000000000007,,,317.65,321.22749999999996,319.81333333333333
2019-04-17 22:26:24+00:00,286.13000000000005,273.735,261.6000000000001,273.91,312.58,300.97749999999996,315.635,315.24
2019-06-20 22:26:49+00:00,286.13000000000005,273.735,261.6000000000001,273.91,312.58,300.97749999999996,315.635,311.0575
2019-09-08 22:27:12+00:00,274.25,242.71499999999997,247.67500000000007,269.265,274.56,256.345,292.235,303.83666666666664
2020-04-19 22:26:32+00:00,266.3,207.43,244.87,,232.95,248.18,283.13,303.9
2020-05-14 22:20:12+00:00,266.3,207.43,244.87,,232.95,248.18,283.13,305.15
2020-05-21 22:26:24+00:00,266.3,207.43,244.87,,232.95,248.18,279.83,303.44666666666666
2020-05-30 22:20:16+00:00,266.3,207.43,244.87,,232.95,248.18,279.83,302.9925
2020-09-10 22:27:11+00:00,271.845,235.56,249.05,277.29,240.05,253.57,288.18666666666667,304.63199999999995
2020-09-19 22:21:03+00:00,263.07666666666665,233.67,242.1,262.29,236.47333333333333,251.29666666666665,288.60749999999996,305.9433333333333
2020-11-22 22:21:06+00:00,256.49,242.1933333333333,238.23333333333335,257.87,238.23499999999999,250.93666666666664,293.4066666666667,309.035
2021-02-17 22:27:01+00:00,256.49,252.64,244.41,257.87,238.23499999999999,255.1825,297.4925,312.0775
2021-05-24 22:26:39+00:00,230.27,270.745,252.375,,,267.92,294.15,309.4
2021-07-27 22:26:59+00:00,230.27,270.745,252.375,,227.4,255.77500000000003,289.29333333333335,306.25
2021-08-12 22:27:06+00:00,230.27,270.745,252.375,,228.82,255.4666666666667,287.445,305.4075
2021-09-22 22:21:05+00:00,247.055,249.47,242.305,268.26,228.82,253.03333333333333,289.595,302.61000000000007
2022-01-27 22:27:14+00:00,263.84,241.43,253.0,268.26,230.24,273.95,305.57,310.615
2022-02-20 22:26:59+00:00,263.84,241.43,253.0,268.26,,299.39000000000004,317.40500000000003,318.35
2022-03-01 22:20:48+00:00,265.51,241.43,251.70000000000002,269.995,,300.9125,319.8633333333333,323.125
2022-03-24 22:26:46+00:00,277.025,,257.46666666666664,271.73,,312.59000000000003,319.02666666666664,320.46
2022-04-10 22:20:41+00:00,266.19,227.2,250.64,261.03000000000003,228.21,298.162,309.275,315.825
2022-04-17 22:26:46+00:00,266.7625,236.61,249.58199999999997,261.03000000000003,229.26,285.62333333333333,309.275,315.825
2022-05-03 22:26:41+00:00,269.768,244.90333333333334,249.9283333333333,263.7033333333333,229.26,281.8128571428571,305.438,314.02200000000005
2022-05-28 22:20:18+00:00,267.28333333333336,243.01500000000001,247.33285714285714,255.53,229.26,277.885,305.438,314.02200000000005
2022-06-05 22:20:51+00:00,267.57,243.01500000000001,247.33285714285714,255.53,229.26,277.885,305.438,314.02200000000005
2022-08-07 22:27:06+00:00,267.57,243.01500000000001,244.68833333333336,255.53,228.20333333333335,270.74125,302.68249999999995,310.0
2022-08-08 22:21:16+00:00,267.57,243.01500000000001,244.68833333333336,255.53,227.035,267.2522222222222,297.70199999999994,309.03000000000003
2022-09-09 22:21:23+00:00,264.6742857142857,240.83,241.78333333333333,251.1025,228.37600000000003,251.8375,291.07399999999996,306.6716666666667
2022-09-16 22:27:36+00:00,264.6742857142857,240.83,241.78333333333333,251.1025,244.85666666666665,251.8375,295.4316666666667,308.09714285714284
2022-10-19 22:21:14+00:00,261.31399999999996,241.9525,238.5575,253.6075,262.992,249.6966666666667,295.74,309.475
2022-12-06 22:21:13+00:00,250.31499999999988,234.48499999999996,235.40500000000003,257.185,275.51,247.21000000000004,305.36600000000004,310.008
2023-01-07 22:21:14+00:00,274.76666666666665,259.08,240.73000000000002,262.58,282.15714285714284,250.61999999999998,307.8733333333334,312.66166666666663
2023-01-14 22:27:21+00:00,274.76666666666665,259.08,240.73000000000002,262.58,288.9825,250.61999999999998,310.7442857142857,312.66166666666663
2023-01-15 22:21:05+00:00,283.98249999999996,270.98749999999995,242.8675,264.435,292.6411111111111,252.63666666666668,311.65625,314.0828571428571
2023-01-30 22:27:25+00:00,282.614,272.258,245.382,266.65999999999997,295.78200000000004,254.64000000000001,311.9188888888889,314.3275
2023-02-23 22:27:02+00:00,282.614,272.258,245.382,273.24,313.52500000000003,258.782,316.79777777777775,318.7
2023-02-24 22:21:03+00:00,279.5016666666666,267.25,245.66166666666666,272.8771428571428,315.32444444444445,258.782,317.59000000000003,318.7
2023-04-13 22:20:38+00:00,278.7733333333333,266.49833333333333,239.46666666666667,271.2214285714286,313.49375000000003,258.976,317.18555555555554,318.988
2023-04-28 22:26:27+00:00,282.1983333333333,268.70666666666665,235.82666666666668,264.4142857142857,304.67125,258.892,315.3855555555556,316.32399999999996
2023-05-06 22:26:37+00:00,282.1983333333333,268.70666666666665,235.82666666666668,258.12375,296.8777777777778,258.9216666666667,312.674,314.8066666666667
2023-05-15 22:20:23+00:00,277.4142857142857,268.70666666666665,234.83285714285716,256.74111111111114,290.324,257.70285714285717,310.2854545454545,315.16285714285715
2023-06-08 22:20:12+00:00,273.5225,263.92285714285714,234.01000000000002,256.252,285.0155555555556,255.67499999999998,307.492,314.01875
2023-06-16 22:20:06+00:00,269.79,259.4475,233.05555555555554,256.252,278.286,255.67499999999998,307.492,314.01875
2023-06-23 22:26:17+00:00,270.822,260.14444444444445,235.621,257.9836363636363,274.47,255.9488888888889,307.492,314.21777777777777
2023-10-05 22:27:04+00:00,255.30666666666662,241.35400000000004,225.50833333333333,240.3416666666666,230.78166666666667,261.11857142857144,293.22999999999996,310.56333333333333
2023-10-22 22:21:02+00:00,269.11499999999995,257.61199999999997,234.58333333333334,245.51,246.11499999999998,270.25714285714287,300.28599999999994,310.048
2023-10-29 22:27:09+00:00,268.08399999999995,259.48249999999996,241.56499999999997,252.07199999999997,261.70666666666665,277.8142857142857,306.398,312.996
2023-12-17 22:21:00+00:00,310.7433333333333,294.79,254.445,274.55333333333334,301.59749999999997,300.9,319.64,317.22499999999997
2024-01-26 22:21:02+00:00,325.7,308.5,254.3125,275.6233333333334,324.2875,311.692,320.382,318.64
2024-04-07 22:20:23+00:00,325.7,308.5,254.3125,275.6233333333334,302.976,295.408,311.288,310.585
2024-05-08 22:26:34+00:00,325.8549999999999,308.315,251.79666666666665,255.41,274.8275,279.05,300.4425,303.575
2024-06-02 22:20:09+00:00,325.8549999999999,308.315,241.8825,255.41,274.8275,279.05,300.4425,303.575
2024-06-09 22:26:17+00:00,310.47666666666663,292.45,243.42200000000003,245.1825,266.822,273.834,300.4425,306.01666666666665
2024-07-04 22:20:03+00:00,282.97666666666663,266.9666666666667,239.118,238.58499999999998,248.87399999999997,264.6075,293.51,306.01666666666665
2024-08-05 22:20:18+00:00,255.6233333333333,241.91333333333333,233.294,230.945,228.66000000000003,247.575,280.2333333333333,307.0475
2024-08-20 22:26:43+00:00,255.6233333333333,241.91333333333333,233.294,230.945,228.15833333333333,248.16799999999998,279.685,305.2
2024-08-29 22:20:33+00:00,255.6233333333333,241.91333333333333,233.294,230.945,226.99428571428572,243.67499999999998,279.072,304.71
2024-09-29 22:26:52+00:00,255.6233333333333,248.26000000000002,237.01333333333332,240.252,239.19625000000002,246.57714285714286,284.1766666666667,305.77
2024-10-16 22:20:51+00:00,255.6233333333333,248.26000000000002,238.8814285714286,245.73000000000002,252.73875,250.98142857142855,292.31666666666666,309.48
