dates,satname,nzd0224-0000,nzd0224-0001,nzd0224-0002,nzd0224-0003,nzd0224-0004,nzd0224-0005,nzd0224-0006,nzd0224-0007,nzd0224-0008,nzd0224-0009,nzd0224-0010,nzd0224-0011,nzd0224-0012,nzd0224-0013,nzd0224-0014,nzd0224-0021,nzd0224-0022,nzd0224-0023,nzd0224-0024,nzd0224-0026,nzd0224-0027,nzd0224-0028,nzd0224-0090,nzd0224-0091,nzd0224-0092,nzd0224-0093,nzd0224-0094,nzd0224-0015,nzd0224-0016,nzd0224-0017,nzd0224-0018,nzd0224-0019,nzd0224-0020,nzd0224-0030,nzd0224-0031,nzd0224-0032,nzd0224-0038,nzd0224-0039,nzd0224-0040,nzd0224-0041,nzd0224-0042,nzd0224-0056,nzd0224-0057,nzd0224-0058,nzd0224-0059,nzd0224-0060,nzd0224-0061,nzd0224-0062,nzd0224-0065,nzd0224-0066,nzd0224-0067,nzd0224-0068,nzd0224-0069,nzd0224-0070,nzd0224-0071,nzd0224-0072,nzd0224-0095,nzd0224-0096,nzd0224-0097,nzd0224-0098,nzd0224-0099,nzd0224-0100,nzd0224-0101,nzd0224-0104,nzd0224-0105,nzd0224-0106,nzd0224-0122,nzd0224-0123,nzd0224-0037,nzd0224-0086,nzd0224-0087,nzd0224-0088,nzd0224-0089,nzd0224-0103,nzd0224-0033,nzd0224-0034,nzd0224-0102,nzd0224-0127,nzd0224-0035,nzd0224-0064,nzd0224-0074,nzd0224-0075,nzd0224-0076,nzd0224-0077,nzd0224-0078,nzd0224-0082,nzd0224-0083,nzd0224-0084,nzd0224-0085,nzd0224-0121,nzd0224-0124,nzd0224-0025,nzd0224-0036,nzd0224-0063,nzd0224-0081,nzd0224-0111,nzd0224-0112,nzd0224-0113,nzd0224-0029,nzd0224-0073,nzd0224-0079,nzd0224-0080,nzd0224-0110,nzd0224-0107,nzd0224-0108,nzd0224-0115,nzd0224-0116,nzd0224-0117,nzd0224-0131,nzd0224-0132,nzd0224-0055,nzd0224-0043,nzd0224-0044,nzd0224-0045,nzd0224-0046,nzd0224-0047,nzd0224-0048,nzd0224-0125,nzd0224-0126,nzd0224-0114,nzd0224-0049,nzd0224-0050,nzd0224-0051,nzd0224-0052,nzd0224-0053,nzd0224-0129,nzd0224-0130,nzd0224-0119,nzd0224-0120,nzd0224-0128
2014-11-10 21:53:54.574000,L8,,,,,,,,,,,,,,,,,,,,,,,,,,,,329.13,301.37,358.27,330.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-13 21:53:42.692000,L8,,,,,,,,,,,,,,,,,,,,,,,,,,,,313.22,371.64,362.13,333.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-29 21:53:37.750000,L8,,,,,,,,,,,,,,,,,,,,,,,,,,,,319.74,370.70,365.96,333.93,385.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-03 21:53:02.921000,L8,,,,,,,,,,,,,,,,,,,,,,,,,,,,319.83,365.55,352.91,328.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-19 21:53:02.761000,L8,,,,,,,,,,,,,,,,320.85,292.34,,,,,,,,,,,285.25,277.45,320.18,268.94,278.64,323.80,,,370.96,384.71,369.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,327.75,,,,,,350.20,345.81,,,343.01,,,,,,,,,,,,,,346.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-21 21:52:43.676000,L8,,,,,,,,,,,,,,,,,338.38,334.62,337.97,311.09,349.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322.38,,,,,,287.77,,,,,,,,290.95,327.90,,,,,,,,,,,,,211.52,,,,,,,,,,
2015-06-06 21:52:52.670000,L8,,,,,,,,,,,,,,,,,,,,,,,339.15,334.76,344.11,329.18,343.32,275.20,262.53,271.48,293.01,339.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,307.92,280.22,286.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-08 21:53:09.931000,L8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204.67,215.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-12 21:53:41.053000,L8,,,,,,,,,,,,,,,,,,,,,,,,,,,,320.04,369.34,354.74,337.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-11-13 21:53:46.761000,L8,,,,,,,,,,,,,,,,,,,,,,,,,,,,333.19,368.66,363.85,328.99,383.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
