dates,satname,nzd0354-0000,nzd0354-0001,nzd0354-0003,nzd0354-0004,nzd0354-0005,nzd0354-0006,nzd0354-0007,nzd0354-0008,nzd0354-0009,nzd0354-0010,nzd0354-0011,nzd0354-0013,nzd0354-0014,nzd0354-0015,nzd0354-0025,nzd0354-0026,nzd0354-0027,nzd0354-0028,nzd0354-0029,nzd0354-0030,nzd0354-0031,nzd0354-0032,nzd0354-0033,nzd0354-0034,nzd0354-0035,nzd0354-0036,nzd0354-0037,nzd0354-0038,nzd0354-0039,nzd0354-0040,nzd0354-0041,nzd0354-0042,nzd0354-0043,nzd0354-0044,nzd0354-0045,nzd0354-0046,nzd0354-0047,nzd0354-0048,nzd0354-0049,nzd0354-0050,nzd0354-0051,nzd0354-0052,nzd0354-0053,nzd0354-0054,nzd0354-0055,nzd0354-0056,nzd0354-0057,nzd0354-0058,nzd0354-0002,nzd0354-0012,nzd0354-0016,nzd0354-0017,nzd0354-0018,nzd0354-0019,nzd0354-0020,nzd0354-0021,nzd0354-0022,nzd0354-0023,nzd0354-0024,nzd0354-0059,nzd0354-0060,nzd0354-0061,nzd0354-0062,nzd0354-0063,nzd0354-0064,nzd0354-0065
2004-11-12 21:52:15.232000,L5,,,,,,,,,,,,,,,,,,,403.90,400.99,396.88,393.98,402.78,403.65,389.22,390.31,379.67,377.81,363.32,347.43,340.00,340.29,313.75,318.52,301.61,305.50,298.52,291.38,288.73,289.42,283.32,,,,,,,,,,,,,,,,,,,,,,,,,
2005-01-15 21:53:21.356000,L5,,,,,,,,,,,,,,,,,420.58,414.47,408.30,406.03,404.10,380.63,379.04,377.74,361.49,363.13,354.33,359.28,362.63,353.16,346.35,344.54,316.60,316.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-03-04 21:54:04.136000,L5,,,,,,,,,,,,,,,412.08,411.54,408.39,402.31,391.78,390.80,387.22,382.84,375.60,375.83,368.41,359.62,356.36,353.26,355.37,339.21,328.86,323.43,292.51,301.65,,,,,,,,,,,,,,,,,,,,,,,,418.57,406.94,,,,,,,
2005-04-05 21:54:19.058000,L5,,,,,,,,,,,,,,,,413.83,411.93,405.02,393.50,398.19,394.67,391.47,389.75,383.40,373.13,367.30,357.81,361.45,355.97,339.78,333.24,323.50,310.24,317.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-04-21 21:54:22.812000,L5,,,,,,,,,,,,,,,,,413.74,411.52,392.91,393.68,390.85,383.59,384.58,374.59,371.26,370.74,359.41,363.92,354.64,340.62,326.82,316.45,296.15,305.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-06-08 21:54:44.925000,L5,,,,,,,,,,,297.94,358.28,353.32,359.78,385.99,390.01,392.89,377.22,374.82,372.03,377.59,368.70,311.53,,,,,,,,,,,,,,,,,,,,,,,,,,,329.21,,,,,335.90,409.71,397.13,392.28,381.99,,,,,,,
2005-08-27 21:55:20.007000,L5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,377.22,371.85,363.10,357.39,370.09,356.47,356.76,364.59,351.71,349.25,364.20,347.09,332.40,,,,,,,,,,,,320.62,317.53,,,,,
2005-09-28 21:55:20.450000,L5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,401.53,395.72,388.78,388.45,377.38,370.08,363.94,360.82,352.85,349.18,350.52,351.25,341.01,337.29,334.68,322.42,320.20,308.67,,,,,,,,,,,,305.99,298.82,,,,,
2005-10-30 21:55:15.307000,L5,,,,,,,,,,,,,,,,399.93,399.61,394.17,384.49,381.75,381.38,384.44,391.47,387.40,380.74,374.62,364.67,363.94,336.97,328.88,319.68,312.47,286.30,290.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-02-19 21:57:51.685000,L5,,,,,,,,,,,,,,,414.45,406.92,409.13,412.07,401.03,402.42,401.90,395.54,393.34,384.39,367.13,365.41,358.06,358.47,352.95,341.44,338.21,339.73,312.78,316.94,285.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-06-27 22:00:00.431000,L5,,,,,,,,,,343.61,292.56,365.48,377.45,370.48,401.05,394.68,396.38,392.86,377.73,375.99,372.11,363.98,365.42,357.75,343.19,340.91,,334.93,317.39,300.30,305.84,305.23,275.13,,,,,,,,,,,,,,,,,352.32,,,,342.40,364.59,356.49,355.50,333.56,407.34,,,,,,,
2006-09-15 22:01:03.273000,L5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,389.26,368.27,365.36,367.37,360.92,361.56,362.84,353.35,353.98,338.26,326.53,352.66,349.96,363.93,334.78,319.81,,,,,,,,,,,,329.52,323.13,304.68,310.47,300.08,301.34,283.50
2006-11-02 22:01:32.743000,L5,,,,,,,,,,,,,,,,,,412.21,396.14,400.27,393.42,391.32,386.32,386.90,377.48,384.38,375.76,372.71,366.99,350.87,339.71,338.13,314.95,307.52,281.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-01-05 22:02:04.371000,L5,,,,,,,,,,,,,,,413.50,405.28,409.09,412.22,403.02,406.21,405.25,395.29,394.99,380.61,367.11,367.15,355.21,353.64,351.38,337.88,341.50,339.87,304.39,316.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-01-21 22:02:09.591000,L5,,,,,,,,,,,,,,,409.36,408.26,407.33,404.58,407.20,407.04,404.24,398.02,395.99,392.00,364.55,365.19,355.72,354.98,348.58,338.46,333.91,340.12,313.56,319.37,288.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-02-06 22:02:11.997000,L5,,,,,,,,,,,,,,,,,,413.13,403.41,406.16,401.22,399.31,391.64,382.11,369.00,370.30,362.37,356.45,352.51,347.49,342.75,339.62,318.73,312.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
