dates,nzd0298-0000,nzd0298-0001,nzd0298-0002,nzd0298-0003,nzd0298-0004,nzd0298-0005,nzd0298-0006,nzd0298-0007,nzd0298-0008,nzd0298-0009,satname
2013-11-30 22:02:16+00:00,284.28333333333336,304.005,313.456,328.81,305.88333333333327,301.915,303.255,299.6675,323.28000000000003,314.088,L8
2014-02-02 22:01:17+00:00,297.685,304.005,311.93,322.1166666666666,310.85999999999996,301.915,303.255,312.32500000000005,324.975,318.095,L8
2014-02-11 21:55:20+00:00,297.685,295.30333333333334,311.3025,308.3275,309.61749999999995,301.915,303.255,312.32500000000005,324.975,318.095,L8
2014-03-06 22:01:13+00:00,297.685,295.30333333333334,310.134,308.3275,308.7,301.915,303.255,312.32500000000005,324.975,318.095,L8
2014-05-02 21:54:10+00:00,300.85,296.56000000000006,310.046,291.0275,307.53000000000003,308.17,307.18,311.325,324.07,314.315,L8
2014-05-09 22:00:15+00:00,300.85,296.56000000000006,309.8666666666666,289.484,307.53000000000003,308.17,300.735,307.38666666666666,321.09666666666664,308.3433333333333,L8
2014-05-25 22:00:10+00:00,289.935,296.56000000000006,309.81,284.10166666666663,306.82,308.17,281.1166666666667,306.6675,320.5575,308.07,L8
2014-06-19 21:54:11+00:00,279.02,277.9,308.52714285714285,270.78833333333336,303.10833333333335,,268.08500000000004,303.16,286.255,297.8075,L8
2014-07-12 22:00:31+00:00,279.02,277.9,308.03875,270.78833333333336,301.84857142857146,,268.08500000000004,303.16,286.255,297.8075,L8
2014-08-06 21:54:29+00:00,279.02,277.9,307.91999999999996,263.065,301.88142857142856,,246.73333333333335,303.16,268.546,296.656,L8
2014-08-13 22:00:18+00:00,279.02,,307.29125,261.2133333333333,301.3442857142857,,246.73333333333335,303.16,259.5416666666667,296.37666666666667,L8
2014-09-07 21:54:36+00:00,279.02,,307.64375,268.0228571428571,301.43142857142857,,236.7425,303.16,251.73999999999998,296.0285714285714,L8
2014-11-01 22:00:26+00:00,285.745,292.81,307.6075,277.8,302.5442857142857,299.45,236.7425,292.28666666666663,240.83333333333334,297.5628571428571,L8
2015-04-03 21:53:50+00:00,292.47,291.055,312.40999999999997,328.45500000000004,310.22,299.45,241.67,273.065,233.7,314.255,L8
2015-04-19 21:53:50+00:00,289.20000000000005,290.8566666666666,313.59666666666664,328.00333333333333,309.90000000000003,302.58,273.17,285.43666666666667,278.745,314.7866666666667,L8
2015-05-12 21:59:40+00:00,278.975,289.88,314.75333333333333,328.58,307.19666666666666,302.23,281.9866666666667,296.31666666666666,291.64000000000004,315.23,L8
2015-05-21 21:53:31+00:00,278.975,289.88,313.4225,325.125,306.745,299.03,281.9866666666667,297.62,298.025,310.6725,L8
2015-05-28 21:59:43+00:00,278.975,289.88,311.142,325.125,304.5,299.03,281.9866666666667,297.62,298.025,310.6725,L8
2015-06-06 21:53:40+00:00,278.975,289.88,310.53333333333336,325.125,303.5516666666667,299.03,281.9866666666667,297.62,300.422,310.6725,L8
2015-07-15 21:59:48+00:00,270.72666666666663,289.88,309.59285714285716,323.62800000000004,302.7871428571429,298.5925,285.92,297.62,300.422,308.04200000000003,L8
2015-08-25 21:54:15+00:00,275.455,284.8766666666667,310.0375,325.57,303.58125,298.5925,285.92,293.06000000000006,304.4483333333333,310.48833333333334,L8
2015-09-10 21:54:22+00:00,275.455,284.8766666666667,309.79999999999995,323.79857142857145,303.9511111111111,299.15,288.464,295.17,306.69714285714286,308.0857142857143,L8
2015-10-19 22:00:17+00:00,277.31999999999994,288.53,308.48,322.49333333333334,303.78625,299.556,298.65999999999997,292.00600000000003,318.02,307.1516666666667,L8
2015-11-13 21:54:34+00:00,282.84499999999997,293.93333333333334,309.21,322.23333333333335,304.9275,299.7575,298.17999999999995,285.9,318.91,308.8016666666667,L8
