dates,satname,nzd0349-0000,nzd0349-0001,nzd0349-0002,nzd0349-0003,nzd0349-0004,nzd0349-0005,nzd0349-0006,nzd0349-0007,nzd0349-0008,nzd0349-0009,nzd0349-0010,nzd0349-0011,nzd0349-0012,nzd0349-0013,nzd0349-0014,nzd0349-0015,nzd0349-0016,nzd0349-0017,nzd0349-0018,nzd0349-0019
2020-02-03 22:01:07.154000,L8,346.35,339.44,343.01,347.35,345.98,323.04,314.11,315.00,320.63,325.17,327.45,323.66,319.25,317.26,318.53,354.60,347.81,341.71,333.30,334.91
2020-03-06 22:00:58.462000,L8,350.16,341.25,342.93,347.71,351.87,331.03,319.14,319.05,325.13,326.18,331.41,324.24,319.50,321.02,323.90,348.27,345.64,350.45,362.60,338.32
2020-04-23 22:00:35.031000,L8,355.99,343.97,346.83,353.25,350.82,336.36,316.01,311.13,316.41,317.53,334.48,322.03,318.52,316.30,324.26,342.39,344.40,338.47,346.94,355.14
2020-05-09 22:00:26.885000,L8,347.88,335.93,340.36,344.90,345.45,323.96,288.31,290.92,304.13,306.73,326.54,312.58,310.51,311.35,315.15,336.53,335.61,337.64,343.97,352.48
2020-06-10 22:00:39.456000,L8,373.94,359.26,364.50,371.59,369.75,362.39,347.91,346.06,352.32,349.64,355.33,352.07,344.07,339.53,344.16,352.36,351.51,346.05,366.51,369.21
2020-07-12 22:00:54.669000,L8,330.81,326.42,329.89,335.82,327.53,,,,,,,,,,,,294.52,314.28,321.28,327.48
2020-08-29 22:01:11.546000,L8,370.74,374.28,367.17,376.49,373.79,357.89,340.63,343.59,360.03,351.68,361.92,356.12,352.51,350.18,356.48,361.46,359.31,362.87,372.10,382.54
2020-09-14 22:01:17.845000,L8,376.63,369.57,367.61,375.07,375.21,358.11,340.85,348.18,360.65,355.75,362.78,358.73,358.18,350.94,360.86,364.76,360.89,362.13,375.35,382.96
2020-09-30 22:01:21.925000,L8,391.99,386.94,383.35,391.83,386.49,375.31,372.49,385.07,377.03,371.71,379.14,367.81,360.80,344.91,352.16,362.27,362.77,369.21,375.36,384.06
2021-01-04 22:01:18.489000,L8,381.98,373.18,370.04,373.62,374.80,369.49,356.52,359.56,367.25,351.85,366.83,357.47,349.04,350.01,384.66,384.64,359.80,,,
