dates,satname,nzd0347-0000,nzd0347-0001,nzd0347-0002,nzd0347-0003,nzd0347-0004,nzd0347-0005,nzd0347-0006,nzd0347-0007,nzd0347-0062,nzd0347-0063,nzd0347-0064,nzd0347-0065,nzd0347-0013,nzd0347-0014,nzd0347-0015,nzd0347-0016,nzd0347-0017,nzd0347-0018,nzd0347-0019,nzd0347-0020,nzd0347-0021,nzd0347-0022,nzd0347-0023,nzd0347-0024,nzd0347-0025,nzd0347-0026,nzd0347-0027,nzd0347-0028,nzd0347-0029,nzd0347-0067,nzd0347-0068,nzd0347-0069,nzd0347-0070,nzd0347-0008,nzd0347-0009,nzd0347-0010,nzd0347-0011,nzd0347-0012,nzd0347-0030,nzd0347-0031,nzd0347-0032,nzd0347-0033,nzd0347-0034,nzd0347-0035,nzd0347-0046,nzd0347-0047,nzd0347-0048,nzd0347-0049,nzd0347-0050,nzd0347-0051,nzd0347-0052,nzd0347-0053,nzd0347-0054,nzd0347-0066,nzd0347-0038,nzd0347-0039,nzd0347-0040,nzd0347-0041,nzd0347-0042,nzd0347-0043,nzd0347-0044,nzd0347-0045,nzd0347-0055,nzd0347-0056,nzd0347-0036,nzd0347-0037,nzd0347-0057,nzd0347-0058,nzd0347-0059,nzd0347-0060,nzd0347-0061
2014-02-18 22:01:51.922000,L8,373.01,375.65,342.36,358.34,363.55,350.54,346.03,352.96,383.72,390.15,398.70,401.76,357.14,322.47,331.89,321.40,337.24,334.34,343.78,348.41,378.08,369.76,371.64,371.39,381.51,371.91,370.32,367.78,365.83,377.38,373.07,377.20,384.19,361.22,364.38,355.61,360.30,355.54,378.04,386.99,374.25,363.90,350.73,269.77,364.78,360.13,358.39,372.24,379.65,380.41,377.72,379.98,376.72,388.23,378.00,381.42,379.67,374.52,369.66,356.30,367.46,361.30,366.21,370.68,380.71,384.34,379.74,380.07,383.19,385.33,384.82
2014-03-06 22:01:37.193000,L8,374.94,383.34,339.91,360.37,362.73,346.30,336.93,361.17,,,,,348.71,317.94,327.72,320.44,332.53,329.78,335.59,334.28,365.74,365.11,367.39,360.42,374.28,367.94,365.21,363.65,363.84,377.98,368.14,369.88,380.63,356.32,359.08,350.36,355.88,346.60,382.91,382.15,364.26,359.87,348.19,256.97,368.73,360.03,365.60,384.00,403.60,383.42,381.39,377.82,376.46,388.06,,,399.19,372.37,382.99,355.55,362.10,364.14,370.25,375.90,,,389.06,392.03,389.60,387.56,
2014-07-12 22:00:55.077000,L8,,,,,,,,,368.37,379.54,385.60,378.86,,,,,,,,,,,,,,,,,,367.16,356.31,352.11,364.31,,,,,,,,,,,,361.84,353.03,358.96,374.72,380.40,381.47,378.48,379.32,373.77,368.45,328.51,337.99,351.45,360.22,363.22,353.50,361.45,352.55,354.60,364.44,,326.60,371.50,359.38,372.62,378.09,372.40
2014-08-13 22:01:06.684000,L8,372.17,365.72,329.81,338.30,354.80,287.82,269.18,345.05,369.79,387.69,391.39,376.05,337.38,311.38,323.61,318.30,325.69,327.89,338.54,338.65,355.80,361.73,372.78,356.87,373.39,369.24,358.58,363.63,366.04,376.38,368.60,371.30,377.16,298.45,,352.41,357.60,342.31,382.00,379.07,349.94,352.32,339.05,,368.69,366.29,362.77,376.60,385.12,393.43,382.92,381.39,374.88,371.14,378.08,376.41,381.58,372.05,376.65,360.61,365.60,351.53,360.73,367.34,376.41,387.54,381.85,375.86,380.06,387.05,388.49
2014-11-01 22:01:14.483000,L8,362.10,361.08,328.21,346.38,353.82,337.56,331.32,345.43,379.93,395.98,395.18,393.61,349.98,321.25,327.00,318.49,331.55,331.45,337.16,347.85,364.12,370.12,374.74,371.45,374.41,374.35,367.11,367.15,365.55,375.97,372.17,368.16,378.22,351.88,348.22,348.86,347.02,349.03,380.47,381.03,361.42,357.76,349.08,256.46,372.00,368.54,368.68,384.47,385.68,386.20,379.52,381.33,375.28,273.95,380.50,381.96,382.00,383.40,378.72,366.44,376.88,364.40,365.67,366.77,377.61,381.84,381.63,375.00,381.99,387.72,386.82
2014-11-17 22:01:14.600000,L8,361.34,359.27,331.70,349.68,353.64,336.16,333.12,346.60,380.56,390.86,399.77,394.51,350.72,321.11,326.62,318.35,330.99,334.73,339.71,353.47,365.80,371.12,373.27,375.26,375.18,374.50,366.60,366.62,367.43,377.05,370.51,367.05,378.49,352.54,353.12,352.63,349.07,349.75,378.21,382.30,366.26,359.94,350.37,255.19,370.89,366.38,364.69,383.53,383.91,387.82,381.34,380.61,374.20,374.51,379.91,380.92,380.81,381.97,377.29,365.35,372.48,364.91,366.61,367.18,380.81,383.27,378.79,371.89,380.87,382.68,386.36
2015-01-04 22:01:05.828000,L8,371.60,367.38,370.16,375.02,360.50,348.20,343.52,349.61,389.46,,,,354.15,322.70,328.43,316.25,341.10,337.00,346.69,353.81,377.47,372.34,374.22,378.87,377.19,371.95,367.55,369.73,381.34,,,,,358.98,361.12,351.22,351.03,353.06,377.76,385.77,370.50,360.17,350.00,256.13,364.56,363.15,359.94,372.04,380.65,381.48,374.92,376.78,370.98,,375.87,380.72,379.05,378.38,370.27,362.21,364.75,361.51,363.66,366.32,378.21,382.30,376.83,373.00,383.12,382.30,384.70
2015-03-09 22:00:42.428000,L8,378.77,371.76,340.38,376.93,363.55,347.58,344.72,350.94,356.34,318.51,325.94,295.50,356.91,322.01,331.67,323.71,333.10,333.37,344.32,349.75,377.40,368.87,374.89,368.61,381.67,371.42,371.08,371.07,367.54,,,,,359.86,361.59,349.63,353.79,349.33,393.36,389.38,375.35,364.71,349.61,255.78,367.90,363.91,361.09,368.22,386.40,384.51,383.72,378.83,375.70,355.59,382.16,382.89,379.09,382.68,372.97,360.42,365.03,360.21,364.16,370.41,,,380.57,376.09,386.22,383.35,381.00
2015-05-12 22:00:04.946000,L8,374.27,371.28,333.52,361.06,363.01,338.07,345.81,354.04,388.82,386.08,397.84,400.42,346.56,320.18,325.35,310.91,316.32,324.98,332.30,334.83,356.46,359.72,359.16,350.16,373.38,367.66,357.72,362.71,368.69,374.98,366.62,358.69,372.02,357.42,354.95,356.19,360.93,349.77,382.41,382.63,356.01,345.81,328.81,,359.78,353.55,359.23,375.49,380.66,381.50,379.41,380.26,380.10,384.99,368.11,371.80,375.75,371.26,363.32,351.27,358.78,348.44,368.64,369.51,368.80,337.86,379.41,366.28,385.24,385.68,383.39
2015-05-28 22:00:07.580000,L8,379.03,374.56,355.09,371.60,380.07,363.70,351.54,359.94,,,,,366.35,322.93,335.50,322.93,326.70,334.38,345.58,345.93,364.24,370.55,392.00,376.83,398.72,372.71,395.84,385.80,385.60,378.06,349.39,360.74,361.20,370.84,367.44,362.55,365.63,357.75,389.81,394.33,355.86,342.49,340.07,260.94,378.79,372.04,367.59,382.91,388.54,389.69,384.43,383.75,377.41,389.09,385.43,388.55,390.54,397.84,384.91,360.40,366.82,361.57,373.55,375.63,,,381.95,382.15,392.01,391.01,384.48
2015-06-13 22:00:19.815000,L8,371.46,371.39,335.92,361.87,366.92,328.95,340.87,353.59,,,,,346.08,315.96,324.26,311.62,314.43,324.12,337.50,336.40,359.37,360.34,367.61,351.62,377.15,366.44,360.48,362.71,372.86,371.09,344.86,349.16,358.70,364.17,353.61,357.95,364.76,353.67,384.02,380.30,348.25,329.89,315.62,,362.46,349.18,365.33,374.15,377.14,380.78,377.88,379.11,376.69,389.96,362.93,372.08,378.92,366.10,365.56,350.44,356.93,347.77,368.49,365.72,375.83,386.10,376.44,374.79,383.50,402.20,
2015-06-29 22:00:26.396000,L8,370.49,368.48,331.28,340.98,357.34,324.17,307.15,345.45,376.48,379.61,388.12,395.27,338.35,315.01,318.48,306.52,313.65,322.27,329.98,329.82,322.17,352.74,349.90,346.30,369.38,365.38,352.73,356.95,362.24,352.83,295.76,324.31,350.41,299.49,,349.62,357.54,343.64,380.07,373.40,340.75,325.58,303.26,,353.99,347.33,354.00,371.12,364.52,371.29,369.69,374.83,371.09,383.16,358.66,366.69,370.55,363.45,359.59,348.03,351.09,342.83,365.08,359.00,366.92,368.49,374.37,357.40,392.87,388.94,364.76
2015-07-15 22:00:36.323000,L8,364.23,366.41,326.79,338.03,339.58,282.89,281.35,336.64,353.59,376.90,385.88,395.79,339.82,316.45,318.68,304.91,312.70,322.44,328.37,329.56,321.29,351.09,344.29,340.42,366.15,364.61,349.34,354.14,362.01,298.44,289.97,313.75,345.06,296.53,,352.07,357.50,344.55,373.23,371.73,342.43,321.69,301.29,,352.26,346.63,353.16,367.88,368.96,368.46,368.51,372.82,368.93,381.50,358.47,364.33,371.67,361.42,359.36,349.59,352.02,344.44,364.58,359.46,367.31,366.52,373.48,361.97,384.60,383.89,362.49
