dates,nzd0316-0000,nzd0316-0001,nzd0316-0002,nzd0316-0003,nzd0316-0004,nzd0316-0006,nzd0316-0007,nzd0316-0008,nzd0316-0009,nzd0316-0010,nzd0316-0011,nzd0316-0012,nzd0316-0014,nzd0316-0015,nzd0316-0016,nzd0316-0017,nzd0316-0018,nzd0316-0019,nzd0316-0020,nzd0316-0021,nzd0316-0022,nzd0316-0023,nzd0316-0024,nzd0316-0025,nzd0316-0026,nzd0316-0028,nzd0316-0029,nzd0316-0030,nzd0316-0031,nzd0316-0032,nzd0316-0033,nzd0316-0034,nzd0316-0035,nzd0316-0036,nzd0316-0037,nzd0316-0038,nzd0316-0039,nzd0316-0041,nzd0316-0042,nzd0316-0043,nzd0316-0044,nzd0316-0045,nzd0316-0046,nzd0316-0005,nzd0316-0013,nzd0316-0027,nzd0316-0040,satname
2014-04-21 22:12:54+00:00,289.026,278.634,282.096,273.26599999999996,270.562,265.68666666666667,266.7416666666666,265.66833333333335,263.325,257.0883333333333,271.60999999999996,271.415,269.51666666666665,270.56800000000004,284.498,265.864,274.7542857142857,268.2757142857143,266.9271428571429,277.4857142857143,270.3957142857143,271.76666666666665,271.328,275.764,272.566,272.61,270.4475,270.08000000000004,275.25,283.395,276.546,283.36800000000005,285.3833333333334,277.67600000000004,283.9925,283.63,280.582,261.44666666666666,274.6025,251.81000000000003,274.96333333333337,272.47249999999997,273.15,268.21666666666664,271.73400000000004,276.2175,273.36,L8
2014-05-14 22:18:44+00:00,283.608,271.97200000000004,277.912,268.494,267.444,266.456,266.36,265.372,262.396,256.662,271.17199999999997,270.98400000000004,264.08166666666665,274.45250000000004,273.28,255.29199999999997,271.0228571428571,263.12857142857143,262.04285714285714,273.1714285714285,265.1771428571429,271.62,273.45,277.3775,274.615,275.3366666666667,272.7,275.8733333333334,281.55333333333334,285.57,275.7425,274.305,285.3833333333334,277.005,285.5366666666667,285.95666666666665,283.34,260.724,277.03000000000003,245.435,271.26666666666665,265.8975,269.3425,264.395,274.0475,281.24999999999994,275.445,L8
2014-07-26 22:12:55+00:00,275.195,262.08000000000004,258.375,252.97250000000003,254.225,259.775,264.67999999999995,265.02500000000003,252.86333333333334,257.41999999999996,263.34333333333336,261.3033333333333,255.10999999999999,252.98000000000002,257.0175,242.70000000000005,270.42249999999996,259.9975,256.395,269.1625,257.4875,271.71500000000003,258.655,267.41,262.775,265.31,262.7,261.94,270.28,277.77,279.19,278.91,272.89,277.51,277.35,273.78,267.56999999999994,262.03999999999996,263.63,,270.695,257.00333333333333,265.03666666666663,250.865,266.76,263.58,265.43,L8
2014-08-11 22:13:03+00:00,275.052,262.37800000000004,257.288,253.356,254.67,248.4433333333333,257.75333333333333,262.8066666666667,254.2675,257.41999999999996,261.52250000000004,256.9025,253.08,252.98000000000002,255.42199999999997,253.07000000000002,271.14399999999995,260.634,254.584,265.0,257.86199999999997,263.67,252.81333333333336,254.54333333333332,262.775,265.31,262.7,261.94,270.28,277.77,279.19,278.91,272.89,264.03499999999997,277.35,273.78,267.56999999999994,262.03999999999996,263.63,,270.695,257.00333333333333,265.03666666666663,252.058,266.76,263.58,265.43,L8
2014-08-27 22:13:05+00:00,274.506,262.554,258.332,254.53399999999996,255.356,249.30000000000004,260.28000000000003,264.8733333333334,256.945,264.03499999999997,264.07,258.91499999999996,255.11399999999998,256.66333333333336,257.90999999999997,263.09000000000003,273.66400000000004,263.628,258.396,266.024,258.526,262.39,253.17666666666665,255.54333333333332,285.69000000000005,251.13,263.04999999999995,259.555,280.495,283.86,292.6,289.94,290.835,275.3633333333333,289.18,283.205,281.02,267.145,262.88,255.48,273.5366666666667,257.0566666666667,268.8966666666666,252.782,272.115,271.21500000000003,280.565,L8
2014-09-28 22:13:08+00:00,276.15333333333336,264.305,259.4183333333333,255.5433333333333,256.35833333333335,252.60250000000002,263.9475,266.055,260.806,263.94,265.198,261.6,258.42333333333335,259.2875,261.68333333333334,267.128,275.48333333333335,266.28499999999997,261.2816666666667,270.11333333333334,264.90166666666664,273.2075,256.5475,260.7625,279.69,255.83,263.72666666666663,259.9066666666667,288.8,292.55,301.43,299.2733333333333,297.9266666666667,286.0825,297.12333333333333,283.205,281.02,267.145,262.88,258.875,276.2925,262.54999999999995,272.60999999999996,254.06000000000003,270.5266666666667,268.5133333333333,280.565,L8
2014-10-14 22:13:14+00:00,277.5385714285714,265.4,260.1557142857143,256.39142857142855,257.32714285714286,254.894,265.214,266.45,262.1166666666667,261.9475,267.43,263.43333333333334,260.43285714285713,259.96000000000004,264.56142857142856,269.815,276.31,267.62285714285713,263.06,272.28285714285715,266.64714285714285,273.216,258.236,260.7625,279.69,258.1925,263.42499999999995,258.795,288.8,288.7125,296.97249999999997,294.7875,290.6725,284.772,292.2275,279.68666666666667,276.4533333333333,267.31333333333333,266.35,260.24,278.15,265.77599999999995,273.974,255.08285714285714,269.5,268.5133333333333,275.29,L8
2015-01-25 22:19:08+00:00,282.166,269.608,262.352,260.296,260.996,255.446,264.83599999999996,265.88,268.024,261.055,269.72799999999995,266.42199999999997,267.952,268.3675,275.056,282.546,281.308,274.56399999999996,270.85,277.88599999999997,276.546,272.71999999999997,259.084,260.3275,278.9066666666667,257.9825,263.255,258.27250000000004,287.91333333333336,289.35,296.7675,294.78499999999997,291.025,284.8,291.8975,279.9166666666667,276.6666666666667,267.71999999999997,266.81,260.3275,283.495,277.87999999999994,283.08666666666664,260.01599999999996,268.83000000000004,266.87000000000006,274.40666666666664,L8
2015-02-10 22:19:02+00:00,284.562,271.13199999999995,265.05199999999996,261.576,262.582,263.47200000000004,270.30999999999995,267.86,270.11800000000005,261.072,273.072,271.698,273.70000000000005,268.3675,282.224,284.33599999999996,282.84000000000003,276.88199999999995,276.688,285.03200000000004,280.29999999999995,278.70799999999997,264.56600000000003,270.45000000000005,278.9066666666667,257.9825,263.255,259.88,287.91333333333336,289.35,296.7675,292.952,290.38800000000003,293.36,291.8975,279.9166666666667,276.6666666666667,267.71999999999997,266.81,260.3275,283.495,277.34,282.9475,260.82,268.83000000000004,266.87000000000006,274.40666666666664,L8
2015-02-19 22:12:49+00:00,275.89833333333337,264.085,255.92666666666665,258.87166666666667,260.18333333333334,263.47200000000004,265.805,264.77666666666664,263.37166666666667,254.3033333333333,268.87833333333333,268.5466666666667,266.112,258.67400000000004,271.43,276.41333333333336,278.2766666666667,272.01166666666666,272.15,280.34666666666664,275.8533333333333,269.59499999999997,264.56600000000003,270.45000000000005,278.9066666666667,257.9825,263.255,259.88,287.91333333333336,289.35,296.7675,292.952,290.38800000000003,293.36,291.8975,279.9166666666667,276.6666666666667,255.63,266.81,260.3275,275.504,269.56,275.178,257.46,252.95200000000006,266.87000000000006,260.66749999999996,L8
