dates,nzd0078-0000,nzd0078-0001,nzd0078-0002,nzd0078-0003,nzd0078-0004,nzd0078-0005,nzd0078-0006
2020-12-17 22:12:09+00:00,297.95666666666665,299.062,301.394,293.63,298.1766666666667,297.045,291.166
2021-02-03 22:11:56+00:00,299.025,296.855,298.7575,294.444,298.71,296.102,290.3125
2021-02-19 22:11:27+00:00,299.896,297.79,300.38199999999995,294.06,298.145,297.32666666666665,291.34000000000003
2021-04-24 22:11:01+00:00,303.225,300.0475,306.185,298.036,301.398,304.332,292.336
2021-05-26 22:11:07+00:00,299.3825,296.3725,303.87,299.8525,298.18600000000004,298.182,293.0075
2021-06-11 22:11:38+00:00,300.39399999999995,297.55,304.84,298.172,297.8183333333333,297.45,292.01599999999996
2021-07-13 22:11:19+00:00,299.21,296.7966666666667,304.1666666666667,289.318,292.2816666666667,291.9633333333333,288.5575
2021-10-01 22:11:46+00:00,298.046,295.76599999999996,303.074,287.46500000000003,291.23,288.986,291.39666666666665
2021-11-06 22:12:48+00:00,296.5375,294.625,304.404,291.4525,292.79,289.58000000000004,289.4166666666667
2021-11-18 22:11:44+00:00,296.5375,294.625,310.735,297.762,295.33166666666665,294.4166666666667,291.6
2022-01-13 22:12:02+00:00,301.89,298.365,317.645,303.1675,300.955,303.8525,292.05
2022-01-21 22:11:35+00:00,301.89,300.2166666666667,316.238,301.706,300.476,301.956,290.912
2022-02-14 22:12:01+00:00,300.49666666666667,299.09000000000003,313.92333333333335,299.14000000000004,299.31333333333333,299.64000000000004,288.78833333333336
2022-02-22 22:11:26+00:00,300.1725,298.422,312.26142857142855,297.58714285714285,297.94571428571425,298.3,288.5757142857143
2022-05-21 22:10:55+00:00,302.2475,299.33750000000003,306.39,291.544,294.674,286.946,285.4200000000001
2022-07-16 22:11:39+00:00,301.46,298.9075,305.8725,291.056,294.538,286.16999999999996,284.8725
2022-08-09 22:11:58+00:00,304.038,297.465,305.515,291.502,294.636,287.428,286.9725
2022-09-10 22:12:03+00:00,301.52250000000004,291.46999999999997,308.7099999999999,294.31,296.6466666666667,286.27333333333337,291.21000000000004
2023-02-09 22:11:45+00:00,287.03999999999996,282.2,297.32,270.5,281.57,274.5,
2023-03-13 22:11:47+00:00,318.0,312.78,304.96500000000003,284.97,290.93,287.34000000000003,269.36
2023-03-21 22:11:55+00:00,314.1066666666666,309.43333333333334,305.45,287.54,292.43666666666667,290.49333333333334,244.73000000000002
2023-05-16 22:10:40+00:00,307.9175,304.51,304.1175,286.3125,291.12,290.36,233.29
2023-05-24 22:11:17+00:00,304.778,301.922,303.702,286.12399999999997,290.57,290.462,228.655
2023-06-09 22:11:12+00:00,302.53833333333336,299.93333333333334,302.64166666666665,284.32666666666665,289.255,289.4066666666667,223.18200000000002
2023-06-17 22:11:17+00:00,300.1328571428571,297.84000000000003,301.0314285714286,281.40999999999997,287.70428571428573,288.4857142857143,215.72166666666666
2023-07-11 22:11:24+00:00,300.1328571428571,298.155,302.66625,283.21500000000003,289.53875,290.025,215.72166666666666
2023-07-27 22:11:03+00:00,298.7175,297.2744444444445,302.4988888888889,283.15777777777777,289.35,289.8933333333333,214.6342857142857
2023-08-20 22:11:47+00:00,298.31625,297.3155555555556,302.6788888888889,283.96666666666664,289.0566666666666,290.94666666666666,212.21625
2023-08-28 22:11:20+00:00,297.6077777777778,296.795,302.52,284.098,288.96,290.832,211.97333333333333
2023-09-05 22:11:46+00:00,296.691,295.71727272727276,302.13272727272727,283.77,288.1145454545454,289.8945454545455,210.00799999999998
2023-10-07 22:11:57+00:00,291.9166666666667,291.84,301.19100000000003,282.37600000000003,287.18600000000004,289.58299999999997,211.79888888888888
2023-10-15 22:12:03+00:00,293.13399999999996,292.5463636363636,301.4309090909091,283.2018181818182,287.8690909090909,290.1790909090909,219.494
2024-01-11 22:11:56+00:00,296.4771428571429,294.40714285714284,302.5728571428572,286.1928571428571,289.26142857142855,291.3285714285714,239.57571428571427
2024-02-04 22:11:43+00:00,298.55285714285714,296.0214285714286,303.84142857142854,288.0942857142857,291.00999999999993,293.35857142857145,251.81571428571428
2024-05-02 22:10:44+00:00,300.71999999999997,298.6766666666667,307.2266666666667,291.3333333333333,296.3866666666667,297.41333333333336,289.94
2024-05-10 22:11:00+00:00,300.71999999999997,303.6,310.97,294.1775,298.55,299.9275,290.495
2024-05-18 22:10:55+00:00,301.6175,303.07,310.536,293.698,298.21999999999997,299.696,291.08000000000004
2024-06-11 22:11:06+00:00,305.244,302.9633333333333,311.4483333333333,294.41333333333336,298.6933333333333,299.40166666666664,291.235
2024-08-06 22:10:57+00:00,306.1225,303.558,312.26800000000003,293.666,298.13399999999996,297.716,290.834
2024-08-22 22:11:34+00:00,305.78999999999996,303.92833333333334,311.485,293.2583333333333,297.89666666666665,297.03833333333336,290.45166666666665
2024-12-04 22:12:00+00:00,308.7875,303.04,309.735,292.8775,298.105,295.0675,288.9475
2024-12-28 22:11:26+00:00,304.21,302.47249999999997,306.7175,291.5075,297.4275,294.86,288.6425
2025-01-05 22:11:31+00:00,303.474,302.04200000000003,306.12399999999997,292.108,296.82800000000003,295.40999999999997,288.654
2025-01-29 22:11:52+00:00,303.10999999999996,301.92333333333335,305.885,291.91333333333336,296.7033333333333,295.5733333333333,288.6616666666667
2025-02-06 22:11:31+00:00,303.265,301.85833333333335,305.4483333333333,292.8966666666667,296.96666666666664,297.5733333333333,289.84166666666664
2025-03-10 22:11:28+00:00,305.08,302.9433333333333,306.15,293.96666666666664,297.595,298.8583333333333,290.93
2025-03-18 22:11:06+00:00,305.08,298.07000000000005,304.5857142857143,288.9214285714286,292.4057142857143,298.8583333333333,290.93
2025-03-26 22:11:41+00:00,304.96857142857147,298.53625,305.7475,289.985,293.64875,299.4942857142857,291.83142857142855
2025-04-27 22:11:08+00:00,308.06375,302.3622222222223,308.74666666666667,292.3288888888889,295.62222222222226,300.77375,292.36625
