dates,satname,nzd0001-0000,nzd0001-0001,nzd0001-0002,nzd0001-0003,nzd0001-0004,nzd0001-0005,nzd0001-0006,nzd0001-0008,nzd0001-0009,nzd0001-0010,nzd0001-0011,nzd0001-0012,nzd0001-0013,nzd0001-0014,nzd0001-0015,nzd0001-0016,nzd0001-0017,nzd0001-0020,nzd0001-0021,nzd0001-0022,nzd0001-0023,nzd0001-0024,nzd0001-0025,nzd0001-0007,nzd0001-0018,nzd0001-0019,nzd0001-0026,nzd0001-0027,nzd0001-0028,nzd0001-0030,nzd0001-0031,nzd0001-0032,nzd0001-0029
2021-01-09 22:17:48.906000,L8,,,,,262.71,296.55,315.74,284.85,301.50,266.17,245.50,256.97,301.13,242.38,,,,,261.11,258.96,252.04,248.20,252.86,322.13,,,253.59,268.80,267.98,272.36,256.97,254.48,283.16
2021-01-25 22:17:44.203000,L8,,,,,212.43,301.76,325.51,293.28,318.89,278.31,256.70,262.02,305.81,248.79,,,,,267.02,265.54,262.18,257.30,256.12,335.05,,,259.91,277.85,282.85,288.47,287.17,274.97,292.42
2021-02-26 22:17:35.944000,L8,,,,,270.16,299.96,320.88,291.64,313.09,276.41,255.53,261.17,304.51,246.78,,,,,282.97,261.50,248.94,237.79,250.58,329.08,,,296.65,293.60,292.68,299.73,294.05,299.15,299.22
2021-03-30 22:17:22.624000,L8,,,,,269.85,301.36,320.47,297.36,318.30,283.46,261.08,265.83,307.36,250.85,,,,,267.74,273.08,264.35,287.28,298.08,330.94,,,291.05,295.30,292.39,294.38,299.02,301.14,298.21
2021-04-15 22:17:16.883000,L8,231.77,219.46,255.94,260.56,266.83,297.30,320.55,284.85,305.23,274.62,256.05,261.33,304.43,243.21,,,,,261.17,266.94,259.46,255.74,255.52,326.85,,,257.51,278.35,273.19,286.67,264.65,258.45,290.00
2021-05-01 22:17:07.841000,L8,,,,,271.73,302.08,323.85,326.98,316.22,276.46,252.54,259.86,304.23,305.79,301.60,289.21,295.23,314.34,290.89,271.29,282.10,297.97,302.67,333.96,299.22,297.18,292.00,304.19,300.50,300.08,293.05,301.30,322.33
2021-05-17 22:17:12.707000,L8,,,,,255.46,279.45,312.09,283.12,300.23,265.38,246.06,255.25,256.72,241.20,,,,,,250.18,254.61,258.25,254.07,320.94,,,254.34,269.93,269.09,273.12,249.55,252.93,282.36
2021-06-18 22:17:27.030000,L8,,,,,,,,,267.09,240.56,231.24,244.81,242.06,234.05,,,,,240.71,247.81,239.43,237.95,232.89,,,,239.39,246.32,248.38,250.86,234.36,235.53,243.05
2021-07-04 22:17:29.944000,L8,,,,,276.53,305.55,326.36,328.00,320.18,302.89,303.29,302.33,305.69,305.49,298.22,,,308.46,264.59,272.54,268.48,270.49,259.96,337.46,295.65,294.13,259.22,282.07,284.35,290.16,281.93,292.07,290.06
2021-10-24 22:18:01.850000,L8,,,,,,,,318.02,319.27,283.93,302.02,267.20,310.43,301.95,,,,,270.15,272.81,269.19,268.53,263.42,,,,262.32,287.17,280.93,281.44,266.62,257.18,291.08
2021-11-09 22:17:58.951000,L8,,,,,263.80,299.13,317.81,289.21,314.52,271.16,251.78,259.87,302.52,245.96,,,,,258.31,274.27,261.41,259.04,254.58,329.89,,,256.83,272.34,271.67,268.81,256.50,249.84,282.23
