dates,nzd0477-0000,nzd0477-0001,nzd0477-0002,nzd0477-0003,nzd0477-0004,nzd0477-0005,nzd0477-0006,nzd0477-0007,nzd0477-0008,nzd0477-0009,nzd0477-0010,nzd0477-0011,nzd0477-0012,nzd0477-0013,nzd0477-0014,nzd0477-0015,nzd0477-0016,nzd0477-0017,nzd0477-0018,nzd0477-0019,nzd0477-0020,nzd0477-0021,nzd0477-0022,nzd0477-0023,nzd0477-0024,nzd0477-0025,nzd0477-0026,nzd0477-0027,nzd0477-0028,nzd0477-0029,nzd0477-0030,nzd0477-0031,nzd0477-0032,nzd0477-0033,nzd0477-0034
2006-02-26 22:04:59+00:00,,325.98,318.62,317.74,319.42,326.385,327.04,345.31,349.47,335.52500000000003,331.83000000000004,324.29499999999996,304.505,321.445,316.06999999999994,322.85,325.57,332.87,326.27,322.96,310.07,,,306.805,320.77,318.32000000000005,325.495,323.07500000000005,317.68,273.935,303.525,294.04499999999996,289.49,287.73,346.75666666666666
2006-03-05 22:11:18+00:00,,325.98,318.62,317.74,319.42,326.385,327.04,345.31,349.47,335.52500000000003,331.83000000000004,324.29499999999996,304.505,321.445,316.06999999999994,322.85,325.57,332.87,326.27,322.96,310.07,,,306.805,320.77,326.71333333333337,325.495,323.07500000000005,328.56333333333333,273.935,303.525,294.04499999999996,289.49,287.73,346.75666666666666
2006-08-05 22:07:31+00:00,,316.22,311.67,310.84,305.21,322.38,318.98,319.86,324.38,316.11,314.99,,,,,,,,,,,,,,,315.685,295.83,,350.33,,,,,,373.78
2006-08-21 22:07:43+00:00,,316.22,311.67,310.84,305.21,322.38,318.98,319.86,324.38,316.11,314.99,,,,,,,,,,,,,,,315.685,295.83,,350.33,,,,,,372.075
2007-09-09 22:07:21+00:00,,332.61,327.94,328.15,321.7,326.78,328.64,333.94,332.65,,,,,,,,,,,,,,,,310.05,307.09,321.62,327.51,321.48,285.02,306.86,302.71,291.09,297.81,340.04
2007-09-16 22:13:28+00:00,349.49,327.46500000000003,321.36,322.645,317.76,325.075,327.865,340.615,338.47,,,,,,,,,,,,,,,319.37,316.475,315.495,324.795,331.855,316.485,279.73,303.1,295.25,288.36,295.58000000000004,335.855
2008-02-16 22:04:45+00:00,349.49,327.46500000000003,321.36,322.645,317.76,325.075,327.865,340.615,338.47,,,,,,,,,,,,,,,319.37,316.475,315.495,324.795,331.855,316.485,279.73,303.1,295.25,288.36,295.58000000000004,342.8066666666667
2008-11-14 21:57:52+00:00,346.56,324.16,323.48,323.91,319.14,329.39,331.98,339.54,342.98,333.64,332.58,327.02,327.11,316.27,313.41,322.26,315.72,324.11,319.26,323.22,317.84,311.76,315.13,313.83,314.11,313.03,321.05,312.36,309.32,265.28,303.13,291.0,286.34,286.46,339.41
2009-01-01 21:58:55+00:00,346.56,324.16,323.48,323.91,319.14,329.39,331.98,339.54,342.98,333.64,332.58,327.02,327.11,316.27,313.41,322.26,315.72,324.11,319.26,323.22,317.84,311.76,315.13,313.83,314.11,313.03,321.05,312.36,309.32,265.28,321.78999999999996,310.16499999999996,286.34,305.07,344.07000000000005
2009-01-17 21:59:20+00:00,346.56,324.16,323.48,323.91,319.14,329.39,331.98,339.54,342.98,333.64,332.58,327.02,327.11,328.845,313.41,322.26,315.72,324.11,319.26,323.22,317.84,311.76,315.13,313.83,314.11,313.03,325.885,321.735,309.32,265.28,325.58666666666664,312.73333333333335,301.95,309.43333333333334,347.1333333333334
2010-02-12 22:11:17+00:00,333.32,313.9,315.83,308.18,310.95,,,,,,,,,,,,,,,,,,,,,,,297.2,299.44,250.12,299.72,284.12,283.51,,
2011-02-08 22:04:11+00:00,,326.06,328.9,325.86,321.57,334.12,335.29,336.58,,,,,336.95,328.75,333.06,326.58,328.47,331.79,327.36,326.56,321.19,315.48,320.02,326.56,325.84,327.35,337.48,329.05,329.58,292.87,311.07,301.51,294.73,298.41,330.02
2011-03-12 22:04:07+00:00,,332.06,328.9,325.86,321.57,334.12,337.73,340.53499999999997,343.56,340.23,334.4,332.17,336.95,328.75,333.06,326.58,332.52,334.94,331.045,329.79499999999996,325.57,319.53,321.53499999999997,323.615,323.18499999999995,324.265,333.28,327.995,327.595,295.24,315.74,304.21500000000003,298.09000000000003,299.57500000000005,333.685
2011-03-28 22:04:02+00:00,,331.81666666666666,330.99,328.57,324.22,336.4,337.73,339.0933333333333,340.7,336.0,330.69,326.515,329.275,326.505,326.075,325.08,333.0366666666667,336.0933333333333,331.5733333333333,330.3433333333333,324.67333333333335,319.72,319.6766666666667,321.4266666666667,319.70666666666665,321.41333333333336,329.0233333333333,325.0466666666667,322.1766666666667,293.40000000000003,315.53000000000003,304.2166666666667,296.2633333333333,295.9066666666667,332.3066666666667
2013-05-11 22:22:18+00:00,338.01,303.09,295.39,296.29,279.97,304.85,305.71,304.9,306.85,275.69,,,,,,,,,,,,,,,286.91,283.27,299.04,298.57,,,,,,294.91,330.31
2013-06-28 22:22:20+00:00,338.01,302.92499999999995,295.39,296.29,276.935,302.70000000000005,305.13,305.29499999999996,300.57000000000005,282.235,287.07,,,,,,,,,,,,,,285.65,282.325,299.12,286.815,288.17,,,,,294.5,330.03
2013-07-07 22:16:11+00:00,338.01,306.33666666666664,299.445,300.38,287.58,308.3066666666667,310.84,314.24666666666667,309.50333333333333,295.8633333333333,302.405,310.56,310.78,303.93,302.03,304.75,318.25,319.96,317.4,315.77,311.81,306.21,304.96,311.92,294.31666666666666,291.86999999999995,305.50333333333333,296.31333333333333,296.475,,,,,312.6766666666667,347.1566666666667
2013-08-31 22:22:26+00:00,338.01,307.59749999999997,301.42,300.7033333333334,291.155,309.625,312.9275,316.71999999999997,312.65500000000003,301.315,305.58,310.56,291.885,285.24,285.99,304.75,298.395,319.96,317.4,315.77,292.635,290.6,287.835,311.92,295.9575,293.6975,305.45,299.90250000000003,297.55333333333334,287.01,308.45,295.68,292.32,313.2125,352.4425
2013-09-25 22:16:28+00:00,338.01,308.488,303.335,301.6,294.26800000000003,311.03200000000004,314.524,318.126,314.942,304.452,307.4475,292.765,285.32666666666665,279.3066666666667,279.7366666666667,304.75,290.79333333333335,300.4,317.4,315.77,285.92333333333335,285.24333333333334,280.7966666666667,311.92,297.456,295.156,305.668,301.896,297.7375,287.84000000000003,307.88,294.865,291.92499999999995,314.456,351.986
2013-11-19 22:22:01+00:00,,311.30600000000004,308.0575,305.3125,300.856,314.354,318.63,323.18,319.67,314.048,309.806,282.22333333333336,280.6425,273.1925,275.22,304.75,298.61,308.31666666666666,317.375,317.135,292.375,290.495,287.07,311.70000000000005,301.918,300.576,308.482,304.908,298.832,292.96,310.34999999999997,295.59,293.0733333333333,321.044,361.83000000000004
