dates,nzd0128-0000,nzd0128-0001,nzd0128-0002,nzd0128-0003,nzd0128-0004,nzd0128-0005,nzd0128-0006,nzd0128-0007,nzd0128-0008,nzd0128-0009,nzd0128-0010,nzd0128-0011,nzd0128-0012,nzd0128-0013,nzd0128-0014,nzd0128-0015,nzd0128-0016,nzd0128-0017,satname
2005-04-12 21:58:55+00:00,329.284,350.6825,341.67600000000004,337.745,197.91,,325.8025,309.45666666666665,322.18833333333333,324.968,333.0842857142857,352.26714285714286,349.8957142857143,349.2442857142857,355.57428571428574,346.8957142857143,324.4842857142857,317.84714285714284,L5
2005-05-30 21:59:15+00:00,329.284,350.6825,341.67600000000004,337.745,197.91,,322.87399999999997,307.60857142857145,319.3071428571429,324.968,333.0842857142857,352.26714285714286,347.035,346.83625,355.57428571428574,345.84250000000003,323.8875,317.4525,L5
2005-06-08 21:53:09+00:00,329.284,348.936,340.7583333333334,337.745,190.942,,322.34833333333336,306.355,317.7625,324.968,332.97125,351.15749999999997,346.2166666666667,346.7388888888889,355.5825,345.21777777777777,323.20000000000005,316.71333333333337,L5
2005-07-17 21:59:35+00:00,326.005,348.04999999999995,338.53000000000003,335.2866666666667,187.2825,,316.87166666666667,301.03375,313.80875000000003,322.14000000000004,331.77714285714285,348.83,344.25125,345.36375,353.79571428571427,342.56111111111113,320.3544444444444,310.25666666666666,L5
2005-07-26 21:53:30+00:00,326.005,346.32599999999996,337.76,335.2866666666667,185.434,,316.87166666666667,299.75888888888886,314.03,313.18,336.595,353.08166666666665,346.1814285714286,347.41285714285715,356.315,343.91875,321.54999999999995,310.60749999999996,L5
2005-09-19 21:59:56+00:00,339.71,348.3225,344.83750000000003,340.505,177.08,,318.81,299.98285714285714,313.34999999999997,309.82,334.15,350.74749999999995,344.90999999999997,347.142,357.0433333333333,340.10200000000003,319.95599999999996,304.954,L5
2005-11-22 22:00:23+00:00,358.61,360.025,355.6825,346.71,170.555,384.47,315.6325,306.8983333333333,317.80333333333334,315.58666666666664,336.68,352.24333333333334,347.9575,352.70500000000004,372.99,349.25500000000005,318.5066666666666,298.93666666666667,L5
2006-02-03 21:55:55+00:00,350.97333333333336,369.3333333333333,376.32500000000005,343.03,181.75,384.47,329.24,332.12333333333333,336.5033333333334,331.5733333333333,340.1766666666667,357.29333333333335,360.43666666666667,363.53999999999996,375.63,369.69500000000005,332.17,,L5
2006-02-19 21:56:15+00:00,350.97333333333336,374.1075,380.35666666666674,343.03,181.75,381.94000000000005,329.24,332.12333333333333,343.56000000000006,339.6975,345.815,363.0975,365.7925,363.53999999999996,379.91333333333336,374.40000000000003,332.17,,L5
2006-05-17 22:03:57+00:00,321.7733333333333,369.4625,373.49333333333334,316.865,177.765,381.94000000000005,316.885,327.25666666666666,341.51750000000004,347.46999999999997,352.3,369.52333333333337,369.97333333333336,359.67666666666673,372.855,366.17,327.8,314.9,L5
2006-08-21 22:05:19+00:00,266.64,341.58500000000004,339.225,282.135,175.91500000000002,,309.8,302.66499999999996,314.46,,,,,342.69500000000005,351.84000000000003,338.305,320.78499999999997,314.395,L5
2006-10-24 22:06:02+00:00,276.03333333333336,337.28333333333336,335.0466666666667,286.4866666666667,175.91500000000002,,309.8,295.99666666666667,315.51666666666665,,324.99,330.38,322.33,335.6233333333334,345.1033333333333,330.27,320.78499999999997,303.32666666666665,L5
2006-12-11 22:06:52+00:00,285.37,334.27,332.94,282.54,178.05,,314.94,292.45500000000004,314.64,,324.99,330.38,322.33,331.82500000000005,341.81499999999994,330.3566666666666,321.205,305.1666666666667,L5
