dates,nzd0434-0000,nzd0434-0001,nzd0434-0002,nzd0434-0003,nzd0434-0004,nzd0434-0005,nzd0434-0006,nzd0434-0007,nzd0434-0008,nzd0434-0009,nzd0434-0010,nzd0434-0011,nzd0434-0012,nzd0434-0013,nzd0434-0014,nzd0434-0015,nzd0434-0016,nzd0434-0017,nzd0434-0018,nzd0434-0019,nzd0434-0020,nzd0434-0021,nzd0434-0022,nzd0434-0023,nzd0434-0024,nzd0434-0025,nzd0434-0033,nzd0434-0034,nzd0434-0035,nzd0434-0036,nzd0434-0029,nzd0434-0030,nzd0434-0031,nzd0434-0032,nzd0434-0026,nzd0434-0027,nzd0434-0028,satname
2019-12-22 22:20:15+00:00,298.5525,275.0225,243.4,250.315,263.915,261.42499999999995,249.55,255.32,237.38333333333333,246.50333333333333,264.4825,241.6725,225.04,238.155,234.3125,231.0225,209.845,354.355,,376.48,,375.69,366.78,387.32,377.09,369.66499999999996,,353.03666666666663,154.42,325.00333333333333,353.91,,339.77,360.35,367.35,360.56,356.91499999999996,L8
2020-02-08 22:20:02+00:00,298.5525,275.0225,241.3,249.33,262.2766666666667,260.4166666666667,247.15666666666667,253.22333333333333,236.0225,245.1025,264.288,238.548,224.39600000000002,236.30599999999998,233.752,231.0225,209.845,354.355,,376.48,,375.69,366.78,387.32,377.09,369.66499999999996,,353.03666666666663,157.915,332.70500000000004,353.91,,339.77,360.35,367.35,360.56,356.91499999999996,L8
2020-02-24 22:19:58+00:00,298.5525,275.0225,240.11666666666667,248.7125,261.61,259.93,243.9325,252.9175,235.212,243.41199999999998,263.79,237.35000000000002,223.44833333333335,234.96666666666667,233.06833333333336,230.602,213.946,354.355,,376.48,,375.69,366.78,387.32,377.09,369.66499999999996,,353.03666666666663,158.40333333333334,334.652,353.91,,339.77,360.35,367.35,360.56,356.91499999999996,L8
2020-03-11 22:19:52+00:00,294.93000000000006,294.57499999999993,238.67999999999998,246.97500000000002,259.35249999999996,258.07,238.13666666666668,250.96333333333334,232.0433333333333,240.09,262.826,228.73000000000002,219.74200000000002,229.792,229.454,228.14999999999998,230.59500000000003,,,,,,,,,,,338.37,160.39499999999998,342.154,,,,360.75,,,,L8
2020-09-19 22:20:15+00:00,322.83,332.44,,,,,,,,,,,,,,,,354.45,,,391.55,,,366.7,,347.37,,,167.81,320.83,,388.57,,,,350.49,,L8
2020-10-21 22:20:19+00:00,331.23,341.625,,,,,,,,,256.83,227.28,219.48,231.27,232.66,228.51,189.85,354.45,,,391.55,,,366.7,390.21,365.225,,,167.81,320.83,,388.57,,,,350.49,,L8
2021-02-17 22:26:14+00:00,331.23,341.625,238.94,246.46,260.43,257.22,242.37,248.18,232.05,238.43,257.375,226.925,219.655,229.3,229.255,228.51,189.85,354.45,,,391.55,,,366.7,390.21,365.225,,,162.37,315.29499999999996,,388.57,,,,350.49,,L8
2021-03-30 22:19:46+00:00,339.63,350.81,242.70499999999998,253.7,264.37,261.495,251.01500000000001,252.415,236.48000000000002,242.69,259.59666666666664,236.72666666666666,219.655,229.3,229.255,228.51,189.85,389.45,,,394.96,386.13,385.66,385.04,387.125,381.67499999999995,,,155.075,318.45,358.32,361.29,,,372.62,361.63,360.37,L8
2021-09-29 22:26:31+00:00,,,,,,,266.28,265.58,241.08,256.53,264.93,254.35,223.4,,,,,,,,,,,,,,,,162.27,,,,,,,,,L8
2021-10-08 22:20:23+00:00,327.94,325.18,,,,,266.28,265.58,241.08,256.53,264.93,254.35,223.4,,,,,,,346.66,367.96,,,,,,,341.71,162.27,337.0,367.74,,,,,,371.51,L8
2021-10-31 22:26:35+00:00,327.94,325.18,248.13,257.09,273.46,264.87,264.395,265.58,241.08,256.53,264.93,254.35,223.4,,,,,,,346.66,367.96,,376.47,,,358.78,,341.71,161.10500000000002,328.22,367.74,334.66,,,371.43,365.91,355.58,L8
2021-11-21 22:22:10+00:00,339.45500000000004,336.9,248.13,257.09,273.46,264.87,264.395,265.58,241.08,256.53,264.93,254.35,223.4,,,233.61,196.58,,,346.66,367.96,,369.535,,378.98,358.78,,341.71,161.10500000000002,328.22,353.58500000000004,334.66,,,365.07500000000005,362.59000000000003,354.05,L9
2021-12-11 22:20:20+00:00,331.04,330.8233333333333,248.13,257.09,273.46,264.87,264.395,265.58,241.08,256.53,264.93,254.35,223.4,,,233.61,196.58,,340.65,346.66,367.96,,366.9066666666667,382.96,375.73,358.78,,341.71,162.04333333333332,325.16333333333336,353.58500000000004,334.66,,,360.4866666666667,362.59000000000003,354.05,L8
