dates,nzd0422-0000,nzd0422-0001,nzd0422-0002,nzd0422-0003,nzd0422-0004,nzd0422-0005,nzd0422-0006,nzd0422-0007,nzd0422-0008,nzd0422-0009,nzd0422-0010,nzd0422-0011,nzd0422-0012,nzd0422-0013,nzd0422-0014,nzd0422-0015,nzd0422-0016,nzd0422-0017,nzd0422-0018,nzd0422-0019,nzd0422-0020,nzd0422-0021,nzd0422-0022,nzd0422-0023,nzd0422-0024,nzd0422-0025,nzd0422-0026,nzd0422-0027,nzd0422-0028,nzd0422-0029,nzd0422-0030,nzd0422-0031,nzd0422-0032,nzd0422-0033,nzd0422-0034,nzd0422-0035,nzd0422-0036,nzd0422-0037,nzd0422-0038,nzd0422-0039,nzd0422-0040,nzd0422-0041,nzd0422-0042,nzd0422-0043,nzd0422-0044,nzd0422-0045,nzd0422-0046,nzd0422-0047,nzd0422-0048,nzd0422-0049,nzd0422-0050,nzd0422-0051,nzd0422-0052,nzd0422-0053,nzd0422-0054,nzd0422-0055,nzd0422-0056,nzd0422-0057,nzd0422-0058,nzd0422-0059,nzd0422-0060,nzd0422-0061,nzd0422-0062,satname
2015-02-26 22:19:46+00:00,293.79200000000003,279.61800000000005,276.006,255.34399999999997,235.478,236.31199999999998,230.484,194.446,227.1875,217.8475,204.39,204.2266666666667,,202.12,167.08499999999998,183.618,203.244,218.47799999999998,236.65,219.288,222.41,218.144,217.286,218.154,223.836,224.454,208.61800000000002,183.93599999999998,169.16,179.158,,,,,,218.06,,,,,,,,,,,,,,,,,,,,,,215.652,260.844,269.04,319.22799999999995,330.684,333.974,L8
2015-03-14 22:19:35+00:00,293.576,280.344,276.79400000000004,256.078,237.888,236.948,232.32200000000003,198.892,228.256,218.84,206.958,206.9475,,201.2,167.28666666666666,188.596,203.188,220.158,235.28400000000002,218.536,222.99200000000002,220.064,218.11999999999998,220.254,223.47199999999998,224.56800000000004,209.37400000000002,186.17,170.32599999999996,179.546,157.12,,,,,,,,,,,,,,,,351.44,345.94,345.18,,,,,,,369.24,,222.1375,261.4675,269.9725,320.048,330.8575,343.046,L8
2015-05-01 22:19:12+00:00,299.18,287.88166666666666,283.9016666666667,259.34999999999997,241.6583333333333,238.14499999999998,233.735,202.49333333333334,229.505,219.97666666666666,210.09333333333333,210.18,,201.2,167.28666666666666,189.345,202.71,218.54999999999998,235.06166666666664,217.42999999999998,221.025,220.02166666666668,218.41333333333333,220.26833333333335,223.60166666666666,224.45166666666668,209.88,186.93999999999997,171.61666666666665,180.01333333333332,162.585,,,,,,,,,438.01,,449.96,,,,,351.44,345.94,345.18,,,,,,,369.24,,217.86999999999998,262.18999999999994,269.40200000000004,314.74666666666667,331.856,344.3533333333333,L8
2015-07-04 22:19:26+00:00,302.0425,284.736,280.96200000000005,263.105,245.06499999999997,239.15249999999997,235.345,207.27500000000003,231.02749999999997,220.86249999999998,214.125,214.4666666666667,,200.28,167.085,191.8475,201.89249999999998,219.5,239.34749999999997,217.34499999999997,221.63500000000002,219.31000000000003,218.46500000000003,220.4225,222.98999999999998,224.0625,211.63,188.34749999999997,172.90249999999997,181.43249999999998,162.585,,,,,,,,,438.01,,449.96,,,,,351.44,345.94,345.18,,,,,,,369.24,,212.3733333333333,262.31666666666666,267.8333333333334,311.8725,332.18,347.96999999999997,L8
2015-09-06 22:19:50+00:00,307.74333333333334,288.16499999999996,284.5825,273.43333333333334,259.1466666666667,242.07000000000002,240.21333333333334,215.0633333333333,233.89,224.59666666666666,221.58333333333334,220.94000000000003,,200.28,167.69,195.10499999999996,203.65,220.45499999999998,232.73499999999996,216.76999999999995,217.75500000000002,216.54333333333332,221.77666666666664,224.51,224.72666666666666,225.82000000000002,217.01333333333335,191.57333333333335,175.45000000000002,183.02,168.01000000000002,,,,,212.78,,,,438.01,,449.96,,,,,351.44,345.94,345.18,,,,,,,369.24,,200.8,265.08,267.12,304.705,335.85,365.37499999999994,L8
2015-12-27 22:20:07+00:00,294.08500000000004,273.07666666666665,270.02000000000004,265.95000000000005,256.125,240.01,237.81,211.77,231.475,223.32999999999998,221.75,224.6,,,,,,,,,,202.98,223.1,223.16,226.07,226.13,222.61,190.14,173.26,181.79000000000002,178.86,,,,,212.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,L8
2016-02-13 22:19:56+00:00,292.75666666666666,281.50333333333333,277.4433333333334,264.12,252.37333333333333,239.71666666666667,238.09666666666666,206.67,230.86666666666667,222.75,218.745,224.6,,,,192.94,201.33,199.75,189.57,188.82,188.8,206.125,221.12,221.765,225.19,225.79,215.92000000000002,188.16,173.4466666666667,180.82000000000002,178.86,,,,,212.78,,,,,,,,,,,,,,,,,,,,,,221.35,259.97,270.61,321.65,333.19,332.62,L8
2016-02-29 22:19:53+00:00,295.02750000000003,281.5675,277.33250000000004,263.99,253.17000000000002,240.14249999999998,238.6175,209.995,231.1825,223.2375,221.5533333333333,210.18,166.0,,,194.685,201.74,200.54000000000002,189.57,189.64999999999998,188.76,206.36,222.37666666666667,222.10666666666665,224.39,227.36333333333332,214.95000000000002,188.67,174.0825,181.065,178.86,,,,,212.78,,,,,,,,,,,,,,,,,,,362.92,377.37,,221.35,259.97,270.61,321.65,362.77,359.84000000000003,L8
2016-03-16 22:19:48+00:00,294.0275,279.385,275.205,260.4575,245.055,239.6875,237.7475,204.4125,230.07,222.22250000000003,221.32333333333335,194.55,166.0,,,194.25,200.84333333333333,200.22000000000003,189.0233333333333,189.39333333333332,186.94333333333336,205.70666666666668,220.23,221.15666666666667,223.13333333333333,226.44999999999996,209.85666666666665,186.95666666666668,173.23250000000002,179.755,,,,,,,,,,,,,,,,,,,,,,,,,362.92,377.37,,218.965,259.97,270.61,321.65,367.15000000000003,363.8633333333334,L8
2016-04-17 22:19:33+00:00,296.812,284.216,282.106,272.32,245.055,239.6875,237.7475,204.4125,230.07,222.22250000000003,223.51749999999998,194.55,166.0,,,194.925,200.45000000000002,199.7725,189.6925,188.265,186.94333333333336,203.7875,221.005,222.05,223.4375,226.2175,211.42000000000002,188.48250000000002,174.35999999999999,180.318,163.38,,,,,,,,,,,,,,,,,,319.92,302.19,,,,,343.08000000000004,358.355,335.73,218.965,260.88,270.67,337.7,359.53000000000003,363.8633333333334,L8
