dates,nzd0415-0000,nzd0415-0001,nzd0415-0056,nzd0415-0057,nzd0415-0058,nzd0415-0002,nzd0415-0003,nzd0415-0045,nzd0415-0046,nzd0415-0047,nzd0415-0110,nzd0415-0111,nzd0415-0041,nzd0415-0042,nzd0415-0043,nzd0415-0044,nzd0415-0093,nzd0415-0094,nzd0415-0095,nzd0415-0019,nzd0415-0020,nzd0415-0061,nzd0415-0062,nzd0415-0063,nzd0415-0066,nzd0415-0067,nzd0415-0068,nzd0415-0069,nzd0415-0070,nzd0415-0071,nzd0415-0075,nzd0415-0076,nzd0415-0077,nzd0415-0078,nzd0415-0079,nzd0415-0080,nzd0415-0081,nzd0415-0082,nzd0415-0087,nzd0415-0088,nzd0415-0089,nzd0415-0090,nzd0415-0053,nzd0415-0054,nzd0415-0055,nzd0415-0050,nzd0415-0051,nzd0415-0052,nzd0415-0100,nzd0415-0101,nzd0415-0102,nzd0415-0103,nzd0415-0104,nzd0415-0105,nzd0415-0099,nzd0415-0059,nzd0415-0028,nzd0415-0029,nzd0415-0004,nzd0415-0092,nzd0415-0005,nzd0415-0013,nzd0415-0014,nzd0415-0015,nzd0415-0016,nzd0415-0021,nzd0415-0022,nzd0415-0091,nzd0415-0009,nzd0415-0010,nzd0415-0011,nzd0415-0018,nzd0415-0097,nzd0415-0098,nzd0415-0060,nzd0415-0072,nzd0415-0064,nzd0415-0065,nzd0415-0024,nzd0415-0025,nzd0415-0026,nzd0415-0085,nzd0415-0086,nzd0415-0027,nzd0415-0012,nzd0415-0035,nzd0415-0036,nzd0415-0037,nzd0415-0038,nzd0415-0039,nzd0415-0040,nzd0415-0073,nzd0415-0074,nzd0415-0023,nzd0415-0096,nzd0415-0006,nzd0415-0007,nzd0415-0008,nzd0415-0017,nzd0415-0109,nzd0415-0084,nzd0415-0106,nzd0415-0083,nzd0415-0033,nzd0415-0034,nzd0415-0048,nzd0415-0049,nzd0415-0107,nzd0415-0108,satname
2015-03-07 22:13:29+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342.95,336.825,300.09000000000003,,,,272.32,273.01,302.21,307.93,312.73,,270.19,,,,287.0,,303.9,,,,,,,,,,,,,291.51,,,,,,,,,,,,,298.55,,,,,,,,,,,,,,,,,,,,,,,L8
2015-03-23 22:13:20+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,303.6,283.29,,288.28,331.73,345.62,,,,,324.88,,342.95,336.825,300.09000000000003,,,,272.32,273.01,302.21,307.93,312.73,,270.19,,,,287.0,,303.9,,,,,,,,,,,,,291.51,,,,,,,,,,,,,298.55,,,,,331.6,,,,,,,,,,,,,,,,,,L8
2015-04-24 22:13:08+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,303.6,283.29,,288.28,331.73,345.62,,,,,324.88,,342.95,339.28,282.35,,,,,,,,,,,,,,,,320.44,,,,,,,,,,,,,,,,,,,,,,,,,,298.55,,,,,331.6,,,,292.16,,,,,,,,,,,,,,L8
2015-05-19 22:06:40+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,303.6,283.29,,288.28,331.73,345.62,,,,,323.615,,,,,,,,,,,,,,,,,,,,320.44,,,,,322.07,,,,,,,,,,,,,,,,,,,,,,,,,,331.6,,,,292.16,,,,,,,,,,,,,,L8
2015-07-22 22:07:13+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,303.6,283.29,,288.28,331.73,345.62,,,,,323.615,,,325.48,302.05,,,,,,,,,,,,,,,,320.44,,,,,322.07,,,,,,,,,,,,,,,,,,,,,,,,,,331.6,,,,292.16,,,,,,,,,,,,,,L8
2015-07-29 22:13:25+00:00,,,344.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,303.6,283.29,,288.28,331.73,345.62,,,,,323.615,,,322.92,300.525,,,,,,,,,,,,,,,,320.44,,,,,322.07,,,,,,,,,,,,,,,,,,,,,,,,,,331.6,,,,292.16,,,,,,,,,,,,,,L8
2015-09-08 22:07:30+00:00,,,344.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,303.6,283.29,,288.28,331.73,345.62,,,,,323.615,,,322.8933333333334,298.75666666666666,,,,,,,,,,,,,,,,,,,,,322.07,,,,,,,,,,,,,,,,,,,,,,,,,,331.6,,,,292.16,,,,,,,,,,,,,,L8
2015-10-10 22:07:38+00:00,,,344.96,,,,,340.56,,333.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322.35,266.72,,322.8933333333334,298.75666666666666,,,,,,,,,,,,,,,,,,,,,322.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292.16,,,,,,,,,,,,,,L8
2015-10-17 22:13:50+00:00,,,344.96,,,,,333.63,,333.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322.35,266.72,,322.8933333333334,298.75666666666666,,,,,,,,,,,,,,,,,,,,,322.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292.16,,,,,,,,,,,,,,L8
2015-11-18 22:13:56+00:00,,338.08,344.96,,,,,333.63,,333.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,266.72,,322.8933333333334,298.75666666666666,,,,,302.25,283.82,310.11,301.67,,,,,,,,,,,,,,,,285.95,,284.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L8
2015-11-27 22:07:47+00:00,,338.08,344.96,,,,,333.63,,333.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,266.72,,322.8933333333334,298.75666666666666,,,,,302.25,283.82,310.11,301.67,,,,,,,,,,,,,,,,285.95,,284.05,,,,,,,,,,,,,,,,,,,,279.92,,,,,,,,,,,,,,,,,,,L8
2016-01-05 22:13:53+00:00,,338.08,344.96,,,,,333.63,,333.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,266.72,327.98,315.6125,298.75666666666666,,,,,302.25,283.82,310.11,301.67,,,,,,,,,,,,,,,,285.95,,284.05,,,,,,,,,,,,,,,,,,,,279.92,,,,,,,,,,,,,,,,,,,L8
2016-03-18 22:07:25+00:00,,338.08,,,,,,333.63,,333.68,,,,,,,,,,,,,,,,,,,,,,,,295.63,337.87,,,,,,320.02,266.72,327.98,293.77,,,,,,302.25,283.82,310.11,301.67,,,,,,,,,,,,,,,,285.95,,284.05,,,,,,,,,,,,,,,,,,,,279.92,,,,,,,,,,,,333.68,,,,,,,L8
2016-04-19 22:07:10+00:00,343.72,338.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,295.63,337.87,,,,,,320.02,,327.98,293.77,,,,,,302.25,283.82,310.11,301.67,,,,,,,,,,,,,,,,285.95,,284.05,,,,,,,,,,,,,,,,,,,,279.92,,,,,,,,,,,,333.68,,,,,,,L8
