dates,nzd0573-0000,nzd0573-0001,nzd0573-0002,nzd0573-0003,nzd0573-0004,nzd0573-0006,nzd0573-0007,nzd0573-0008,nzd0573-0012,nzd0573-0014,nzd0573-0015,nzd0573-0016,nzd0573-0017,nzd0573-0018,nzd0573-0019,nzd0573-0024,nzd0573-0005,nzd0573-0009,nzd0573-0010,nzd0573-0011,nzd0573-0013,nzd0573-0020,nzd0573-0023,nzd0573-0021,nzd0573-0022,satname
2024-02-20 22:13:07+00:00,219.368,200.96200000000002,220.98375,217.06666666666666,220.43285714285713,217.29416666666668,217.00133333333332,212.96833333333333,186.84833333333333,220.57818181818178,217.48611111111111,223.143125,224.64399999999998,218.34,217.32999999999998,216.78764705882352,213.55166666666665,194.7125,210.80923076923077,200.01615384615386,211.935,226.86444444444442,219.708125,237.13299999999998,226.71666666666667,L9
2024-02-28 22:13:24+00:00,219.368,200.96200000000002,219.96428571428572,215.85875,220.43285714285713,214.97899999999998,216.77214285714285,212.28,179.64399999999998,219.849,217.2994117647059,222.49400000000003,224.13000000000002,218.34,217.32999999999998,217.21875,211.122,189.56,210.0583333333333,199.1316666666667,211.92533333333333,226.04999999999998,219.505625,236.97272727272727,226.48583333333332,L8
2024-02-29 22:07:23+00:00,219.368,200.96200000000002,219.96428571428572,215.85875,220.43285714285713,214.97899999999998,216.77214285714285,212.28,179.64399999999998,219.849,217.67166666666668,223.1575,224.55733333333333,218.34,217.32999999999998,217.58823529411765,211.122,189.56,210.0583333333333,199.1316666666667,211.92533333333333,226.04999999999998,219.76941176470586,236.84416666666667,226.37846153846155,L9
2024-03-15 22:12:49+00:00,219.78249999999997,205.93,220.7266666666667,217.41,219.88,215.3077777777778,217.12307692307695,213.055,178.52499999999998,220.25999999999996,218.65277777777777,224.09875,225.55866666666668,216.7125,216.06333333333336,220.01,210.22750000000002,188.93166666666664,210.56181818181815,200.30363636363637,212.43214285714288,227.27714285714282,220.8505882352941,236.93846153846152,226.6457142857143,L8
2024-03-16 22:07:23+00:00,219.78249999999997,205.93,220.7266666666667,218.3511111111111,219.88,215.3077777777778,217.12307692307695,213.055,178.52499999999998,220.25999999999996,219.03947368421052,224.43588235294118,225.77375,216.7125,216.06333333333336,220.21333333333334,210.22750000000002,188.93166666666664,210.56181818181815,200.30363636363637,212.43214285714288,227.27714285714282,221.01111111111112,236.8892857142857,226.92999999999998,L9
2024-04-17 22:07:03+00:00,226.29666666666665,178.62,222.5725,219.43857142857146,215.70333333333335,218.44428571428574,220.073,216.69285714285712,173.12499999999994,226.30142857142854,221.14647058823527,227.61866666666666,227.86714285714288,197.1,210.64666666666665,224.75117647058823,209.46333333333337,189.01666666666665,214.0525,208.40375000000003,214.43000000000004,232.07000000000002,223.4576470588235,236.92066666666668,228.025,L9
2024-05-02 22:12:20+00:00,229.135,178.62,224.46599999999998,220.8925,215.70333333333335,218.44428571428574,220.073,216.69285714285712,173.12499999999994,226.30142857142854,221.51333333333332,227.61866666666666,228.4226666666667,197.1,210.64666666666665,224.90333333333334,209.46333333333337,189.01666666666665,214.0525,208.40375000000003,214.75615384615384,233.73428571428573,223.5427777777778,237.150625,228.28133333333335,L8
2024-05-03 22:06:49+00:00,229.135,178.62,225.13333333333333,221.66,215.70333333333335,218.44428571428574,220.073,216.69285714285712,173.12499999999994,226.30142857142854,221.68894736842105,227.61866666666666,228.81187500000001,197.1,210.64666666666665,224.93842105263158,215.0,189.01666666666665,214.0525,208.40375000000003,215.04500000000002,234.59,223.59526315789475,237.19411764705885,228.524375,L9
2024-05-10 22:13:00+00:00,229.135,178.62,225.13333333333333,222.381,215.70333333333335,216.56833333333336,219.50111111111113,215.29999999999998,173.12499999999994,225.0783333333333,221.8805263157895,227.92866666666666,229.33117647058825,197.1,210.64666666666665,225.09789473684208,215.0,189.01666666666665,212.8685714285714,208.40375000000003,215.22357142857143,235.26250000000002,223.48789473684212,237.3758823529412,228.891875,L9
2024-05-11 22:06:27+00:00,229.72200000000004,178.62,225.27285714285713,222.3109090909091,219.745,217.22142857142856,219.848,216.1157142857143,173.12499999999994,226.14142857142855,221.6755,227.826875,229.1027777777778,216.32999999999998,210.64666666666665,224.5465,216.38600000000002,199.5725,213.77875,208.55333333333334,215.0353333333333,235.09555555555556,223.48789473684212,237.3758823529412,228.891875,L8
