dates,nzd0388-0000,nzd0388-0001,nzd0388-0002,nzd0388-0003,nzd0388-0004,nzd0388-0005,nzd0388-0006,nzd0388-0007,nzd0388-0008,nzd0388-0009,nzd0388-0010,nzd0388-0011,nzd0388-0012,nzd0388-0014,nzd0388-0015,nzd0388-0016,nzd0388-0017,nzd0388-0013,nzd0388-0018,nzd0388-0019,nzd0388-0020,nzd0388-0021
2015-09-06 22:19:26+00:00,317.7,314.09666666666664,308.32,292.72999999999996,300.184,294.7083333333333,289.63166666666666,286.935,282.095,297.40333333333336,300.4866666666667,309.79333333333335,,318.73,279.08500000000004,297.5733333333333,291.69,313.095,276.59,292.4066666666667,314.345,340.09
2015-12-27 22:19:43+00:00,320.995,317.495,312.025,290.37999999999994,306.70000000000005,298.5675,293.265,290.2875,295.7750000000001,315.03,317.77,328.01,,328.09,,322.57,310.92,330.79,,314.57,327.64,340.09
2016-01-05 22:13:29+00:00,325.84000000000003,323.03599999999994,316.726,290.37999999999994,312.89500000000004,303.694,297.738,295.59000000000003,300.34000000000003,315.59,317.615,326.325,,328.885,,324.65,317.04,329.40999999999997,,322.6,331.405,339.33
2016-02-13 22:19:32+00:00,329.7325,326.07,317.875,,310.90000000000003,307.0375,302.3825,304.19,309.04,308.26666666666665,310.91333333333336,326.325,,328.885,282.03,311.6366666666667,305.98,329.40999999999997,278.41,322.6,331.405,325.18
2016-04-17 22:19:09+00:00,322.2175,320.115,313.3775,300.59,304.095,303.9375,298.315,299.305,304.3,301.6566666666667,305.4866666666667,312.45,,329.68,282.03,306.1700000000001,296.6433333333334,328.03,279.485,330.63,335.17,317.725
2016-07-06 22:19:29+00:00,324.65666666666664,321.91333333333336,315.4366666666667,309.35,302.18,305.62666666666667,301.57666666666665,297.4166666666667,299.47,301.5833333333333,304.17333333333335,311.78999999999996,,,282.03,285.61,283.38500000000005,,279.485,,,296.88
2016-08-07 22:19:37+00:00,320.64,317.125,312.32500000000005,301.32,302.18,301.46500000000003,297.4125,289.9475,299.47,298.1575,301.95,308.18666666666667,,,282.03,285.61,283.38500000000005,,279.485,,,296.88
2016-09-08 22:19:48+00:00,330.2475,327.1,323.8225,309.4075,319.2366666666666,306.6866666666667,307.40250000000003,295.96500000000003,303.69666666666666,304.0875,307.0025,313.0875,,330.56,322.68,323.3,297.055,,280.56,320.36,357.49,332.57
2017-01-23 22:13:31+00:00,325.26666666666665,321.0366666666667,316.92,304.9533333333333,316.03,291.315,300.0566666666667,292.17,292.07,297.63666666666666,306.5,314.385,,321.85,306.31,306.68,298.205,,285.13,305.58500000000004,331.95500000000004,316.635
2017-02-15 22:19:31+00:00,328.54333333333335,325.98333333333335,320.78666666666663,310.31333333333333,309.59,300.105,302.6133333333333,300.77333333333337,289.77,300.44666666666666,308.91,316.025,,318.35999999999996,301.8066666666667,301.40333333333336,294.27,302.36,285.33,300.7266666666667,324.09,310.77666666666664
2017-03-28 22:13:24+00:00,315.6933333333333,313.0,307.8666666666666,298.635,287.01666666666665,300.105,287.60999999999996,282.93333333333334,269.5733333333333,291.0966666666667,297.01,302.54999999999995,,307.65000000000003,285.6333333333333,286.19000000000005,282.8433333333333,302.36,283.00333333333333,285.51,295.03333333333336,299.88
2017-06-07 22:19:15+00:00,314.3775,311.4175,306.305,294.70666666666665,287.01666666666665,291.54333333333335,286.6925,279.0475,271.97,291.0966666666667,297.01,302.03999999999996,,307.65000000000003,285.6333333333333,286.19000000000005,282.8433333333333,302.36,283.00333333333333,285.51,295.03333333333336,299.88
2017-06-16 22:13:31+00:00,320.622,316.846,311.812,302.05,287.01666666666665,298.83,294.0,279.0475,281.196,295.85,301.7266666666667,305.91499999999996,,307.65000000000003,285.6333333333333,286.19000000000005,282.8433333333333,302.36,283.00333333333333,285.51,295.03333333333336,299.88
2017-08-03 22:13:47+00:00,318.89,314.74,311.096,304.09,281.18999999999994,296.305,295.005,271.6825,283.4975,298.57,300.43,304.608,,304.905,283.48,284.25500000000005,281.66,302.36,281.94,282.86,289.34000000000003,299.06
2017-11-30 22:19:44+00:00,321.9166666666667,316.67,312.81333333333333,305.46500000000003,,292.8866666666667,321.40000000000003,265.64,314.62000000000006,310.11,318.3633333333334,317.6875,,,,,,,,,,367.74
2018-01-17 22:19:37+00:00,309.58500000000004,303.095,293.745,290.34,,283.55,357.03,263.89,346.6,,321.96500000000003,326.09499999999997,,272.93,281.17,284.7,281.93,,275.83,281.45,,367.74
2018-02-02 22:19:27+00:00,329.52,323.155,310.39,290.34,325.25,,344.76,,331.29,329.4,336.56,343.15,,272.93,281.17,304.46500000000003,301.905,,275.83,281.45,,354.12
2018-08-29 22:19:08+00:00,314.12,313.65,311.08,297.91,296.7,295.15,274.27,262.33,270.01,283.81,294.94,299.39,,296.24,277.46,277.64,278.17,,269.31,273.59,,
2018-09-07 22:13:24+00:00,315.395,314.84,311.02,299.82500000000005,298.49,296.63,278.89,277.69,273.45,288.025,296.935,299.39,,304.07,278.87,280.825,280.025,291.55,274.135,273.59,,
2018-09-14 22:19:12+00:00,312.87333333333333,311.06666666666666,308.2966666666667,296.89000000000004,296.51666666666665,293.24,278.89,277.69,273.45,287.4633333333333,295.32,297.735,,304.07,276.8333333333333,279.13666666666666,277.67333333333335,291.55,272.66,273.53999999999996,258.51,
