dates,satname,nzd0235-0000,nzd0235-0001,nzd0235-0002,nzd0235-0003,nzd0235-0005,nzd0235-0006,nzd0235-0007,nzd0235-0008,nzd0235-0009,nzd0235-0010,nzd0235-0011,nzd0235-0012,nzd0235-0013,nzd0235-0014,nzd0235-0015,nzd0235-0016,nzd0235-0017,nzd0235-0019,nzd0235-0020,nzd0235-0023,nzd0235-0024,nzd0235-0025,nzd0235-0026,nzd0235-0028,nzd0235-0029,nzd0235-0030,nzd0235-0031,nzd0235-0018,nzd0235-0021,nzd0235-0022,nzd0235-0027,nzd0235-0004
2005-09-14 21:41:48.852000,L5,370.84,361.11,322.86,328.54,304.38,318.21,239.65,371.33,396.20,394.34,395.49,387.62,387.70,381.07,390.96,399.81,404.50,382.34,388.34,389.29,349.88,352.44,346.40,336.09,336.16,344.87,368.50,400.86,403.16,401.43,341.20,168.98
2005-11-01 21:41:44.104000,L5,360.58,344.52,327.44,337.39,281.90,306.33,223.14,350.81,376.04,370.70,385.69,380.98,374.54,371.28,398.52,413.33,405.49,374.03,393.94,368.01,338.42,340.78,334.22,344.84,342.60,350.80,365.98,399.44,380.91,382.15,335.24,165.31
2005-11-17 21:42:07.585000,L5,,,,,286.58,289.61,253.72,367.59,393.59,397.49,414.07,388.02,378.87,379.79,387.79,399.15,392.03,397.35,405.49,404.25,349.19,349.53,349.93,348.04,343.19,348.69,375.69,408.14,411.86,414.56,345.04,187.51
2006-01-20 21:43:37.291000,L5,360.74,345.31,315.66,320.69,255.34,293.43,219.73,353.00,389.62,379.64,401.28,381.53,373.29,378.41,385.93,397.39,390.96,374.29,385.08,379.89,348.23,342.72,339.12,333.83,330.06,334.11,354.05,380.18,389.01,389.37,336.57,
2006-04-10 21:45:17.175000,L5,372.48,354.25,325.88,327.14,278.84,307.30,227.49,359.73,389.16,386.41,395.80,396.06,387.38,382.30,388.11,401.17,396.90,374.55,382.14,382.45,355.60,354.65,343.68,336.24,336.60,343.05,365.41,388.99,395.35,394.53,341.35,160.37
2006-06-13 21:46:13.914000,L5,377.96,362.73,337.91,332.74,307.09,315.33,235.51,379.72,392.72,397.91,404.50,400.71,393.46,395.19,400.88,402.62,408.40,395.80,388.34,388.98,346.92,366.08,356.50,344.28,344.47,350.83,372.54,398.35,402.14,400.35,350.37,181.98
2006-06-29 21:46:28.892000,L5,,,,,,,,294.30,332.48,349.20,314.02,322.76,340.57,307.41,328.24,352.98,362.50,349.29,365.17,344.46,253.96,339.08,322.01,315.03,316.44,320.14,345.16,360.10,369.90,366.35,320.01,
2006-09-01 21:47:19.401000,L5,380.49,358.54,332.10,342.60,295.56,312.46,225.93,341.49,378.27,381.72,381.82,388.61,392.66,372.50,385.69,400.21,401.96,379.02,377.71,378.26,343.13,364.80,357.20,341.07,344.37,349.92,368.01,401.04,393.92,391.05,348.60,182.44
2006-09-17 21:47:31.164000,L5,383.57,360.23,334.98,343.32,291.54,305.01,223.60,347.28,374.47,378.57,387.90,400.33,401.48,384.90,393.46,408.27,406.92,377.07,382.34,374.82,343.22,366.85,357.32,344.26,343.35,353.97,369.95,390.89,394.15,392.08,351.39,169.48
2006-10-03 21:47:41.787000,L5,389.66,360.35,330.46,331.12,289.73,317.61,243.50,356.89,385.99,387.47,394.80,388.04,385.15,375.40,386.55,402.11,402.68,395.27,398.68,378.79,344.50,350.67,346.29,339.32,336.43,347.97,365.05,398.19,403.12,399.26,343.06,186.79
2006-12-06 21:48:41.029000,L5,306.85,304.01,275.81,278.64,,,,283.51,315.59,317.84,336.73,325.87,317.53,327.42,334.82,356.11,341.01,328.42,331.34,310.74,293.12,291.05,289.86,287.85,293.32,305.92,323.37,336.76,322.70,328.09,282.50,
2007-01-07 21:48:55.368000,L5,330.30,305.71,253.43,231.33,,,,289.48,356.54,358.02,366.68,355.08,350.03,342.61,353.00,369.10,358.97,348.71,351.70,347.50,320.10,324.46,317.96,304.47,305.84,310.71,328.40,345.12,354.95,363.16,307.00,
2007-02-08 21:48:38.839000,L5,379.03,349.80,336.20,367.97,294.50,331.76,255.62,383.99,389.03,385.37,394.78,398.57,393.36,383.51,400.96,416.00,407.09,390.98,393.15,381.50,353.53,360.83,353.25,341.77,346.00,351.16,368.80,404.46,397.53,387.94,349.75,318.76
2011-01-02 21:43:35.332000,L5,361.11,343.74,325.36,330.96,268.75,288.83,224.21,371.05,392.41,381.13,393.48,389.98,390.47,381.12,391.54,409.28,404.68,389.10,388.37,371.36,349.04,346.20,340.00,335.13,347.95,353.57,371.91,392.14,393.85,385.67,338.88,181.73
2011-03-07 21:43:36.874000,L5,381.95,358.94,339.45,333.48,279.27,296.15,233.58,376.63,398.58,390.46,405.29,400.02,396.40,392.86,398.67,409.62,403.93,388.16,389.15,375.60,354.38,353.34,344.71,337.09,335.28,341.37,355.83,398.77,393.41,396.19,344.67,178.37
2013-05-31 21:55:43.729000,L8,385.64,331.49,315.66,322.01,233.69,268.12,197.09,360.13,379.38,387.65,403.21,395.36,394.17,383.74,383.92,396.88,396.94,379.14,390.21,386.54,341.26,351.38,335.49,327.99,350.75,356.56,372.93,387.18,398.78,399.60,348.16,
2013-08-19 21:55:42.209000,L8,403.81,394.58,377.39,384.91,276.70,395.89,428.73,400.58,406.47,432.31,426.45,423.48,417.53,423.27,419.51,427.60,425.77,414.17,410.06,412.26,402.37,393.96,387.95,384.64,383.34,388.22,407.24,419.70,420.77,415.80,382.18,382.19
2013-09-04 21:55:42.619000,L8,354.69,341.24,311.14,319.87,,,,360.68,379.00,375.97,389.84,381.43,376.57,373.66,379.75,391.01,381.30,359.24,352.44,352.18,230.13,189.65,194.18,271.29,324.43,322.94,353.21,379.83,,367.05,323.40,
