dates,nzd0421-0000,nzd0421-0001,nzd0421-0002,nzd0421-0003,nzd0421-0004,nzd0421-0005,nzd0421-0006,nzd0421-0007,nzd0421-0008,nzd0421-0009,nzd0421-0010,nzd0421-0011,nzd0421-0012,nzd0421-0013,nzd0421-0014,nzd0421-0015,nzd0421-0016,nzd0421-0017,nzd0421-0018,nzd0421-0019,nzd0421-0020,nzd0421-0021,nzd0421-0022,nzd0421-0023,nzd0421-0024,nzd0421-0025,nzd0421-0026,nzd0421-0027,nzd0421-0028,nzd0421-0029,nzd0421-0030,nzd0421-0031,nzd0421-0032,nzd0421-0033,nzd0421-0034,nzd0421-0035,nzd0421-0036,nzd0421-0037,nzd0421-0038,nzd0421-0039,nzd0421-0040,nzd0421-0041,nzd0421-0042,nzd0421-0043,nzd0421-0044,nzd0421-0045,nzd0421-0046,nzd0421-0047,nzd0421-0048,nzd0421-0049,nzd0421-0050,nzd0421-0051,satname
2002-07-10 21:56:01+00:00,283.7,272.59499999999997,,,288.98,284.05,277.16,203.47,272.82,270.43333333333334,257.835,,264.05,275.64000000000004,256.34499999999997,,291.62,273.62,217.3,182.75,,182.965,,322.3,302.205,304.82,242.93,252.68,265.84,,,206.4,280.59,,281.55,269.62,251.54666666666665,262.0733333333333,221.71,262.23,,,,,240.64,,,,262.09666666666664,304.48,258.14,,L7
2002-07-17 22:02:08+00:00,283.7,272.59499999999997,,,288.98,284.05,277.16,203.47,272.82,270.43333333333334,257.835,,264.05,275.64000000000004,256.34499999999997,,291.62,277.98333333333335,217.21,175.31,,179.45333333333335,341.25,322.55333333333334,290.49666666666667,304.82,244.11,249.47500000000002,266.255,,,202.69000000000003,277.615,,279.97,269.245,248.25,259.36,236.64,262.23,,259.0,,,240.64,,,229.95,259.835,296.525,260.4,,L7
2002-08-02 22:02:01+00:00,,279.63,,,,,,203.47,272.82,270.43333333333334,246.08,,264.05,276.15000000000003,245.56,173.36,294.69,278.6575,217.21,186.76666666666665,,180.475,341.25,321.48,288.995,304.82,244.11,252.62333333333333,266.255,,,216.395,279.34999999999997,,279.97,271.6066666666666,247.18200000000002,263.79,236.64,253.835,,259.0,,,240.64,,,229.95,261.154,296.525,260.4,,L7
2002-08-18 22:01:57+00:00,,279.63,,,,,,203.47,272.82,270.43333333333334,246.08,,262.07500000000005,274.475,247.86666666666665,173.36,294.69,280.81399999999996,217.21,186.76666666666665,,180.475,341.25,322.706,288.995,304.82,244.11,254.29000000000002,266.255,,,219.54000000000002,279.34999999999997,,279.97,271.6066666666666,250.89499999999998,263.79,236.64,253.835,,259.0,,,240.64,,,229.95,263.9166666666667,296.525,260.4,,L7
2002-10-14 21:55:19+00:00,288.8,277.63,,,,295.16,296.57,203.47,272.82,278.6175,246.08,,262.07500000000005,275.654,247.86666666666665,176.245,294.69,280.81399999999996,217.21,186.76666666666665,,180.475,341.25,322.706,288.995,304.82,244.11,254.29000000000002,266.255,,,219.54000000000002,279.34999999999997,,279.97,271.6066666666666,250.89499999999998,263.79,236.64,253.835,,259.0,,,240.64,,,229.95,263.9166666666667,296.525,260.4,,L7
2002-11-22 22:01:57+00:00,288.8,285.65,,,,295.16,296.57,,272.82,277.87333333333333,,,260.1,278.89,249.80999999999995,176.245,297.76,278.07,217.21,186.76666666666665,,180.475,341.25,321.695,281.5933333333333,304.82,244.11,254.29000000000002,266.255,,,219.54000000000002,278.73,,279.97,271.6066666666666,249.58399999999997,263.34250000000003,236.64,245.44,,259.0,,,240.64,,,229.95,259.97799999999995,296.525,260.4,,L7
2003-01-18 21:56:06+00:00,288.8,285.65,,,,295.16,296.57,,,303.17,,238.81,243.86000000000004,283.1275,249.80999999999995,176.245,297.76,285.05999999999995,,209.68,,183.54,,322.93499999999995,284.49,,,259.105,,,,244.815,282.82,,,276.33,256.18499999999995,281.51,,245.44,,,,,,,,,272.08000000000004,,,,L7
2003-02-19 21:56:18+00:00,288.8,285.65,,297.51,289.66,295.16,296.57,,,303.17,,238.81,227.62,295.74,,179.13,,,,,,,,,,,,236.99,,,,,,,,,,,,,,,,,,,,,217.55,290.83,,,L7
2003-05-10 21:56:22+00:00,,293.67,,297.51,289.66,272.97,252.44,165.96,267.12,282.12,242.75,250.29000000000002,249.41000000000003,296.17,,,,286.84,202.41,192.13,,174.41,,316.11,271.57,,223.0,245.925,272.28,,,209.38,271.27,,283.34,271.47,246.14,248.73,,,,,,,,264.39,,,231.805,292.77,260.18,,L7
2003-07-21 21:44:09+00:00,,,,297.51,289.66,272.97,252.44,165.96,267.12,282.12,268.81,261.77,271.2,281.23,,162.5,,286.84,202.41,192.13,,174.41,,316.11,271.57,,223.0,245.925,272.28,,,209.38,271.27,,283.34,271.47,246.14,248.73,,,,,,,,264.39,,,231.805,292.77,260.18,,L5
2004-02-05 21:52:40+00:00,298.18,285.47,,,299.86,,,,,298.67,287.01,278.83,285.34,275.8,,,,,,,,,,,,,,275.94,,,,,,,,,,,,,,,,,,,,,,,,,L5
2004-06-05 21:48:48+00:00,298.18,285.47,,,299.86,,,,,298.67,287.01,278.83,285.34,290.87,,188.26,,,,,,,,,,,,275.94,,,,,,,,,,,,,,,,,,,,,,,,,L5
2004-06-21 21:49:16+00:00,298.18,285.47,,,299.86,,,,,298.67,288.76,294.275,300.025,289.95666666666665,,188.26,,,,,,234.99,,,,,,275.94,,,,,,,,,,,,,,,,,,,,,,332.91,,,L5
2004-07-14 21:56:06+00:00,298.18,285.47,,,299.86,,,,,298.67,288.76,294.275,300.025,291.145,,199.91,,,,,,231.095,,,,,,275.94,,,,,,,,,,,,,,,,,,,,,,331.07500000000005,,,L5
2004-07-23 21:50:08+00:00,298.18,285.47,,,299.86,,,,,298.67,288.76,294.275,300.025,291.846,,199.91,,,,,,234.22,,,,,,275.94,,,,,,,,,,,,,,,,,,,,,,334.1933333333333,,,L5
2004-07-30 21:56:27+00:00,298.18,285.47,,,299.86,,,,,298.67,292.81333333333333,294.275,300.025,291.846,,206.13666666666666,,,,,,234.22,,,,,,275.94,,,,,,,,,,,,,,,,,,,,,,334.605,,,L5
2005-02-23 22:00:31+00:00,283.89,259.45,,294.7,265.19,270.73,258.28,156.7,,,275.08,280.07,289.45,272.98,265.57,234.18,287.09,,,,,313.12,324.04,309.27,327.17,,,203.99,279.63,,,239.44,281.49,291.61,290.16,,265.21,235.43,,,,,,,,,,269.7,263.58,,,,L5
2005-03-04 21:54:27+00:00,284.205,263.98,,296.09000000000003,267.235,272.765,265.44,156.7,,,274.16499999999996,278.755,288.79999999999995,273.28499999999997,266.78499999999997,233.335,291.41999999999996,,,,,308.1,326.405,311.81,327.17,,,207.24,279.63,,,239.44,281.49,290.065,289.20000000000005,285.37,274.15,237.01,,,,,,,,,,275.81,283.58,330.24,,,L5
2005-05-23 21:55:00+00:00,284.205,263.98,,296.09000000000003,267.235,272.765,265.44,156.7,,,280.88666666666666,278.755,288.79999999999995,282.84666666666664,266.78499999999997,233.335,291.41999999999996,,,,,315.71666666666664,326.405,311.81,327.17,,,207.24,279.63,,,239.44,281.49,290.065,289.20000000000005,285.37,274.15,237.01,,,,,,,,,,275.81,283.58,330.24,,,L5
2005-06-08 21:55:08+00:00,284.205,263.98,,296.09000000000003,267.235,272.765,265.44,156.7,,,281.3825,278.755,288.79999999999995,282.84666666666664,266.78499999999997,233.335,291.41999999999996,,,,,315.71666666666664,326.405,311.81,327.17,,,207.24,279.63,,,239.44,281.49,290.065,289.20000000000005,285.37,274.15,237.01,,,,,,,,,,275.81,283.58,334.645,,,L5
2005-06-24 21:55:13+00:00,284.205,263.98,,296.09000000000003,267.235,272.765,265.44,156.7,,,282.598,278.755,288.79999999999995,284.4125,266.78499999999997,233.335,291.41999999999996,,,,,315.71666666666664,326.405,311.81,327.17,,,207.24,279.63,,,239.44,281.49,290.065,289.20000000000005,285.37,274.15,237.01,,,,,,,,,,275.81,283.58,332.50666666666666,,,L5
2005-07-01 22:01:25+00:00,284.205,263.98,,296.09000000000003,267.235,272.765,265.44,156.7,,,282.598,278.755,288.79999999999995,284.4125,266.78499999999997,226.77666666666667,291.41999999999996,,,,,313.6425,326.405,311.81,327.17,,,207.24,279.63,,,239.44,281.49,290.065,289.20000000000005,285.37,274.15,237.01,,,,,,,,,,275.81,283.58,332.50666666666666,,,L5
2006-01-25 22:03:52+00:00,291.0,270.56,,292.84,270.38,276.49,261.07,183.18,295.49,259.48,269.97,278.62,286.25,271.6,269.67,,302.43,,,,,,,318.26,327.74,,208.37,,,,,231.22,287.01,284.37,292.34,,273.33,250.57,,,,,277.44,,274.25,,,299.77,341.77,,,,L5
2006-02-19 21:58:15+00:00,290.155,274.03499999999997,,297.125,271.03,277.175,264.82,182.59,295.49,260.44,264.81500000000005,277.31,285.40999999999997,271.96000000000004,266.605,224.81,302.13,,,,,303.93,,318.26,327.74,,208.37,,,,,231.22,287.01,284.37,292.34,,271.515,251.92000000000002,,,,,277.44,,274.25,,,299.77,341.77,,,,L5
