dates,nzd0512-0000,nzd0512-0001,nzd0512-0002,nzd0512-0003,nzd0512-0004,nzd0512-0005,nzd0512-0006,nzd0512-0007,nzd0512-0008,nzd0512-0009,nzd0512-0010,nzd0512-0011,nzd0512-0012,nzd0512-0013,nzd0512-0014,nzd0512-0015,nzd0512-0016,nzd0512-0017,nzd0512-0018,nzd0512-0019,nzd0512-0020,nzd0512-0021,nzd0512-0022,nzd0512-0023,nzd0512-0024,nzd0512-0025,nzd0512-0026,nzd0512-0027,nzd0512-0028,nzd0512-0029,nzd0512-0030,nzd0512-0031,nzd0512-0032,nzd0512-0033,nzd0512-0034,nzd0512-0035,nzd0512-0036,nzd0512-0037,nzd0512-0038,nzd0512-0039,nzd0512-0040,nzd0512-0041,nzd0512-0042,nzd0512-0043,nzd0512-0044,nzd0512-0045,nzd0512-0046,nzd0512-0047
2007-01-03 22:15:37+00:00,276.4871428571429,270.24857142857144,273.0516666666667,268.895,262.09166666666664,267.5683333333333,267.52000000000004,269.255,267.56333333333333,264.94,266.01500000000004,254.12333333333333,255.16333333333333,257.22166666666664,268.3283333333333,271.2366666666667,274.8866666666667,282.46999999999997,286.375,282.555,262.42857142857144,247.83285714285714,291.4342857142857,298.9485714285714,302.54833333333335,300.35499999999996,299.64,311.59285714285716,312.546,312.73,311.835,305.21333333333337,308.5,316.64,311.50333333333333,312.02,308.12333333333333,312.03999999999996,316.37,310.9275,305.36666666666673,290.56,248.77,,299.20666666666665,287.4275,,226.76
2009-01-17 21:59:44+00:00,285.27,285.32,287.04,285.85,282.64,284.88,285.35,286.74,285.77,285.65,278.76,261.6,276.87,285.24,282.43,285.93,287.81,292.98,289.12,287.82,273.47,249.79,298.57,300.23,305.45,301.87,297.52,293.52,294.73,,,,,309.26,300.88,298.68,289.04,298.39,,,,,238.79,,315.42,,,238.67
2011-03-12 22:04:31+00:00,276.45,272.99,273.37,272.55,263.45,268.93,272.26,271.9,269.01,265.82,273.66,265.74,269.9,271.32,271.03,273.47,272.87,276.36,275.15,280.99,258.91,246.08,276.45,291.48,292.62,299.7,297.09,292.43,299.39,300.96,300.31,281.58,283.07,307.97,303.53,302.08,292.75,303.07,300.52,295.9,301.82,306.64,304.32,,,,,
2013-05-11 22:22:42+00:00,278.0,284.1,280.2,281.24,268.62,275.45,271.79,270.47,266.46,272.04,272.15,272.78,270.69,269.1,267.22,274.32,280.33,278.46,285.87,290.4,286.58,252.23,290.73,292.29,305.57,307.5,310.2,306.36,307.37,309.19,301.44,289.53,300.99,307.84,303.04,300.01,299.51,305.39,309.43,300.98,,,,,,273.31,,
2013-06-05 22:16:38+00:00,289.99,284.1,284.58500000000004,290.115,276.34000000000003,287.93,285.9,286.505,278.955,272.04,272.15,276.48,276.485,271.785,277.26,282.01,285.42999999999995,285.82,285.87,290.4,286.58,271.155,290.73,297.29,311.655,312.28499999999997,314.195,312.875,313.17,312.685,308.63,303.4,300.99,307.84,309.18,306.02,304.72,309.475,314.58500000000004,300.98,,,,,,273.31,,
2013-06-28 22:22:44+00:00,289.99,284.1,282.82666666666665,290.115,276.34000000000003,287.93,281.6766666666667,286.505,278.955,272.04,272.15,276.48,274.0233333333333,270.83666666666664,272.56666666666666,276.21,285.42999999999995,285.82,285.87,290.4,286.58,271.155,290.73,295.8866666666667,311.655,312.28499999999997,314.195,312.76666666666665,313.34,313.09999999999997,308.81666666666666,303.4,300.99,307.84,308.95666666666665,305.2,304.23,309.58666666666664,314.58500000000004,300.98,,,,,,277.52,,236.31
2013-07-23 22:16:34+00:00,295.49666666666667,284.1,285.3175,290.115,276.34000000000003,287.93,281.6766666666667,286.505,278.955,272.04,272.15,276.48,274.0233333333333,270.83666666666664,272.56666666666666,276.21,285.42999999999995,288.74,285.87,290.4,286.58,271.155,290.73,298.2975,311.655,312.28499999999997,314.195,312.76666666666665,313.34,313.09999999999997,308.81666666666666,303.4,300.99,307.84,308.95666666666665,305.2,305.775,309.58666666666664,314.58500000000004,300.98,,,,,,277.52,,236.31
2013-08-08 22:16:37+00:00,289.8925,284.1,283.69,285.74,273.09999999999997,287.93,280.035,280.47333333333336,278.18333333333334,267.24,272.41499999999996,273.93,274.435,270.3275,271.15250000000003,276.5825,283.50333333333333,286.025,286.02,290.4,284.02,266.3433333333333,290.73,296.204,309.2133333333333,312.28499999999997,314.195,310.8725,311.5575,311.495,306.575,298.0,300.885,306.655,307.2625,303.59,305.775,309.58666666666664,314.58500000000004,300.98,,,,,,277.52,,236.31
2013-08-31 22:22:50+00:00,289.846,282.875,282.76666666666665,284.8425,272.875,286.6333333333334,280.588,282.01250000000005,279.2125,268.55333333333334,274.71,274.35249999999996,275.678,271.60600000000005,271.706,277.06,282.62,284.34000000000003,285.3666666666667,288.97,284.84,262.805,289.435,294.99,306.91499999999996,308.91,311.4766666666667,309.88,310.284,309.78000000000003,305.182,295.21,298.6033333333333,305.1066666666666,305.716,302.35,303.3,307.4375,311.9166666666667,299.73,,,,,,277.52,,236.31
2013-10-02 22:22:40+00:00,292.27500000000003,284.92333333333335,283.6014285714286,286.31399999999996,275.536,288.225,282.60333333333335,284.824,281.898,273.38,278.5925,276.472,277.785,274.32166666666666,273.62833333333333,279.00666666666666,284.156,284.6616666666667,286.945,290.67,286.5725,266.07800000000003,290.6066666666666,295.34857142857146,306.568,308.075,311.7425,310.09,310.25,309.82166666666666,305.47499999999997,296.288,298.6625,305.85249999999996,305.41333333333336,302.13,302.46166666666664,306.832,310.6825,300.68,307.15,306.11,313.24,,,280.28333333333336,,238.505
