dates,nzd0356-0000,nzd0356-0001,nzd0356-0002,nzd0356-0003,nzd0356-0004,nzd0356-0005,nzd0356-0006,nzd0356-0007,nzd0356-0008,nzd0356-0009,nzd0356-0010,nzd0356-0011,nzd0356-0012,nzd0356-0013,nzd0356-0014,nzd0356-0015,nzd0356-0016,nzd0356-0017,nzd0356-0018,nzd0356-0019,nzd0356-0020
2016-02-13 22:19:32+00:00,283.22,293.58000000000004,278.655,262.70500000000004,261.755,260.315,258.01,251.855,245.975,254.45,271.20000000000005,260.51666666666665,256.87000000000006,264.695,290.19,296.41499999999996,285.61333333333334,286.06333333333333,287.5933333333333,286.14,296.515
2016-04-10 22:13:01+00:00,285.3633333333333,295.09666666666664,280.71666666666664,264.02333333333337,264.1933333333333,261.56,259.55333333333334,254.1833333333333,247.8033333333333,256.28333333333336,271.12,269.32666666666665,268.5066666666667,289.745,290.725,296.90333333333336,295.96999999999997,297.09,297.73333333333335,297.15,292.77
2016-04-17 22:19:09+00:00,286.8075,297.2425,286.2025,272.24500000000006,271.3175,268.3775,264.3125,258.3275,254.3275,257.7275,275.28,275.3225,273.5525,296.6066666666666,298.3933333333334,303.855,305.69,298.02750000000003,298.01,299.1275,290.40999999999997
2016-04-26 22:12:57+00:00,281.64,292.65,280.826,266.55400000000003,265.156,262.91999999999996,258.546,252.5,248.03599999999997,250.31,265.956,269.066,266.802,280.78749999999997,288.08,289.646,298.442,293.28200000000004,292.786,299.1275,290.40999999999997
2016-06-04 22:19:16+00:00,277.5316666666667,288.1466666666667,276.94,263.14833333333337,265.156,262.91999999999996,258.546,252.5,248.03599999999997,250.31,265.956,258.9783333333333,259.7616666666667,271.28599999999994,275.088,289.646,293.2,289.4683333333333,289.3566666666667,292.272,290.40999999999997
2016-06-13 22:13:06+00:00,277.5316666666667,288.1466666666667,276.94,263.14833333333337,265.156,262.91999999999996,258.546,252.5,248.03599999999997,250.31,265.956,251.68571428571428,256.4557142857143,265.1333333333333,266.61333333333334,289.646,289.41285714285715,286.65857142857146,286.8014285714286,292.272,290.40999999999997
2016-07-06 22:19:29+00:00,275.554,286.40600000000006,276.104,262.432,265.35749999999996,262.6425,257.64750000000004,251.8875,247.82499999999996,248.3275,263.9875,243.08285714285714,252.13285714285715,258.01666666666665,260.62333333333333,281.85,285.4114285714286,282.87857142857143,283.0414285714286,290.35249999999996,286.6366666666666
2016-08-07 22:19:37+00:00,275.9033333333333,286.43666666666667,275.4316666666667,261.6716666666667,264.226,261.402,256.68600000000004,250.19399999999996,245.118,246.598,263.026,245.195,253.4275,261.34714285714284,263.42,282.45666666666665,286.27250000000004,283.685,283.97875,290.264,286.6366666666666
2016-08-16 22:13:29+00:00,275.28,285.662,275.28000000000003,262.27000000000004,265.4925,262.60249999999996,257.3875,250.55249999999995,245.63,245.5825,261.64,242.65125,250.99,262.78,264.40999999999997,278.02333333333337,285.46375,282.21875,282.145,287.066,284.30499999999995
2017-01-23 22:13:31+00:00,278.35,288.82,274.2,257.345,258.875,257.085,253.05,244.73,236.14499999999998,242.035,260.21000000000004,255.45666666666668,257.6266666666667,279.03999999999996,278.82666666666665,281.68666666666667,290.28,287.71,286.59,284.03000000000003,291.17
2017-02-15 22:19:31+00:00,283.68,292.66499999999996,280.395,256.86500000000007,258.385,271.79,272.84499999999997,248.755,240.95999999999998,250.07999999999998,263.05000000000007,262.38,266.03000000000003,282.375,283.47,292.46,292.15,293.03499999999997,292.62,289.515,289.97
2017-03-28 22:13:00+00:00,284.92333333333335,292.8966666666667,279.51,256.3366666666667,257.8666666666667,266.84,266.5133333333333,249.48333333333335,241.76333333333332,250.24,262.22,262.41,265.22,282.56666666666666,282.49666666666667,292.00333333333333,291.74,292.40333333333336,292.56666666666666,289.0333333333333,287.66
2017-06-07 22:19:15+00:00,279.0725,292.8966666666667,279.51,256.3366666666667,252.9075,257.26750000000004,255.67749999999998,242.235,233.51,242.375,250.04500000000004,250.0325,258.4125,272.205,277.58500000000004,286.645,286.1125,287.3275,287.6225,283.2425,287.66
2017-06-16 22:13:07+00:00,274.596,288.84000000000003,273.95,251.66000000000003,249.152,251.204,248.56199999999998,237.292,228.56799999999998,236.794,242.95000000000005,241.586,254.096,265.78000000000003,272.296,282.12399999999997,282.308,284.492,284.378,283.2425,287.66
2017-07-02 22:13:11+00:00,271.965,288.84000000000003,269.062,248.74800000000005,245.61833333333334,247.83333333333334,244.03666666666663,234.28166666666667,225.235,233.22,236.7066666666667,235.44833333333335,252.1766666666667,261.445,269.95,280.3283333333333,279.935,282.715,282.69666666666666,276.63,287.66
2017-07-25 22:19:30+00:00,267.55333333333334,284.375,267.245,246.73000000000008,238.65166666666667,242.09,238.42,228.72333333333336,220.18499999999997,223.38333333333333,221.985,225.75,245.4666666666667,253.94333333333336,262.25166666666667,274.71666666666664,270.785,279.2083333333333,279.04833333333335,273.96750000000003,285.905
2017-11-30 22:19:44+00:00,262.004,279.35999999999996,257.4866666666667,240.09666666666672,233.23600000000002,231.98200000000003,226.05,221.608,213.51,208.4925,213.15,207.1975,240.708,239.735,259.19,272.102,271.86,281.09,277.67199999999997,268.99666666666667,293.57
2018-01-17 22:19:37+00:00,266.5,293.33666666666664,265.68,245.56,233.03500000000003,236.71500000000003,232.785,225.4,220.71499999999997,185.37,216.08500000000004,203.33,243.07,237.97,261.87,277.275,277.455,293.18499999999995,284.93999999999994,290.94,293.57
2018-02-02 22:19:27+00:00,276.24,303.40999999999997,257.365,245.65000000000006,247.95999999999998,247.735,238.68999999999997,236.65,230.355,,257.23,255.04,259.53000000000003,280.37,281.94,302.475,306.07,321.66499999999996,293.32500000000005,288.45500000000004,292.245
2018-03-31 22:12:51+00:00,279.0966666666667,299.50333333333333,264.63000000000005,255.96333333333337,256.0233333333333,259.68,240.42999999999998,238.10333333333332,232.11333333333332,,257.23,272.335,269.44666666666666,295.515,289.2133333333333,305.7366666666667,309.8233333333333,316.2966666666667,301.8233333333333,293.77,291.52
2018-05-02 22:12:33+00:00,279.00250000000005,296.71500000000003,266.0875,255.85250000000002,255.7875,258.75,240.35999999999999,237.71,231.1025,,256.1966666666667,267.0333333333333,268.745,290.92333333333335,287.4275,301.085,304.7925,309.85249999999996,299.86,301.1075,285.665
2018-06-19 22:12:21+00:00,278.53000000000003,299.5466666666667,266.2233333333333,259.28333333333336,257.77666666666664,261.61333333333334,238.47666666666666,237.57666666666668,230.22666666666666,164.34,254.66500000000008,267.0333333333333,262.6275,278.095,280.6575,295.235,292.9925,300.4,293.245,304.49666666666667,283.03000000000003
2018-08-06 22:12:46+00:00,281.7650000000001,290.0200000000001,274.80999999999995,266.05500000000006,251.3166666666667,269.765,230.61666666666665,229.56333333333336,218.91,176.89,254.13,273.03,259.0675,273.74,277.55,286.205,287.3425,287.2975,295.2266666666667,313.76,279.08500000000004
