dates,satname,nzd0107-0000,nzd0107-0001,nzd0107-0002,nzd0107-0003,nzd0107-0004,nzd0107-0005,nzd0107-0006,nzd0107-0007,nzd0107-0008,nzd0107-0009,nzd0107-0010,nzd0107-0011,nzd0107-0012,nzd0107-0013,nzd0107-0014,nzd0107-0015,nzd0107-0016,nzd0107-0017,nzd0107-0018,nzd0107-0019,nzd0107-0020,nzd0107-0021,nzd0107-0022,nzd0107-0023,nzd0107-0024,nzd0107-0025,nzd0107-0026,nzd0107-0027,nzd0107-0028,nzd0107-0029,nzd0107-0030,nzd0107-0031,nzd0107-0032,nzd0107-0033,nzd0107-0034,nzd0107-0035,nzd0107-0036,nzd0107-0037,nzd0107-0038,nzd0107-0039,nzd0107-0040,nzd0107-0041,nzd0107-0042,nzd0107-0043,nzd0107-0044,nzd0107-0045,nzd0107-0046,nzd0107-0047,nzd0107-0048,nzd0107-0049,nzd0107-0050,nzd0107-0051,nzd0107-0052,nzd0107-0053,nzd0107-0054,nzd0107-0055,nzd0107-0056,nzd0107-0057,nzd0107-0058
2005-04-12 21:58:55.193000,L5,,,,,271.93,280.61,280.97,266.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.66,136.12,152.44,,,,,307.09,309.37,310.29,313.55,311.65,307.69,295.71,,,,,
2005-05-30 21:59:15.499000,L5,,,,,278.59,288.45,292.95,291.92,273.52,273.59,,,,,,,,,,,,,,,,326.32,323.17,316.10,298.36,320.03,323.13,336.97,314.77,360.81,345.12,317.04,313.93,321.27,319.19,314.22,320.01,326.58,324.87,317.35,324.45,301.98,320.89,331.13,345.45,341.60,334.53,319.22,322.46,308.32,,,,,
2005-07-17 21:59:35.576000,L5,,,,,,,,,,,,,,,,,123.55,79.03,82.33,101.71,108.02,109.15,,,,,,,,,,,,,,,,,,,157.36,145.52,164.33,170.26,,,,,,,,,,,,,,,
2005-09-19 21:59:56.928000,L5,,,,,249.47,254.88,260.82,253.54,,,,,,,,111.22,168.98,155.33,122.81,125.39,147.05,143.70,,,,,,,,,,,,,,,,,,,157.99,152.86,169.31,192.84,182.27,,,,,,,,,,,,,,
2005-11-22 22:00:23.113000,L5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.65,143.81,158.34,138.38,,,,,,,,,,,,,,,
2006-05-17 22:03:57.969000,L5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213.61,171.78,211.59,279.34,243.86,,,,,,,,,,,,,
2006-06-02 22:04:12.415000,L5,,,,,,,,226.60,127.33,220.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184.24,217.97,,,,,,,,,,
2006-07-04 22:04:41.660000,L5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.48,153.48,168.94,154.84,138.25,124.07,186.34,105.14,,,,,,,,
2006-08-21 22:05:19.629000,L5,,,,,278.97,286.23,291.50,288.69,280.77,269.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,318.11,323.31,318.25,323.05,319.99,315.19,306.24,303.59,285.68,320.58,316.23,313.85,320.50,324.21,321.04,315.72,303.91,303.60,312.74,302.93,295.39,289.89
2006-11-25 22:06:19.953000,L5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.12,233.23,195.14,178.67,221.93,240.57,253.97,,,,,,,,,,,,
2006-12-11 22:06:52.177000,L5,,,,,361.75,370.53,364.02,332.63,316.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208.56,238.68,227.03,227.08,206.25,203.52,175.04,196.20,200.55,192.59,181.23,184.61,196.57,,,,,,,,
2007-02-13 22:06:47.368000,L5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.51,269.50,,,,,,,,,,,,,,,,
2008-02-16 22:02:22.163000,L5,,219.17,190.30,261.64,268.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.40,98.67,150.71,,,,,314.22,315.21,310.04,313.22,313.74,306.11,300.15,,,,,
2008-10-29 21:55:24.451000,L5,,,258.14,250.41,244.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376.63,385.82,128.87,139.77,154.51,395.87,,378.72,384.68,321.09,320.43,308.33,312.36,307.31,299.25,294.19,,,,,
2009-02-02 21:57:22.411000,L5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.24,117.42,206.76,199.75,232.58,,,,,,,,,,,,,
2010-02-21 22:02:44.773000,L5,,,,,,,,,,,,,176.53,52.52,132.15,156.20,,175.92,146.44,136.30,,,,,,,,,,,,,,,,,,,,,,85.78,112.50,189.81,183.10,213.38,260.38,,,,,,,,,,,,
2011-01-07 22:01:44.406000,L5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.21,299.57,285.17,276.45,270.98,247.15,,,,,,,,,,,,,
2011-04-13 22:01:34.017000,L5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.78,116.52,145.68,189.08,215.60,,,,,,,,,,,,,
2013-04-11 22:07:51.092000,L8,,,,278.67,275.63,281.37,276.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139.11,143.90,153.69,,,,,,,,,,,,,,,,
2013-06-05 22:13:51.261000,L8,,,,,,264.82,268.01,,,,,,,,,,,98.04,86.81,190.64,,,,,,,,,,,,142.08,174.56,,,,,,94.71,117.37,140.74,153.38,157.73,,,,,,,,,,,,,,,,
2013-06-21 22:13:43.313000,L8,,,,244.52,260.32,199.88,269.01,191.53,142.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.02,112.77,137.46,147.15,156.21,,,,,,,,,,,,,,,,
2013-07-07 22:13:48.209000,L8,,,,256.20,262.15,272.25,270.58,218.99,,,,,,,,,,88.53,74.67,91.34,102.91,102.68,,,,,,,,,,,,,,,,,,,135.54,146.75,156.01,,,,,,,,,,,,,,,,
2013-08-08 22:13:49.700000,L8,293.89,322.11,337.92,256.81,202.24,,,,,,,,,,,,,98.23,87.13,79.98,94.27,100.91,,,,,,,,,,,,,,,,,,118.74,132.47,111.82,122.82,246.21,,,,,,,,,,,,,,,
2013-09-25 22:13:41.239000,L8,,,,,254.68,265.68,264.48,,,,,,,,187.19,210.98,,97.83,79.16,190.56,,,,,,,,,,,,,,,,,,,94.23,114.42,139.44,150.37,164.91,,,,,,,,,,,,,,,,
2013-10-11 22:13:41.596000,L8,,,226.87,280.43,269.07,271.14,271.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.67,99.28,152.65,,,,,,,,,,,,,,,,
2013-10-27 22:13:31.854000,L8,188.12,233.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.98,142.39,150.91,,,,,,,,,,,,,,,,
2013-11-28 22:13:25.971000,L8,,,,265.47,265.90,268.25,270.12,196.81,204.00,158.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-14 22:13:21.591000,L8,,,,,,,,,,,,,,,186.43,210.15,,90.62,79.36,195.76,,,,,,,,,,,186.74,200.57,174.04,,,,,,,,133.67,146.53,117.24,,,,,,,,,,,,,,,,
2013-12-30 22:13:13.343000,L8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.61,147.19,179.35,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-31 22:12:52.806000,L8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.19,151.02,170.97,285.98,280.98,283.06,,,,,,,,,,,,,
2014-03-20 22:12:13.789000,L8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.72,152.90,205.22,93.40,117.37,215.01,206.80,279.14,,,,,,,,,,,,,
2014-04-05 22:11:58.702000,L8,,,,,,272.78,270.93,,,,,,,,189.02,211.98,,,,,,,,,,,,,,,,,,,,,,,,,131.89,145.44,152.51,,,,,,,,,,,,,,,,
2014-04-21 22:11:42.175000,L8,,,,,,264.22,268.70,183.50,193.41,,,,,,150.20,178.47,,,,,,,,,,,,,,,,143.68,174.65,,,,,,,,136.48,147.83,156.79,,,,,,,,,,,,,,,,
2014-10-14 22:12:02.705000,L8,,,,,,,,,,,,,,,149.33,181.50,76.43,,,,,,,,,,,,,,,,,,,,,,,,138.97,226.23,263.01,256.37,246.18,278.56,,,,,,,,,,,,,
2014-10-30 22:11:58.859000,L8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.01,143.86,150.41,,,,,,,,,,,,,,,,
2014-12-01 22:12:00.318000,L8,,,,,267.15,,,,,,,,,,,,,,,,,,,,,,,,,,184.06,235.28,173.79,,,,,,,,132.54,144.81,283.19,257.83,279.35,284.83,,,,,,,,,,,,,
