dates,satname,nzd0019-0000,nzd0019-0001,nzd0019-0002,nzd0019-0003,nzd0019-0004,nzd0019-0005,nzd0019-0006,nzd0019-0007,nzd0019-0008,nzd0019-0009,nzd0019-0010,nzd0019-0011
2023-11-15 22:17:47.856000,L8,391.05,355.23,339.24,348.24,337.40,338.23,,,,,,
2023-12-09 22:17:50.740000,L9,396.35,356.52,357.83,352.82,340.41,348.08,,,,,,
2023-12-17 22:17:48.418000,L8,391.69,357.39,342.27,343.48,333.84,335.12,,,,,,
2024-01-18 22:17:42.241000,L8,392.44,356.26,350.75,350.66,337.61,372.26,,,,,,
2024-02-04 22:11:43.788000,L9,373.15,331.92,327.10,334.95,337.01,360.56,,,,,,
2024-02-11 22:17:53.113000,L9,392.01,353.52,344.60,341.71,335.09,336.71,,,,,,
2024-02-19 22:17:39.652000,L8,391.07,359.36,359.67,360.14,381.47,361.03,366.43,362.43,358.19,360.73,,
2024-02-27 22:17:43.972000,L9,389.36,354.11,340.05,344.32,335.80,335.94,,,,,,
2024-03-30 22:17:36.478000,L9,392.05,357.09,362.45,357.75,381.38,379.62,,,,,,
2024-04-15 22:17:28.257000,L9,392.71,354.54,358.29,353.81,379.03,377.58,,,,,,
2024-04-23 22:17:03.194000,L8,396.16,361.11,357.54,357.24,380.28,381.83,,,,,356.73,343.70
2024-05-01 22:17:11.831000,L9,400.22,362.11,362.15,358.44,380.14,383.75,379.19,363.73,364.32,364.62,,
2024-05-09 22:16:51.826000,L8,400.27,358.90,356.81,356.19,376.26,380.77,,,,,,343.62
2024-05-17 22:17:03.987000,L9,405.88,360.56,359.56,360.33,381.70,379.41,,,,,,
2024-06-26 22:16:52.651000,L8,394.77,357.44,358.68,350.93,342.60,369.43,,,,,,
2024-07-12 22:17:00.992000,L8,381.28,346.37,306.14,315.50,,,,,,,,
2024-08-05 22:17:06.640000,L9,396.15,358.44,352.83,352.46,343.81,375.90,,,,,,
2024-08-21 22:17:19.711000,L9,396.38,357.45,341.55,349.59,342.20,346.87,,,,,,
2024-08-29 22:17:21.978000,L8,404.21,365.90,358.38,360.80,378.00,380.19,,,,,,
2024-09-22 22:17:21.161000,L9,394.19,355.78,352.41,353.99,375.29,354.24,,,,,,
2024-11-17 22:17:38.841000,L8,391.10,357.13,353.50,351.74,341.78,374.04,,,,,,
2024-11-25 22:17:51.900000,L9,391.64,357.13,353.65,356.11,376.89,379.46,,,,,,
2024-12-03 22:17:45.212000,L8,391.84,355.70,351.68,352.55,340.78,342.77,,,,,,
2024-12-04 22:11:36.525000,L9,371.90,329.23,321.26,322.67,327.80,339.08,,,,,,
2025-01-12 22:17:45.559000,L9,392.58,357.62,354.84,353.01,341.60,379.96,,,,,,
2025-01-28 22:17:42.532000,L9,394.03,359.08,360.66,351.34,341.47,376.98,,,,,,
2025-02-05 22:17:39.822000,L8,365.98,,,,,,,,,,,
2025-02-21 22:17:31.397000,L8,391.15,358.64,363.21,357.56,378.37,382.77,367.59,364.73,362.29,363.49,,
2025-03-01 22:17:39.455000,L9,393.78,355.52,358.82,351.79,341.80,373.17,,,,,,
2025-03-09 22:17:26.663000,L8,391.26,356.49,357.53,356.52,376.18,379.57,,,,,,
2025-03-17 22:17:32.112000,L9,376.60,343.14,301.41,,,,,,,,,
2025-03-25 22:17:16.100000,L8,370.50,337.34,,,,,,,,,,
2025-05-04 22:17:17.676000,L9,398.75,361.97,354.68,357.32,373.94,378.68,,,,,,
2025-05-12 22:16:59.753000,L8,384.72,346.89,302.59,,,,,,,,,
2025-05-20 22:17:06.544000,L9,401.22,363.99,358.89,359.08,377.34,383.34,,,,,,344.67
2025-06-05 22:17:00.261000,L9,405.57,369.63,361.76,357.65,378.44,380.05,,,,,,344.27
2025-06-13 22:17:12.853000,L8,398.63,364.35,358.81,357.68,346.21,372.83,359.48,361.88,,,,
2025-06-21 22:17:14.951000,L9,381.72,345.10,300.02,,,,,,,,,
2025-06-29 22:17:21.081000,L8,382.76,344.28,303.33,318.50,,,,,,,,
2025-07-23 22:17:27.519000,L9,406.97,373.11,363.14,359.82,380.39,383.94,379.36,364.99,366.89,365.81,,345.33
2025-08-08 22:17:36.495000,L9,384.14,343.91,,,,,,,,,,
2025-09-25 22:17:52.465000,L9,,,,311.57,377.69,374.93,352.43,361.66,357.78,,,
2025-10-19 22:17:50.450000,L8,395.49,360.93,355.05,357.43,373.22,379.23,368.48,364.90,362.84,362.58,,
2025-11-04 22:17:53.875000,L8,399.31,363.72,363.20,358.82,377.79,381.73,367.76,364.29,365.79,366.01,359.44,346.21
