dates,nzd0160-0000,nzd0160-0001,nzd0160-0002,nzd0160-0003,nzd0160-0004,nzd0160-0005,nzd0160-0006,nzd0160-0007,satname
2023-06-02 22:05:29+00:00,275.18857142857144,316.6485714285714,326.21625,320.942,310.53714285714284,303.0,306.12,299.55428571428575,L9
2023-06-10 22:05:03+00:00,274.4525,316.6825,326.0911111111111,320.942,309.58875,303.8066666666667,306.12,299.04375,L8
2023-06-18 22:04:57+00:00,274.24,316.6825,325.86800000000005,319.87,309.51666666666665,303.84000000000003,305.43,298.62333333333333,L9
2023-07-28 22:05:50+00:00,277.76300000000003,316.6825,325.8372727272727,319.8442857142857,309.68999999999994,304.3775,305.3283333333333,298.364,L8
2023-08-05 22:05:47+00:00,277.21181818181816,316.6722222222222,325.62166666666667,319.8442857142857,309.20545454545453,304.5577777777778,303.1771428571429,298.0072727272727,L9
2023-08-13 22:05:32+00:00,275.6191666666667,316.6722222222222,325.3276923076923,319.8442857142857,309.20545454545453,303.335,303.1771428571429,297.78249999999997,L8
2023-08-21 22:05:28+00:00,275.66833333333335,316.1022222222222,325.2269230769231,319.20142857142855,309.16545454545457,303.5,303.3528571428571,297.7033333333333,L9
2023-09-30 22:05:45+00:00,279.24,316.3283333333333,323.669,318.7,307.8775,304.5185714285714,301.46400000000006,295.6788888888889,L8
2023-10-08 22:06:10+00:00,280.61454545454546,315.94571428571425,322.8945454545455,317.08666666666664,307.8177777777778,303.92,301.795,295.702,L9
2023-11-09 22:05:48+00:00,280.60636363636365,313.9142857142857,322.4381818181818,317.08666666666664,308.09000000000003,303.92,301.795,295.77555555555557,L9
2023-11-25 22:06:20+00:00,280.88272727272727,313.15285714285716,322.04818181818183,306.88666666666666,307.4275,300.0466666666667,301.795,295.65999999999997,L9
2023-12-19 22:05:51+00:00,284.56111111111113,307.4042857142857,322.1833333333333,299.2316666666666,301.84285714285716,299.11125,301.62,296.06125,L8
2024-01-12 22:06:18+00:00,284.47300000000007,307.4042857142857,322.543,295.2857142857143,301.84285714285716,299.7511111111111,301.945,296.3922222222222,L9
2024-01-28 22:05:54+00:00,283.17400000000004,307.4042857142857,322.852,288.5642857142857,300.27500000000003,299.51222222222225,301.8516666666667,296.8366666666667,L9
2024-02-13 22:06:17+00:00,286.64888888888885,300.9557142857143,323.2344444444444,285.71875,287.45666666666665,299.6114285714286,304.168,296.95,L9
2024-02-21 22:05:41+00:00,283.67555555555555,294.65142857142854,323.12666666666667,278.8825,283.308,298.6316666666667,304.24,295.9475,L8
2024-03-16 22:06:11+00:00,283.71799999999996,294.65142857142854,323.37399999999997,277.1144444444445,273.56166666666667,299.3514285714286,304.24,295.6422222222222,L9
2024-05-03 22:05:38+00:00,278.4533333333333,286.35,324.2722222222222,266.32714285714286,266.23400000000004,297.6383333333334,304.0366666666667,295.47625,L9
2024-05-11 22:04:51+00:00,278.5577777777778,281.046,325.00333333333333,265.9375,270.81333333333333,298.83,304.0366666666667,295.58444444444444,L8
2024-06-28 22:04:55+00:00,282.915,271.83666666666664,325.8625,266.4316666666667,273.23,303.545,304.5575,295.4025,L8
2024-07-22 22:05:28+00:00,281.21500000000003,270.725,325.67875,265.396,273.23,303.28000000000003,304.88666666666666,294.8828571428571,L9
2024-07-30 22:05:39+00:00,276.72,270.74,324.70875,272.728,278.81,302.60249999999996,305.2,294.025,L8
2024-08-31 22:05:51+00:00,282.58,280.7325,323.98857142857145,276.785,289.082,302.60249999999996,305.2,295.57499999999993,L8
2024-09-08 22:05:24+00:00,286.17,287.858,324.20125,276.785,292.46,302.60249999999996,296.4166666666667,287.822,L9
2024-09-24 22:05:25+00:00,289.36875,292.56166666666667,324.31,281.39000000000004,306.625,302.24666666666667,290.65999999999997,288.428,L9
2024-10-26 22:05:48+00:00,287.65333333333336,293.2314285714286,324.0488888888889,278.5,306.28000000000003,302.255,291.384,288.428,L9
2024-12-05 22:05:45+00:00,290.52875,299.30285714285714,323.825,280.1425,308.6066666666666,301.0433333333333,290.832,283.24,L8
2024-12-13 22:05:46+00:00,289.2422222222222,298.3375,324.05333333333334,277.342,308.9485714285714,294.39,287.37333333333333,286.67,L9
2024-12-21 22:06:04+00:00,288.988,300.4322222222222,324.188,275.65833333333336,308.49625,296.34,285.08142857142855,288.606,L8
2025-01-06 22:06:06+00:00,286.135,302.031,324.106,274.56428571428575,308.06625,296.442,284.45,288.82399999999996,L8
2025-01-14 22:05:49+00:00,284.8872727272728,299.6209090909091,324.0809090909091,273.74625,302.46777777777777,296.442,274.0075,289.89666666666665,L9
2025-01-22 22:05:37+00:00,284.94,300.10636363636365,324.16727272727275,272.97444444444443,297.81000000000006,296.442,265.76,289.06,L8
2025-01-30 22:06:08+00:00,285.7918181818182,299.75454545454545,323.9745454545454,267.62,289.553,296.442,258.496,289.06,L9
2025-02-23 22:05:31+00:00,284.81583333333333,297.36833333333334,323.7441666666667,266.659,289.553,296.735,253.0763636363636,289.735,L8
2025-03-19 22:05:30+00:00,279.12454545454545,292.43,324.0190909090909,265.72799999999995,284.063,296.8957142857143,245.96454545454543,294.55875,L9
2025-04-04 22:05:27+00:00,275.53181818181815,288.22,323.4218181818182,265.2572727272727,283.478,292.7475,239.1,293.005,L9
2025-05-06 22:05:42+00:00,274.47636363636366,288.7318181818182,323.16727272727275,264.8,283.867,291.3857142857143,233.58199999999997,293.62333333333333,L9
2025-05-14 22:05:26+00:00,276.57916666666665,287.1075,323.21750000000003,264.1463636363637,286.21636363636367,291.3857142857143,233.58199999999997,293.62333333333333,L8
2025-05-30 22:05:30+00:00,275.85615384615386,285.5369230769231,323.3861538461539,263.9458333333333,287.9583333333333,291.3857142857143,230.30909090909088,293.69,L8
2025-06-07 22:05:29+00:00,275.2725,285.52230769230766,323.3807692307692,263.4154545454545,288.01,292.61571428571426,230.4872727272727,293.8790909090909,L9
2025-06-23 22:05:18+00:00,272.97,284.91333333333336,322.995,261.90700000000004,285.3009090909091,295.51,221.54999999999998,293.26222222222225,L9
2025-08-02 22:05:57+00:00,275.87875,289.2388888888888,322.93444444444447,267.7942857142857,300.235,290.67833333333334,233.72500000000002,293.70142857142855,L8
2025-08-18 22:05:41+00:00,273.13444444444445,289.2388888888888,322.819,273.975,301.2522222222222,292.79714285714283,242.77714285714288,293.85625,L8
2025-09-27 22:05:54+00:00,273.035,296.115,322.97444444444443,283.7857142857143,306.8333333333333,292.59166666666664,259.988,291.31142857142856,L9
