dates,nzd0249-0000,nzd0249-0001,nzd0249-0002,nzd0249-0003,nzd0249-0004,nzd0249-0005,nzd0249-0006,nzd0249-0007,nzd0249-0008,nzd0249-0009,nzd0249-0010,nzd0249-0011,nzd0249-0012,nzd0249-0013,nzd0249-0014,nzd0249-0015,satname
2006-09-01 21:47:19.401,321.45428571428573,332.235,328.84000000000003,316.9171428571429,307.45444444444445,309.6177777777778,327.804,293.6416666666667,296.7083333333333,299.91125,299.67999999999995,291.5571428571429,314.29125,343.99500000000006,334.215,320.1566666666667,L5
2006-09-01 21:47:43.231,320.44375,330.31428571428575,326.5883333333333,316.22,308.062,310.225,325.33666666666664,295.77000000000004,298.66428571428565,299.44111111111107,299.03375,290.5725,313.4377777777778,341.04,331.7085714285714,318.4614285714286,L5
2006-09-17 21:47:31.164,319.4211111111111,329.20250000000004,326.29714285714283,316.6355555555556,309.1409090909091,311.04727272727274,324.42,297.72125,299.48375,299.35,298.4577777777778,290.0177777777778,312.83000000000004,339.08375,330.30625,317.5725,L5
2006-09-17 21:47:54.852,318.35800000000006,328.1744444444445,325.82125,316.848,309.87916666666666,311.60833333333335,323.46125,298.99666666666667,300.03777777777776,299.07545454545453,297.871,289.416,312.18363636363637,337.1744444444445,328.9188888888889,316.7311111111111,L5
2006-12-06 21:48:41.029,311.71999999999997,323.79333333333335,324.54800000000006,318.84999999999997,309.5725,311.32625,322.978,295.585,294.49125,291.29,289.245,279.52750000000003,302.62888888888887,328.1457142857143,318.38,313.8566666666666,L5
2007-01-07 21:48:55.368,309.5916666666667,323.288,320.114,319.02799999999996,319.514,318.22799999999995,316.11400000000003,305.58,304.6383333333333,296.1766666666667,292.12,284.94,308.49666666666667,325.72166666666664,317.47,314.476,L5
2007-02-08 21:48:38.839,312.9742857142857,326.7183333333333,324.16833333333335,324.44666666666666,324.83166666666665,323.21,323.8966666666667,305.58,304.6383333333333,303.5571428571429,298.9971428571429,292.91285714285715,313.88428571428574,330.5285714285714,321.92857142857144,318.1316666666667,L5
2007-02-08 21:49:02.527,315.4375,329.1657142857143,326.6014285714286,328.1471428571428,328.5285714285714,326.70142857142855,329.4485714285714,305.58,304.6383333333333,309.09875,304.14125,298.9525,317.91999999999996,334.10375,325.27250000000004,320.67285714285714,L5
2011-01-02 21:43:35.332,306.44,318.05,305.88,310.92,,314.72,326.56,306.51,318.17,309.33,309.16,,307.19,328.99,317.53,302.64,L5
2011-01-02 21:43:59.020,305.88,317.65,305.845,310.045,,314.405,326.395,305.78,319.055,309.28499999999997,308.72,,307.11,328.53999999999996,317.195,301.635,L5
2011-03-07 21:43:36.874,305.88,327.58,305.845,310.045,369.49,314.405,326.395,305.78,319.055,309.28499999999997,319.2866666666667,345.97,307.11,339.54333333333335,330.79,315.1166666666666,L5
2011-03-07 21:44:00.562,305.88,332.915,305.845,310.045,369.70000000000005,314.405,326.395,305.78,319.055,309.28499999999997,324.28,345.85,307.11,345.21500000000003,337.46500000000003,321.84499999999997,L5
2013-04-29 21:55:51.104,298.23,294.85,291.28,292.99,295.12,292.25,295.89,281.89,291.21,274.67,277.07,269.6,295.11,351.54,366.91,357.64,L8
2013-05-31 21:55:43.729,297.69,295.14,287.775,292.615,295.675,292.515,295.54499999999996,283.005,291.78499999999997,276.32000000000005,277.46000000000004,271.795,295.76,331.595,332.70000000000005,325.08,L8
2013-05-31 21:56:07.688,298.5733333333333,296.09,287.34,292.82666666666665,296.33,293.42333333333335,295.91,283.97333333333336,292.48,277.71000000000004,278.0466666666667,273.00666666666666,297.0466666666667,325.50333333333333,321.83,315.21666666666664,L8
2013-07-18 21:56:02.364,297.705,294.4775,282.5775,291.4225,294.765,292.3825,295.615,283.9425,292.4825,277.725,277.3,271.6225,297.015,321.22749999999996,315.5525,308.53999999999996,L8
2013-08-19 21:55:42.209,299.842,297.32800000000003,284.008,291.348,294.78200000000004,292.96999999999997,295.69,284.51,292.88,278.774,277.812,271.694,296.944,318.52799999999996,311.446,303.174,L8
2013-08-19 21:56:06.167,301.1666666666667,299.14500000000004,284.84666666666664,291.25666666666666,294.5366666666667,293.2233333333333,295.6433333333334,284.8333333333333,293.06333333333333,279.4216666666667,278.03833333333336,271.675,296.66833333333335,316.6716666666667,308.61333333333334,299.58666666666664,L8
2013-10-06 21:55:33.702,301.6914285714286,300.03000000000003,286.4271428571429,293.53285714285715,296.00428571428574,294.5385714285714,295.63571428571424,285.25142857142856,293.20142857142855,279.76000000000005,278.45428571428573,271.9214285714286,296.7814285714286,316.3528571428571,307.7514285714286,299.03142857142853,L8
2013-10-06 21:55:57.648,302.10125,300.67625,287.68875,295.21500000000003,297.10125,295.5175,295.6275,285.545,293.3075,280.01625,278.7925,272.12875,296.845,316.11625,307.08875,298.5925,L8
2013-12-09 21:55:16.438,298.91333333333336,300.3433333333333,284.91,294.355,296.00666666666666,295.18,294.37333333333333,284.13666666666666,292.3833333333333,279.555,278.42333333333335,269.46,295.38166666666666,308.9683333333333,297.5466666666667,286.0233333333333,L8
2014-01-10 21:54:55.235,297.84000000000003,299.5157142857143,285.47857142857146,293.8228571428572,295.1271428571428,294.2371428571428,294.53000000000003,283.15285714285716,291.84142857142854,279.06428571428575,277.93571428571425,267.74857142857144,294.93142857142857,308.44714285714286,297.0442857142857,284.68571428571425,L8
