dates,satname,nzd0171-0000,nzd0171-0001,nzd0171-0002,nzd0171-0003,nzd0171-0004,nzd0171-0006,nzd0171-0007,nzd0171-0005,nzd0171-0008,nzd0171-0009
2016-04-03 22:05:16.685000,L8,313.38,306.42,292.48,249.29,282.27,276.61,286.21,,,264.77
2016-04-26 22:11:21.230000,L8,303.44,288.67,289.71,245.94,281.40,,282.55,,,
2016-05-12 22:11:20.683000,L8,308.13,301.85,279.35,248.87,282.97,275.36,285.44,,230.88,
2016-05-21 22:05:14.459000,L8,312.38,308.92,294.46,252.03,284.19,279.24,285.72,276.04,238.93,
2016-05-21 22:05:38.418000,L8,313.36,310.99,295.58,286.65,285.22,280.73,286.81,278.28,243.31,265.93
2016-07-24 22:06:01.938000,L8,313.19,320.85,298.16,252.94,285.97,277.78,287.70,275.77,230.84,
2016-08-16 22:11:53.694000,L8,309.17,289.28,291.99,247.73,182.39,193.18,285.21,229.58,245.74,
2016-09-10 22:05:51.530000,L8,268.66,216.76,286.56,246.24,276.20,276.24,279.36,,,
2016-09-10 22:06:15.488000,L8,311.72,304.00,291.37,249.59,282.69,278.93,285.16,279.05,260.17,260.89
2016-09-26 22:05:52.032000,L8,313.33,304.07,241.59,209.54,179.04,187.04,286.98,239.05,232.26,258.87
2016-10-12 22:05:57.250000,L8,311.50,288.55,244.28,246.48,282.58,271.92,244.31,,,
2016-10-12 22:06:21.213000,L8,312.83,294.47,290.11,248.39,283.57,236.57,276.19,,208.19,
2016-10-28 22:05:59.220000,L8,312.57,301.62,283.88,,,279.49,285.15,247.04,234.56,
2016-10-28 22:06:23.178000,L8,313.44,174.40,285.97,,,279.42,285.14,276.34,234.97,
2016-11-20 22:12:09.409000,L8,312.07,299.97,290.01,251.92,281.62,279.84,285.46,282.70,243.36,262.85
2016-12-15 22:06:18.115000,L8,318.26,303.63,294.36,250.72,281.22,275.05,283.62,,238.87,257.63
2016-12-22 22:12:03.110000,L8,192.91,292.63,281.18,244.93,271.98,256.70,247.85,,,
2017-01-16 22:05:47.126000,L8,318.19,310.36,294.26,253.05,283.72,261.41,285.38,245.56,237.92,
2017-01-16 22:06:11.085000,L8,324.58,315.41,297.79,292.26,285.34,270.09,287.07,266.57,242.31,267.21
2017-02-01 22:05:40.248000,L8,372.16,361.12,346.26,337.56,327.92,312.37,304.29,319.95,293.64,287.26
2017-02-24 22:11:42.029000,L8,308.98,288.29,286.60,246.06,277.09,272.29,280.92,,,
2017-03-05 22:05:27.019000,L8,319.62,315.79,300.84,293.10,286.16,284.27,292.21,284.76,273.94,272.27
2017-03-05 22:05:50.977000,L8,311.78,302.16,293.67,247.51,181.01,276.71,287.94,244.84,243.03,
2017-04-13 22:11:17.034000,L8,316.43,304.64,295.98,250.12,283.56,227.82,288.43,,232.61,268.18
2017-05-08 22:04:59.325000,L8,307.42,,285.44,249.97,264.45,,,,,
2017-05-24 22:05:10.453000,L8,,,244.33,244.77,,220.64,285.59,,,
2017-05-24 22:05:34.407000,L8,306.86,,291.35,245.72,,221.93,286.11,,,
2017-06-16 22:11:31.847000,L8,,,,,,268.09,277.82,,,
2017-06-25 22:05:23.687000,L8,317.32,329.00,301.37,295.45,286.82,286.06,289.98,285.34,253.36,272.28
