dates,nzd0348-0000,nzd0348-0001,nzd0348-0002,nzd0348-0003,nzd0348-0004,nzd0348-0005,nzd0348-0006,nzd0348-0007,nzd0348-0008,nzd0348-0009,nzd0348-0010,nzd0348-0011,nzd0348-0012,nzd0348-0013,nzd0348-0014,nzd0348-0015,nzd0348-0016,nzd0348-0017,nzd0348-0018,nzd0348-0019,nzd0348-0020,nzd0348-0021,nzd0348-0022,nzd0348-0023,nzd0348-0024,nzd0348-0025,nzd0348-0026,nzd0348-0027,nzd0348-0028,nzd0348-0029,nzd0348-0030,satname
2007-01-30 21:56:00.553,408.79,403.03499999999997,402.88199999999995,403.238,398.075,411.1225,405.73249999999996,400.35249999999996,405.61,394.0233333333333,400.5925,403.412,402.524,402.528,401.24399999999997,394.2225,397.492,401.52200000000005,390.1233333333333,408.294,404.604,405.736,381.765,368.84499999999997,368.562,375.07,370.67,398.918,378.274,353.83,359.46999999999997,L5
2007-02-08 21:49:50.615,405.62600000000003,400.14,400.595,399.52833333333336,395.13,406.716,402.936,398.02599999999995,402.51500000000004,393.5425,398.256,401.8066666666667,399.93,400.62166666666667,399.335,392.038,394.59499999999997,397.52833333333336,387.9875,404.6233333333333,401.9166666666667,402.6933333333333,380.346,366.06,365.565,371.3833333333334,368.478,394.42,376.34833333333336,351.405,355.85833333333335,L5
2011-01-09 21:50:58.806,,,,,,,,,349.54,360.21,352.35,360.37,361.77,363.85,360.32,362.66,350.57,343.47,,364.55,365.62,359.09,339.18,322.84,324.45,326.52,333.97,347.05,344.72,327.03,330.41,L5
2011-01-25 21:50:59.151,,,,412.61,,424.94,420.22,425.81,349.54,360.21,352.35,360.37,361.77,363.85,360.32,362.66,350.57,343.47,,364.55,365.62,359.09,339.18,322.84,324.45,326.52,333.97,347.05,344.72,327.03,330.41,L5
2013-07-25 22:03:01.828,371.89,376.24,371.62,,367.2,,,,362.9,363.68,365.35,364.17,372.99,370.05,370.66,369.68,367.5,366.37,367.9,368.93,372.87,366.93,343.66,326.23,323.05,330.84,335.93,340.07,334.93,318.15,320.79,L8
2013-10-29 22:02:46.185,371.89,395.845,371.62,437.49,367.2,444.63,440.06,442.29,362.9,363.68,365.35,364.17,372.99,370.05,370.66,369.68,367.5,366.37,392.42499999999995,391.28,397.34000000000003,385.16499999999996,365.415,343.505,340.81,346.55999999999995,335.93,340.07,360.03499999999997,318.15,320.79,L8
2013-11-14 22:02:45.355,371.74,389.6166666666666,363.03999999999996,437.49,355.515,444.63,440.06,442.29,356.79499999999996,359.13,362.44500000000005,359.865,376.475,372.20500000000004,374.0,372.82500000000005,374.255,371.87,387.4633333333333,387.49666666666667,393.53000000000003,381.41333333333336,363.10999999999996,342.51,339.00333333333333,344.84666666666664,342.655,337.56,359.03999999999996,326.985,323.33500000000004,L8
2013-11-30 22:02:40.518,386.52666666666664,397.6325,378.76666666666665,421.775,373.7633333333333,432.38,427.505,424.52,373.3433333333333,374.9166666666667,378.6133333333334,378.4466666666667,390.73,372.20500000000004,374.0,387.75,388.5566666666667,386.51,394.85249999999996,394.6925,400.1325,381.41333333333336,363.10999999999996,350.625,347.065,351.7675,342.655,337.56,359.03999999999996,326.985,323.33500000000004,L8
2014-02-02 22:02:05.518,392.34999999999997,400.345,379.8633333333334,405.89000000000004,375.76666666666665,415.6233333333333,411.71999999999997,407.33666666666664,375.4066666666667,379.13333333333327,384.1666666666667,384.14000000000004,392.66333333333336,373.355,376.83,390.4533333333334,390.24333333333334,389.45,396.6925,397.74,401.78499999999997,385.32,368.45666666666665,353.9925,349.8125,352.4925,343.44,344.81,362.7833333333333,333.53,332.41499999999996,L8
2014-02-18 22:01:51.922,394.665,400.206,383.2125,404.52250000000004,384.0175,414.8025,410.9925,406.6625,382.32,384.5775,390.325,391.625,396.485,385.53000000000003,383.40000000000003,393.2575,394.5175,390.33500000000004,396.30199999999996,395.762,403.216,386.8825,369.22749999999996,352.868,350.36400000000003,352.27,350.81666666666666,344.81,366.4375,333.53,335.7633333333333,L8
