dates,satname,nzd0062-0000,nzd0062-0001,nzd0062-0002,nzd0062-0003,nzd0062-0004,nzd0062-0005,nzd0062-0006,nzd0062-0007,nzd0062-0008,nzd0062-0009,nzd0062-0010,nzd0062-0011,nzd0062-0012,nzd0062-0013,nzd0062-0014,nzd0062-0015,nzd0062-0016,nzd0062-0017,nzd0062-0018,nzd0062-0019,nzd0062-0020,nzd0062-0021,nzd0062-0022,nzd0062-0023,nzd0062-0024,nzd0062-0025,nzd0062-0026,nzd0062-0027,nzd0062-0028,nzd0062-0029,nzd0062-0030,nzd0062-0031,nzd0062-0032,nzd0062-0033,nzd0062-0034,nzd0062-0035,nzd0062-0036,nzd0062-0037,nzd0062-0038,nzd0062-0039,nzd0062-0040,nzd0062-0041,nzd0062-0042,nzd0062-0043,nzd0062-0044,nzd0062-0045,nzd0062-0046,nzd0062-0047,nzd0062-0048,nzd0062-0049,nzd0062-0050,nzd0062-0051,nzd0062-0052,nzd0062-0053,nzd0062-0054,nzd0062-0055,nzd0062-0056,nzd0062-0057,nzd0062-0058,nzd0062-0059,nzd0062-0060,nzd0062-0061,nzd0062-0062,nzd0062-0063,nzd0062-0064,nzd0062-0065,nzd0062-0066,nzd0062-0067,nzd0062-0068,nzd0062-0069,nzd0062-0070,nzd0062-0071
2021-04-15 22:17:16.883000,L8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180.48,260.64
2021-05-01 22:17:07.841000,L8,,,,,,,,,,,,,,,193.46,229.12,244.93,253.61,248.94,249.29,252.66,255.87,239.48,,,,,,,,,,,,,,,,,,,,204.28,196.70,226.64,231.29,239.77,257.58,249.82,233.20,241.29,239.24,238.31,,,,,,,,,,238.90,267.28,260.37,230.49,249.03,251.63,256.69,270.61,224.39,268.74
2021-06-18 22:17:27.030000,L8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251.54,251.81,252.67,267.24,,404.57
2021-07-04 22:17:29.944000,L8,,,,,,,,,,,,,,,,208.76,222.22,244.16,240.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256.93,268.83,,
2021-11-09 22:17:58.951000,L8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217.58,264.74
2022-01-04 22:17:52.138000,L9,,,,,,,,,,,,,,,196.48,226.26,243.85,249.44,244.85,,252.99,228.46,224.72,,,,,,,,,,,,,,,,,,,,,,,,206.04,216.53,243.53,230.05,199.66,,,,,,,,,,,,234.20,256.08,250.49,205.02,207.46,248.54,249.20,260.39,218.98,264.93
2022-01-12 22:17:49.562000,L8,,,,,,,,,,,,,,,194.80,231.52,246.86,255.76,248.60,,,,,,,,,,,,,,,,,,,,,,,,,209.52,227.97,232.28,217.47,241.59,250.48,232.14,236.48,,,,,,,,,,,,261.07,264.59,231.83,206.82,240.21,252.36,254.36,263.88,219.15,265.95
2022-01-20 22:17:51.591000,L9,,,,,,,,,,,,,,,,,,,,,250.80,251.74,190.46,,,,,,,,,,,,,,,,,,,,,,,,293.08,256.68,238.70,224.08,196.09,,,,,,,,,,,,228.57,241.43,248.94,203.48,,246.21,245.67,254.78,218.07,263.46
2022-01-28 22:17:44.030000,L8,,,,,,,,,,,,,,,,,,,,365.92,,,,,,,,,,,,,,,,,,,,,,,,,,,225.69,241.05,245.56,227.66,,,,,,,,,,,,,,,,,,,,,,
2022-02-13 22:17:40.833000,L8,,,,,,,,,,,,,,,,,,,,,249.62,251.40,190.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223.66,232.23,199.55,199.82,226.23,244.29,246.37,258.83,,
2022-02-21 22:17:43.336000,L9,,,,,,,,,,,,,,,187.01,227.52,219.92,251.03,238.47,,,,,,,,,,,,,,,,,,,407.76,341.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214.60,266.16
2022-05-12 22:17:13.223000,L9,243.20,,,,,,,,,,,,,,,217.75,235.39,245.87,243.31,,253.61,255.09,185.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215.80,229.73,256.86,,,,236.46,219.49,,
2022-06-21 22:17:48.970000,L8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,358.49,217.66,223.42,,,,246.89,234.69,242.27,,396.19
2022-07-15 22:17:24.696000,L9,,,,,,,,,,,,,,,,204.21,185.04,237.03,179.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-19 22:18:03.080000,L9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218.22,265.57
2022-10-27 22:18:13.761000,L8,,,,,,,,,,,,,,,180.53,213.87,224.01,235.62,182.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-04 22:18:00.514000,L9,,,,,,,,,,,,,,,,213.11,211.54,237.05,179.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-16 22:17:50.035000,L8,,,,,,,,,,,,,,,181.32,202.07,222.06,239.90,240.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,196.64,221.04,208.14,194.25,194.34,,,,,,,,,,,,,,,,,,,,,
2023-03-28 22:17:33.498000,L9,,,,,,,,,,,,,,,205.20,230.10,239.85,255.82,238.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232.07,254.26,206.49,,,,,221.40,281.97
2023-04-13 22:17:27.047000,L9,240.03,,,,,,,,,,,,,,199.14,235.85,246.64,257.99,249.00,,,,,,,,,,,,,,,,,,,,,,,,,,229.45,229.29,237.29,215.12,207.30,188.67,195.03,187.25,,,,,,,,,,,,231.07,260.86,205.03,,216.59,208.39,265.57,217.52,269.89
2023-06-08 22:17:00.359000,L8,,,,,,,,,,,,,,,169.29,230.67,227.76,246.91,242.07,,249.69,255.28,216.78,,,,,,,,,,,,,,,,,,,,,,,,,217.26,211.24,190.84,195.06,192.95,,,,,,,,,,,,265.28,253.88,206.79,,,,,,
2023-07-02 22:17:05.775000,L9,,,,,,,,,,,,,,,200.54,231.54,244.79,253.06,241.64,,279.12,260.17,258.68,,,,,,,,,,,,,,,,,,,,173.34,197.10,222.82,233.61,244.61,256.29,249.92,240.33,189.19,192.85,,,,,,,,,,,275.92,299.39,282.47,204.56,254.95,251.07,254.15,274.83,222.14,283.68
2023-07-18 22:17:12.131000,L9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173.57,327.25,334.73,294.02,245.14,265.74,249.58,244.45,239.34,245.12,231.10,235.56,235.98,239.04,238.18,,,,,,212.55,269.12,236.92,231.47,233.80,253.87,256.54,265.49,,
2023-08-03 22:17:19.817000,L9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,387.74,428.57,413.88,,,,194.53,213.35,207.73,196.25,193.09,187.33,,,,,,,,,,,,,,,,,,,,
2023-09-20 22:17:40.026000,L9,,,,,,458.46,304.76,363.87,362.86,330.10,298.99,,,278.71,357.22,298.85,,,350.47,352.31,294.82,313.90,272.85,304.48,307.37,339.44,346.33,339.89,300.64,321.98,,,,,,,,386.18,313.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217.46,280.75
