dates,satname,nzd0363-0000,nzd0363-0001,nzd0363-0002,nzd0363-0003,nzd0363-0004,nzd0363-0005,nzd0363-0006,nzd0363-0007,nzd0363-0008,nzd0363-0009,nzd0363-0010,nzd0363-0011,nzd0363-0012,nzd0363-0013,nzd0363-0014,nzd0363-0015,nzd0363-0016,nzd0363-0017,nzd0363-0018,nzd0363-0019,nzd0363-0020,nzd0363-0021,nzd0363-0022,nzd0363-0023,nzd0363-0024,nzd0363-0025,nzd0363-0026,nzd0363-0027,nzd0363-0028,nzd0363-0029,nzd0363-0030,nzd0363-0031,nzd0363-0032,nzd0363-0033,nzd0363-0034,nzd0363-0035,nzd0363-0036,nzd0363-0037,nzd0363-0038,nzd0363-0039
2005-02-23 22:00:07.370000,L5,308.27,318.29,315.43,315.19,303.56,300.63,294.32,297.36,290.19,291.09,286.36,290.38,293.60,291.60,297.09,291.38,290.50,287.65,289.41,288.92,279.11,278.81,277.35,281.90,277.64,281.51,280.17,283.97,286.60,285.29,286.58,289.05,288.29,289.22,276.94,253.98,210.01,184.38,181.90,183.60
2005-03-02 22:06:24.060000,L5,304.10,319.17,309.80,303.16,299.69,294.79,286.90,290.00,283.07,285.50,281.91,287.22,289.18,287.54,289.42,286.75,286.05,281.07,284.88,272.88,270.41,270.48,272.43,273.76,270.83,271.56,274.19,276.99,286.34,284.94,288.94,287.99,286.19,287.12,278.67,256.62,208.16,183.20,179.14,177.93
2005-03-11 22:00:19.764000,L5,354.37,351.82,347.87,341.41,335.56,342.14,345.23,352.62,356.58,357.41,370.54,342.34,360.77,350.61,367.07,372.61,333.21,319.82,321.77,312.81,324.94,327.54,323.39,315.37,313.88,321.79,317.99,311.48,308.05,302.72,303.58,309.77,312.23,318.35,311.20,325.33,301.07,310.36,329.99,332.91
2005-03-18 22:06:34.540000,L5,,235.60,238.21,258.54,264.12,270.07,261.94,,,,,,,,241.21,242.29,243.19,239.98,243.27,240.05,242.20,250.31,240.93,193.07,204.72,180.14,,207.81,236.08,242.18,243.02,241.51,237.92,238.21,217.26,190.88,,,,
2005-03-27 22:00:27.368000,L5,251.31,266.09,263.74,285.67,277.95,271.35,261.06,257.74,260.37,252.70,235.19,231.71,245.15,,242.41,241.46,241.44,241.13,243.93,249.83,250.14,251.82,250.68,255.11,252.63,249.04,237.32,,,,,,,,,,,,,
2005-04-12 22:00:30.943000,L5,308.42,319.77,315.12,316.55,310.17,303.58,296.65,300.86,299.08,295.73,291.77,293.16,294.45,288.90,294.48,289.65,292.89,287.09,286.27,286.52,284.95,286.63,283.52,288.30,282.04,280.54,279.33,280.46,285.56,285.89,288.72,288.12,285.34,288.19,281.78,262.33,224.11,194.94,194.44,193.21
2005-05-05 22:06:49.678000,L5,297.50,304.20,297.90,297.37,269.23,299.41,289.48,290.21,297.83,288.19,263.31,279.81,294.74,288.10,298.10,295.98,297.32,293.59,297.73,298.15,295.47,293.08,298.23,304.45,295.82,294.42,294.82,295.84,296.71,293.53,293.01,292.74,294.04,292.72,295.07,278.56,248.18,226.68,223.89,210.81
2005-06-15 22:00:58.430000,L5,,,277.95,277.10,269.18,269.29,253.81,,252.57,254.21,243.23,248.73,251.53,235.13,253.38,253.49,253.93,247.16,247.79,251.02,247.74,250.68,248.86,245.72,245.93,243.95,240.78,218.74,250.95,257.57,251.43,251.58,228.97,236.30,249.45,222.57,,,,
2005-06-22 22:07:11.090000,L5,,,,,,,,,,,,,,,244.01,248.99,247.96,247.76,253.85,253.27,252.49,259.96,261.99,264.50,263.53,260.30,262.80,260.59,269.35,271.60,262.23,260.35,255.34,258.01,260.32,241.58,198.00,173.57,,
2005-09-10 22:07:43.789000,L5,308.14,318.60,316.69,310.77,300.32,291.43,288.02,291.34,286.51,286.16,283.01,283.14,283.72,282.76,290.66,287.76,284.17,283.58,283.20,285.51,276.70,278.63,274.93,278.04,275.81,278.01,276.66,279.10,287.92,284.29,288.14,285.51,287.50,284.35,278.16,256.22,219.58,182.10,178.99,179.90
2005-09-19 22:01:32.820000,L5,314.99,325.36,325.45,323.06,318.34,308.13,309.77,311.50,303.10,302.20,299.43,302.08,294.55,292.75,293.70,289.01,293.19,288.86,291.26,287.99,289.29,292.80,293.16,294.64,284.29,284.86,285.38,283.97,287.85,286.04,292.35,291.25,297.03,291.55,289.29,271.03,251.81,242.87,213.79,217.76
2005-10-05 22:01:29.249000,L5,,,,,,,,,269.92,271.64,261.08,246.02,241.82,,267.25,273.58,267.92,262.59,274.74,270.70,272.49,273.94,266.57,264.56,,,,,,,172.32,272.80,273.70,273.35,264.83,227.56,,,,
2005-11-13 22:07:56.638000,L5,,,,,,,,,,,,291.04,296.62,289.16,297.81,297.75,295.38,294.82,283.05,280.49,280.21,279.11,277.27,278.99,275.66,279.33,291.65,293.63,294.37,295.59,296.56,294.93,297.71,300.43,276.41,252.66,214.57,191.77,185.46,186.56
2006-01-25 22:03:29.142000,L5,307.00,319.81,320.93,317.47,311.01,304.74,300.68,302.47,297.57,288.91,286.60,287.31,287.41,282.74,286.71,281.13,283.45,286.33,287.02,286.64,285.39,287.87,286.85,287.67,285.04,279.65,280.25,282.60,287.42,283.47,285.94,285.91,287.58,289.65,283.59,259.00,217.38,197.90,189.78,189.42
