dates,nzd0028-0000,nzd0028-0001,nzd0028-0002,nzd0028-0003,nzd0028-0004,nzd0028-0005,nzd0028-0006,nzd0028-0007,nzd0028-0008,nzd0028-0009,nzd0028-0010,nzd0028-0011,nzd0028-0012,nzd0028-0013,nzd0028-0014,nzd0028-0015,nzd0028-0016,nzd0028-0017,nzd0028-0018,nzd0028-0019,nzd0028-0020,nzd0028-0021,nzd0028-0022,nzd0028-0023,nzd0028-0024,nzd0028-0025,nzd0028-0026,nzd0028-0027,nzd0028-0028,nzd0028-0029,nzd0028-0030,nzd0028-0031,nzd0028-0032,nzd0028-0033,nzd0028-0034,nzd0028-0035,nzd0028-0036,nzd0028-0037,satname
2003-12-26 21:56:18.593,,360.11,333.6933333333333,323.0833333333333,334.82666666666665,331.28499999999997,238.08333333333334,249.03666666666666,340.48,317.5533333333333,231.4333333333333,251.53,224.88,206.36333333333334,226.5633333333333,237.17,234.42666666666665,264.7366666666667,251.94333333333336,278.3233333333333,310.50333333333333,327.57,324.65333333333336,328.37,333.2966666666667,332.5133333333333,343.0466666666667,334.89,332.99333333333334,340.53,348.01666666666665,316.95,317.73,358.0133333333333,352.13000000000005,337.28333333333336,340.7333333333333,333.78999999999996,L5
2004-04-16 21:57:19.749,437.26,355.865,335.78000000000003,318.86,333.14333333333326,326.75,236.10666666666665,249.12,339.76666666666665,312.63333333333327,228.15333333333334,250.94999999999996,219.60333333333332,202.98333333333335,224.75333333333333,232.63666666666668,229.59,263.67333333333335,245.51333333333332,275.7,304.06666666666666,318.21999999999997,315.09999999999997,315.78666666666663,324.7266666666667,324.55333333333334,340.49666666666667,330.87,327.6666666666667,333.71666666666664,339.02000000000004,310.21,311.59666666666664,355.02666666666664,350.02,335.26,337.55333333333334,327.29333333333335,L5
2004-05-18 21:58:14.785,437.26,354.66,330.3833333333333,313.6466666666667,328.36333333333334,319.09,230.5533333333333,243.95666666666668,330.7033333333333,299.88,213.9533333333333,251.32000000000002,221.99666666666667,205.42333333333332,222.35,230.88666666666668,215.26999999999998,257.89000000000004,234.06333333333336,269.5266666666667,292.21000000000004,310.92,303.05,307.39000000000004,314.45000000000005,315.94,334.21333333333337,319.99666666666667,317.63666666666666,327.91,331.79999999999995,305.8066666666667,303.29333333333335,343.59999999999997,343.68666666666667,332.5233333333333,333.63000000000005,323.48,L5
2004-08-06 22:00:22.463,437.26,353.58,332.87,324.3566666666667,328.71333333333337,320.9866666666667,226.5533333333333,239.49333333333334,334.1333333333334,301.89,209.86666666666667,249.64999999999998,218.79,204.82666666666668,220.41666666666666,229.30666666666664,216.40666666666667,260.36333333333334,232.4333333333333,273.33666666666664,297.07666666666665,318.9633333333333,313.94666666666666,323.42333333333335,325.1166666666667,319.12333333333333,333.1133333333333,324.68333333333334,321.8333333333333,329.71,331.69666666666666,310.13000000000005,306.35333333333335,345.8966666666667,344.03999999999996,331.2033333333333,332.23,322.86,L5
2005-01-13 22:03:41.143,,353.525,332.74,325.425,331.635,327.51,232.185,246.485,338.145,310.31,215.875,246.76,224.61,208.725,225.56499999999997,227.875,212.77999999999997,260.2,233.865,272.5,298.925,317.265,336.57,330.205,325.4,322.71000000000004,332.59000000000003,331.44,318.33500000000004,335.335,342.88,311.335,313.41999999999996,352.655,350.69500000000005,335.52,340.735,330.225,L5
2005-02-14 22:04:09.465,,359.71500000000003,335.5,302.99,315.575,,234.995,243.805,334.435,305.07,218.405,253.08499999999998,233.33999999999997,209.385,227.24,227.9,210.12,254.97,233.5,267.16,290.18,301.08,333.07,329.525,321.58000000000004,323.77,335.78,330.58000000000004,313.735,332.975,344.265,323.42499999999995,306.16499999999996,344.835,352.55,338.53499999999997,341.33500000000004,335.88,L5
2005-03-02 22:04:24.338,,359.71500000000003,335.5,302.99,315.575,,234.995,243.805,334.435,305.07,218.405,253.08499999999998,233.33999999999997,209.385,227.24,215.385,224.47499999999997,267.43499999999995,245.52999999999997,278.6,304.46500000000003,322.765,333.83500000000004,335.28,328.7266666666667,331.56,341.65333333333336,329.8433333333333,321.57666666666665,338.32666666666665,346.84999999999997,328.0433333333333,309.62333333333333,347.43666666666667,351.96000000000004,339.62333333333333,341.4166666666667,338.46666666666664,L5
2005-04-03 22:04:40.528,445.52,359.92333333333335,337.8933333333334,312.9166666666667,322.56333333333333,333.55,233.96666666666667,245.83333333333334,338.60999999999996,310.34666666666664,217.82000000000002,253.09666666666666,236.73666666666668,211.65333333333334,231.27499999999998,223.53,223.44666666666663,266.01,245.92333333333332,278.02333333333337,304.59666666666664,325.2733333333333,330.06333333333333,336.315,328.6075,330.8575,341.4125,327.6325,323.76,338.5775,347.48249999999996,326.025,310.1425,348.895,351.6375,339.3825,342.02750000000003,337.5875,L5
2005-04-19 22:04:43.597,416.455,359.825,339.05,320.22249999999997,326.59749999999997,333.55,236.09,247.115,338.5125,308.65,217.8725,253.8225,236.1,212.52499999999998,230.72666666666666,227.7625,223.7225,266.9425,243.44,276.87,305.705,326.5375,327.22249999999997,337.3,328.51599999999996,329.702,341.044,327.43,323.146,336.856,346.752,326.54,309.02,349.072,351.806,338.998,341.158,336.152,L5
2005-05-05 22:04:49.813,409.3,359.578,340.352,324.74,329.512,333.55,235.96999999999997,247.37199999999999,341.02200000000005,308.88,218.87800000000001,255.094,237.988,214.426,233.7475,231.046,226.804,265.914,241.88199999999998,273.248,305.392,326.646,328.462,334.8933333333334,328.46666666666664,328.00333333333333,341.15833333333336,329.54333333333335,326.72666666666663,339.18833333333333,347.835,329.83666666666664,309.38166666666666,345.51666666666665,348.6666666666667,336.54833333333335,338.705,332.15166666666664,L5
