dates,nzd0036-0000,nzd0036-0001,nzd0036-0002,nzd0036-0003,nzd0036-0004,nzd0036-0005,nzd0036-0006,nzd0036-0007,nzd0036-0008,nzd0036-0009,nzd0036-0010,nzd0036-0011
2018-09-07 22:11:00+00:00,335.038,327.6928571428571,303.925,317.68285714285713,321.1585714285714,313.1475,317.8971428571429,322.11,331.0516666666667,331.5783333333333,313.78000000000003,327.25
2018-10-09 22:11:13+00:00,332.825,325.41,302.3357142857143,311.54714285714283,317.5628571428571,312.36857142857144,311.9042857142857,317.05285714285714,325.865,327.4766666666667,292.63800000000003,317.6466666666667
2018-11-01 22:17:30+00:00,333.408,323.98,297.3228571428571,308.39285714285717,312.79714285714283,308.20142857142855,308.3,311.44,320.1383333333333,319.28333333333336,273.562,312.94
2018-12-12 22:11:17+00:00,334.418,320.32166666666666,286.89000000000004,301.17,306.6983333333333,303.35833333333335,303.12,306.47333333333336,313.82166666666666,312.8066666666667,253.48000000000002,312.27
2019-01-04 22:17:27+00:00,338.54200000000003,317.7,285.11800000000005,300.544,313.90500000000003,309.26,308.8383333333333,312.0216666666667,319.12833333333333,318.54333333333335,253.48000000000002,315.574
2019-02-05 22:17:21+00:00,342.33599999999996,318.21500000000003,285.7925,301.0525,320.65833333333336,315.61833333333334,314.75666666666666,316.37,323.75333333333333,321.1233333333334,244.01000000000002,319.104
2019-02-14 22:11:09+00:00,341.2733333333333,316.742,283.23400000000004,299.81800000000004,320.65833333333336,315.61833333333334,312.93142857142857,315.1228571428572,322.47142857142853,320.7142857142857,247.37399999999997,318.31166666666667
2019-03-02 22:11:05+00:00,340.9357142857143,315.65333333333336,282.165,299.30833333333334,320.65833333333336,315.61833333333334,311.59749999999997,314.35625,321.44374999999997,320.06875,247.285,317.3742857142857
2019-03-25 22:17:09+00:00,343.8575,324.34999999999997,284.26800000000003,300.922,329.58666666666664,323.7033333333333,317.3875,318.98125000000005,324.7175,321.795,251.154,318.165
2019-04-26 22:16:59+00:00,343.7075,328.3883333333334,285.19800000000004,300.99,326.9983333333333,322.53833333333336,316.52625,317.6025,322.9525,318.89375,252.4225,318.9814285714286
2019-05-12 22:17:08+00:00,343.02625,326.1233333333333,282.164,297.99,322.69,320.10833333333335,313.81,315.29499999999996,320.3325,319.9671428571429,252.54333333333332,319.9983333333334
2019-05-28 22:17:17+00:00,341.84444444444443,327.3642857142857,284.4483333333333,299.0983333333333,320.29571428571427,317.28428571428566,312.30111111111114,313.81666666666666,318.59222222222223,317.24625000000003,252.54333333333332,319.9983333333334
2019-06-06 22:11:11+00:00,339.306,324.09625,279.2442857142857,299.0983333333333,320.29571428571427,310.28875,312.30111111111114,313.81666666666666,318.59222222222223,317.24625000000003,252.54333333333332,319.9983333333334
2019-09-26 22:11:45+00:00,329.122,322.1,280.32,300.0475,299.6425,291.008,298.7375,302.045,305.995,304.1233333333333,241.49,308.83
2019-11-04 22:17:58+00:00,334.034,326.248,278.22749999999996,307.9975,309.2525,299.942,309.1325,312.1725,317.3575,319.83666666666664,241.49,326.07
2019-11-20 22:17:54+00:00,335.74,328.61199999999997,282.895,312.05999999999995,316.7425,303.79200000000003,314.71500000000003,316.71000000000004,323.01,319.73749999999995,247.675,320.8533333333333
2019-12-31 22:11:38+00:00,341.06249999999994,329.5425,290.84999999999997,310.9675,318.16999999999996,315.5875,316.3375,319.26,326.105,325.5075,250.4366666666667,318.56
2020-01-16 22:11:35+00:00,338.424,326.06399999999996,287.4875,309.246,316.938,313.586,314.47200000000004,318.22400000000005,324.126,324.398,250.05,317.358
2020-02-08 22:17:38+00:00,338.424,326.06399999999996,287.4875,309.246,316.938,313.586,319.63,323.47833333333335,328.26,328.58166666666665,250.05,321.13166666666666
2020-02-17 22:11:26+00:00,337.64166666666665,323.7333333333333,285.036,307.3233333333333,314.8983333333333,311.54,317.78428571428566,321.4171428571429,326.4971428571429,327.17285714285714,249.648,319.87
2020-02-24 22:17:35+00:00,337.64166666666665,328.0885714285714,285.036,307.3233333333333,314.8983333333333,311.54,321.0,324.1375,328.8825,330.33625,249.648,320.97125
2020-03-11 22:17:28+00:00,342.5728571428571,331.88875,285.036,307.3233333333333,314.8983333333333,311.54,323.51444444444445,326.23555555555555,330.1455555555556,331.7255555555555,249.648,322.37
2020-03-27 22:17:20+00:00,341.6471428571429,334.1825,289.6,309.045,315.92333333333335,312.23833333333334,323.46444444444444,326.1277777777778,328.43555555555554,333.47749999999996,249.5,321.87333333333333
2020-04-21 22:10:57+00:00,341.14375,331.7044444444444,293.1716666666666,307.86999999999995,316.5385714285714,311.7742857142857,322.229,324.771,327.659,331.47999999999996,250.34,321.33299999999997
2020-07-01 22:17:22+00:00,339.54,330.8985714285714,293.03000000000003,303.538,312.18399999999997,304.938,320.67125,323.0975,325.15749999999997,328.88571428571424,248.05499999999998,321.13142857142856
2020-07-10 22:11:15+00:00,336.67571428571426,327.47249999999997,288.7366666666667,300.985,312.18399999999997,299.6233333333333,317.00333333333333,319.08222222222224,323.06555555555553,328.88571428571424,248.05499999999998,321.13142857142856
2020-09-03 22:17:46+00:00,336.78000000000003,328.17333333333335,294.49999999999994,300.712,310.4075,297.064,307.075,308.82,313.3566666666666,314.28499999999997,247.64499999999998,318.12999999999994
2020-09-19 22:17:52+00:00,329.704,327.59166666666664,298.96166666666664,304.74333333333334,314.278,301.34833333333336,302.8933333333334,305.59,310.59499999999997,308.1225,247.64499999999998,310.4149999999999
2020-09-28 22:11:43+00:00,327.518,327.056,298.61199999999997,301.5933333333333,310.844,299.3466666666667,301.22166666666664,303.74333333333334,311.0983333333333,307.976,254.54,316.47
2020-12-17 22:11:45+00:00,324.9925,333.57599999999996,303.09599999999995,301.748,308.4975,297.418,299.24399999999997,301.98,309.184,306.095,,350.89
2021-01-25 22:17:44+00:00,322.585,342.3966666666667,328.5875,303.7966666666667,306.89000000000004,303.02333333333337,301.30999999999995,305.7066666666667,309.6133333333333,307.06,,348.58
2021-02-19 22:11:27+00:00,327.84999999999997,334.70250000000004,318.342,302.4525,306.1775,303.34749999999997,302.3225,306.70000000000005,310.72,309.4675,292.66,336.93
2021-02-26 22:17:35+00:00,327.605,333.41600000000005,313.18666666666667,294.074,303.184,300.378,302.3225,306.70000000000005,310.72,309.4675,292.66,336.93
2021-03-23 22:11:13+00:00,330.395,323.5625,308.614,286.4425,298.475,296.565,301.33666666666664,305.18,312.33333333333337,314.3633333333333,273.90500000000003,330.48
2021-03-30 22:17:22+00:00,332.29499999999996,324.074,302.85833333333335,285.6666666666667,296.895,296.9175,299.59999999999997,303.1266666666666,307.8633333333333,317.84999999999997,273.90500000000003,330.48
2021-04-24 22:11:01+00:00,333.16999999999996,322.2616666666667,300.3328571428571,289.4975,298.616,298.432,301.05,304.53249999999997,309.715,316.99333333333334,273.2766666666667,326.52799999999996
2021-05-01 22:17:07+00:00,332.0566666666667,322.89,299.44124999999997,292.118,297.925,298.03333333333336,299.34000000000003,302.938,309.715,316.99333333333334,273.2766666666667,326.52799999999996
2021-05-17 22:17:12+00:00,331.0785714285715,322.9125,297.7066666666667,287.9816666666666,296.42285714285714,296.44,289.93833333333333,298.50166666666667,309.715,316.99333333333334,273.2766666666667,321.87833333333333
2021-05-26 22:11:07+00:00,329.6075,320.34666666666664,294.625,287.70714285714286,291.12,295.09625,288.03000000000003,296.4142857142857,307.236,316.99333333333334,273.2766666666667,318.93285714285713
2021-07-13 22:11:19+00:00,328.43111111111114,315.6144444444445,287.938,287.665,287.17333333333335,291.84666666666664,286.955,294.72125,305.0566666666667,316.99333333333334,273.2766666666667,313.6066666666666
2021-10-01 22:11:46+00:00,325.59833333333336,312.09999999999997,279.2833333333333,290.75166666666667,283.90500000000003,290.08,283.64166666666665,293.38166666666666,306.3175,317.835,283.97,303.5366666666666
2021-12-19 22:17:52+00:00,332.9766666666667,320.01666666666665,290.21,304.68666666666667,296.1966666666667,296.1333333333333,299.96,305.24333333333334,313.54,321.7,310.225,329.55
2022-01-21 22:11:35+00:00,345.8833333333334,323.75666666666666,303.0733333333333,310.5566666666667,316.70000000000005,310.77,310.76666666666665,315.1366666666666,322.19666666666666,321.69666666666666,306.33,319.685
2022-02-14 22:11:37+00:00,343.74,320.46000000000004,299.35,307.39500000000004,315.46500000000003,309.62,309.27,313.635,320.8475,320.1225,303.7575,316.18333333333334
2022-02-21 22:17:43+00:00,343.74,326.642,306.462,311.67400000000004,318.634,311.94,311.214,315.21999999999997,321.642,320.53599999999994,306.44,319.5075
2022-02-22 22:11:26+00:00,348.916,324.2583333333333,305.445,310.4266666666667,316.7633333333334,311.0233333333333,310.445,314.44666666666666,321.065,320.0133333333333,305.2183333333333,317.654
2022-03-26 22:11:11+00:00,346.125,321.89142857142855,301.44714285714286,308.30428571428575,315.06714285714287,309.8957142857143,309.48285714285714,313.51714285714286,320.2885714285714,319.6471428571428,303.9485714285714,316.5566666666667
2022-05-05 22:11:07+00:00,349.972,328.61285714285714,305.0183333333334,309.6566666666667,322.05,316.89285714285717,315.59714285714284,313.7866666666667,320.5833333333333,319.5233333333333,305.28666666666663,316.5566666666667
2022-05-12 22:17:13+00:00,348.8283333333333,330.34,306.53285714285715,311.5628571428571,322.2275,317.1725,315.84375,314.42571428571426,320.9342857142857,318.9757142857143,305.28666666666663,316.1828571428572
2022-06-05 22:17:39+00:00,345.81142857142856,329.7933333333333,304.20875,305.63,318.0488888888889,314.15,315.84375,314.42571428571426,320.9342857142857,318.9757142857143,305.28666666666663,316.1828571428572
2022-06-13 22:17:12+00:00,343.7425,329.606,303.09555555555556,305.28333333333336,315.543,312.276,312.75111111111113,310.8075,316.68125000000003,318.9757142857143,305.28666666666663,316.1828571428572
2022-06-14 22:11:35+00:00,340.8333333333333,326.65090909090907,299.596,305.28333333333336,309.99,309.3172727272727,308.397,307.8044444444444,313.5,318.9757142857143,305.28666666666663,314.08625
2022-06-21 22:17:48+00:00,338.44666666666666,324.9290909090909,296.97300000000007,301.4188888888889,308.17727272727274,307.54818181818183,306.835,305.69111111111107,311.695,313.21714285714285,301.438,311.8771428571428
2022-06-29 22:17:28+00:00,337.695,325.20166666666665,297.10454545454553,301.591,307.3975,306.695,305.8209090909091,304.669,310.46666666666664,313.21714285714285,301.438,311.8771428571428
2022-07-16 22:11:39+00:00,336.0718181818182,323.24538461538464,295.0016666666667,300.1781818181818,306.1015384615385,305.2169230769231,303.8225,303.1127272727272,309.322,313.21714285714285,301.438,308.53375
2022-07-31 22:17:39+00:00,333.26,324.1207692307692,294.09583333333336,296.3527272727273,304.16615384615386,303.6669230769231,301.52500000000003,300.48636363636365,306.213,311.805,302.16249999999997,308.35
2022-08-08 22:18:05+00:00,332.7866666666667,324.29928571428576,293.9438461538462,293.5441666666667,304.16615384615386,303.6669230769231,300.6392307692308,299.9316666666667,305.69272727272727,311.805,302.16249999999997,307.165
