dates,nzd0125-0000,nzd0125-0001,nzd0125-0002,nzd0125-0003,nzd0125-0004,nzd0125-0005,nzd0125-0006,nzd0125-0007,nzd0125-0008,nzd0125-0009,nzd0125-0010,nzd0125-0011,nzd0125-0012,nzd0125-0013,nzd0125-0014,nzd0125-0015,nzd0125-0016,nzd0125-0017,nzd0125-0018,nzd0125-0019,nzd0125-0020,nzd0125-0021,nzd0125-0022,nzd0125-0023,nzd0125-0024,nzd0125-0025,nzd0125-0026
2003-08-13 21:48:45+00:00,363.14000000000004,334.60999999999996,335.73,309.9175,322.1375,309.16499999999996,288.198,307.43333333333334,297.58,276.366,275.714,270.3,286.425,285.815,276.696,259.868,257.26800000000003,236.365,247.51166666666666,250.84,257.04833333333335,290.24833333333333,283.14,326.25428571428574,293.365,301.31800000000004,297.162
2003-09-14 21:49:18+00:00,364.08500000000004,335.125,335.73,309.9175,322.1375,309.16499999999996,288.198,307.43333333333334,297.58,276.366,275.714,270.3,286.425,285.815,276.696,259.868,257.26800000000003,236.365,247.51166666666666,250.84,258.87,287.44571428571425,282.57166666666666,322.4925,296.7,298.41,294.52000000000004
2003-10-25 21:43:40+00:00,370.54,335.975,335.8666666666667,305.34499999999997,311.4066666666667,299.21666666666664,287.024,302.8,297.1766666666667,275.092,271.79200000000003,265.93,284.34,283.16600000000005,282.645,268.455,261.7825,238.73199999999997,250.07600000000002,250.72600000000003,260.47499999999997,267.36833333333334,278.222,307.95428571428573,300.368,288.1516666666667,282.59333333333336
2003-11-17 21:50:09+00:00,370.525,335.975,335.8666666666667,299.648,311.4066666666667,299.21666666666664,287.024,302.8,297.1766666666667,275.092,271.79200000000003,262.65000000000003,281.1933333333333,282.26000000000005,277.756,262.74,257.38800000000003,238.73199999999997,246.8083333333333,248.51333333333332,257.36,265.37285714285713,276.405,293.3457142857143,297.8383333333333,284.13714285714286,278.69
2003-12-03 21:50:19+00:00,380.04,339.92333333333335,330.66499999999996,292.816,299.51,297.68999999999994,282.9725,299.96500000000003,299.62,271.9075,265.625,259.46166666666664,278.935,288.94166666666666,277.756,259.64,255.13666666666668,248.23999999999995,242.7116666666667,244.86666666666665,252.79142857142855,263.7471428571429,275.50714285714287,287.94428571428574,295.84714285714284,271.8614285714286,267.5257142857143
2003-12-12 21:44:10+00:00,379.608,340.46,329.00333333333333,297.53666666666663,301.01666666666665,299.6066666666666,287.402,301.48,302.2033333333334,276.96000000000004,270.342,262.83142857142855,281.84714285714284,291.09714285714284,280.09,262.39714285714285,258.5114285714286,252.79799999999994,246.80857142857144,248.38571428571427,255.65875,265.11125,276.96875,289.59125,298.23625,273.8975,268.8825
2004-02-21 21:50:47+00:00,376.268,333.21500000000003,321.48,300.004,297.4966666666666,298.3333333333333,304.49,302.3533333333333,302.16,293.56,287.27,269.684,287.57,294.722,285.94,266.254,265.538,268.7633333333333,253.41,255.844,261.22999999999996,268.0466666666667,280.2316666666666,291.3066666666667,302.7133333333333,276.35,270.1066666666667
2004-04-18 21:45:25+00:00,372.32800000000003,332.06333333333333,321.48,295.3666666666667,297.4966666666666,298.3333333333333,304.49,302.3533333333333,302.16,282.5175,287.27,269.684,283.5566666666667,291.37,280.174,262.685,261.2216666666667,268.7633333333333,253.41,251.79833333333332,255.22166666666666,264.34999999999997,277.51,287.51166666666666,298.2283333333333,271.84833333333336,265.70166666666665
2004-05-20 21:46:20+00:00,372.78999999999996,328.12,327.42,295.305,300.22333333333336,306.5333333333333,310.8666666666666,307.24333333333334,307.5833333333333,278.44,291.59999999999997,280.055,290.31399999999996,297.044,285.8425,268.156,266.784,271.81333333333333,262.455,257.934,254.40999999999997,263.5775,276.23,290.27,302.43399999999997,276.67400000000004,269.592
2004-06-12 21:53:11+00:00,357.735,314.17,328.28999999999996,272.98,298.32000000000005,308.08,313.74,308.61,307.68999999999994,269.07499999999993,292.79499999999996,294.78,293.9266666666667,300.30999999999995,283.86999999999995,272.56666666666666,270.4266666666667,272.20500000000004,272.935,260.1433333333334,250.47999999999996,261.04499999999996,273.79999999999995,292.03999999999996,304.43666666666667,279.7633333333334,272.1766666666667
